case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit quartic_unseeded quartic_disabled quartic_after_warm quartic_degree_change quartic_cold_sweeps quartic_warm_sweeps
0 uniform 0 0 49.788519000000001 6.813986782092889 1 67 49.554895000000002 0.011967999999999999 0.201739 0.0050950000000000006 0.001225 0.0024329999999999998 0.008201 0.176872 0.32214900000000002 48.888162999999999 0.090727000000000002 3.1000000000000001e-05 0.056463999999999993 0.0016900000000000001 0.0038099999999999996 0.15126399999999998 0.035709999999999999 0 0 0 0 0 0 0 0 0 0 0 49.458851000000003 49.547626000000001 0.00082600000000000002 0.0055539999999999999 0.012381999999999999 2.5999999999999998e-05 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.105556 0 0 6 0 0 134 0 0 26 42 66 0 0 0 0 0 0
0 uniform 0 7 49.529071000000002 6.9223389959683157 1 83 49.223027000000002 0.01163 0.26867900000000006 0.0061589999999999995 0.0012520000000000001 0.0030769999999999999 0.010377000000000001 0.017364999999999998 0.38547999999999999 48.690399999999997 0.090054999999999996 2.8e-05 0.016183999999999997 0.001627 0.0037829999999999995 0.20111600000000004 0.047058999999999983 0 0 1 15 15 0 0 0 0 0 0 49.165376999999999 49.216265 0.001761 0.0054019999999999997 0.012359 2.6999999999999999e-05 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.13474000000000003 0 0 7 0 0 166 0 0 20 58 88 0 0 0 0 0 0
0 uniform 0 15 49.536681000000002 7.0045054110045921 1 91 49.269781000000002 0.010638999999999999 0.23502999999999999 0.0064990000000000013 0.0013680000000000001 0.003189 0.010404 0.0098329999999999997 0.25781300000000001 48.802161000000005 0.092256000000000005 2.0999999999999999e-05 0.083714999999999998 0.0016570000000000001 0.0033169999999999996 0.17520900000000003 0.045200999999999991 0 0 2 14 13 0 0 0 0 0 0 49.144911 49.263755000000003 0.001671 0.0055459999999999997 0.012645 2.5000000000000001e-05 0 1 1 8 0.0027134713756958736 1 65 14 51 2 16 18 0 6 96 14 5 72 0.11888499999999998 0 0 6 0 0 182 0 0 26 53 103 0 0 0 0 0 0
0 uniform 0 23 49.917521999999998 7.0403829421858841 1 91 49.571357999999996 0.011728000000000001 0.30478899999999992 0.0066030000000000012 0.0023400000000000001 0.0030539999999999999 0.010439 0.0086429999999999996 0.373861 49.026710999999999 0.089509000000000005 2.0999999999999999e-05 0.049390000000000003 0.0016379999999999999 0.0036059999999999998 0.22905999999999993 0.051907000000000002 0 0 3 13 13 0 0 0 0 0 0 49.480652999999997 49.565009000000003 0.001635 0.0053090000000000004 0.012529999999999999 2.6999999999999999e-05 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.14794599999999999 0 0 7 0 0 182 0 0 25 55 102 0 0 0 0 0 0
0 uniform 1 0 0.83535400000000004 627.72831737403658 1 105 0.61504999999999999 0.012449999999999999 0.18442800000000012 0.0071130000000000004 0.0015439999999999998 0.0032009999999999999 0.010043 0.17486499999999999 0.12884499999999999 0 0.0035209999999999998 0.00117 0.25181799999999999 0.0012110000000000001 0.0037819999999999998 0.087701000000000015 0.07843100000000007 0 0 0 0 0 0.0029120000000000001 1 0 0 14 0 0.315413 0.60799599999999998 0.0011180000000000001 0.003388 0.016041 0.0018309999999999999 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.054321999999999981 0 0 3 0 0 302 0 0 38 101 163 0 0 0 0 0 0
0 uniform 1 7 0.54127899999999995 631.61507920936947 1 105 0.30751600000000001 0.013263 0.19900000000000009 0.0061930000000000006 0.0013500000000000001 0.002898 0.0091409999999999998 0.0082880000000000002 0.14128099999999999 0 0.003493 0.00098499999999999998 0.103613 0.0010150000000000001 0.0036339999999999996 0.10417900000000001 0.076637000000000066 0 0 1 19 19 0.0029650000000000002 1 0 0 14 0 0.16100600000000001 0.30119699999999999 0.0014450000000000001 0.003277 0.014432999999999998 0.0014250000000000001 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.070912000000000003 0 0 3 0 0 302 0 0 33 110 159 0 0 0 0 0 0
0 uniform 1 15 0.68233900000000003 635.58150147374431 1 128 0.39669500000000002 0.013232000000000001 0.24807099999999996 0.0069839999999999998 0.0014920000000000001 0.0025869999999999999 0.0083020000000000004 0.0081890000000000001 0.11226700000000001 0 0.003431 0.000977 0.22512299999999999 0.00101 0.0037529999999999998 0.12316600000000001 0.10213900000000005 0 0 2 19 19 0.0029139999999999999 1 0 0 14 0 0.131659 0.390484 0.001292 0.003261 0.013811 0.0013060000000000001 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.080239999999999964 0 0 3 0 0 394 0 0 38 127 229 0 0 0 0 0 0
0 uniform 1 23 0.54291500000000004 638.99054014712056 1 128 0.26472200000000001 0.012751 0.24193900000000013 0.0062810000000000001 0.0014059999999999999 0.0024989999999999999 0.0081139999999999997 0.0081860000000000006 0.12970699999999999 0 0.0034749999999999998 0.00086600000000000002 0.071761000000000005 0.00094499999999999998 0.0036270000000000004 0.11903400000000006 0.10014900000000022 0 0 3 19 19 0.0029880000000000002 1 0 0 14 0 0.14893100000000001 0.25886599999999999 0.0012489999999999999 0.003225 0.018954000000000002 0.0012260000000000001 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.07604699999999999 0 0 3 0 0 394 0 0 46 140 208 0 0 0 0 0 0
0 uniform 2 0 35.058951 2.3738776878580987 1 45 34.932572999999998 0.011897 0.097417999999999977 0.003166 0.00091199999999999994 0.0029750000000000002 0.0096360000000000005 0.17090900000000001 0.32587100000000002 34.286698999999999 0.085422999999999999 3.0000000000000001e-05 0.041345000000000007 0.0017110000000000001 0.0037300000000000002 0.061387999999999984 0.024845999999999997 0 0 0 0 0 0 0 0 0 0 0 34.850234999999998 34.925727999999999 0.00082299999999999995 0.0054520000000000002 0.012641999999999999 3.3000000000000003e-05 0 0 0 0 0 0 41 18 23 2 7 9 0 6 65 18 3 24 0.043492000000000003 0 0 6 0 0 90 0 0 22 38 30 0 0 0 0 0 0
0 uniform 2 7 47.922387000000001 2.4185459771570437 1 45 47.769542999999999 0.011877 0.12418099999999997 0.0031190000000000002 0.00082599999999999991 0.0031020000000000002 0.010107 0.0099749999999999995 0.33338400000000001 47.306114000000001 0.085264000000000006 3.0000000000000001e-05 0.0098069999999999997 0.001593 0.0043040000000000005 0.089608999999999994 0.024088999999999996 0 0 1 13 12 0 0 0 0 0 0 47.717303999999999 47.762284000000001 0.0017409999999999999 0.0055079999999999999 0.012831000000000002 3.4e-05 0 1 1 8 0.11055858717162853 1 35 13 22 3 9 12 0 5 67 13 3 29 0.063028999999999988 0 0 5 0 0 90 0 0 26 37 27 0 0 0 0 0 0
0 uniform 2 15 47.757392000000003 2.4760800094989386 1 45 47.602927999999999 0.011769999999999999 0.12603500000000001 0.0032429999999999994 0.000745 0.0031210000000000001 0.010179000000000001 0.0098809999999999992 0.24809600000000001 47.223751999999998 0.085244999999999987 2.0000000000000002e-05 0.009526999999999999 0.0015690000000000001 0.0036839999999999998 0.087131999999999987 0.026811000000000001 0 0 2 18 18 0 0 0 0 0 0 47.548501000000002 47.596375999999999 0.001529 0.0052649999999999997 0.016528999999999999 3.3000000000000003e-05 0 1 1 8 0.0016090859999255856 1 41 18 23 1 9 10 0 5 74 18 3 24 0.072951999999999989 0 0 5 0 0 90 0 0 20 39 31 0 0 0 0 0 0
0 uniform 2 23 49.563647000000003 2.5425757937800864 1 45 49.405895999999998 0.011996 0.129049 0.0032080000000000003 0.00083599999999999994 0.0031050000000000001 0.010178 0.0098569999999999994 0.25387399999999999 49.018663000000004 0.09101200000000001 2.0000000000000002e-05 0.0096009999999999984 0.0015809999999999999 0.003803 0.093884999999999996 0.025212000000000002 0 0 3 16 15 0 0 0 0 0 0 49.355338000000003 49.399236000000002 0.00157 0.0055469999999999998 0.012223999999999999 2.5999999999999998e-05 0 1 1 8 0.0026246619501964687 1 39 16 23 1 8 9 0 6 66 16 3 26 0.078697000000000003 0 0 6 0 0 90 0 0 23 35 32 0 0 0 0 0 0
0 uniform 3 0 0.58155400000000002 490.78838121193621 1 67 0.46529300000000001 0.017652000000000001 0.08009400000000004 0.0040509999999999999 0.001091 0.0032720000000000002 0.010008 0.17702899999999999 0.115055 0 0.0053689999999999996 0.00107 0.111748 0.00067000000000000002 0.0041790000000000004 0.043691999999999995 0.026178000000000014 0 0 0 0 0 0.004202 1 0 0 14 0 0.304228 0.45833299999999999 0.001039 0.001931 0.019657999999999998 1.5999999999999999e-05 0 0 0 0 0 0 58 42 16 3 3 6 0 3 145 42 5 20 0.030529999999999998 0 0 3 0 0 134 0 0 24 73 37 0 0 0 0 0 0
0 uniform 3 7 0.50583900000000004 500.90243914853698 1 67 0.35958099999999998 0.015421000000000001 0.11343100000000002 0.0036470000000000001 0.00089100000000000008 0.0026930000000000001 0.0086300000000000005 0.015685999999999999 0.088639999999999997 0 0.003594 0.0009810000000000001 0.20227300000000001 0.00064599999999999998 0.003529 0.077695 0.02565499999999999 0 0 1 42 42 0.0029650000000000002 1 0 0 14 0 0.11532000000000001 0.35390199999999999 0.0015100000000000001 0.002601 0.017134999999999997 2.4000000000000001e-05 0 2 1 16 0.0088212496358149681 2 58 42 16 3 3 6 0 3 145 42 5 20 0.06486299999999999 0 0 3 0 0 134 0 0 21 77 36 0 0 0 0 0 0
0 uniform 3 15 0.52153000000000005 513.67469598753667 1 67 0.37783899999999998 0.015667 0.110945 0.0035830000000000002 0.00084499999999999994 0.0023549999999999999 0.0079900000000000006 0.0081200000000000005 0.091336000000000001 0 0.003411 0.00091699999999999995 0.22829300000000005 0.00060400000000000004 0.0035379999999999999 0.07451300000000001 0.02638699999999999 0 0 2 40 40 0.002947 1 0 0 14 0 0.109573 0.37223299999999998 0.001297 0.0023289999999999999 0.016504999999999999 2.4000000000000001e-05 0 1 1 8 0.0009877516298322979 1 58 40 18 5 3 8 0 5 146 40 5 22 0.061642000000000009 2 0 3 0 0 134 0 0 19 71 44 0 0 0 0 0 0
0 uniform 3 23 0.42865799999999998 528.13394552202408 1 67 0.28281600000000001 0.014977000000000001 0.11396200000000002 0.0035009999999999998 0.00078399999999999987 0.0022300000000000002 0.0075370000000000003 0.0080040000000000007 0.088134000000000004 0 0.003434 0.00095399999999999999 0.13857600000000003 0.00051099999999999995 0.0033780000000000004 0.077036999999999967 0.026810999999999988 0 0 3 40 40 0.0029199999999999999 1 0 0 14 0 0.106265 0.27770299999999998 0.0011999999999999999 0.0023809999999999999 0.016041 2.0000000000000002e-05 0 1 1 8 0.0017264993823830933 1 58 40 18 5 3 8 0 5 147 40 5 22 0.06424500000000001 2 0 3 0 0 134 0 0 29 78 27 0 0 0 0 0 0
