row	case	parameter	cell	kind	left_fold	right_fold	a	b	nr	subdivisions	angular	mu0_grad	muhalf_grad	accepted_nodes	rejected_nodes	mu0_partial_sum	muhalf_partial_sum
17	caustic-cross	a	13	empty	1	0	1.4148028287947072	1.6585311203645845	1024	1	128	0	0	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	0	empty	0	1	0	0.55440951894073376	2048	1	128	0	0	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	1	arcs	1	1	0.55440951894073376	0.56266096077992589	2048	1	128	0.31173974611221711	0.31172897853282966	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	2	empty	1	0	0.56266096077992589	0.67004418472761151	2048	1	128	0	0	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	3	empty	0	0	0.67004418472761151	0.81649658092772603	2048	1	128	0	0	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	4	empty	0	0	0.81649658092772603	0.83746378957463308	2048	1	128	0	0	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	5	arcs	0	0	0.83746378957463308	0.84972672439230301	2048	1	128	44.577941607349452	49.408967051446048	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	6	arcs	0	0	0.84972672439230301	0.85720378575239498	2048	1	128	16.067805719503461	9.2974873377749727	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	7	arcs	0	1	0.85720378575239498	0.88965961535403337	2048	1	128	-62.484694547238611	-60.793014521952998	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	8	empty	1	0	0.88965961535403337	1	2048	1	128	0	0	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	9	empty	0	0	1	1.2330836802811773	2048	1	128	0	0	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	10	empty	0	0	1.2330836802811773	1.2990013190433436	2048	1	128	0	0	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	11	empty	0	1	1.2990013190433436	1.4027942668116613	2048	1	128	0	0	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	12	arcs	1	1	1.4027942668116613	1.4148028287947072	2048	1	128	-0.8614215542794198	-0.86136472191181179	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	13	empty	1	0	1.4148028287947072	1.6585311203645845	2048	1	128	0	0	10240	0	-2.3886290285529013	-2.636195876110961
17	caustic-cross	a	0	empty	0	1	0	0.55440951894073376	4096	1	128	0	0	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	1	arcs	1	1	0.55440951894073376	0.56266096077992589	4096	1	128	0.31173941079429085	0.31172877734207344	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	2	empty	1	0	0.56266096077992589	0.67004418472761151	4096	1	128	0	0	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	3	empty	0	0	0.67004418472761151	0.81649658092772603	4096	1	128	0	0	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	4	empty	0	0	0.81649658092772603	0.83746378957463308	4096	1	128	0	0	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	5	arcs	0	0	0.83746378957463308	0.84972672439230301	4096	1	128	44.582121615159558	49.411475056132112	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	6	arcs	0	0	0.84972672439230301	0.85720378575239498	4096	1	128	16.067805719503465	9.297487337774955	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	7	arcs	0	1	0.85720378575239498	0.88965961535403337	4096	1	128	-62.496905794722579	-60.800348284982661	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	8	empty	1	0	0.88965961535403337	1	4096	1	128	0	0	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	9	empty	0	0	1	1.2330836802811773	4096	1	128	0	0	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	10	empty	0	0	1.2330836802811773	1.2990013190433436	4096	1	128	0	0	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	11	empty	0	1	1.2990013190433436	1.4027942668116613	4096	1	128	0	0	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	12	arcs	1	1	1.4027942668116613	1.4148028287947072	4096	1	128	-0.8614197519828094	-0.86136364053384673	20480	0	-2.3966588012480732	-2.6410207542673656
17	caustic-cross	a	13	empty	1	0	1.4148028287947072	1.6585311203645845	4096	1	128	0	0	20480	0	-2.3966588012480732	-2.6410207542673656
