row	case	parameter	cell	a	b	h_scale	nr	subdivisions	angular	fd_mu0	fd_muhalf	spread_mu0_by_offset	spread_muhalf_by_offset	fail_count	fd_mu0_m2	fd_mu0_m1	fd_mu0_p1	fd_mu0_p2	fd_muhalf_m2	fd_muhalf_m1	fd_muhalf_p1	fd_muhalf_p2
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.0001	64	1	32	-75.889111191311059	nan	0.0005432719283255949	nan	0	16.689925835548923	16.68980158110995	16.689506004785336	16.689382563620597	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.0001	64	1	32	-0.85813671052541618	nan	6.8394545207350887e-06	nan	0	0.22565245844306484	0.2256515730190134	0.22564814367706673	0.2256456189885441	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.0001	128	2	32	44.531992251739531	nan	0.00035615782556597253	nan	0	7.0788799194397178	7.0789690916191859	7.0791472073241373	7.0792360772652838	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.0001	128	2	32	16.027561518601924	nan	0.00012801420023311749	nan	0	7.8769544616616205	7.8769865974284725	7.8770506818880577	7.8770824758618536	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.0001	128	2	32	-62.920867621496505	nan	0.00050037391110535623	nan	0	16.689937715040045	16.689813048043852	16.6895617387021	16.68943734112894	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.0001	128	2	32	-0.85747706172571236	nan	6.8397855820800935e-06	nan	0	0.22565221855993295	0.2256512118159725	0.22564778441158956	0.22564537877435087	nan	nan	nan	nan
17	caustic-cross	a	5	0.83746378957463308	0.84972672439230301	0.0001	256	4	32	44.552495116552862	nan	0.00035626693671098053	nan	0	7.0788797552792833	7.0789689274567822	7.0791471183092209	7.0792360222159942	nan	nan	nan	nan
17	caustic-cross	a	6	0.84972672439230301	0.85720378575239498	0.0001	256	4	32	16.027561519675139	nan	0.00012801420024555199	nan	0	7.8769544616616178	7.876986597428469	7.8770506818880586	7.8770824758618634	nan	nan	nan	nan
17	caustic-cross	a	7	0.85720378575239498	0.88965961535403337	0.0001	256	4	32	-62.439790798525969	nan	0.00049910226963589821	nan	0	16.689938405307281	16.689813664380519	16.689563957224419	16.689439303037645	nan	nan	nan	nan
17	caustic-cross	a	12	1.4027942668116613	1.4148028287947072	0.0001	256	4	32	-0.85749333438023256	nan	6.8398030083904882e-06	nan	0	0.22565221821821754	0.22565120996768478	0.22564778251230561	0.22564537841520915	nan	nan	nan	nan
99	rand035	X	2	0.88716938242769516	0.88723369079252823	0.001	32	1	64	-0.38256711313312147	-0.24203624833686835	0.00010257773221148881	6.5023700861368091e-05	0	0.00014469062136691766	0.00012534623449014332	6.9307751663820114e-05	4.2112889155428856e-05	9.0984319970381132e-05	7.8400287139981478e-05	4.2930970288115435e-05	2.5960619109013034e-05
99	rand035	X	3	0.88723369079252823	0.95630209345982764	0.001	32	1	64	8.8720625375261442	8.6816586600472156	0.0026413738110870888	0.0025959554361381088	0	2.6522674136284436	2.6529500399501273	2.6542824343038345	2.6549087874395307	2.6450206058868817	2.645683664506282	2.6469888728019355	2.6476165613230198
99	rand035	X	8	1.04569464696713	1.1271804457293775	0.001	32	1	64	8.7068367343940931	8.5701408965566497	0.0025697099690789038	0.0025495838546238936	0	3.6524189965858866	3.6531028353333412	3.6544076071586367	3.6549887065549655	3.6451154203760252	3.645778428125543	3.6470652424940093	3.6476650042306491
99	rand035	X	11	3.0353038119173275	3.0353038123352656	0.001	32	1	64	1.0908357241365508e-17	1.0975650898440662e-17	3.264330908719038e-21	3.2909631939430035e-21	0	7.6975985869768927e-18	7.6987072430428959e-18	7.7003475347888473e-18	7.7008629178856117e-18	7.6968152374145389e-18	7.697819074952387e-18	7.6994702974867418e-18	7.7001062006084819e-18
99	rand035	X	2	0.88716938242769516	0.88723369079252823	0.001	48	2	128	-0.38256711313324859	-0.24203624833694765	0.0001025777322114881	6.502370086136763e-05	0	0.00014469062136691923	0.00012534623449014594	6.9307751663808472e-05	4.211288915543114e-05	9.098431997038208e-05	7.840028713998305e-05	4.2930970288108104e-05	2.5960619109014447e-05
99	rand035	X	3	0.88723369079252823	0.95630209345982764	0.001	48	2	128	8.8518571298340252	8.6695354154348934	0.0026426135635277959	0.0025966992876016448	0	2.652256835561416	2.652937480204804	2.6542677470462719	2.6548994491249438	2.6450142590466648	2.6456761286590873	2.6469800604473974	2.6476109583342664
