max_level	grad_rtol	kind	name	u	parameter	rounds	tol	level	nodes	converged	mu	grad	error	quality	n	h	stop	grad_reason	radial	inner	geometry	reference	relative_error
5	0.01	budget	caustic-cross	0.5	0	64	0.001	3	725	1	33.28933563882105	77.58727061654515	11.507669802234751	2	0	0	Converged	2	11.344778307387948	0.1628777408887979	6.518963206254785e-10	77.45309452467096	0.0017323528865777807
5	0.001	budget	caustic-cross	0.5	0	8	0.001	3	183	1	33.28933563882105	76.78554994506926	93.4929347810895	2	0	0	Converged	2	93.49067066248097	0.0022502791158561	1.6441017704188718e-10	77.45309452467096	0.008618694755818496
5	0.001	budget	caustic-cross	0.5	0	32	0.001	3	412	1	33.28933563882105	77.95115424348394	33.424768531640254	2	0	0	Converged	2	33.36850043432337	0.0562543437592092	2.5156209936144056e-10	77.45309452467096	0.006430468942132922
5	0.001	budget	caustic-cross	0.5	0	64	0.001	3	725	1	33.28933563882105	77.58727061654515	11.507669802234751	2	0	0	Converged	2	11.344778307387948	0.1628777408887979	6.518963206254785e-10	77.45309452467096	0.0017323528865777807
0	0.01	budget	rand030	0.0	2	8	0.001	3	203	1	2.5376970830853254	0.0129986901930755	0.0004570955709956	2	0	0	Converged	4	5.03484222444925e-05	0.0	1.2443853845767274e-07	0.0129986580934943	2.4694534596427897e-06
0	0.01	budget	rand030	0.0	2	32	0.001	3	203	1	2.5376970830853254	0.0129986901930755	0.0004570955709956	2	0	0	Converged	4	5.03484222444925e-05	0.0	1.2443853845767274e-07	0.0129986580934943	2.4694534596427897e-06
0	0.01	budget	rand030	0.0	2	64	0.001	3	203	1	2.5376970830853254	0.0129986901930755	0.0004570955709956	2	0	0	Converged	4	5.03484222444925e-05	0.0	1.2443853845767274e-07	0.0129986580934943	2.4694534596427897e-06
0	0.001	budget	rand030	0.0	2	8	0.001	3	203	1	2.5376970830853254	0.0129986901930755	0.0004570955709956	2	0	0	Converged	4	5.03484222444925e-05	0.0	1.2443853845767274e-07	0.0129986580934943	2.4694534596427897e-06
0	0.001	budget	rand030	0.0	2	32	0.001	3	203	1	2.5376970830853254	0.0129986901930755	0.0004570955709956	2	0	0	Converged	4	5.03484222444925e-05	0.0	1.2443853845767274e-07	0.0129986580934943	2.4694534596427897e-06
0	0.001	budget	rand030	0.0	2	64	0.001	3	203	1	2.5376970830853254	0.0129986901930755	0.0004570955709956	2	0	0	Converged	4	5.03484222444925e-05	0.0	1.2443853845767274e-07	0.0129986580934943	2.4694534596427897e-06
4	0.01	budget	rand030	0.0	2	8	0.001	3	203	1	2.5376970830853254	0.0129986901930755	0.0004570955709956	2	0	0	Converged	4	5.03484222444925e-05	0.0	1.2443853845767274e-07	0.0129986580934943	2.4694534596427897e-06
4	0.01	budget	rand030	0.0	2	32	0.001	3	203	1	2.5376970830853254	0.0129986901930755	0.0004570955709956	2	0	0	Converged	4	5.03484222444925e-05	0.0	1.2443853845767274e-07	0.0129986580934943	2.4694534596427897e-06
4	0.01	budget	rand030	0.0	2	64	0.001	3	203	1	2.5376970830853254	0.0129986901930755	0.0004570955709956	2	0	0	Converged	4	5.03484222444925e-05	0.0	1.2443853845767274e-07	0.0129986580934943	2.4694534596427897e-06
4	0.001	budget	rand030	0.0	2	8	0.001	3	203	1	2.5376970830853254	0.0129986901930755	0.0004570955709956	2	0	0	Converged	4	5.03484222444925e-05	0.0	1.2443853845767274e-07	0.0129986580934943	2.4694534596427897e-06
