name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,1,0,1.0e-05,1,0,EventLocationLimited,6.0199533595851964,5.8400462e-05,3219,3219,2948,10,10.107000,0.346364,0.026441,0.000019,0.001978,0.021087,0.003019,8,0,0,0,0,0,0,0,208,0,0,31,0,2.920097,2.785396,0.047850,1.149575,6.0204103664095419,0,0,4.5841036e-14,8.7069524e-15,2.6733963e-15,5.5616784633860261,-17.137986489592233,-10.351485565404818,-4.9880854834523172,1.2384878988089743,2.5764753e-06,3.876119e-06,4.9682973e-06,2.1627251e-06,1.2304252e-06
plan15,0.0,1,0,1.0e-05,0,0,EventLocationLimited,6.0199533595851955,5.8400462e-05,3219,6167,0,10,16.657333,0.335106,0.027418,0.000144,0.001937,0.021767,0.003325,8,0,0,0,0,0,0,0,347,0,0,31,0,5.809055,2.805966,0.048402,1.174199,6.0204103664095419,0,0,4.5708717e-14,8.7069524e-15,2.6733963e-15,5.5616784633862402,-17.137986489591551,-10.351485565404539,-4.9880854834519397,1.2384878988089782,2.5765056e-06,3.8761389e-06,4.9683335e-06,2.162737e-06,1.2304286e-06
plan15,0.0,1,0,1.0e-06,1,0,EventLocationLimited,6.0199533596497705,2.6306329e-06,3219,3219,2948,10,10.144839,0.337619,0.034650,0.000084,0.002027,0.028361,0.003922,8,0,0,0,0,0,0,0,264,0,0,31,0,3.003567,2.767999,0.049974,1.145597,6.0204103664095419,0,0,4.5875729e-14,8.7069331e-15,2.6733963e-15,5.5616784633860261,-17.137986489592233,-10.351485565404818,-4.9880854834523172,1.2384878988089743,2.5764753e-06,3.876119e-06,4.9682973e-06,2.1627251e-06,1.2304252e-06
plan15,0.0,1,0,1.0e-06,0,0,EventLocationLimited,6.0199533596497696,2.6306329e-06,3219,6167,0,10,16.379259,0.336279,0.025461,0.000019,0.002276,0.020409,0.002609,8,0,0,0,0,0,0,0,456,0,0,31,0,5.530548,2.773238,0.047402,1.186901,6.0204103664095419,0,0,4.5728382e-14,8.7069331e-15,2.6733963e-15,5.5616784633862402,-17.137986489591551,-10.351485565404539,-4.9880854834519397,1.2384878988089782,2.5765056e-06,3.8761389e-06,4.9683335e-06,2.162737e-06,1.2304286e-06
plan15,0.0,1,0,1.0e-08,1,0,EventLocationLimited,6.019953359650013,2.39523e-08,344,344,269,0,0.942688,0.342964,0.031324,0.000019,0.002996,0.023411,0.004429,8,0,0,0,0,0,0,0,328,0,0,0,0,0.325937,0.115430,0.010362,1.135735,6.0204103664095419,0,0,4.5695774e-14,8.6700918e-15,2.6733963e-15,5.5616784624582642,-17.137986488932338,-10.351485564267012,-4.9880854846255396,1.2384878952803031,1.9691763e-06,2.5116041e-06,3.2375655e-06,1.6368631e-06,1.0220011e-06
plan15,0.0,1,0,1.0e-08,0,0,EventLocationLimited,6.019953359650013,2.39523e-08,344,613,0,0,1.149042,0.328833,0.022385,0.000018,0.001578,0.018928,0.001723,8,0,0,0,0,0,0,0,582,0,0,0,0,0.541138,0.114175,0.009048,1.130398,6.0204103664095419,0,0,4.5830205e-14,8.6700918e-15,2.6733963e-15,5.5616784624585165,-17.137986488931681,-10.351485564266781,-4.9880854846251133,1.2384878952804541,1.9692068e-06,2.511624e-06,3.2376019e-06,1.6368752e-06,1.022005e-06
plan15,0.0,1,1,1.0e-03,1,0,Converged,6.0267722202986098,0.0059217089,3219,3219,2948,10,12.876437,0.231473,0.029619,0.000020,0.001963,0.024105,0.003189,8,0,0,0,0,0,0,0,120,0,0,31,31,5.781415,2.757457,0.048315,1.083982,6.027232423426514,0,0,4.560453e-14,8.8822046e-15,2.6764245e-15,5.3515593766904308,-16.945458080767875,-10.617977035322902,-4.9307707193286623,1.2299369781837546,2.5420447e-06,3.7076652e-06,4.8528277e-06,2.1445166e-06,1.2635384e-06
plan15,0.0,1,1,1.0e-03,0,0,Converged,6.0267722202986098,0.0059217089,3219,6167,0,10,21.951200,0.218788,0.029317,0.000120,0.002773,0.021774,0.004371,8,0,0,0,0,0,0,0,177,0,0,31,31,11.074511,2.769064,0.049588,1.130366,6.027232423426514,0,0,4.5652931e-14,8.8822046e-15,2.6764245e-15,5.3515593767098828,-16.945458080754754,-10.617977035299459,-4.9307707193202441,1.2299369781865959,2.542014e-06,3.7076515e-06,4.8527869e-06,2.1445097e-06,1.2635385e-06
plan15,0.0,1,1,1.0e-04,1,0,Converged,6.0267740818191173,0.00032163431,3219,3219,2948,10,12.745655,0.220249,0.027199,0.000040,0.001971,0.022038,0.002938,8,0,0,0,0,0,0,0,176,0,0,31,31,5.728853,2.763665,0.048300,1.077884,6.027232423426514,0,0,4.534677e-14,8.8094131e-15,2.6764253e-15,5.3515593766904308,-16.945458080767875,-10.617977035322902,-4.9307707193286623,1.2299369781837546,2.5420447e-06,3.7076652e-06,4.8528277e-06,2.1445166e-06,1.2635384e-06
plan15,0.0,1,1,1.0e-04,0,0,Converged,6.0267740818191173,0.00032163431,3219,6167,0,10,22.067178,0.224917,0.028850,0.000051,0.002240,0.022542,0.003842,8,0,0,0,0,0,0,0,285,0,0,31,31,11.143556,2.763341,0.049267,1.129308,6.027232423426514,0,0,4.5228229e-14,8.8094131e-15,2.6764253e-15,5.3515593767098828,-16.945458080754754,-10.617977035299459,-4.9307707193202441,1.2299369781865959,2.542014e-06,3.7076515e-06,4.8527869e-06,2.1445097e-06,1.2635385e-06
