name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
resonant,0.0,None,1,1.0e-03,0,Converged,Converged,Converged,1,13.807811515694054,0.011128461,0.637214,0.421111,0.021885,0.000027,0.001375,0.018890,0.001482,119,119,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.0,None,1,1.0e-04,0,Converged,Converged,Converged,1,13.807807472466953,0.0012349007,0.668494,0.408816,0.026875,0.000018,0.001432,0.018800,0.006509,143,143,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.0,Strict,0,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,13.730120074185391,0.010819484,20.917937,0.437614,0.023592,0.000019,0.001688,0.019336,0.002443,3536,3536,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
resonant,0.0,Strict,0,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,13.730116144653453,0.00071444952,11.465226,0.487182,0.029295,0.000046,0.002166,0.023708,0.003094,3536,3536,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
resonant,0.0,Strict,1,1.0e-03,0,Converged,Converged,Converged,1,13.807811515694054,0.011128461,13.590497,0.448682,0.027935,0.000051,0.001667,0.023070,0.002880,3488,3488,8,0,0,0,0,0,0,0,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet
resonant,0.0,Strict,1,1.0e-04,0,Converged,Converged,Converged,1,13.807807472466953,0.0012349007,13.457982,0.459923,0.029489,0.000160,0.002005,0.023043,0.003925,3488,3488,8,0,0,0,0,0,0,0,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet
resonant,0.0,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,13.730120074185391,0.010819484,0.896810,0.491415,0.038376,0.000114,0.002701,0.027314,0.007805,151,151,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.0,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,13.730116144653453,0.00071444952,0.883535,0.448970,0.031251,0.000039,0.001407,0.026746,0.002671,207,207,8,0,0,0,0,0,0,0,FiniteUncertified,ToleranceMet,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.0,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,13.807811515694054,0.011128461,0.740018,0.417587,0.024299,0.000016,0.001385,0.021257,0.001533,159,159,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.0,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,13.807807472466953,0.0012349007,0.857186,0.452703,0.021762,0.000021,0.001305,0.018919,0.001404,199,199,8,0,0,0,0,0,0,0,FiniteUncertified,ToleranceMet,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.5,None,0,1.0e-03,0,Converged,Converged,Converged,1,13.877484232546381,0.012850366,0.710327,0.441021,0.023676,0.000016,0.001694,0.019407,0.002453,103,103,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.5,None,0,1.0e-04,0,Converged,Converged,Converged,1,13.877481553095596,0.001385955,0.801236,0.439893,0.022131,0.000016,0.001337,0.019350,0.001328,159,159,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.5,None,1,1.0e-03,0,Converged,Converged,Converged,1,13.960822824509576,0.012731107,0.679935,0.406108,0.021716,0.000026,0.001330,0.018934,0.001329,103,103,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.5,None,1,1.0e-04,0,Converged,Converged,Converged,1,13.960820125801241,0.0011646163,0.780455,0.412216,0.023385,0.000018,0.001251,0.020595,0.001424,159,159,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
resonant,0.5,Strict,0,1.0e-03,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,13.877484232546381,0.012850366,1.776801,0.443747,0.026666,0.000017,0.002376,0.021176,0.002980,351,351,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
resonant,0.5,Strict,0,1.0e-04,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,13.877481553095596,0.001385955,1.678088,0.449899,0.023295,0.000019,0.001513,0.019722,0.001934,351,351,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
resonant,0.5,Strict,1,1.0e-03,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,13.960822824509576,0.012731107,1.170578,0.425466,0.024217,0.000025,0.001375,0.020565,0.002134,231,231,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
resonant,0.5,Strict,1,1.0e-04,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,13.960820125801241,0.0011646163,1.168339,0.419089,0.022555,0.000017,0.001495,0.019242,0.001702,231,231,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
resonant,0.5,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,13.877484232546381,0.012850366,0.898710,0.451179,0.024581,0.000019,0.001661,0.020075,0.002706,143,143,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.5,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,13.877481553095596,0.001385955,1.017321,0.444510,0.022616,0.000018,0.001407,0.019517,0.001575,191,191,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
