case	profile	db	epoch	trajectory_pos	qf_base	qf_candidate	delta
115	uniform	0	0	0	0.0	0.0	0.0
115	linear	4	23	3	0.0	0.0	0.0
115	linear	4	15	2	0.0	0.0	0.0
115	linear	4	7	1	0.0	0.0	0.0
113	linear	4	0	0	0.0	0.0	0.0
114	linear	1	7	1	0.0	0.0	0.0
115	linear	1	7	1	0.0	0.0	0.0
115	linear	1	0	0	0.0	0.0	0.0
115	linear	0	23	3	0.0	0.0	0.0
115	linear	0	15	2	0.0	0.0	0.0
115	linear	0	7	1	0.0	0.0	0.0
116	linear	2	0	0	0.0	0.0	0.0
116	linear	1	23	3	0.0	0.0	0.0
116	linear	1	15	2	0.0	0.0	0.0
114	uniform	4	7	1	0.0	0.0	0.0
114	uniform	4	0	0	0.0	0.0	0.0
114	uniform	3	23	3	0.0	0.0	0.0
114	uniform	3	15	2	0.0	0.0	0.0
114	uniform	3	7	1	0.0	0.0	0.0
114	linear	4	15	2	0.0	0.0	0.0
115	uniform	4	23	3	0.0	0.0	0.0
115	uniform	4	15	2	0.0	0.0	0.0
116	linear	3	7	1	0.0	0.0	0.0
116	linear	3	0	0	0.0	0.0	0.0
116	linear	2	23	3	0.0	0.0	0.0
116	linear	2	15	2	0.0	0.0	0.0
116	linear	2	7	1	0.0	0.0	0.0
114	linear	2	0	0	0.0	0.0	0.0
114	linear	1	23	3	0.0	0.0	0.0
114	linear	1	15	2	0.0	0.0	0.0
114	uniform	0	7	1	0.0	0.0	0.0
114	uniform	0	0	0	0.0	0.0	0.0
114	linear	4	23	3	0.0	0.0	0.0
116	linear	0	0	0	0.0	0.0	0.0
114	uniform	1	15	2	0.0	0.0	0.0
114	uniform	1	7	1	0.0	0.0	0.0
112	uniform	1	0	0	0.0	0.0	0.0
112	uniform	0	23	3	0.0	0.0	0.0
112	uniform	0	15	2	0.0	0.0	0.0
112	uniform	4	7	1	0.0	0.0	0.0
112	uniform	4	0	0	0.0	0.0	0.0
112	uniform	3	23	3	0.0	0.0	0.0
112	uniform	3	15	2	0.0	0.0	0.0
112	uniform	3	7	1	0.0	0.0	0.0
112	linear	4	0	0	0.0	0.0	0.0
112	linear	3	23	3	0.0	0.0	0.0
112	linear	3	15	2	0.0	0.0	0.0
113	linear	3	23	3	0.0	0.0	0.0
112	uniform	2	0	0	0.0	0.0	0.0
112	uniform	1	23	3	0.0	0.0	0.0
112	uniform	1	15	2	0.0	0.0	0.0
112	uniform	1	7	1	0.0	0.0	0.0
113	uniform	3	0	0	0.0	0.0	0.0
113	uniform	2	23	3	0.0	0.0	0.0
113	uniform	2	15	2	0.0	0.0	0.0
112	uniform	0	7	1	0.0	0.0	0.0
112	uniform	0	0	0	0.0	0.0	0.0
