kind name u parameter safety tol level nodes converged mu grad error quality n h stop grad_reason radial inner geometry
fd caustic-cross 0 4 0 0 0 0 1 31.943875684281075 -2.4046831850199628 0 0 128 5.9999999999999993e-06 NA 0 0 0 0
fd caustic-cross 0 4 0 0 0 0 1 31.943875683785198 -2.4046831850199619 0 0 128 2.0000000000000003e-06 NA 0 0 0 0
fd caustic-cross 0 4 0 0 0 0 1 31.943881827284031 -2.4046884304240734 0 0 256 2.0000000000000002e-05 NA 0 0 0 0
fd caustic-cross 0 4 0 0 0 0 1 31.943881821643267 -2.4046884249765794 0 0 256 5.9999999999999993e-06 NA 0 0 0 0
fd caustic-cross 0 4 0 0 0 0 1 31.943881821147365 -2.4046884199435676 0 0 256 2.0000000000000003e-06 NA 0 0 0 0
adaptive caustic-cross 0.5 0 1 0.001 3 75 1 33.288551689016856 84.012237826497085 138.22856390329105 2 0 0 Converged 2 138.22629946146205 0.0022511028589341439 7.7448741796557727e-10
adaptive caustic-cross 0.5 0 1 0.0001 3 139 1 33.288764988539889 80.189554298402527 85.842707394117568 2 0 0 Converged 2 85.78643992383526 0.056254270264060047 3.1631856594266822e-09
adaptive caustic-cross 0.5 0 1 1.0000000000000001e-05 3 267 1 33.288796153740236 78.699790808457621 57.342541512356632 2 0 0 Converged 2 57.179650552639316 0.16287784842578903 1.0782129868764425e-08
adaptive caustic-cross 0.5 0 1 9.9999999999999995e-07 3 777 1 33.28880203585841 77.586614726288701 31.40720090148023 2 0 0 Converged 2 31.213705033441123 0.19348264706418011 7.1873677121836893e-10
adaptive caustic-cross 0.5 0 1 9.9999999999999995e-08 3 777 0 33.28880203585841 77.586614726288701 31.40720090148023 2 0 0 InnerAccuracyLimited 3 31.213705033441123 0.19348264706418011 7.1873677121836893e-10
adaptive caustic-cross 0.5 0 1 1e-08 3 777 0 33.28880203585841 77.586614726288701 31.40720090148023 2 0 0 InnerAccuracyLimited 3 31.213705033441123 0.19348264706418011 7.1873677121836893e-10
adaptive caustic-cross 0.5 0 2 0.001 3 107 1 33.289335638821051 76.78601712856431 107.80859649605031 2 0 0 Converged 2 107.80633347975753 0.0022497302913066395 3.1242608990444505e-09
adaptive caustic-cross 0.5 0 2 0.0001 3 203 1 33.288857868774443 76.719518646024085 67.558723725050697 2 0 0 Converged 2 67.502455915389078 0.05625461595698663 1.0715183959796916e-08
adaptive caustic-cross 0.5 0 2 1.0000000000000001e-05 3 395 1 33.288807454804541 77.000521602228432 45.525857518269362 2 0 0 Converged 2 45.36296615651051 0.16287821878940281 4.5918405227215206e-08
adaptive caustic-cross 0.5 0 2 9.9999999999999995e-07 3 777 1 33.28880203585841 77.586614726288701 31.40720090148023 2 0 0 Converged 2 31.213705033441123 0.19348264706418011 7.1873677121836893e-10
