case_id	profile	d_bin_index	epoch_index	target	warm_nodes	warm_panels	warm_splits	other_ms
2	uniform	1	23	0.0001	113	7	0	0.035434999999999994
2	uniform	2	0	0.001	45	3	0	0.02042400000000001
2	uniform	2	7	0.001	45	3	0	0.018826000000000002
2	uniform	2	15	0.001	45	3	0	0.018927000000000013
2	uniform	2	23	0.001	45	3	0	0.01888299999999999
2	uniform	2	0	0.0001	77	3	0	0.029257
2	uniform	2	7	0.0001	77	3	0	0.02692499999999999
2	uniform	2	15	0.0001	77	3	0	0.027031
2	uniform	2	23	0.0001	77	3	0	0.027021000000000003
2	uniform	3	0	0.001	59	5	0	0.022632999999999973
2	uniform	3	7	0.001	52	4	0	0.018678999999999987
2	uniform	3	15	0.001	52	4	0	0.01835799999999997
2	uniform	3	23	0.001	52	4	0	0.020659999999999998
2	uniform	3	0	0.0001	83	5	0	0.028870000000000035
2	uniform	3	7	0.0001	68	4	0	0.02294199999999995
2	uniform	3	15	0.0001	68	4	0	0.022459000000000034
2	uniform	3	23	0.0001	68	4	0	0.022252999999999953
2	uniform	4	0	0.001	45	3	0	0.020487
2	uniform	4	7	0.001	45	3	0	0.01891399999999998
2	uniform	4	15	0.001	45	3	0	0.018961
2	uniform	4	23	0.001	45	3	0	0.01875599999999998
2	uniform	4	0	0.0001	77	3	0	0.02928300000000001
2	uniform	4	7	0.0001	77	3	0	0.02676500000000004
2	uniform	4	15	0.0001	77	3	0	0.026573
2	uniform	4	23	0.0001	77	3	0	0.026905
3	linear	0	0	0.001	89	7	0	0.029541000000000095
3	linear	0	7	0.001	89	7	0	0.025880999999999876
3	linear	0	15	0.001	89	7	0	0.029683999999999933
3	linear	0	23	0.001	89	7	0	0.02608600000000008
3	linear	0	0	0.0001	97	7	0	0.03146500000000005
3	linear	0	7	0.0001	97	7	0	0.029214000000000018
3	linear	0	15	0.0001	105	7	0	0.029775000000000024
3	linear	0	23	0.0001	97	7	0	0.028202999999999923
3	linear	1	0	0.001	75	5	0	0.022242000000000012
3	linear	1	7	0.001	74	6	0	0.018979999999999997
3	linear	1	15	0.001	74	6	0	0.018872000000000014
3	linear	1	23	0.001	74	6	0	0.01862899999999998
3	linear	1	0	0.0001	91	5	0	0.024910999999999947
3	linear	1	7	0.0001	82	6	0	0.02009100000000001
