target	profile	topology_fraction	physics_fraction	p50_ms	paired_speedup_median	faster_rows
0.0001	uniform	0.5	0.25	0.13254300000000002	0.8764720480056047	1339
0.0001	uniform	0.5	0.5	0.1669815	0.700669299425303	726
0.0001	uniform	0.5	0.75	0.1977235	0.5888253743285361	417
0.0001	uniform	0.5	1.0	0.22920849999999998	0.5071317149713117	256
0.0001	uniform	0.75	0.0	0.129152875	0.9020969327802834	1455
0.0001	uniform	0.75	0.25	0.16322675000000003	0.7115266303183856	759
0.0001	uniform	0.75	0.5	0.19826612500000002	0.5875751126262183	419
0.0001	uniform	0.75	0.75	0.23399099999999995	0.5021829473063493	255
0.0001	uniform	0.75	1.0	0.26417337500000004	0.44140094424315834	159
0.0001	uniform	1.0	0.0	0.16234600000000005	0.7302269018782312	846
0.0001	uniform	1.0	0.25	0.19295174999999998	0.6004177276307675	449
0.0001	uniform	1.0	0.5	0.228775	0.5084996576874409	274
0.0001	uniform	1.0	0.75	0.26456974999999994	0.44282076544866833	165
0.0001	uniform	1.0	1.0	0.30016149999999997	0.3929244301859916	98
0.001	linear	0.0	0.0	0.025130000000000027	11.42547384453529	3579
0.001	linear	0.0	0.25	0.057106250000000004	5.649833077082295	3260
0.001	linear	0.0	0.5	0.08853725000000001	3.810440674468105	2990
0.001	linear	0.0	0.75	0.11923187500000001	2.8750379488024334	2840
0.001	linear	0.0	1.0	0.1500265	2.3095904137852887	2696
0.001	linear	0.25	0.0	0.06190687500000005	4.996765210791737	3163
0.001	linear	0.25	0.25	0.09862562499999998	3.3157023899130813	2875
0.001	linear	0.25	0.5	0.132071625	2.557046971572866	2743
0.001	linear	0.25	0.75	0.16400249999999997	2.088566209338985	2624
0.001	linear	0.25	1.0	0.1951255	1.753441275602781	2438
0.001	linear	0.5	0.0	0.09287950000000002	3.21912644980262	2788
0.001	linear	0.5	0.25	0.131633875	2.4693815936748686	2674
0.001	linear	0.5	0.5	0.16776	1.9720565004218256	2555
0.001	linear	0.5	0.75	0.201855	1.6855203323247467	2387
0.001	linear	0.5	1.0	0.23595775000000002	1.4609358462532098	2214
0.001	linear	0.75	0.0	0.12495949999999996	2.41351750712363	2598
0.001	linear	0.75	0.25	0.161620125	1.949506580633936	2485
0.001	linear	0.75	0.5	0.20315725	1.6482581484669205	2347
0.001	linear	0.75	0.75	0.237598	1.4047928322562706	2182
0.001	linear	0.75	1.0	0.270909	1.2494647551895188	2047
0.001	linear	1.0	0.0	0.158242	1.9244814184238042	2429
0.001	linear	1.0	0.25	0.192507625	1.6085905966279448	2333
0.001	linear	1.0	0.5	0.23517349999999998	1.4062854022871845	2162
0.001	linear	1.0	0.75	0.2724615	1.2317608642505808	2022
0.001	linear	1.0	1.0	0.30682200000000004	1.0948547522596046	1909
0.001	uniform	0.0	0.0	0.023128499999999965	2.5819556613492884	3539
0.001	uniform	0.0	0.25	0.04626099999999998	1.407271603280038	3105
0.001	uniform	0.0	0.5	0.06826924999999999	0.976016019014614	1717
0.001	uniform	0.0	0.75	0.08956125000000001	0.7462374718510966	833
0.001	uniform	0.0	1.0	0.11121800000000001	0.6028045319782288	354
0.001	uniform	0.25	0.0	0.058737125000000015	1.1309270548741548	2208
0.001	uniform	0.25	0.25	0.084378375	0.7996782468568878	1009
0.001	uniform	0.25	0.5	0.106937	0.6240759649786201	460
0.001	uniform	0.25	0.75	0.130717375	0.5119301673874865	211
0.001	uniform	0.25	1.0	0.15431812500000003	0.43696783667495454	104
0.001	uniform	0.5	0.0	0.08991700000000001	0.7496243743031664	868
0.001	uniform	0.5	0.25	0.11606199999999992	0.5853356589471257	382
0.001	uniform	0.5	0.5	0.14249299999999998	0.47983005935583756	173
0.001	uniform	0.5	0.75	0.16594600000000004	0.40984709771729533	85
0.001	uniform	0.5	1.0	0.189192	0.35598015384619985	43
0.001	uniform	0.75	0.0	0.12234187500000002	0.5594269688769611	369
0.001	uniform	0.75	0.25	0.145350125	0.46254068836183215	177
0.001	uniform	0.75	0.5	0.173672875	0.3933282293479413	80
0.001	uniform	0.75	0.75	0.200200875	0.3421364914686732	42
0.001	uniform	0.75	1.0	0.22484074999999998	0.30448249661005145	25
0.001	uniform	1.0	0.0	0.155277	0.4469053820272292	197
0.001	uniform	1.0	0.25	0.17664899999999997	0.3825955658995056	91
0.001	uniform	1.0	0.5	0.20265824999999998	0.33520874588409455	46
0.001	uniform	1.0	0.75	0.230742875	0.296173865954733	26
0.001	uniform	1.0	1.0	0.257403	0.26631293176838766	18
