case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations
0 uniform 0 0 53.465181999999999 6.8139867820913782 1 67 53.179724 0.011344 0.24624499999999994 0.0058180000000000003 0.0012650000000000001 0.0024329999999999998 0.0090489999999999998 0.180171 0.33388200000000001 52.439126000000002 0.088041000000000008 3.3000000000000003e-05 0.058388999999999996 0.00173 0.0037290000000000001 0.19512599999999999 0.034964999999999989 0 0 0 0 0 0 0 0 0 0 0
0 uniform 0 7 53.313823999999997 6.9223389959685582 1 83 52.931843000000001 0.011341 0.33179299999999995 0.0065849999999999997 0.0022330000000000002 0.0032360000000000002 0.012266000000000001 0.052872000000000002 0.25753700000000002 52.433922000000003 0.087479000000000001 3.4e-05 0.01669 0.001812 0.003738 0.262152 0.047782000000000005 0 0 1 15 15 0 0 0 0 0 0
0 uniform 0 15 53.620584999999998 7.0045054110051712 1 91 53.287331000000002 0.011306999999999999 0.28805600000000015 0.0070150000000000004 0.0014599999999999999 0.003261 0.012442999999999999 0.056214 0.29957099999999998 52.676106999999995 0.087798999999999988 2.5000000000000001e-05 0.081915000000000002 0.001624 0.0036819999999999999 0.22576100000000002 0.047265000000000001 0 0 2 14 13 0 0 0 0 0 0
0 uniform 0 23 53.650365999999998 7.0403829421848272 1 91 53.211312 0.011639999999999999 0.38573899999999989 0.0070089999999999996 0.0022690000000000002 0.0042789999999999998 0.012219000000000001 0.050563999999999998 0.25981199999999999 52.667529999999999 0.091037000000000007 2.0000000000000002e-05 0.052496000000000001 0.001789 0.0037260000000000001 0.30882099999999996 0.053998999999999985 0 0 3 13 13 0 0 0 0 0 0
0 uniform 1 0 0.99624599999999996 627.72831737403214 1 105 0.68752500000000005 0.011355000000000001 0.26241300000000001 0.0062189999999999997 0.001516 0.0035040000000000002 0.012845000000000001 0.188497 0.12925600000000001 0 0.003519 0.00098700000000000003 0.25259500000000001 0.001186 0.0036269999999999996 0.16497900000000007 0.079255000000000048 0 0 0 0 0 0.0029069999999999999 1 0 0 14 0
0 uniform 1 7 0.73257700000000003 631.61507920937345 1 105 0.41752899999999998 0.012449 0.26785199999999998 0.0061960000000000001 0.0014439999999999998 0.003166 0.011446 0.051305999999999997 0.15099000000000001 0 0.0033999999999999998 0.00087699999999999996 0.104877 0.001139 0.0035720000000000001 0.17269500000000004 0.077152000000000068 0 0 1 19 19 0.0028960000000000001 1 0 0 14 0
0 uniform 1 15 0.92749999999999999 635.58150147374488 1 128 0.51878500000000005 0.012364 0.35542699999999988 0.0070719999999999984 0.0016029999999999998 0.0078949999999999992 0.010538 0.051237999999999999 0.130492 0 0.0034399999999999999 0.00095399999999999999 0.22556800000000005 0.0011039999999999999 0.0036049999999999993 0.22996100000000014 0.10274099999999996 0 0 2 19 19 0.0028600000000000001 1 0 0 14 0
0 uniform 1 23 0.77094700000000005 638.99054014712431 1 128 0.36530499999999999 0.012449 0.35103899999999988 0.0081200000000000005 0.0015100000000000001 0.0027390000000000001 0.010121 0.055378999999999998 0.13120899999999999 0 0.0034789999999999999 0.00088699999999999998 0.072232999999999992 0.001013 0.0037449999999999996 0.2268109999999999 0.10166299999999999 0 0 3 19 19 0.0029160000000000002 1 0 0 14 0
0 uniform 2 0 37.792372 2.3738776878589789 1 45 37.642437000000001 0.011054 0.11787700000000001 0.0030630000000000002 0.00088999999999999995 0.0031050000000000001 0.011934999999999999 0.176203 0.33914299999999997 36.919396000000006 0.086005999999999999 2.5999999999999998e-05 0.042437999999999997 0.0017669999999999999 0.0037239999999999994 0.088896000000000003 0.020762000000000006 0 0 0 0 0 0 0 0 0 0 0
0 uniform 2 7 51.375531000000002 2.4185459771569833 1 45 51.210881000000001 0.011565000000000001 0.13282100000000002 0.0029139999999999999 0.00073799999999999994 0.004496 0.0126 0.052958999999999999 0.26572499999999999 50.713406000000006 0.084789000000000003 2.0999999999999999e-05 0.010523999999999999 0.001707 0.0038560000000000001 0.10528599999999998 0.019948999999999998 0 0 1 13 12 0 0 0 0 0 0
