case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations
0 uniform 0 7 53.237009 6.9223389959685582 1 83 52.852290000000004 0.011797999999999999 0.332706 0.0060749999999999997 0.0018389999999999999 0.0032369999999999999 0.012277 0.052900999999999997 0.260104 52.347436000000002 0.093827999999999995 3.4999999999999997e-05 0.016666 0.001694 0.0037879999999999997 0.26367399999999996 0.047968000000000004 0 0 1 15 15 0.0066879999999999995 3 0 0
0 uniform 0 15 53.641826999999999 7.0045054110051712 1 91 53.27854 0.011701 0.31137599999999999 0.0071880000000000017 0.001441 0.0032950000000000002 0.012430999999999999 0.051031 0.30544900000000003 52.662013000000002 0.091090000000000004 2.5000000000000001e-05 0.08390199999999999 0.0016540000000000001 0.0037499999999999999 0.24582899999999994 0.048692000000000027 0 0 2 14 13 0.0025460000000000001 3 0 0
0 uniform 0 23 53.721381999999998 7.0403829421848272 1 91 53.291429000000001 0.011507 0.37267 0.0069370000000000005 0.0023079999999999997 0.0045180000000000003 0.012156 0.050949000000000001 0.26246000000000003 52.751349999999995 0.093434000000000003 2.8e-05 0.049996000000000006 0.0017260000000000001 0.0036809999999999998 0.29343800000000009 0.054132999999999994 0 0 3 13 13 0.0053149999999999994 3 0 0
0 uniform 1 0 1.0438190000000001 627.72831737403214 1 105 0.713812 0.012978 0.27437399999999995 0.0069939999999999993 0.001454 0.0033419999999999999 0.012154999999999999 0.18134900000000001 0.13216700000000001 0 0.030096999999999999 0.00095100000000000002 0.25259399999999999 0.0011850000000000001 0.0053469999999999993 0.174372 0.080796000000000062 0 0 0 0 0 0.0028270000000000001 1 1 0
0 uniform 1 7 0.77146599999999999 631.61507920937345 1 105 0.44649100000000003 0.012964 0.27140699999999995 0.0063629999999999997 0.0013889999999999998 0.0029759999999999999 0.011474 0.051674999999999999 0.15226899999999999 0 0.030245000000000001 0.00087500000000000002 0.104879 0.0011379999999999999 0.0035189999999999991 0.17119400000000007 0.082124000000000044 0 0 1 19 19 0.0028440000000000002 1 1 0
0 uniform 1 15 0.95909699999999998 635.58150147374488 1 128 0.54328200000000004 0.012971 0.35458299999999987 0.0073450000000000008 0.0015200000000000001 0.0028540000000000002 0.01089 0.051581000000000002 0.131829 0 0.029537999999999998 0.000834 0.22545100000000004 0.0010510000000000001 0.0037999999999999996 0.22927899999999996 0.102631 0 0 2 19 19 0.0028240000000000001 1 1 0
0 uniform 1 23 0.79291199999999995 638.99054014712431 1 128 0.38586700000000002 0.012664 0.34695899999999985 0.0068409999999999999 0.001467 0.0028140000000000001 0.010500000000000001 0.051445999999999999 0.13250700000000001 0 0.028815 0.00082299999999999995 0.072080000000000005 0.00099700000000000006 0.0036809999999999998 0.22334699999999996 0.10096600000000013 0 0 3 19 19 0.0028800000000000002 1 1 0
0 uniform 2 0 37.722759000000003 2.3738776878589789 1 45 37.558866999999999 0.011246000000000001 0.12964700000000001 0.0032569999999999999 0.000785 0.002934 0.012004000000000001 0.17991799999999999 0.339978 36.833436999999996 0.086116999999999999 3.4999999999999997e-05 0.042442000000000001 0.0015969999999999999 0.003735 0.098453000000000027 0.021351999999999996 0 0 0 0 0 0.002408 3 0 0
0 uniform 2 7 51.429679999999998 2.4185459771569833 1 45 51.215622000000003 0.011459 0.17672399999999996 0.0033010000000000001 0.00073999999999999999 0.0033609999999999998 0.012640999999999999 0.053094000000000002 0.26802700000000002 50.718214000000003 0.087070999999999996 3.6000000000000001e-05 0.010062 0.001549 0.0037939999999999996 0.13846099999999997 0.025423000000000005 0 0 1 13 12 0.0051619999999999999 3 0 0
0 uniform 2 15 51.697932999999999 2.4760800094988884 1 45 51.504088000000003 0.011346999999999999 0.156694 0.003258 0.00071900000000000002 0.003277 0.012426 0.053046999999999997 0.32131199999999999 50.955587000000001 0.085850999999999997 2.8e-05 0.0098150000000000008 0.0015809999999999999 0.0037629999999999999 0.11664699999999995 0.026958999999999997 0 0 2 17 17 0.0031400000000000004 3 0 0
