case	config	profile	d_bin	epoch	rep	lane	pair	attempted	accepted	pair_finite	pair_converged	pair_iters	backtracks	verify_iters	verify_converged	scalar_certificate	driver_step	start_pair_residual	end_pair_residual	pair_step	check_worst_residual
0	0	linear	0	23	0	warm	11,8	1	0	1	0	3	15	0	0	0	+1.597880532381370119031405350204286251e-11	+2.256949183473159056246836502272664244e-36	+5.510129769479472693603452518229276615e-40	+4.161136472216227921661505136410306801e-14	+3.600015329105941097228411625034610468e-19
64	64	linear	0	0	0	cold	6,7	1	0	1	0	4	38	0	0	0	+4.167006845842073549814522767360757863e-16	+1.838726685715580023227217431147016953e-40	+7.174648137343063403129495466444370592e-42	+1.029114798837091645329520800771835425e-20	+5.166702060805517161632942713596771936e-20
64	64	linear	0	7	0	cold	8,13	1	0	1	0	3	8	0	0	0	+4.632871574982491279462744322335211179e-16	+2.755662707223660974156471395565613842e-40	+9.183549615799121156005754197048794358e-41	+2.944838151110278718598833102309774199e-18	+4.564763492784517152609079524280746724e-20
64	64	linear	0	15	0	cold	9,6	1	0	1	0	6	5	0	0	0	+8.418623163346013579605468682800245108e-16	+4.592335293078077773382779752969694457e-40	+9.183549615799121156006179631467258320e-41	+1.647299980621216343480851692885885431e-16	+3.635745120436087759866532539810235424e-20
64	64	linear	0	23	0	cold	6,7	1	0	1	1	3	3	1	0	1	+7.596913394734451010673444687832686706e-15	+1.836709923159824231201150839409758872e-40	+3.041633647528946668625564627096531903e-75	+5.148497592856437400161670061266562895e-38	+1.677226575093018445456541356339945075e-20
64	64	linear	0	0	0	warm	6,7	1	0	1	0	4	38	0	0	0	+4.167006845842073549814522767360757863e-16	+1.838726685715580023227217431147016953e-40	+7.174648137343063403129495466444370592e-42	+1.029114798837091645329520800771835425e-20	+5.166702060805517161632942713596771936e-20
64	64	linear	0	7	0	warm	4,11	1	0	1	0	2	7	0	0	0	+1.883548261569475736870639107520782859e-16	+9.188032676654762216534051325174842773e-41	+5.739718509874450722503596373155496474e-42	+2.074254990911587811904022948743846092e-17	+2.456898662275637798142233675708048892e-20
64	64	linear	0	15	0	warm	5,8	1	0	1	0	4	4	0	0	0	+8.419075212728305386020130627320696671e-16	+4.592581884886744227895943255865861584e-40	+2.869859254937225361251798186577748237e-42	+2.105426209673521285247061881872945590e-17	+4.170963438360851485175142129708154622e-20
64	64	linear	0	23	0	warm	9,8	1	0	1	0	4	18	0	0	0	+3.019981397978405237670090201482211460e-16	+1.836934117231231109353111901187877641e-40	+2.869859254937225361251798186577748237e-42	+9.436290048002048314481754386537508563e-18	+2.729529164074727883563039469792400661e-20
9	9	uniform	2	7	0	warm	10,12	1	1	1	1	2	1	1	1	1	+1.721911114677110982546857976745873372e-18	+3.982729777831130692572200994419279514e-59	+1.197730749677218900494813437378362134e-99	+1.604822442330457226504575016964105843e-47	+1.468446236016979890425644202114703268e-27
