case	config	profile	d_bin	epoch	rep	lane	index	role_hint	matched_final_role	matched_physical_real	role_match_valid	dominant_sweep_count	step_first	step_median	step_last	step_max	step_min	newton_step_last	aberth_to_newton_ratio_median	p_abs_last	nearest_sep_last
149	149	uniform	1	7	0	cold	11	2	2	-1	True	14	2.406242162281853728786141240512738714E-14	3.462219153600177800172428493E-16	3.462218999019503655596910374019800622E-16	2.406242162281853728786141240512738714E-14	8.452682850460117801633859550984937786E-20	3.462218998923209416087451426454780827E-16	0.9999999999930469523414858775	+1.504632813894078200402971427803056912e-36	+1.904157509246389711582257546339657684e-05
149	149	uniform	1	7	0	cold	12	1	1	1	True	0	4.767679979396118213262923120206356512E-28	1.442378764619795466023002529E-30	1.442378764619795466023002529069192422E-30	4.767679979396118213262923120206356512E-28	8.242164369255974091560014398386225879E-32	1.442378764619795466023002558960423827E-30	0.999999999999999999999999993	+1.348150961071065097139184559809449123e-32	+6.945797282382015565848237555006476763e-05
149	149	uniform	1	7	0	cold	13	2	2	-1	True	0	2.927802397605309890974900284166936741E-32	4.959544608649939470113800717E-36	4.959544608649939470113800717054191664E-36	2.927802397605309890974900284166936741E-32	4.959544608649939470113800717054191664E-36	4.959544608649939470113800717054191664E-36	1	+3.655656377514300540539860660125416705e-26	+1.442136602046612980366958938697368911e+00
149	149	uniform	1	15	0	cold	0	1	1	1	True	0	5.743982458436129029924693314723805187E-27	2.717866535228583715898402486E-28	5.623659592397402989328739598293448739E-28	5.743982458436129029924693314723805187E-27	2.556964844983293537215099517803581221E-29	5.623659592397402989328671164914156907E-28	1.000000000000000000000000787	+1.790151194462760372849707835030130809e-19	+4.621903635517900816726479239912451763e-05
149	149	uniform	1	15	0	cold	1	1	1	1	True	0	7.783376378766824919842148057005572122E-26	1.548496188741403809712979498E-28	1.872832125158776251059966658282311289E-28	7.783376378766824919842148057005572122E-26	1.854536251822411651804507711929342813E-29	1.872832125158776251059959070305695918E-28	0.9999999999999999999999993575	+5.960994366302138636193319598532980308e-20	+4.621903635517900816726423003297336040e-05
149	149	uniform	1	15	0	cold	2	2	2	-1	True	0	9.276418795850040237636774088701207783E-33	3.750079358567591301873221484E-34	3.686297434333037511179804994794087408E-34	9.276418795850040237636774088701207783E-33	1.061345961709230379407560107081069672E-34	3.686297434333037511179804994794090376E-34	1.000000000000000000000000000	+2.717261951235046177814747107685211108e-24	+1.442131447026939592646512443586667657e+00
149	149	uniform	1	15	0	cold	3	1	1	1	True	0	3.584065092693887817804841263600249117E-29	2.087106178476360375830127246E-30	2.138512734596467774249588547716908741E-30	3.584065092693887817804841263600249117E-29	1.233757346882577562067070356978495581E-31	2.138512734596467774249588481740096330E-30	0.9999999999999999999999999995	+2.002967142162725287178217060288324411e-32	+6.945811679978146766239661313167486934e-05
149	149	uniform	1	15	0	cold	4	2	1	1	True	0	1.454319701202323391428002045131291215E-14	4.668201717426412796377504572E-140	2.078127133656587405270135651748893563E-311	1.454319701202323391428002045131291215E-14	2.078127133656587405270135651748893563E-311	2.078127133656587405270135651748893563E-311	1	+1.741517171297613146067631450312272614e-331	+2.046588190755960039239082028067634186e-05
149	149	uniform	1	15	0	cold	5	2	2	-1	True	18	2.579997455916473528315962661644888492E-14	2.424808706021065202947994628E-16	2.909768288908083922830908604360141656E-16	2.579997455916473528315962661644888492E-14	9.471901480489145426696065859176584665E-20	2.909768288971335398547057418765125523E-16	0.999999999999998667088652118	+2.256949273156257803296727481805537123e-36	+2.046588190755960039239082028067634186e-05
149	149	uniform	1	15	0	cold	6	2	2	-1	True	0	5.167620441997439427872243490466709628E-19	3.543058217772124074471981038E-21	5.314875653652927446905881491993536751E-21	5.167620441997439427872243490466709628E-19	5.536028465268943752496434020143653846E-23	5.314875653652927282539842251755387067E-21	0.999999999999999989749719830	+4.514143195171173012566598157099808526e-36	+8.486041326988747059337972583488149613e-04
149	149	uniform	1	15	0	cold	7	2	1	1	True	0	2.588048424132752581892311209449083464E-17	1.951286970622152959948996365E-134	1.689853260652858748735059731340643318E-337	2.588048424132752581892311209449083464E-17	1.689853260652858748735059731340643318E-337	1.689853260652858748735059731340643318E-337	1	+1.075774464279833293592772367051372255e-354	+3.373989538444030396105421696125405312e-04
149	149	uniform	1	15	0	cold	8	2	1	1	True	0	2.537017443493254184033359103711165084E-19	1.143667826483243877709277214E-222	1.042482785079852784720844337292609514E-449	2.537017443493254184033359103711165084E-19	1.042482785079852784720844337292609514E-449	1.042482785079852784720844337292609514E-449	1	+5.657141592458837855396572178054968400e-465	+7.518092192569620628535160549835558753e-04
149	149	uniform	1	15	0	cold	9	2	2	-1	True	0	1.393672488571169636905206457881002482E-19	2.657293663329093118133394510E-21	2.657293663329093118078258730104752743E-21	1.393672488571169636905206457881002482E-19	2.657293663329093118078258730103171661E-21	2.657293663329093076872841186106478500E-21	1.000000000000000000000000000	+2.256949153578792015299974151466711701e-36	+8.486041326988747035617780708317937644e-04
149	149	uniform	1	15	0	cold	10	2	1	1	True	1	1.962645734494576077335303361600492896E-15	2.065942878217980880631825547E-17	6.764271388306470937438897882297851658E-134	1.962645734494576077335303361600492896E-15	6.764271388306470937438897882297851658E-134	6.764271388306470937438897882297851658E-134	1	+2.463220183120215072891443502954849355e-153	+4.987447981762859435791604340756873241e-05
149	149	uniform	1	15	0	cold	11	2	2	-1	True	5	2.221123007494835511107204731649297726E-14	0E-36	0E-36	2.221123007494835511107204731649297726E-14	0E-36	0E-36	1.000000000000001332911347839	+0.000000000000000000000000000000000000e+00	+2.046588190770727671766746238611519880e-05
149	149	uniform	1	15	0	cold	12	1	1	1	True	0	6.436553909396693118929194089005072011E-28	1.535063916544124583392756868E-30	2.431376404727606722689198702826992460E-30	6.436553909396693118929194089005072011E-28	1.236293087149630536960609560435130520E-31	2.431376404727606722689198617891607214E-30	1.000000000000000000000000002	+2.272597334376938306606053972250214236e-32	+6.945811679978146766239661099312225909e-05
