case_id	profile	d_bin_index	epoch_index	target	vbm_ms	cold_ms	warm_ms	radial_ms	warm_topology_ms	warm_without_topology_ms	warm_physical_ms
1	linear	3	15	0.001	0.2861559623852372	0.60142	0.461026	0.187017	0.215308	0.245718	0.2080440000000001
1	linear	3	23	0.001	0.28732302598655224	0.685538	0.582115	0.185961	0.336341	0.24577400000000005	0.20588
1	linear	3	0	0.0001	1.1781479697674513	0.676436	0.675996	0.238413	0.436269	0.23972700000000002	0.19177100000000005
1	linear	3	7	0.0001	1.3342640013433993	0.652189	0.541806	0.229279	0.241863	0.299943	0.2561139999999999
1	linear	3	15	0.0001	1.3337369891814888	0.644024	0.516921	0.231098	0.216366	0.30055499999999996	0.2569960000000001
1	linear	3	23	0.0001	1.4603090239688754	0.732448	0.638898	0.234772	0.334771	0.304127	0.2607400000000001
1	linear	4	0	0.001	0.04505401011556387	0.399799	0.402623	0.122871	0.277385	0.12523800000000002	0.09910300000000001
1	linear	4	7	0.001	0.044786022044718266	0.408819	0.260675	0.123009	0.11544	0.145235	0.12211499999999999
1	linear	4	15	0.001	0.04411902045831084	0.413523	0.261565	0.123788	0.116271	0.14529399999999998	0.122052
1	linear	4	23	0.001	0.04351296229287982	0.530891	0.369059	0.124357	0.221757	0.14730200000000002	0.12238499999999995
1	linear	4	0	0.0001	0.07384002674371004	0.425186	0.423968	0.148197	0.275326	0.148642	0.11876300000000001
1	linear	4	7	0.0001	0.07747998461127281	0.433696	0.298612	0.150045	0.113803	0.184809	0.15714499999999995
1	linear	4	15	0.0001	0.07243402069434524	0.431735	0.297424	0.145431	0.114888	0.18253600000000003	0.15175400000000003
1	linear	4	23	0.0001	0.07301103323698044	0.553673	0.40456	0.147795	0.223276	0.18128399999999997	0.15438299999999994
1	uniform	0	0	0.001	0.068001972977072	0.362662	0.361094	0.095033	0.265368	0.09572600000000003	0.06976499999999998
1	uniform	0	7	0.001	0.07202796405181289	0.348362	0.209709	0.092178	0.08973	0.119979	0.09697599999999998
1	uniform	0	15	0.001	0.07343397010117769	0.358672	0.212942	0.094178	0.090802	0.12214	0.09883000000000006
1	uniform	0	23	0.001	0.07928302511572838	0.354375	0.208334	0.09007	0.090091	0.11824299999999999	0.09500900000000001
1	uniform	0	0	0.0001	0.13427605153992772	0.369872	0.369857	0.104365	0.264927	0.10492999999999997	0.07726100000000001
1	uniform	0	7	0.0001	0.14860398368909955	0.358253	0.21879	0.101338	0.089267	0.129523	0.10464900000000003
1	uniform	0	15	0.0001	0.1399570028297603	0.365549	0.220877	0.103217	0.089295	0.13158199999999998	0.10645799999999997
1	uniform	0	23	0.0001	0.1417259918525815	0.381059	0.240606	0.116229	0.088067	0.15253899999999998	0.125195
1	uniform	1	0	0.001	0.08164503378793597	0.599273	0.59841	0.093512	0.503555	0.09485500000000002	0.07147099999999998
1	uniform	1	7	0.001	0.08591997902840376	0.584958	0.447166	0.091644	0.326832	0.120334	0.09899399999999998
1	uniform	1	15	0.001	0.08687697118148208	0.597509	0.480126	0.0929	0.359768	0.12035800000000002	0.09911999999999999
1	uniform	1	23	0.001	0.08956401143223047	0.534709	0.404596	0.091212	0.28532	0.119276	0.09806700000000003
1	uniform	1	0	0.0001	0.1558419899083674	0.649895	0.649694	0.14155	0.506519	0.14317499999999994	0.11287899999999997
1	uniform	1	7	0.0001	0.1645099837332964	0.628913	0.507445	0.139354	0.323219	0.18422600000000006	0.15579199999999999
1	uniform	1	15	0.0001	0.1612809719517827	0.630607	0.512873	0.12405	0.360255	0.15261800000000003	0.127104
1	uniform	1	23	0.0001	0.1661200076341629	0.566301	0.437497	0.124025	0.282631	0.154866	0.12969099999999997
1	uniform	2	0	0.001	0.08065300062298775	0.844404	0.841866	0.13448	0.707918	0.13394799999999996	0.10267700000000003
1	uniform	2	7	0.001	0.0660730293020606	0.978475	0.808955	0.125543	0.652041	0.156914	0.12645499999999998
1	uniform	2	15	0.001	0.06882904563099146	0.97291	0.828433	0.130456	0.670747	0.157686	0.12820300000000004
1	uniform	2	23	0.001	0.07007899694144726	0.852289	0.705127	0.133817	0.548107	0.15701999999999994	0.127252
1	uniform	2	0	0.0001	0.1640000264160335	0.860743	0.861495	0.154615	0.702732	0.158763	0.12481900000000007
1	uniform	2	7	0.0001	0.13450998812913895	1.02899	0.859342	0.176347	0.649613	0.20972900000000005	0.17104999999999998
1	uniform	2	15	0.0001	0.12992200208827853	1.027635	0.886293	0.183764	0.671365	0.214928	0.17695999999999995
1	uniform	2	23	0.0001	0.12880901340395212	0.907874	0.767684	0.186055	0.549841	0.217843	0.1794799999999999
1	uniform	3	0	0.001	0.05950097693130374	0.565656	0.564637	0.128566	0.435116	0.12952099999999994	0.09762799999999999
1	uniform	3	7	0.001	0.058631994761526585	0.540877	0.396694	0.119724	0.244327	0.152367	0.12322700000000003
1	uniform	3	15	0.001	0.059358018916100264	0.537539	0.370298	0.121169	0.215538	0.15476	0.12567500000000004
1	uniform	3	23	0.001	0.058417965192347765	0.621605	0.491064	0.124545	0.336407	0.154657	0.12584199999999998
1	uniform	3	0	0.0001	0.11315901065245271	0.613842	0.612843	0.174993	0.4358	0.177043	0.13365100000000008
1	uniform	3	7	0.0001	0.11491397162899375	0.587402	0.466942	0.164759	0.243397	0.22354500000000002	0.18442200000000009
1	uniform	3	15	0.0001	0.10996701894327998	0.580566	0.444719	0.170703	0.216169	0.22854999999999998	0.1892609999999999
1	uniform	3	23	0.0001	0.11319597251713276	0.665045	0.560778	0.166689	0.337248	0.22353	0.18438800000000008
1	uniform	4	0	0.001	0.042718020267784595	0.348564	0.343917	0.067337	0.275303	0.06861399999999995	0.04778400000000001
1	uniform	4	7	0.001	0.04563899710774422	0.352373	0.197376	0.068071	0.112877	0.08449899999999999	0.06567400000000001
1	uniform	4	15	0.001	0.04356499994173646	0.354676	0.200942	0.067922	0.114181	0.086761	0.06799099999999998
1	uniform	4	23	0.001	0.04370801616460085	0.473385	0.30837	0.06793	0.224362	0.08400799999999997	0.06516699999999999
1	uniform	4	0	0.0001	0.07280003046616912	0.386755	0.385203	0.106862	0.277152	0.10805100000000001	0.078551
1	uniform	4	7	0.0001	0.07397303124889731	0.391914	0.258602	0.107431	0.118859	0.139743	0.11275599999999997
1	uniform	4	15	0.0001	0.07107999408617616	0.39029	0.251848	0.10542	0.115647	0.13620100000000002	0.10950500000000003
1	uniform	4	23	0.0001	0.07036596070975065	0.510151	0.364196	0.107653	0.225303	0.13889300000000002	0.11219499999999996
2	linear	0	0	0.001	1.2511109816841781	0.516272	0.513936	0.174526	0.33825	0.17568599999999995	0.13911600000000002
2	linear	0	7	0.001	1.0990320006385446	0.422335	0.276133	0.175586	0.081104	0.195029	0.16194900000000012
2	linear	0	15	0.001	1.0669719777069986	0.404176	0.271665	0.165488	0.082298	0.189367	0.15585100000000007
2	linear	0	23	0.001	1.2127149966545403	0.398075	0.271991	0.164147	0.08039	0.19160099999999997	0.15481700000000004
2	linear	0	0	0.0001	5.0129040027968585	0.543227	0.546732	0.205708	0.340561	0.206171	0.166375
2	linear	0	7	0.0001	4.8602650058455765	0.456234	0.313442	0.206495	0.081477	0.231965	0.19521199999999994
2	linear	0	15	0.0001	4.976667987648398	0.442656	0.315136	0.208486	0.082439	0.23269700000000004	0.194228
2	linear	0	23	0.0001	4.708617983851582	0.439186	0.312688	0.204055	0.083186	0.22950200000000004	0.19089099999999998
2	linear	1	0	0.001	0.7060329662635922	0.547158	0.546768	0.17833	0.367321	0.17944700000000002	0.14250199999999996
2	linear	1	7	0.001	0.8573619998060167	0.404481	0.264988	0.164449	0.081575	0.183413	0.15217699999999992
