case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit
0 linear 2 15 47.807887000000001 2.465980422485246 1 61 47.553662000000003 0.011965999999999999 0.21632999999999994 0.0073839999999999999 0.00097199999999999988 0.0031540000000000001 0.0099419999999999994 0.0098449999999999996 0.25274400000000002 47.175460999999999 0.084066000000000002 2.5999999999999998e-05 0.0095870000000000018 0.0014909999999999999 0.003954 0.12698300000000001 0.045333000000000019 0.0085310000000000021 0 2 22 21 0 0 0 0 0 0 47.503965000000001 47.546844999999998 0.001382 0.0055570000000000003 0.011771999999999999 3.1000000000000001e-05 0 1 1 8 0.0016090859999255856 1 51 22 29 1 12 13 0 6 105 22 3 36 0.098122000000000015 0 0 6 0 0 122 0 0 20 50 52
0 linear 2 23 49.529881000000003 2.5300557252342948 1 61 49.280875999999999 0.011735000000000001 0.21503700000000012 0.005862 0.00095399999999999999 0.003156 0.01001 0.0097099999999999999 0.25942799999999999 48.888777999999995 0.089709000000000011 3.1999999999999999e-05 0.00958 0.0016429999999999999 0.0038799999999999998 0.12918999999999997 0.042793000000000005 0.0091550000000000017 0 3 17 16 0 0 0 0 0 0 49.229143000000001 49.274130999999997 0.0013489999999999999 0.0055380000000000004 0.01256 2.3e-05 0 1 1 8 0.0026246619501964687 1 50 17 33 1 15 16 0 7 106 17 3 41 0.099412999999999974 0 0 7 0 0 122 0 0 23 44 55
0 linear 3 0 0.62835099999999999 488.05716329463513 1 83 0.46012999999999998 0.018669999999999999 0.12561100000000003 0.0058790000000000005 0.0014009999999999999 0.0031619999999999999 0.0098429999999999993 0.17508699999999999 0.112526 0 0.0039119999999999997 0.0022560000000000002 0.11154400000000002 0.00068199999999999999 0.0041420000000000007 0.054436000000000019 0.034935000000000008 0.010348999999999999 0 0 0 0 0.0030990000000000002 1 0 0 14 0 0.29936000000000001 0.45311600000000002 0.001077 0.001884 0.018994000000000004 2.3e-05 0 0 0 0 0 0 74 56 18 4 4 8 0 4 194 56 5 22 0.039033000000000019 0 0 4 0 0 166 0 0 24 88 54
0 linear 3 7 0.56720300000000001 497.79296944733449 1 83 0.36447200000000002 0.015159000000000001 0.16543100000000002 0.0052400000000000007 0.0011039999999999999 0.0027309999999999999 0.0088240000000000002 0.0155 0.092759999999999995 0 0.0034659999999999999 0.001008 0.20202200000000001 0.00075000000000000002 0.0036999999999999997 0.098453999999999986 0.033399000000000005 0.0092800000000000035 0 1 56 56 0.002872 1 0 0 14 0 0.11896 0.35836099999999999 0.0013240000000000001 0.002686 0.017601000000000002 2.1999999999999999e-05 0 2 1 16 0.0088212496358149681 2 74 56 18 4 4 8 0 4 194 56 5 22 0.083519999999999983 0 0 4 0 0 166 0 0 23 89 54
0 linear 3 15 0.57739499999999999 510.01575430522144 1 83 0.37781300000000001 0.015280999999999999 0.16255200000000006 0.0050450000000000009 0.0010870000000000001 0.0023479999999999998 0.008097 0.0080210000000000004 0.090820999999999999 0 0.0034290000000000002 0.00089599999999999999 0.22829200000000002 0.00064599999999999998 0.0035889999999999997 0.095308999999999991 0.033461999999999978 0.0092919999999999999 0 2 54 54 0.0029429999999999999 1 0 0 14 0 0.108977 0.37210599999999999 0.0011739999999999999 0.0024789999999999999 0.016709000000000002 2.4000000000000001e-05 0 1 1 8 0.0009877516298322979 1 74 54 20 6 4 10 0 6 195 54 5 24 0.080332999999999974 2 0 4 0 0 166 0 0 19 90 57
0 linear 3 23 0.51810699999999998 523.73782250076772 1 99 0.28602300000000003 0.014768999999999999 0.19151399999999991 0.0060920000000000002 0.001152 0.002444 0.0076810000000000003 0.0080280000000000004 0.090111999999999998 0 0.0034320000000000002 0.00094700000000000003 0.13860600000000006 0.00053700000000000004 0.0035110000000000002 0.11359699999999999 0.039035000000000028 0.011166000000000002 0 3 68 68 0.002921 1 0 0 14 0 0.10818800000000001 0.28065899999999999 0.0011800000000000001 0.00233 0.016293999999999999 2.3e-05 0 1 1 8 0.0017264993823830933 1 90 68 22 6 6 12 0 8 239 68 5 26 0.096862000000000018 2 0 6 0 0 198 0 0 32 120 46
0 linear 4 0 0.45027299999999998 2.6196476657518626 1 52 0.30948199999999998 0.011617000000000001 0.11634299999999999 0.0032259999999999997 0.00080900000000000004 0.0029849999999999998 0.0094160000000000008 0.174766 0.073409000000000002 0 0.013938000000000001 0.00092500000000000004 0.00059299999999999999 0.001302 0.0034480000000000001 0.068767000000000009 0.022078 0.0056389999999999999 0 0 0 0 0.0029499999999999999 1 0 0 10 0 0.27025300000000002 0.30326900000000001 0.00077800000000000005 0.0041180000000000001 0.011931000000000001 2.5000000000000001e-05 0 0 0 0 0 0 47 15 32 2 8 10 0 6 66 15 4 33 0.053525000000000003 0 0 6 0 0 104 0 0 23 46 35
0 linear 4 7 0.29782900000000001 2.5174331937790884 1 52 0.14544299999999999 0.010904 0.12943800000000003 0.0029580000000000001 0.00067500000000000004 0.002702 0.0086320000000000008 0.0080199999999999994 0.081225000000000006 0 0.012225 0.00087500000000000002 0.00057899999999999998 0.001214 0.0032560000000000002 0.081779999999999978 0.022695 0.0056500000000000005 0 1 25 24 0.0028739999999999998 1 0 0 10 0 0.109917 0.13989499999999999 0.001175 0.0042300000000000003 0.010721000000000001 2.4000000000000001e-05 0 1 1 8 0.002527145321730481 1 52 25 27 3 6 9 0 6 86 25 4 23 0.075419999999999987 0 0 6 0 0 104 0 0 26 43 35
0 linear 4 15 0.37560399999999999 2.4212389482957701 1 68 0.16195699999999999 0.010411 0.18888900000000006 0.0037200000000000002 0.00075200000000000006 0.0025230000000000001 0.0081770000000000002 0.0079640000000000006 0.100324 0 0.01206 0.00084000000000000003 0.00057599999999999991 0.001044 0.0032119999999999996 0.12582499999999996 0.031223000000000001 0.0073889999999999971 0 2 28 23 0.0029160000000000002 1 0 0 10 0 0.12817300000000001 0.15651100000000001 0.001091 0.0037239999999999999 0.010397000000000002 2.1999999999999999e-05 0 1 1 8 0.0021007554509754668 1 67 28 39 2 9 11 0 8 103 28 4 36 0.11558699999999998 0 0 8 0 0 136 0 0 23 48 65
0 linear 4 23 0.30969400000000002 2.3408509317790727 1 61 0.123238 0.010565 0.15831800000000001 0.0040369999999999998 0.0009149999999999998 0.0024260000000000002 0.0080260000000000001 0.0079950000000000004 0.061434999999999997 0 0.011867000000000001 0.00088800000000000001 0.00059800000000000001 0.001127 0.0032399999999999994 0.10224800000000003 0.028035999999999991 0.0066959999999999971 0 3 25 23 0.0028679999999999999 1 0 0 10 0 0.089385999999999993 0.11784600000000001 0.0011509999999999999 0.0038670000000000002 0.010397999999999999 2.5000000000000001e-05 0 1 1 8 0.059615655559615663 1 53 25 28 3 8 11 0 6 98 25 3 33 0.081249000000000016 0 0 6 0 0 122 0 0 20 53 49
