case_id configuration_id profile target d_bin_index epoch_index method nbin ms mu reference relerr converged point_images estimated_evaluations
7 7 linear 0.0001 0 0 polar 100 130.233519 1749.6178607815395 1749.6141532458228 2.1190590564822361e-06 1 5 126400
7 7 linear 0.0001 0 7 polar 100 126.638374 1708.0200814916611 1707.9211839243565 5.7905229020834844e-05 1 3 126400
7 7 linear 0.0001 0 15 polar 100 122.96713200000001 1631.7872846089097 1631.7673163910065 1.2237172360660827e-05 1 3 126400
7 7 linear 0.0001 0 23 polar 100 115.760238 1519.6048223740513 1519.6008663713758 2.6033169387228634e-06 1 3 126400
8 8 uniform 0.001 0 0 cartesian 25 0.21706300000000001 10.263389650013588 10.265378173571646 0.00019371167086445974 1 5 10000
8 8 uniform 0.001 0 7 cartesian 13 0.101606 10.45229255206495 10.445006380352769 0.00069757465403625361 1 5 2704
8 8 uniform 0.001 0 15 cartesian 25 0.224165 10.527188799734432 10.526417728563162 7.3251051891830602e-05 1 5 10000
8 8 uniform 0.001 0 23 cartesian 25 0.227878 10.474075098228472 10.473315572646683 7.2520070317744632e-05 1 5 10000
8 8 uniform 0.0001 0 0 polar 100 2.8928069999999999 10.265685448961028 10.265378173571646 2.9933177734541229e-05 1 5 126400
8 8 uniform 0.0001 0 7 cartesian 75 1.134066 10.444912083088017 10.445006380352769 9.0279757922944228e-06 1 5 90000
8 8 uniform 0.0001 0 15 cartesian 38 0.38636900000000002 10.527120680974591 10.526417728563162 6.6779832375540935e-05 1 5 23104
8 8 uniform 0.0001 0 23 polar 100 2.9004789999999998 10.474234313609664 10.473315572646683 8.7722073932324711e-05 1 5 126400
8 8 linear 0.001 0 0 cartesian 13 0.110473 10.619294443002776 10.610698557921399 0.00081011490755804392 1 5 2704
8 8 linear 0.001 0 7 cartesian 13 0.109151 10.852912194033788 10.847296729372221 0.00051768332716124515 1 5 2704
8 8 linear 0.001 0 15 cartesian 13 0.107352 10.948814384809905 10.940321316182033 0.0007763088836623607 1 5 2704
8 8 linear 0.001 0 23 cartesian 13 0.107309 10.832490948530271 10.84010678556413 0.0007025610710773327 1 5 2704
8 8 linear 0.0001 0 0 polar 100 3.3806129999999999 10.610856420295576 10.610698557921399 1.4877660817090165e-05 1 5 126400
8 8 linear 0.0001 0 7 cartesian 75 1.465943 10.847285074448219 10.847296729372221 1.0744542435483941e-06 1 5 90000
8 8 linear 0.0001 0 15 cartesian 38 0.48111700000000002 10.940964594912092 10.940321316182033 5.8798888210729537e-05 1 5 23104
8 8 linear 0.0001 0 23 polar 100 3.4338669999999998 10.840716772637098 10.84010678556413 5.6271315867518526e-05 1 5 126400
9 9 uniform 0.001 0 0 polar 27 70.070575000000005 11890.397369682581 11891.069225240022 5.6500853263442376e-05 1 3 9288
9 9 uniform 0.001 0 7 polar 27 66.184146999999996 11470.567105036434 11471.191746674644 5.4453072706261491e-05 1 3 9288
9 9 uniform 0.001 0 15 polar 27 63.955204000000002 10963.45705070787 10964.140774203048 6.2359970494616925e-05 1 3 9288
9 9 uniform 0.001 0 23 polar 27 60.463771999999999 10435.344866599331 10436.029431402279 6.5596289033889718e-05 1 3 9288
9 9 uniform 0.0001 0 0 polar 100 623.987077 11891.054330700852 11891.069225240022 1.2525819914145994e-06 1 3 126400
9 9 uniform 0.0001 0 7 polar 100 608.27054999999996 11471.190884490241 11471.191746674644 7.5160839578784606e-08 1 3 126400
9 9 uniform 0.0001 0 15 polar 100 574.67214799999999 10964.125731908647 10964.140774203048 1.3719537819226756e-06 1 3 126400
9 9 uniform 0.0001 0 23 polar 100 547.24723700000004 10436.026576919108 10436.029431402279 2.7352195487181816e-07 1 3 126400
9 9 linear 0.001 0 0 polar 27 76.679385999999994 12355.999365068015 12357.078591858435 8.7336726265616703e-05 1 3 9288
9 9 linear 0.001 0 7 polar 27 73.941422000000003 11900.386558638005 11900.736181149905 2.9378225563348495e-05 1 3 9288
9 9 linear 0.001 0 15 polar 27 70.410004999999998 11346.406027638031 11346.750582317942 3.0365934054038408e-05 1 3 9288
9 9 linear 0.001 0 23 polar 27 66.439811000000006 10768.388054888137 10768.730810894915 3.1828821130043545e-05 1 3 9288
9 9 linear 0.0001 0 0 polar 100 734.83653700000002 12356.446324249324 12357.078591858435 5.1166430998332412e-05 1 3 126400
9 9 linear 0.0001 0 7 polar 100 707.94309099999998 11900.734681206635 11900.736181149905 1.2603785571180865e-07 1 3 126400
9 9 linear 0.0001 0 15 polar 100 686.77408800000001 11346.786626346808 11346.750582317942 3.1765947972905517e-06 1 3 126400
9 9 linear 0.0001 0 23 polar 100 644.23894800000005 10768.816325807291 10768.730810894915 7.9410390953216429e-06 1 3 126400
10 10 uniform 0.001 0 0 cartesian 13 0.538794 41.823483966754303 41.824875436801825 3.3268958556138206e-05 1 5 2704
10 10 uniform 0.001 0 7 cartesian 13 0.57693099999999997 42.056774822579087 42.058531627939473 4.1770487280151445e-05 1 5 2704
10 10 uniform 0.001 0 15 cartesian 13 0.53130100000000002 42.318533816000553 42.319667067061374 2.6778354825559024e-05 1 5 2704
10 10 uniform 0.001 0 23 cartesian 13 0.53104899999999999 42.572695046915101 42.57420502313397 3.5466926934965276e-05 1 5 2704
10 10 uniform 0.0001 0 0 cartesian 38 1.9885759999999999 41.824991295931554 41.824875436801825 2.7701010109020037e-06 1 5 23104
10 10 uniform 0.0001 0 7 cartesian 38 2.010437 42.05878668582006 42.058531627939473 6.0643553332524628e-06 1 5 23104
10 10 uniform 0.0001 0 15 cartesian 38 2.0348160000000002 42.319929779233973 42.319667067061374 6.2078033880327599e-06 1 5 23104
10 10 uniform 0.0001 0 23 cartesian 38 1.957724 42.574376993262355 42.57420502313397 4.0393033361682833e-06 1 5 23104
10 10 linear 0.001 0 0 cartesian 13 0.56467100000000003 43.927720306289949 43.931896542972467 9.5061606967802466e-05 1 5 2704
10 10 linear 0.001 0 7 cartesian 13 0.57827300000000004 44.171356626154498 44.168978018050545 5.3852459592366333e-05 1 5 2704
10 10 linear 0.001 0 15 cartesian 13 0.57901499999999995 44.435674700442995 44.430846422790516 0.00010866949520912086 1 5 2704
