case_id configuration_id profile target d_bin_index epoch_index method nbin ms mu reference relerr converged point_images estimated_evaluations nested_error boundary_backstop
5 5 uniform 0.0001 0 0 cartesian 149 1.2202360000000001 1.2705431986242197 1.2705432920063231 7.3497773724669269e-08 1 3 126 0.0002877076357883368 1
5 5 uniform 0.0001 0 7 cartesian 149 1.271161 1.273576361648052 1.2735764097459048 3.7765973398702859e-08 1 3 134 0.0003308614589239145 1
5 5 uniform 0.0001 0 15 cartesian 149 1.2916719999999999 1.2752603567298648 1.2752603728123326 1.2611124868931663e-08 1 3 118 0.00021229931571453697 1
5 5 uniform 0.0001 0 23 cartesian 149 1.2932619999999999 1.2752277829367185 1.2752277558838852 2.1214118954060082e-08 1 3 141 0.00019680078095207776 1
5 5 linear 0.001 0 0 cartesian 13 0.63506399999999996 1.3033891295201416 1.3033867561632548 1.820915300523874e-06 1 3 102 0.00052434542479473656 1
5 5 linear 0.001 0 7 cartesian 13 0.1135 1.3099006175749199 1.3101297305520578 0.00017487808405153822 1 3 2704 0.00013551742355244478 0
5 5 linear 0.001 0 15 cartesian 13 0.81274999999999997 1.3134545904247119 1.313461481341154 5.246378778530928e-06 1 3 110 0.0037937731042947398 1
5 5 linear 0.001 0 23 cartesian 13 0.75439900000000004 1.3122977457888882 1.3122972003232878 4.1565706330178602e-07 1 3 117 0.0018317040525535067 1
5 5 linear 0.0001 0 0 cartesian 149 1.6277109999999999 1.3033890834367181 1.3033867561632548 1.7855586243080658e-06 1 3 134 0.00019423160016196483 1
5 5 linear 0.0001 0 7 cartesian 149 1.718515 1.3101295007462406 1.3101297305520578 1.7540691727350611e-07 1 3 134 0.0002130313051802446 1
5 5 linear 0.0001 0 15 cartesian 149 1.770397 1.3134545424510657 1.313461481341154 5.2829033716371724e-06 1 3 142 0.00015371485095605486 1
5 5 linear 0.0001 0 23 cartesian 38 0.94969499999999996 1.3122980121767474 1.3122972003232878 6.186506070196919e-07 1 3 141 0.0013992412023613454 1
6 6 uniform 0.001 0 0 cartesian 25 0.72868599999999994 1.0308934355873192 1.0308933909120461 4.3336462751989319e-08 1 3 110 0.0016763102542081132 1
6 6 uniform 0.001 0 7 cartesian 25 0.71858500000000003 1.0321183008370014 1.0321183358257426 3.3899931842260876e-08 1 3 118 0.0017145375938374396 1
6 6 uniform 0.001 0 15 cartesian 50 0.80704699999999996 1.0335993793056333 1.0336063680747971 6.7615384150995726e-06 1 3 111 0.00099156938392885863 1
6 6 uniform 0.001 0 23 cartesian 50 0.87420699999999996 1.035197271079501 1.0351974364244203 1.5972307648176965e-07 1 3 102 0.0013578312096367284 1
6 6 uniform 0.0001 0 0 cartesian 149 1.201803 1.030893363438389 1.0308933909120461 2.6650337822777893e-08 1 3 118 0.00021410410387456835 1
6 6 uniform 0.0001 0 7 cartesian 149 1.2158530000000001 1.0321183017325972 1.0321183358257426 3.3032205934638928e-08 1 3 150 6.331347044286062e-05 1
6 6 uniform 0.0001 0 15 cartesian 149 1.3085359999999999 1.0336064663760594 1.0336063680747971 9.5105124424111028e-08 1 3 175 0.00015863519512882007 1
6 6 uniform 0.0001 0 23 cartesian 75 1.081342 1.0351974206709229 1.0351974364244203 1.5217867472583863e-08 1 3 134 3.0981846615318887e-05 1
6 6 linear 0.001 0 0 cartesian 25 0.855931 1.031742179408051 1.0317423564416084 1.7158698221886823e-07 1 3 102 0.0019155694506627352 1
6 6 linear 0.001 0 7 cartesian 25 0.85295399999999999 1.0331334833599013 1.033134736398494 1.2128510914573916e-06 1 3 102 0.0020047068195434559 1
