row	case	u	parameter	event_index	input_R	input_R_lo	R	R_lo	t	P	Pt	PR	Ptt	Pp	Ptr	Ptp	R_p	t_p	uncertainty	tier	ordinary	valid
99	rand035	0	X	10	3.0353038119173275	-2.0375368363587338e-16	3.0353038119173275	-2.0375349836924129e-16	6.8047425627311617e-11	4.9257367310564698e-40	-1.0494544669808632e-30	2.9742578275561352e-08	-5245.1855586675474	-7.7709953744800377e-17	-5.0693749536005214e-07	2.5657087475252929e-07	2.6127510878454164e-09	4.89154998537755e-11	1.8698813613623604e-22	2	1	1
99	rand035	0	X	11	3.0353038123352656	-1.2717700756298926e-16	3.0353038123352656	-1.2717696606307342e-16	6.8047425586424312e-11	2.769717695898477e-40	3.3133967011048863e-30	-2.974257829365753e-08	-5245.1855625810795	8.6645372508575283e-17	-5.1934601147403414e-07	2.5657086763964296e-07	2.9131762436026609e-09	4.8915498425272432e-11	3.8872013451439701e-23	2	1	1
99	rand035	0	Y	1	0.88716938242769516	-5.4025464860657665e-17	0.88716938242769516	-5.4025464860658022e-17	0.63306737158431614	-9.2444637330587321e-33	-2.1570415377137042e-32	4.064764940973812	-1.9156316604810091	-1.618150261054784	11.019001184876277	-7.8713456109326243	0.39809196461606888	-1.8191230877147966	3.6234145584350017e-31	2	1	1
99	rand035	0	Y	3	0.95630209345982764	-3.4151192332103688e-17	0.95630209345982764	-3.4151192332103632e-17	0.63306737468883967	-6.6251990086920913e-32	-1.8488927466117464e-31	-4.3251710630037303	-0.82339842729026169	1.8674405778620498	-12.057992295422935	3.708308909253998	0.43176109121685369	-1.8191229816063286	7.2663197819541283e-32	2	1	1
99	rand035	0	Y	7	1.04569464696713	-6.742259327122578e-17	1.04569464696713	-6.7422593271225743e-17	-1.5796106891439989	2.3727456914850746e-31	-4.3872684133141233e-31	50.160794733790176	-1.6771839670116466	23.681962882297658	-103.32606320554751	-56.39517421064722	-0.4721209663439524	-4.5390210920582694	2.7111496162043789e-32	2	1	1
99	rand035	0	Y	8	1.1271804457293775	-6.5448403115757632e-17	1.1271804457293775	-6.5448403115757188e-17	-1.5796106666059071	2.588449845256445e-31	-4.1908235589866252e-31	-56.026967261371937	-5.3884067122845591	-28.337885017027414	116.06925732394544	34.248590820985179	-0.50579009363166272	-4.5390207188501321	4.8141062748670198e-31	2	1	1
99	rand035	0	Y	10	3.0353038119173275	-2.0375368363587338e-16	3.0353038119173275	-2.0375349836924129e-16	6.8047425627311617e-11	4.9257367310564698e-40	-1.0494544669808632e-30	2.9742578275561352e-08	-5245.1855586675474	-8.592394674150469e-18	-5.0693749536005214e-07	-2.3837631860851747e-06	2.8889205887072005e-10	-4.5446689341476425e-10	1.8698813613623604e-22	2	1	1
99	rand035	0	Y	11	3.0353038123352656	-1.2717700756298926e-16	3.0353038123352656	-1.2717696606307342e-16	6.8047425586424312e-11	2.769717695898477e-40	3.3133967011048863e-30	-2.974257829365753e-08	-5245.1855625810795	9.0715371441238307e-18	-5.1934601147403414e-07	-2.383763216909651e-06	3.0500170679750031e-10	-4.5446689895467441e-10	3.8872013451439701e-23	2	1	1
100	rand035	0.5	X	1	0.88716938242769516	-5.4025464860657665e-17	0.88716938242769516	-5.4025464860658022e-17	0.63306737158431614	-9.2444637330587321e-33	-2.1570415377137042e-32	4.064764940973812	-1.9156316604810091	-0.76582468066568943	11.019001184876277	5.2871068231539269	0.18840564996661718	3.8437185265170459	3.6234145584350017e-31	2	1	1
100	rand035	0.5	X	3	0.95630209345982764	-3.4151192332103688e-17	0.95630209345982764	-3.4151192332103632e-17	0.63306737468883967	-6.6251990086920913e-32	-1.8488927466117464e-31	-4.3251710630037303	-0.82339842729026169	0.88380672568671637	-12.057992295422935	5.6288453836907379	0.20434029378549787	3.8437184122347872	7.2663197819541283e-32	2	1	1
100	rand035	0.5	X	7	1.04569464696713	-6.742259327122578e-17	1.04569464696713	-6.7422593271225743e-17	-1.5796106891439989	2.3727456914850746e-31	-4.3872684133141233e-31	50.160794733790176	-1.6771839670116466	11.208001208525761	-103.32606320554751	-7.0019069665065663	-0.22344145996904699	9.5907305133947176	2.7111496162043789e-32	2	1	1
100	rand035	0.5	X	8	1.1271804457293775	-6.5448403115757632e-17	1.1271804457293775	-6.5448403115757188e-17	-1.5796106666059071	2.588449845256445e-31	-4.1908235589866252e-31	-56.026967261371937	-5.3884067122845591	-13.411517026928509	116.06925732394544	79.462962880887048	-0.23937610194680561	9.5907304823524875	4.8141062748670198e-31	2	1	1
100	rand035	0.5	X	10	3.0353038119173275	-2.0375368363587338e-16	3.0353038119173275	-2.0375349836924129e-16	6.8047425627311617e-11	4.9257367310564698e-40	-1.0494544669808632e-30	2.9742578275561352e-08	-5245.1855586675474	-7.7709953744800377e-17	-5.0693749536005214e-07	2.5657087475252929e-07	2.6127510878454164e-09	4.89154998537755e-11	1.8698813613623604e-22	2	1	1
100	rand035	0.5	X	11	3.0353038123352656	-1.2717700756298926e-16	3.0353038123352656	-1.2717696606307342e-16	6.8047425586424312e-11	2.769717695898477e-40	3.3133967011048863e-30	-2.974257829365753e-08	-5245.1855625810795	8.6645372508575283e-17	-5.1934601147403414e-07	2.5657086763964296e-07	2.9131762436026609e-09	4.8915498425272432e-11	3.8872013451439701e-23	2	1	1
100	rand035	0.5	Y	1	0.88716938242769516	-5.4025464860657665e-17	0.88716938242769516	-5.4025464860658022e-17	0.63306737158431614	-9.2444637330587321e-33	-2.1570415377137042e-32	4.064764940973812	-1.9156316604810091	-1.618150261054784	11.019001184876277	-7.8713456109326243	0.39809196461606888	-1.8191230877147966	3.6234145584350017e-31	2	1	1
100	rand035	0.5	Y	3	0.95630209345982764	-3.4151192332103688e-17	0.95630209345982764	-3.4151192332103632e-17	0.63306737468883967	-6.6251990086920913e-32	-1.8488927466117464e-31	-4.3251710630037303	-0.82339842729026169	1.8674405778620498	-12.057992295422935	3.708308909253998	0.43176109121685369	-1.8191229816063286	7.2663197819541283e-32	2	1	1
100	rand035	0.5	Y	7	1.04569464696713	-6.742259327122578e-17	1.04569464696713	-6.7422593271225743e-17	-1.5796106891439989	2.3727456914850746e-31	-4.3872684133141233e-31	50.160794733790176	-1.6771839670116466	23.681962882297658	-103.32606320554751	-56.39517421064722	-0.4721209663439524	-4.5390210920582694	2.7111496162043789e-32	2	1	1
100	rand035	0.5	Y	8	1.1271804457293775	-6.5448403115757632e-17	1.1271804457293775	-6.5448403115757188e-17	-1.5796106666059071	2.588449845256445e-31	-4.1908235589866252e-31	-56.026967261371937	-5.3884067122845591	-28.337885017027414	116.06925732394544	34.248590820985179	-0.50579009363166272	-4.5390207188501321	4.8141062748670198e-31	2	1	1
100	rand035	0.5	Y	10	3.0353038119173275	-2.0375368363587338e-16	3.0353038119173275	-2.0375349836924129e-16	6.8047425627311617e-11	4.9257367310564698e-40	-1.0494544669808632e-30	2.9742578275561352e-08	-5245.1855586675474	-8.592394674150469e-18	-5.0693749536005214e-07	-2.3837631860851747e-06	2.8889205887072005e-10	-4.5446689341476425e-10	1.8698813613623604e-22	2	1	1
100	rand035	0.5	Y	11	3.0353038123352656	-1.2717700756298926e-16	3.0353038123352656	-1.2717696606307342e-16	6.8047425586424312e-11	2.769717695898477e-40	3.3133967011048863e-30	-2.974257829365753e-08	-5245.1855625810795	9.0715371441238307e-18	-5.1934601147403414e-07	-2.383763216909651e-06	3.0500170679750031e-10	-4.5446689895467441e-10	3.8872013451439701e-23	2	1	1
