row	case	u	parameter	cell	R	step	analytic_Fp	fd_Fp	relative_difference	base_ok	plus_ok	minus_ok
100	rand035	0.5	X	2	0.88718545951890337	9.9999999999999995e-08	-4328.8569906394814	-4328.8576934941148	1.6236492005781994e-07	1	1	1
100	rand035	0.5	X	3	0.93903499279300273	9.9999999999999995e-07	333.05188393876085	333.05188390642115	9.7101083880223444e-11	1	1	1
100	rand035	0.5	X	3	0.93903499279300273	9.9999999999999995e-08	333.05188393876085	333.05188438248479	1.3322967226658289e-09	1	1	1
100	rand035	0.5	X	8	1.0864375463482536	9.9999999999999995e-07	70.571066140391594	70.571066160596274	2.8630261230985717e-10	1	1	1
100	rand035	0.5	X	8	1.0864375463482536	9.9999999999999995e-08	70.571066140391594	70.571066181912556	5.8835674327271743e-10	1	1	1
100	rand035	0.5	X	11	3.0353038121262963	9.9999999999999995e-07	2.2006016326743268e-08	2.2006016329836083e-08	3.0928150754459696e-18	1	1	1
100	rand035	0.5	X	11	3.0353038121262963	9.9999999999999995e-08	2.2006016326743268e-08	2.2006016356305862e-08	2.9562594677142855e-17	1	1	1
100	rand035	0.5	Y	2	0.88718545951890337	9.9999999999999995e-07	-9146.6640424101242	-9147.3330989828028	7.3142255282354174e-05	1	1	1
100	rand035	0.5	Y	2	0.88718545951890337	9.9999999999999995e-08	-9146.6640424101242	-9146.6707277060304	7.3089937368780549e-07	1	1	1
100	rand035	0.5	Y	3	0.93903499279300273	9.9999999999999995e-07	703.72240814491374	703.72240814009501	6.84748737271433e-12	1	1	1
100	rand035	0.5	Y	3	0.93903499279300273	9.9999999999999995e-08	703.72240814491374	703.72240816851672	3.3540184102086325e-11	1	1	1
100	rand035	0.5	Y	8	1.0864375463482536	9.9999999999999995e-07	149.11325511150662	149.11325515143403	2.6776569409058068e-10	1	1	1
100	rand035	0.5	Y	8	1.0864375463482536	9.9999999999999995e-08	149.11325511150662	149.1132560005326	5.962085513670722e-09	1	1	1
100	rand035	0.5	Y	11	3.0353038121262963	9.9999999999999995e-07	1.3926276446548189e-09	1.3926276639013948e-09	1.9246575863039362e-17	1	1	1
100	rand035	0.5	Y	11	3.0353038121262963	9.9999999999999995e-08	1.3926276446548189e-09	1.3926276639013948e-09	1.9246575863039362e-17	1	1	1
