type	row	name	axis	h_index	offset	resolution	nr	subdivisions	angular	mu0	mu_half	fail	segment	node	kind	sturm_roots	fail_R	radial_nodes	arc_nodes	full_nodes	empty_nodes	min_phi
REF	99	rand035	X	2	-2	2	80	1	384	6.3067896089193649	6.2921597043416542	0	-1	-1	-1	-1	nan	320	318	0	2	3.1353927883599392e-16
REF	99	rand035	X	2	-2	3	80	4	384	6.3067882086928106	6.2921588642057218	0	-1	-1	-1	-1	nan	1280	1276	0	4	1.9596479206548747e-17
REF	99	rand035	X	2	-2	4	112	8	768	6.3067881637257353	6.2921588372254771	0	-1	-1	-1	-1	nan	3584	3576	0	8	3.0626483858522022e-19
REF	99	rand035	X	2	-2	5	128	16	1024	6.3067881635195056	6.2921588371017405	0	-1	-1	-1	-1	nan	8192	8178	0	14	3.04969659027262e-20
TOPO	99	rand035	X	2	-1	1.8827313699269453e-05	0	11	12	3.3562085565026454
REF	99	rand035	X	2	-1	0	48	1	96	6.3071128898279634	6.2924797000975472	0	-1	-1	-1	-1	nan	192	192	0	0	2.1502485301413182e-13
REF	99	rand035	X	2	-1	1	48	1	384	6.3071128898279634	6.2924797000975472	0	-1	-1	-1	-1	nan	192	192	0	0	1.3440177758602117e-14
REF	99	rand035	X	2	-1	2	80	1	384	6.3071092812103444	6.292477534926979	0	-1	-1	-1	-1	nan	320	320	0	0	1.7713505692640371e-15
REF	99	rand035	X	2	-1	3	80	4	384	6.3071090834076813	6.2924774162453794	0	-1	-1	-1	-1	nan	1280	1280	0	0	1.1064839756396839e-16
REF	99	rand035	X	2	-1	4	112	8	768	6.3071090830451251	6.2924774160278458	0	-1	-1	-1	-1	nan	3584	3584	0	0	1.8134036965840133e-18
REF	99	rand035	X	2	-1	5	128	16	1024	6.3071090830451242	6.2924774160278476	0	-1	-1	-1	-1	nan	8192	8192	0	0	1.5362840212848647e-19
TOPO	99	rand035	X	2	1	1.8827313699269453e-05	0	11	12	3.3562070525871066
REF	99	rand035	X	2	1	0	48	1	96	6.3077517948620487	6.2931150551506532	0	-1	-1	-1	-1	nan	192	192	0	0	5.6894971668764633e-13
REF	99	rand035	X	2	1	1	48	1	384	6.3077517948620487	6.2931150551506532	0	-1	-1	-1	-1	nan	192	192	0	0	3.5562332543418546e-14
REF	99	rand035	X	2	1	2	80	1	384	6.3077508310425667	6.2931144768589675	0	-1	-1	-1	-1	nan	320	319	0	1	4.6871029516190544e-15
REF	99	rand035	X	2	1	3	80	4	384	6.3077508161507341	6.293114467923866	0	-1	-1	-1	-1	nan	1280	1278	0	2	2.9291873002371091e-16
REF	99	rand035	X	2	1	4	112	8	768	6.3077508161495981	6.2931144679231847	0	-1	-1	-1	-1	nan	3584	3580	0	4	4.7858613047902049e-18
REF	99	rand035	X	2	1	5	128	16	1024	6.3077508161496025	6.2931144679231892	0	-1	-1	-1	-1	nan	8192	8185	0	7	3.9213970507981708e-19
TOPO	99	rand035	X	2	2	1.8827313699269453e-05	0	11	12	3.3562063008804008
REF	99	rand035	X	2	2	0	48	1	96	6.3080721892858254	6.2934332766055912	0	-1	-1	-1	-1	nan	192	192	0	0	7.45907512616089e-13
REF	99	rand035	X	2	2	1	48	1	384	6.3080721892858254	6.2934332766055912	0	-1	-1	-1	-1	nan	192	192	0	0	4.6623120167314136e-14
REF	99	rand035	X	2	2	2	80	1	384	6.3080716349852857	6.2934329440252679	0	-1	-1	-1	-1	nan	320	318	0	2	6.1448742439477014e-15
REF	99	rand035	X	2	2	3	80	4	384	6.3080716296736297	6.2934329408382741	0	-1	-1	-1	-1	nan	1280	1276	0	4	3.8407935511878159e-16
REF	99	rand035	X	2	2	4	112	8	768	6.3080716296735062	6.2934329408381995	0	-1	-1	-1	-1	nan	3584	3576	0	8	6.2927430392799023e-18
REF	99	rand035	X	2	2	5	128	16	1024	6.3080716296735106	6.2934329408382048	0	-1	-1	-1	-1	nan	8192	8178	0	14	5.151458890374993e-19
TOPO	99	rand035	Y	0	-2	7.5309254797077812e-05	0	11	12	3.3562205168964132
REF	99	rand035	Y	0	-2	0	48	1	96	6.3020111220746768	6.2874164078626213	0	-1	-1	-1	-1	nan	192	192	0	0	7.8070034039444854e-13
REF	99	rand035	Y	0	-2	1	48	1	384	6.3020111220746768	6.2874164078626213	0	-1	-1	-1	-1	nan	192	192	0	0	4.8797853848145171e-14
REF	99	rand035	Y	0	-2	2	80	1	384	6.3020106225127943	6.2874161081254911	0	-1	-1	-1	-1	nan	320	320	0	0	6.4315304986792533e-15
REF	99	rand035	Y	0	-2	3	80	4	384	6.3020106181245437	6.2874161054925395	0	-1	-1	-1	-1	nan	1280	1280	0	0	4.0194034303296519e-16
REF	99	rand035	Y	0	-2	4	112	8	768	6.3020106181244628	6.2874161054924924	0	-1	-1	-1	-1	nan	3584	3584	0	0	6.5773441729450683e-18
TOPO	99	rand035	Y	0	-1	7.5309254797077812e-05	0	11	12	3.3562141602708482
REF	99	rand035	Y	0	-1	0	48	1	96	6.3047201030715039	6.2901054909193643	0	-1	-1	-1	-1	nan	192	192	0	0	5.8633985161081259e-13
REF	99	rand035	Y	0	-1	1	48	1	384	6.3047201030715039	6.2901054909193652	0	-1	-1	-1	-1	nan	192	192	0	0	3.6649306915623165e-14
REF	99	rand035	Y	0	-1	2	80	1	384	6.3047191928672621	6.2901049447968225	0	-1	-1	-1	-1	nan	320	319	0	1	4.8303125001820941e-15
REF	99	rand035	Y	0	-1	3	80	4	384	6.3047191794891608	6.2901049367699597	0	-1	-1	-1	-1	nan	1280	1278	0	2	3.0184954989411736e-16
REF	99	rand035	Y	0	-1	4	112	8	768	6.3047191794882584	6.2901049367694188	0	-1	-1	-1	-1	nan	3584	3580	0	4	4.9432257994645202e-18
TOPO	99	rand035	Y	0	1	7.5309254797077812e-05	0	11	12	3.3562014494681089
REF	99	rand035	Y	0	1	0	48	1	96	6.3101471118286572	6.2954916532637215	0	-1	-1	-1	-1	nan	192	192	0	0	1.976486247704271e-13
REF	99	rand035	Y	0	1	1	48	1	384	6.3101471118286572	6.2954916532637224	0	-1	-1	-1	-1	nan	192	192	0	0	1.2354072626587051e-14
