name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,1,0,1.0e-05,0,0,EventLocationLimited,6.0199533595851955,5.8400462e-05,3219,6167,0,10,16.291805,0.289149,15.977315,0.000057,0.001660,0.449677,0.002663,8,0,0,8,1,347,0,0,31,0,5.768992,2.819290,0.049297,1.160601,6.0204103664095419,0,0,4.5318481e-14,1.1179161e-14,2.6733963e-15,5.5616784577952556,-17.137986485626985,-10.351485558544939,-4.9880854905093335,1.2384878775627937,2.7962008e-06,4.1143591e-06,5.301235e-06,2.3450402e-06,1.4685894e-06
plan15,0.0,1,0,1.0e-06,1,0,EventLocationLimited,6.0199533596497696,2.6306329e-06,3219,3219,2948,10,10.297915,0.293643,9.916618,0.000050,0.001878,0.432731,0.002214,8,0,0,8,1,264,0,0,15,0,3.167094,2.831743,0.052730,1.159034,6.0204103664095419,0,0,4.5468618e-14,1.1179139e-14,2.6733963e-15,5.5616784577950291,-17.137986485627586,-10.351485558545091,-4.9880854905097802,1.23848787756261,2.7961699e-06,4.1143385e-06,5.3011978e-06,2.3450278e-06,1.4685853e-06
plan15,0.0,1,0,1.0e-06,0,0,EventLocationLimited,6.0199533596497696,2.6306329e-06,3219,6167,0,10,16.299814,0.287249,15.988926,0.000048,0.001577,0.436847,0.002341,8,0,0,8,1,456,0,0,15,0,5.784061,2.833444,0.049189,1.155334,6.0204103664095419,0,0,4.5492697e-14,1.1179139e-14,2.6733963e-15,5.5616784577952556,-17.137986485626985,-10.351485558544939,-4.9880854905093335,1.2384878775627937,2.7962008e-06,4.1143591e-06,5.301235e-06,2.3450402e-06,1.4685894e-06
plan15,0.0,1,0,1.0e-08,1,0,EventLocationLimited,6.019953359650013,2.3952302e-08,344,344,269,0,1.391581,0.295715,1.012258,0.000057,0.001602,0.445152,0.002574,8,0,0,8,1,328,0,0,0,0,0.347984,0.126439,0.011065,1.141529,6.0204103664095419,0,0,4.559778e-14,1.1130644e-14,2.6733963e-15,5.5616784624538091,-17.137986488941657,-10.351485564261569,-4.9880854846179776,1.2384878952837681,2.1559867e-06,2.7264315e-06,3.530108e-06,1.777577e-06,1.1350705e-06
plan15,0.0,1,0,1.0e-08,0,0,EventLocationLimited,6.019953359650013,2.3952302e-08,344,613,0,0,1.564501,0.284379,1.277112,0.000026,0.001458,0.433926,0.001713,8,0,0,8,1,582,0,0,0,0,0.579283,0.121176,0.010600,1.138881,6.0204103664095419,0,0,4.5565265e-14,1.1130644e-14,2.6733963e-15,5.5616784624540312,-17.137986488941053,-10.351485564261409,-4.988085484617538,1.2384878952839309,2.1560176e-06,2.7264521e-06,3.5301451e-06,1.7775894e-06,1.1350745e-06
plan15,0.0,1,1,1.0e-03,1,0,EventLocationLimited,6.0267722202986089,0.0059217089,3092,3092,2821,10,12.099009,0.178917,11.747110,0.000166,0.003133,0.436783,0.003550,8,0,0,8,1,120,0,0,31,0,5.215457,2.838434,0.051478,1.211099,6.0272324234265131,0,0,4.502875e-14,1.1470775e-14,2.6764245e-15,5.3515593855387502,-16.945458083799807,-10.617977019370823,-4.9307707120843656,1.2299369955566701,2.7386264e-06,3.8642039e-06,5.1913428e-06,2.3221445e-06,1.5347646e-06
plan15,0.0,1,1,1.0e-03,0,0,EventLocationLimited,6.0267722202986098,0.0059217089,3092,5913,0,10,19.324375,0.176228,19.101313,0.000077,0.001731,0.449584,0.002438,8,0,0,8,1,177,0,0,31,0,9.733954,2.818635,0.049883,1.080328,6.0272324234265131,0,0,4.5003036e-14,1.1470775e-14,2.6764245e-15,5.3515593855470165,-16.945458083791792,-10.617977019356625,-4.9307707120828583,1.2299369955502397,2.7386095e-06,3.864195e-06,5.1913208e-06,2.322144e-06,1.5347868e-06
plan15,0.0,1,1,1.0e-04,1,0,EventLocationLimited,6.0267740818191173,0.00032163431,3092,3092,2821,10,11.745836,0.175812,11.549720,0.000083,0.001554,0.425982,0.002222,8,0,0,8,1,176,0,0,31,0,5.099203,2.801828,0.049570,1.038681,6.0272324234265131,0,0,4.4841685e-14,1.1380573e-14,2.6764253e-15,5.3515593855387502,-16.945458083799807,-10.617977019370823,-4.9307707120843656,1.2299369955566701,2.7386264e-06,3.8642039e-06,5.1913428e-06,2.3221445e-06,1.5347646e-06
plan15,0.0,1,1,1.0e-04,0,0,EventLocationLimited,6.0267740818191164,0.00032163431,3092,5913,0,10,19.400562,0.177310,19.175954,0.000078,0.001648,0.437696,0.002647,8,0,0,8,1,285,0,0,31,0,9.825635,2.802670,0.049355,1.047572,6.0272324234265131,0,0,4.4820149e-14,1.1380573e-14,2.6764253e-15,5.3515593855470165,-16.945458083791792,-10.617977019356625,-4.9307707120828583,1.2299369955502397,2.7386095e-06,3.864195e-06,5.1913208e-06,2.322144e-06,1.5347868e-06
plan15,0.0,1,1,1.0e-05,1,0,EventLocationLimited,6.026774081799493,5.769977e-05,3092,3092,2821,10,11.909977,0.176671,11.712631,0.000080,0.001479,0.442803,0.002089,8,0,0,8,1,208,0,0,31,0,5.226265,2.805003,0.049193,1.041522,6.0272324234265131,0,0,4.5035809e-14,1.1247279e-14,2.6764253e-15,5.3515593855387502,-16.945458083799807,-10.617977019370823,-4.9307707120843656,1.2299369955566701,2.7386264e-06,3.8642039e-06,5.1913428e-06,2.3221445e-06,1.5347646e-06
plan15,0.0,1,1,1.0e-05,0,0,EventLocationLimited,6.026774081799493,5.769977e-05,3092,5913,0,10,19.465934,0.175818,19.231449,0.000081,0.001600,0.444803,0.002767,8,0,0,8,1,347,0,0,31,0,9.834376,2.814944,0.049725,1.076930,6.0272324234265131,0,0,4.5039204e-14,1.1247279e-14,2.6764253e-15,5.3515593855470165,-16.945458083791792,-10.617977019356625,-4.9307707120828583,1.2299369955502397,2.7386095e-06,3.864195e-06,5.1913208e-06,2.322144e-06,1.5347868e-06
