max_level	grad_rtol	kind	name	u	parameter	rounds	tol	level	nodes	converged	mu	grad	error	quality	n	h	stop	grad_reason	radial	inner	geometry	reference	absolute_error	relative_error
4	0.01	budget	caustic-cross	0.5	0	32	0.001	3	368	1	33.289196341029765	77.90335444458627	20.93280479138518	2	0	0	Converged	2	20.87653608898988	0.0562549488007103	2.8847878996380165e-10	77.45309452467096	0.450259919915311	0.005813323827518482
4	0.01	budget	caustic-cross	0.5	0	64	0.001	3	581	1	33.289196341029765	77.57757476048161	8.127141001046873	2	0	0	Converged	2	7.964228019718915	0.1628992274055889	6.162564011404441e-10	77.45309452467096	0.12448023581065115	0.001607169301298875
4	0.001	budget	caustic-cross	0.5	0	8	0.001	3	191	1	33.289196341029765	82.33221681819674	72.87515193476784	2	0	0	Converged	2	72.87288990698077	0.0022482743120124	1.6894242896495894e-10	77.45309452467096	4.879122293525782	0.06299454300010758
4	0.001	budget	caustic-cross	0.5	0	32	0.001	3	368	1	33.289196341029765	77.90335444458627	20.93280479138518	2	0	0	Converged	2	20.87653608898988	0.0562549488007103	2.8847878996380165e-10	77.45309452467096	0.450259919915311	0.005813323827518482
4	0.001	budget	caustic-cross	0.5	0	64	0.001	3	581	1	33.289196341029765	77.57757476048161	8.127141001046873	2	0	0	Converged	2	7.964228019718915	0.1628992274055889	6.162564011404441e-10	77.45309452467096	0.12448023581065115	0.001607169301298875
5	0.01	budget	caustic-cross	0.5	0	8	0.001	3	197	1	33.28919682801139	74.74127913710089	79.52696053876555	2	0	0	Converged	2	79.52469716813603	0.0022496171555903	1.6781827114193058e-10	77.45309452467096	2.71181538757007	0.03501235688790048
5	0.01	budget	caustic-cross	0.5	0	32	0.001	3	425	1	33.28919682801139	73.1812937024089	35.419947224324595	2	0	0	Converged	2	35.363679216579285	0.0562542542474424	1.9176187950262686e-10	77.45309452467096	4.271800822262065	0.05515339120377402
5	0.01	budget	caustic-cross	0.5	0	64	0.001	3	738	1	33.28919682801139	77.4142775196133	10.561548598615063	2	0	0	Converged	2	10.398657033011078	0.1628778116460708	6.518037776430783e-10	77.45309452467096	0.038817005057666165	0.0005011679042120373
5	0.001	budget	caustic-cross	0.5	0	8	0.001	3	197	1	33.28919682801139	74.74127913710089	79.52696053876555	2	0	0	Converged	2	79.52469716813603	0.0022496171555903	1.6781827114193058e-10	77.45309452467096	2.71181538757007	0.03501235688790048
5	0.001	budget	caustic-cross	0.5	0	32	0.001	3	425	1	33.28919682801139	73.1812937024089	35.419947224324595	2	0	0	Converged	2	35.363679216579285	0.0562542542474424	1.9176187950262686e-10	77.45309452467096	4.271800822262065	0.05515339120377402
5	0.001	budget	caustic-cross	0.5	0	64	0.001	3	738	1	33.28919682801139	77.4142775196133	10.561548598615063	2	0	0	Converged	2	10.398657033011078	0.1628778116460708	6.518037776430783e-10	77.45309452467096	0.038817005057666165	0.0005011679042120373
6	0.01	budget	caustic-cross	0.5	0	8	0.001	3	199	1	33.28933563882105	99.57595552054121	156.89941067436268	2	0	0	Converged	2	156.89714993215324	0.0022469887383589	1.6500198455365027e-10	77.45309452467096	22.122860995870255	0.2856291427945918
6	0.01	budget	caustic-cross	0.5	0	32	0.001	3	543	1	33.28933563882105	81.02668344139094	39.63786151826479	2	0	0	Converged	2	39.58159449455572	0.056253270070224	3.327470360010332e-10	77.45309452467096	3.5735889167199844	0.046138749376652695
6	0.01	budget	caustic-cross	0.5	0	64	0.001	3	1011	1	33.28933563882105	77.66395884938595	15.597694251855344	2	0	0	Converged	2	15.541425650123598	0.0562548478454175	5.80215300572614e-10	77.45309452467096	0.21086432471498995	0.0027224777267979114
6	0.001	budget	caustic-cross	0.5	0	8	0.001	3	199	1	33.28933563882105	99.57595552054121	156.89941067436268	2	0	0	Converged	2	156.89714993215324	0.0022469887383589	1.6500198455365027e-10	77.45309452467096	22.122860995870255	0.2856291427945918
6	0.001	budget	caustic-cross	0.5	0	32	0.001	3	543	1	33.28933563882105	81.02668344139094	39.63786151826479	2	0	0	Converged	2	39.58159449455572	0.056253270070224	3.327470360010332e-10	77.45309452467096	3.5735889167199844	0.046138749376652695
6	0.001	budget	caustic-cross	0.5	0	64	0.001	3	1011	1	33.28933563882105	77.66395884938595	15.597694251855344	2	0	0	Converged	2	15.541425650123598	0.0562548478454175	5.80215300572614e-10	77.45309452467096	0.21086432471498995	0.0027224777267979114
8	0.01	budget	caustic-cross	0.5	0	8	0.001	3	361	1	33.28933563882105	84.19172584582064	99.23808656691	2	0	0	Converged	2	99.23582107096509	0.0022517424357517	2.0307602540746127e-10	77.45309452467096	6.738631321149683	0.08700273839934493
8	0.01	budget	caustic-cross	0.5	0	32	0.001	3	1363	1	33.28933563882105	84.08964697064262	44.6042892671707	2	0	0	Converged	2	44.54802006379365	0.0562554494822935	5.886409569031701e-10	77.45309452467096	6.63655244597166	0.08568479396078531
8	0.01	budget	caustic-cross	0.5	0	64	0.001	3	2651	1	33.28933563882105	77.73421255098614	15.383128953052578	2	0	0	Converged	2	15.326857782568554	0.0562574162391091	9.38802722847426e-10	77.45309452467096	0.281118026315184	0.003629526076916657
8	0.001	budget	caustic-cross	0.5	0	8	0.001	3	361	1	33.28933563882105	84.19172584582064	99.23808656691	2	0	0	Converged	2	99.23582107096509	0.0022517424357517	2.0307602540746127e-10	77.45309452467096	6.738631321149683	0.08700273839934493
8	0.001	budget	caustic-cross	0.5	0	32	0.001	3	1363	1	33.28933563882105	84.08964697064262	44.6042892671707	2	0	0	Converged	2	44.54802006379365	0.0562554494822935	5.886409569031701e-10	77.45309452467096	6.63655244597166	0.08568479396078531
8	0.001	budget	caustic-cross	0.5	0	64	0.001	3	2651	1	33.28933563882105	77.73421255098614	15.383128953052578	2	0	0	Converged	2	15.326857782568554	0.0562574162391091	9.38802722847426e-10	77.45309452467096	0.281118026315184	0.003629526076916657
4	0.01	budget	rand030	0.0	2	8	0.001	3	139	1	2.537701552317485	-0.0601736621285485	14.36554652723726	2	0	0	Converged	2	14.365140097257566	0.0	2.3088828280116635e-08	0.0129986580934943	0.0731723202220428	5.629221085418411
4	0.01	budget	rand030	0.0	2	32	0.001	3	320	1	2.537701552317485	0.0129970583985687	0.1145859109206931	2	0	0	Converged	2	0.1141793371706338	0.0	2.4443423466481868e-08	0.0129986580934943	1.5996949256011361e-06	0.00012306615914467106
4	0.01	budget	rand030	0.0	2	64	0.001	3	495	1	2.537701552317485	0.0129986869043449	0.0011304887026877	2	0	0	Converged	4	0.000723747640877	0.0	1.182943211854332e-07	0.0129986580934943	2.8810850599345073e-08	2.2164480665711655e-06
