max_level grad_rtol kind name u parameter rounds tol level nodes converged mu grad error quality n h stop grad_reason radial inner geometry
6 0.001 budget caustic-cross 0 4 32 0.001 3 575 1 31.944397276958313 -2.4746794165179296 1.0452591418800874 2 0 0 Converged 2 1.0452463716005314 0 1.3965152505518435e-10
6 0.001 budget caustic-cross 0 4 64 0.001 3 1009 1 31.944397276958313 -2.8558252087372198 1.3177083240008802 2 0 0 Converged 2 1.3176955537407267 0 1.2024927361488203e-10
8 0.01 budget caustic-cross 0 4 8 0.001 3 433 1 31.944397276958313 0.44502021242355283 6.5845313043722484 2 0 0 Converged 2 6.5845185340880308 0 1.4431434685377742e-10
8 0.01 budget caustic-cross 0 4 32 0.001 3 1395 1 31.944397276958313 -2.22847389048734 0.86168140754467204 2 0 0 Converged 2 0.86166863722253861 0 1.8222901953732894e-10
8 0.01 budget caustic-cross 0 4 64 0.001 3 2650 1 31.944397276958313 -2.4170614926489549 0.18716812243111536 2 0 0 Converged 2 0.18715534284944868 0 2.4555238673383045e-10
8 0.001 budget caustic-cross 0 4 8 0.001 3 433 1 31.944397276958313 0.44502021242355283 6.5845313043722484 2 0 0 Converged 2 6.5845185340880308 0 1.4431434685377742e-10
8 0.001 budget caustic-cross 0 4 32 0.001 3 1395 1 31.944397276958313 -2.22847389048734 0.86168140754467204 2 0 0 Converged 2 0.86166863722253861 0 1.8222901953732894e-10
8 0.001 budget caustic-cross 0 4 64 0.001 3 2650 1 31.944397276958313 -2.4170614926489549 0.18716812243111536 2 0 0 Converged 2 0.18715534284944868 0 2.4555238673383045e-10
4 0.01 budget caustic-cross 0.5 0 8 0.001 3 165 1 33.289335638821051 102.1893771426395 92.403940384206877 2 0 0 Converged 2 92.401679479646901 0.0022470650593522218 1.7237378074016036e-10
4 0.01 budget caustic-cross 0.5 0 32 0.001 3 342 1 33.289335638821051 77.027776893550907 13.961155257510812 2 0 0 Converged 2 13.90488674561121 0.056254672357273112 2.1406407851320704e-10
4 0.01 budget caustic-cross 0.5 0 64 0.001 3 577 1 33.289335638821051 77.908961389571488 4.4186520819062878 2 0 0 Converged 2 4.3040071053900526 0.11463122265280049 5.5732294724933671e-10
4 0.001 budget caustic-cross 0.5 0 8 0.001 3 165 1 33.289335638821051 102.1893771426395 92.403940384206877 2 0 0 Converged 2 92.401679479646901 0.0022470650593522218 1.7237378074016036e-10
4 0.001 budget caustic-cross 0.5 0 32 0.001 3 342 1 33.289335638821051 77.027776893550907 13.961155257510812 2 0 0 Converged 2 13.90488674561121 0.056254672357273112 2.1406407851320704e-10
4 0.001 budget caustic-cross 0.5 0 64 0.001 3 577 1 33.289335638821051 77.908961389571488 4.4186520819062878 2 0 0 Converged 2 4.3040071053900526 0.11463122265280049 5.5732294724933671e-10
5 0.01 budget caustic-cross 0.5 0 8 0.001 3 183 1 33.289335638821051 88.46769662905217 49.114779443985462 2 0 0 Converged 2 49.112513929848269 0.0022516746085128386 2.0041630249593605e-10
5 0.01 budget caustic-cross 0.5 0 32 0.001 3 411 1 33.289335638821051 82.409770705897174 21.596965005654308 2 0 0 Converged 2 21.540697144214818 0.056254021864055447 2.4716985443433146e-10
5 0.01 budget caustic-cross 0.5 0 64 0.001 3 725 1 33.289335638821051 77.587270616545155 3.422555979659669 2 0 0 Converged 2 3.2596644848128626 0.16287774088879792 6.5189632062547845e-10
5 0.001 budget caustic-cross 0.5 0 8 0.001 3 183 1 33.289335638821051 88.46769662905217 49.114779443985462 2 0 0 Converged 2 49.112513929848269 0.0022516746085128386 2.0041630249593605e-10
5 0.001 budget caustic-cross 0.5 0 32 0.001 3 411 1 33.289335638821051 82.409770705897174 21.596965005654308 2 0 0 Converged 2 21.540697144214818 0.056254021864055447 2.4716985443433146e-10
5 0.001 budget caustic-cross 0.5 0 64 0.001 3 725 1 33.289335638821051 77.587270616545155 3.422555979659669 2 0 0 Converged 2 3.2596644848128626 0.16287774088879792 6.5189632062547845e-10
