case_id configuration_id profile d_bin_index epoch_index lane stage candidate_converged candidate_finite scalar_certificate residual ambiguous_roots oracle_tier candidate_positive oracle_positive candidate_physical oracle_physical candidate_real_soft oracle_real_soft candidate_complex_soft oracle_complex_soft positive_radius_maxdiff soft_radius_maxdiff candidate_cells oracle_cells candidate_topology_status oracle_topology_status rtol candidate_stop oracle_stop candidate_value_converged oracle_value_converged candidate_mu oracle_mu mu_absdiff local_attempts local_successes local_max_shift event_build_ms positive_certificate positive_count positive_certificate_ms positive_reason
6 6 linear 4 15 cold d14real 0 1 0 1.0894342882517733e-12 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.001 0 0 1 1 2.0641771023311715 2.064177105727297 3.396126047050529e-09 0 0 0.0 0.006733 0 0 0.0 Unattempted
6 6 linear 4 15 cold d14real 0 1 0 1.0894342882517733e-12 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.0001 0 0 1 1 2.064177102780786 2.064177106176912 3.396126047050529e-09 0 0 0.0 0.006733 0 0 0.0 Unattempted
6 6 linear 4 23 cold d14real 0 1 0 2.116476337650188e-12 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.001 0 0 1 1 2.1007687972062525 2.1007688003642317 3.1579787673763345e-09 0 0 0.0 0.0067219999999999 0 0 0.0 Unattempted
6 6 linear 4 23 cold d14real 0 1 0 2.116476337650188e-12 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.0001 0 0 1 1 2.1007687552144207 2.1007687583724 3.1579787673763345e-09 0 0 0.0 0.0067219999999999 0 0 0.0 Unattempted
6 6 uniform 1 0 cold d14real 0 1 0 6.3791441056768526e-18 5 1 4 6 4 6 0 0 7 4 -1.0 -1.0 16 15 0 0 0.001 0 0 1 1 4.944069323520277 4.944069323522406 2.1289636720212e-12 0 0 0.0 0.0074859999999999 0 0 0.0 Unattempted
6 6 uniform 1 0 cold d14real 0 1 0 6.3791441056768526e-18 5 1 4 6 4 6 0 0 7 4 -1.0 -1.0 16 15 0 0 0.0001 0 0 1 1 4.944069325316094 4.944069325318223 2.1289636720212e-12 0 0 0.0 0.0074859999999999 0 0 0.0 Unattempted
6 6 uniform 1 7 cold d14real 0 1 0 3.2441286423133404e-17 5 1 4 6 4 6 0 0 7 4 -1.0 -1.0 16 15 0 0 0.001 0 0 1 1 5.329829311283767 5.32982931128575 1.98330241119038e-12 0 0 0.0 0.007433 0 0 0.0 Unattempted
6 6 uniform 1 7 cold d14real 0 1 0 3.2441286423133404e-17 5 1 4 6 4 6 0 0 7 4 -1.0 -1.0 16 15 0 0 0.0001 0 0 1 1 5.3298293268285 5.329829326830483 1.98330241119038e-12 0 0 0.0 0.007433 0 0 0.0 Unattempted
6 6 uniform 1 15 cold d14real 0 1 0 1.3062821778139607e-16 5 1 4 6 4 6 0 0 7 4 -1.0 -1.0 16 15 0 0 0.001 0 0 1 1 5.649620863256049 5.64962086325788 1.830535723001958e-12 0 0 0.0 0.0074729999999999 0 0 0.0 Unattempted
6 6 uniform 1 15 cold d14real 0 1 0 1.3062821778139607e-16 5 1 4 6 4 6 0 0 7 4 -1.0 -1.0 16 15 0 0 0.0001 0 0 1 1 5.649620863290201 5.649620863292031 1.830535723001958e-12 0 0 0.0 0.0074729999999999 0 0 0.0 Unattempted
6 6 uniform 1 23 cold d14real 0 1 0 2.524390429515753e-15 6 1 4 6 4 6 0 0 6 4 -1.0 -1.0 15 15 0 0 0.001 0 0 1 1 5.878014387582466 5.878014387584159 1.6928680679484389e-12 0 0 0.0 0.0070809999999999 0 0 0.0 Unattempted
6 6 uniform 1 23 cold d14real 0 1 0 2.524390429515753e-15 6 1 4 6 4 6 0 0 6 4 -1.0 -1.0 15 15 0 0 0.0001 0 0 1 1 5.878014383715828 5.878014383717521 1.6928680679484389e-12 0 0 0.0 0.0070809999999999 0 0 0.0 Unattempted
6 6 uniform 2 0 cold d14real 0 1 0 1.0892629305800505e-19 2 1 4 6 4 6 0 0 3 2 -1.0 -1.0 12 13 0 0 0.001 0 0 1 1 4.288230072095396 4.288230073207624 1.1122276433184195e-09 0 0 0.0 0.006113 0 0 0.0 Unattempted
6 6 uniform 2 0 cold d14real 0 1 0 1.0892629305800505e-19 2 1 4 6 4 6 0 0 3 2 -1.0 -1.0 12 13 0 0 0.0001 0 0 1 1 4.288230100430773 4.288230101542999 1.11222675514e-09 0 0 0.0 0.006113 0 0 0.0 Unattempted
6 6 uniform 2 7 cold d14real 0 1 0 3.9249783404857296e-19 2 1 6 8 6 8 0 0 2 1 -1.0 -1.0 13 14 0 0 0.001 0 0 1 1 3.8249246056996618 3.8249246067477034 1.048040765283531e-09 0 0 0.0 0.0071139999999999 0 0 0.0 Unattempted
6 6 uniform 2 7 cold d14real 0 1 0 3.9249783404857296e-19 2 1 6 8 6 8 0 0 2 1 -1.0 -1.0 13 14 0 0 0.0001 0 0 1 1 3.824915451829376 3.8249154528774167 1.048040765283531e-09 0 0 0.0 0.0071139999999999 0 0 0.0 Unattempted
6 6 uniform 2 15 cold d14real 0 1 0 1.813568467815261e-16 3 1 4 6 4 6 0 0 3 2 -1.0 -1.0 12 13 0 0 0.001 0 0 1 1 3.413433546830674 3.413433547810929 9.802554323812272e-10 0 0 0.0 0.0065799999999999 0 0 0.0 Unattempted
6 6 uniform 2 15 cold d14real 0 1 0 1.813568467815261e-16 3 1 4 6 4 6 0 0 3 2 -1.0 -1.0 12 13 0 0 0.0001 0 0 1 1 3.41343499798422 3.413434998964476 9.80255876470437e-10 0 0 0.0 0.0065799999999999 0 0 0.0 Unattempted
6 6 uniform 2 23 cold d14real 0 1 0 1.1672562395452612e-15 5 1 4 6 4 6 0 0 4 2 -1.0 -1.0 13 13 0 0 0.001 0 0 1 1 3.0875029596651973 3.0875029605830653 9.178680038246512e-10 0 0 0.0 0.0067239999999999 0 0 0.0 Unattempted
6 6 uniform 2 23 cold d14real 0 1 0 1.1672562395452612e-15 5 1 4 6 4 6 0 0 4 2 -1.0 -1.0 13 13 0 0 0.0001 0 0 1 1 3.0874986802894684 3.087498681207336 9.178675597354412e-10 0 0 0.0 0.0067239999999999 0 0 0.0 Unattempted
6 6 uniform 3 0 cold d14real 0 1 0 5.137804515244104e-13 6 1 8 10 8 10 0 0 3 0 -1.0 -1.0 16 15 0 0 0.001 0 0 1 1 2.8425705543885567 2.842570554424333 3.5776270834730894e-11 0 0 0.0 0.008342 0 0 0.0 Unattempted
6 6 uniform 3 0 cold d14real 0 1 0 5.137804515244104e-13 6 1 8 10 8 10 0 0 3 0 -1.0 -1.0 16 15 0 0 0.0001 0 0 1 1 2.8425705815884443 2.8425705816242206 3.5776270834730894e-11 0 0 0.0 0.008342 0 0 0.0 Unattempted
6 6 uniform 3 7 cold d14real 0 1 0 8.811865060110489e-12 6 1 8 10 8 10 0 0 3 0 -1.0 -1.0 16 15 0 0 0.001 0 0 1 1 2.575598660071984 2.575598660105863 3.387956581946128e-11 0 0 0.0 0.00787 0 0 0.0 Unattempted
6 6 uniform 3 7 cold d14real 0 1 0 8.811865060110489e-12 6 1 8 10 8 10 0 0 3 0 -1.0 -1.0 16 15 0 0 0.0001 0 0 1 1 2.575598670056244 2.575598670090123 3.387956581946128e-11 0 0 0.0 0.00787 0 0 0.0 Unattempted
6 6 uniform 3 15 cold d14real 0 1 0 2.292305162297052e-10 6 1 8 10 8 10 0 0 3 0 -1.0 -1.0 16 15 0 0 0.001 0 0 1 1 2.3400347956326235 2.340034795664487 3.186340080674199e-11 0 0 0.0 0.0084019999999999 0 0 0.0 Unattempted
6 6 uniform 3 15 cold d14real 0 1 0 2.292305162297052e-10 6 1 8 10 8 10 0 0 3 0 -1.0 -1.0 16 15 0 0 0.0001 0 0 1 1 2.340034726175319 2.340034726207182 3.186295671753214e-11 0 0 0.0 0.0084019999999999 0 0 0.0 Unattempted
6 6 uniform 3 23 cold d14real 0 1 0 5.1299242466375275e-09 6 1 6 8 6 8 0 0 4 1 -1.0 -1.0 15 14 0 0 0.001 0 0 1 1 2.1545100732918576 2.1545100733218527 2.999511750090277e-11 0 0 0.0 0.0075329999999999 0 0 0.0 Unattempted
6 6 uniform 3 23 cold d14real 0 1 0 5.1299242466375275e-09 6 1 6 8 6 8 0 0 4 1 -1.0 -1.0 15 14 0 0 0.0001 0 0 1 1 2.154506579440312 2.154506579470307 2.999511750090277e-11 0 0 0.0 0.0075329999999999 0 0 0.0 Unattempted
6 6 uniform 4 0 cold d14real 0 1 0 4.909941431493546e-13 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.001 0 0 1 1 1.9804665310887344 1.9804665350090933 3.9203587043346025e-09 0 0 0.0 0.006862 0 0 0.0 Unattempted
6 6 uniform 4 0 cold d14real 0 1 0 4.909941431493546e-13 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.0001 0 0 1 1 1.9804646453907409 1.9804646493110991 3.920358482289998e-09 0 0 0.0 0.006862 0 0 0.0 Unattempted
6 6 uniform 4 7 cold d14real 0 1 0 7.344017170983741e-13 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.001 0 0 1 1 2.0261746085086085 2.026174612178754 3.670145520828783e-09 0 0 0.0 0.009596 0 0 0.0 Unattempted
6 6 uniform 4 7 cold d14real 0 1 0 7.344017170983741e-13 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.0001 0 0 1 1 2.026174489763059 2.0261744934332047 3.670145520828783e-09 0 0 0.0 0.009596 0 0 0.0 Unattempted
6 6 uniform 4 15 cold d14real 0 1 0 1.0894342882517733e-12 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.001 0 0 1 1 2.072293826659636 2.0722938300676272 3.4079912225593034e-09 0 0 0.0 0.006445 0 0 0.0 Unattempted
6 6 uniform 4 15 cold d14real 0 1 0 1.0894342882517733e-12 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.0001 0 0 1 1 2.0722938215466264 2.0722938249546177 3.4079912225593034e-09 0 0 0.0 0.006445 0 0 0.0 Unattempted
6 6 uniform 4 23 cold d14real 0 1 0 2.116476337650188e-12 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.001 0 0 1 1 2.109442166867886 2.109442170036582 3.168695972277646e-09 0 0 0.0 0.0066839999999999 0 0 0.0 Unattempted
6 6 uniform 4 23 cold d14real 0 1 0 2.116476337650188e-12 6 1 4 6 4 6 0 0 5 4 -1.0 -1.0 12 13 0 0 0.0001 0 0 1 1 2.1094421395414646 2.1094421427101606 3.168695972277646e-09 0 0 0.0 0.0066839999999999 0 0 0.0 Unattempted
49 49 linear 0 0 cold d14real 0 1 0 4.426282894079586e-23 7 1 6 8 6 8 0 0 4 3 -1.0 -1.0 15 16 0 0 0.001 4 0 0 1 0.0 1.2122531524126314 1.2122531524126314 0 0 0.0 0.008089 0 0 0.0 Unattempted
49 49 linear 0 0 cold d14real 0 1 0 4.426282894079586e-23 7 1 6 8 6 8 0 0 4 3 -1.0 -1.0 15 16 0 0 0.0001 4 0 0 1 0.0 1.2122531528987384 1.2122531528987384 0 0 0.0 0.008089 0 0 0.0 Unattempted
49 49 linear 0 7 cold d14real 0 1 0 5.240039350329224e-22 7 1 5 8 5 8 0 0 5 3 -1.0 -1.0 15 16 0 0 0.001 4 0 0 1 0.0 1.183201711064308 1.183201711064308 0 0 0.0 0.108126 0 0 0.0 Unattempted
49 49 linear 0 7 cold d14real 0 1 0 5.240039350329224e-22 7 1 5 8 5 8 0 0 5 3 -1.0 -1.0 15 16 0 0 0.0001 4 0 0 1 0.0 1.1832017103194112 1.1832017103194112 0 0 0.0 0.108126 0 0 0.0 Unattempted
49 49 linear 0 15 cold d14real 0 1 0 1.171882915902436e-17 10 2 3 8 3 8 0 0 6 3 -1.0 -1.0 14 16 0 0 0.001 4 0 0 1 0.0003109761500788 1.1557183175533816 1.1554073414033028 0 0 0.0 0.006757 0 0 0.0 Unattempted
49 49 linear 0 15 cold d14real 0 1 0 1.171882915902436e-17 10 2 3 8 3 8 0 0 6 3 -1.0 -1.0 14 16 0 0 0.0001 4 0 0 1 0.0003109761500788 1.1557320354368348 1.155421059286756 0 0 0.0 0.006757 0 0 0.0 Unattempted
49 49 linear 0 15 cold qf_warm 0 1 1 1.4426062568113177e-23 0 2 8 8 6 8 2 0 3 3 1.2015521362225296e-06 1.9038203063299553e-08 16 16 0 0 0.001 0 0 1 1 1.1557183176190655 1.1557183175533816 6.568412480589814e-11 0 0 0.0 0.119371 1 8 1.500586 Certified
49 49 linear 0 15 cold qf_warm 0 1 1 1.4426062568113177e-23 0 2 8 8 6 8 2 0 3 3 1.2015521362225296e-06 1.9038203063299553e-08 16 16 0 0 0.0001 0 0 1 1 1.155732035502519 1.1557320354368348 6.568390276129321e-11 0 0 0.0 0.119371 1 8 1.500586 Certified
49 49 linear 0 23 cold d14real 0 1 0 8.038705175272593e-11 10 2 2 8 2 8 0 0 6 3 -1.0 -1.0 13 16 0 0 0.001 4 0 0 1 0.0003154776766908 1.1331040490987467 1.1327885714220558 0 0 0.0 0.0058199999999999 0 0 0.0 Unattempted
49 49 linear 0 23 cold d14real 0 1 0 8.038705175272593e-11 10 2 2 8 2 8 0 0 6 3 -1.0 -1.0 13 16 0 0 0.0001 4 0 0 1 0.0003154776766908 1.1331169041024327 1.1328014264257418 0 0 0.0 0.0058199999999999 0 0 0.0 Unattempted
49 49 linear 0 23 cold qf_warm 0 1 0 3.699147969243271e-24 4 2 6 8 6 8 0 0 4 3 -1.0 -1.0 15 16 0 0 0.001 0 0 1 1 1.1331040299623212 1.1331040490987467 1.9136425555288383e-08 0 0 0.0 0.112629 1 8 1.49808 Certified
49 49 linear 0 23 cold qf_warm 0 1 0 3.699147969243271e-24 4 2 6 8 6 8 0 0 4 3 -1.0 -1.0 15 16 0 0 0.0001 0 0 1 1 1.1331168849660072 1.1331169041024327 1.9136425555288383e-08 0 0 0.0 0.112629 1 8 1.49808 Certified
49 49 linear 1 0 cold d14real 0 1 0 3.094453843369545e-09 7 2 3 6 3 6 0 0 5 3 -1.0 -1.0 13 14 0 0 0.001 0 0 1 1 3.243930778019971 3.2441700006776895 0.000239222657719 0 0 0.0 0.006459 0 0 0.0 Unattempted
49 49 linear 1 0 cold d14real 0 1 0 3.094453843369545e-09 7 2 3 6 3 6 0 0 5 3 -1.0 -1.0 13 14 0 0 0.0001 0 0 1 1 3.243930172494482 3.2441636009697663 0.0002334284752842 0 0 0.0 0.006459 0 0 0.0 Unattempted
49 49 linear 1 0 cold qf_warm 0 1 1 4.62615117900176e-28 2 2 5 6 4 6 1 0 3 3 -1.0 0.0 13 14 0 0 0.001 4 0 0 1 0.0 3.2441700006776895 3.2441700006776895 0 0 0.0 0.00842 1 6 1.097219 Certified
49 49 linear 1 0 cold qf_warm 0 1 1 4.62615117900176e-28 2 2 5 6 4 6 1 0 3 3 -1.0 0.0 13 14 0 0 0.0001 4 0 0 1 0.0 3.2441636009697663 3.2441636009697663 0 0 0.0 0.00842 1 6 1.097219 Certified
49 49 linear 1 7 cold d14real 0 1 0 7.896206965841201e-09 7 2 3 6 3 6 0 0 5 2 -1.0 -1.0 13 13 0 0 0.001 0 0 1 1 3.232513774437118 3.232762586370526 0.000248811933408 0 0 0.0 0.006151 0 0 0.0 Unattempted
49 49 linear 1 7 cold d14real 0 1 0 7.896206965841201e-09 7 2 3 6 3 6 0 0 5 2 -1.0 -1.0 13 13 0 0 0.0001 0 0 1 1 3.232513744010958 3.2327526897722003 0.0002389457612421 0 0 0.0 0.006151 0 0 0.0 Unattempted
49 49 linear 1 7 cold qf_warm 0 1 1 5.349451246397376e-28 0 2 6 6 4 6 2 0 2 2 1.8256484785544144e-06 0.0 13 13 0 0 0.001 0 0 1 1 3.2327625863717224 3.232762586370526 1.1963763313360689e-12 0 0 0.0 0.009362 1 6 1.067641 Certified
49 49 linear 1 7 cold qf_warm 0 1 1 5.349451246397376e-28 0 2 6 6 4 6 2 0 2 2 1.8256484785544144e-06 0.0 13 13 0 0 0.0001 0 0 1 1 3.2327526897733967 3.2327526897722003 1.1963763313360689e-12 0 0 0.0 0.009362 1 6 1.067641 Certified
49 49 linear 1 15 cold d14real 0 1 0 5.150757566354402e-09 7 2 3 6 3 6 0 0 5 2 -1.0 -1.0 13 13 0 0 0.001 0 0 1 1 3.1777416299240984 3.1778649176299383 0.0001232877058399 0 0 0.0 0.00628 0 0 0.0 Unattempted
49 49 linear 1 15 cold d14real 0 1 0 5.150757566354402e-09 7 2 3 6 3 6 0 0 5 2 -1.0 -1.0 13 13 0 0 0.0001 0 0 1 1 3.177741821581868 3.1778531185516967 0.0001112969698291 0 0 0.0 0.00628 0 0 0.0 Unattempted
49 49 linear 1 15 cold qf_warm 0 1 1 2.2026003920270167e-28 0 2 6 6 4 6 2 0 2 2 9.3182048632677e-07 0.0 13 13 0 0 0.001 0 0 1 1 3.1778649176404605 3.1778649176299383 1.0522249738187384e-11 0 0 0.0 0.0099069999999999 1 6 1.070181 Certified
49 49 linear 1 15 cold qf_warm 0 1 1 2.2026003920270167e-28 0 2 6 6 4 6 2 0 2 2 9.3182048632677e-07 0.0 13 13 0 0 0.0001 0 0 1 1 3.177853118562219 3.1778531185516967 1.0522249738187384e-11 0 0 0.0 0.0099069999999999 1 6 1.070181 Certified
