# V2 adaptive trajectory benchmark; value-only; radial-only topology prebuilt; full-cold D14/topology per epoch; full-warm L2 D14 warm seed; repeats median; n_r=adaptive
case_id configuration_id profile d_bin_index epoch_index trajectory_id trajectory_pos target s q rho x y time u X reference topology_status topology_cells topology_events cold_ms warm_ms radial_ms cold_topology_ms warm_topology_ms radial_topology_ms cold_adaptive_ms warm_adaptive_ms radial_adaptive_ms cold_setup_ms warm_setup_ms radial_setup_ms cold_physical_ms warm_physical_ms radial_physical_ms cold_estimator_ms warm_estimator_ms radial_estimator_ms cold_scheduler_ms warm_scheduler_ms radial_scheduler_ms cold_mu warm_mu radial_mu cold_error warm_error radial_error cold_value_converged warm_value_converged radial_value_converged cold_stop warm_stop radial_stop cold_status warm_status radial_status cold_nodes warm_nodes radial_nodes cold_evaluations warm_evaluations radial_evaluations cold_panels warm_panels radial_panels cold_splits warm_splits radial_splits warm_l1 warm_l2 warm_l3 warm_rescreen_fail warm_seed_used prebuilt_assurance prebuilt_count prebuilt_tier prebuilt_reason prebuilt_legacy prebuilt_coefficient_ms prebuilt_chain_ms prebuilt_isolation_ms prebuilt_refine_ms warm_assurance warm_count warm_tier warm_reason warm_legacy warm_attempts warm_direct warm_repaired warm_subdivisions warm_count_queries warm_sign_queries prebuilt_variation_ms prebuilt_event_ms warm_variation_ms warm_event_ms reference_contacts cold_atlas warm_atlas cold_contacts warm_contacts cold_boxes warm_boxes cold_excluded warm_excluded cold_tubes warm_tubes cold_dd warm_dd cold_qf warm_qf warm_proofs_reused warm_proofs_invalidated warm_event_updates warm_range_accepted cold_coefficient_ms cold_proof_ms cold_refine_ms warm_coefficient_ms warm_proof_ms warm_refine_ms cold_pair_attempts cold_pair_accepted warm_pair_attempts warm_pair_accepted
0 0 linear 1 15 1 2 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.02593623027457688 0.5 0.10920182204699373 596.52004720667082 TOPOLOGY_UNCERTAIN 0 0 132.93201099999999 132.96109100000001 0.000101 132.931892 132.96100899999999 0 0.00011899999998377098 8.2000000020343577e-05 0.000101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 inf inf inf 0 0 0 TopologyUnresolved TopologyUnresolved TopologyUnresolved GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 8 BudgetExceeded BudgetExceeded 1 1 2049 2049 1064 1064 0 0 36 36 0 0 0 0 0 0 3.9239560000000004 128.86113800000027 0.067225999999999994 3.9152919999999996 128.9021449999999 0.066222000000000003 0 0 0 0
0 0 linear 1 23 1 3 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025912207533153965 0.5 0.10917779930557081 599.53614633227335 TOPOLOGY_UNCERTAIN 0 0 129.84555399999999 129.82351600000001 0.00010399999999999999 129.845462 129.82332500000001 0 9.1999999995096005e-05 0.00019100000000094042 0.00010399999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 inf inf inf 0 0 0 TopologyUnresolved TopologyUnresolved TopologyUnresolved GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 8 BudgetExceeded BudgetExceeded 1 1 2049 2049 1040 1040 0 0 20 20 0 0 0 0 0 0 2.2677420000000001 127.43123799999991 0.066364000000000006 2.2405620000000002 127.43825799999989 0.066975999999999994 0 0 0 0
0 0 linear 1 0 1 0 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0.5 0.10924686468716169 589.76910771294774 TOPOLOGY_UNCERTAIN 0 0 129.29048299999999 129.273494 0.000118 129.290415 129.273405 0 6.7999999998846761e-05 8.9000000002670276e-05 0.000118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 inf inf inf 0 0 0 TopologyUnresolved TopologyUnresolved TopologyUnresolved GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 7 BudgetExceeded BudgetExceeded 1 1 2049 2049 1040 1040 0 0 23 23 0 0 0 0 0 0 2.5879129999999995 126.5563159999999 0.067489999999999994 2.5843539999999998 126.5410040000001 0.070179000000000005 0 0 0 0
0 0 linear 1 7 1 1 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0.5 0.10922584478841664 593.08183624951698 TOPOLOGY_UNCERTAIN 0 0 130.366074 130.33910599999999 0.000101 130.36600300000001 130.33903799999999 0 7.0999999991272489e-05 6.7999999998846761e-05 0.000101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 inf inf inf 0 0 0 TopologyUnresolved TopologyUnresolved TopologyUnresolved GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 8 BudgetExceeded BudgetExceeded 1 1 2049 2049 1044 1044 0 0 26 26 0 0 0 0 0 0 2.9351239999999996 127.28349500000007 0.067589999999999997 2.9160169999999996 127.27577300000014 0.067702999999999999 0 0 0 0
0 0 linear 1 15 1 2 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.02593623027457688 0.5 0.10920182204699373 596.52004720667082 TOPOLOGY_UNCERTAIN 0 0 133.19916599999999 133.088212 0.000106 133.19907599999999 133.088122 0 9.0000000000145519e-05 9.0000000000145519e-05 0.000106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 inf inf inf 0 0 0 TopologyUnresolved TopologyUnresolved TopologyUnresolved GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 8 BudgetExceeded BudgetExceeded 1 1 2049 2049 1064 1064 0 0 36 36 0 0 0 0 0 0 3.9194389999999997 129.13323800000012 0.066011 3.9200160000000004 129.01749900000004 0.070277000000000006 0 0 0 0
0 0 linear 1 23 1 3 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025912207533153965 0.5 0.10917779930557081 599.53614633227335 TOPOLOGY_UNCERTAIN 0 0 130.00398200000001 129.91419300000001 0.00018599999999999999 130.003861 129.91411299999999 0 0.00012100000000714317 8.0000000025393092e-05 0.00018599999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 inf inf inf 0 0 0 TopologyUnresolved TopologyUnresolved TopologyUnresolved GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 8 BudgetExceeded BudgetExceeded 1 1 2049 2049 1040 1040 0 0 20 20 0 0 0 0 0 0 2.2327080000000001 127.62341899999979 0.067589999999999997 2.242629 127.52193399999997 0.070403999999999994 0 0 0 0
0 0 linear 2 0 2 0 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1409988887697833 0.5 -1.0577332969973665 2.3667306603356812 OK 9 8 109.17781600000001 109.002691 7.651599 103.624111 103.43060800000001 0 5.5537050000000079 5.5720829999999921 7.651599 0.0071500000000000001 0.0040959999999999998 0.0062700000000000004 5.496122999999999 5.520041 7.5691450000000033 0.0075720000000000006 0.0077400000000000004 0.008990999999999999 0.0011189999999999998 0.001232 0.001328 2.3667291605244101 2.3667291605244101 2.3667291605244101 0.00080039373753966068 0.00080039373753966068 0.00080039373753966068 1 1 1 Converged Converged Converged OK OK OK 77 77 77 77 77 77 3 3 3 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1392 1392 796 796 3 3 91 91 0 0 0 0 0 0 9.969047999999999 93.110316999999895 0.39688399999999996 9.9257879999999972 92.966500999999937 0.39787800000000001 37 37 37 37
0 0 linear 2 7 2 1 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1410199086685282 0.5 -1.0577543168961114 2.4102124914501046 OK 9 8 111.576358 170.640309 7.935581 105.884765 164.227892 0 5.6915929999999975 6.4124170000000049 7.935581 0.0040949999999999997 0.0063639999999999999 0.0031749999999999999 5.6435950000000039 6.3582100000000006 7.8741979999999998 0.0073639999999999999 0.0086709999999999999 0.008737 0.001036 0.0011200000000000001 0.0012360000000000001 2.4102109463500434 2.4102109463512358 2.4102109463500434 0.00080206926051057891 0.00080206925099936114 0.00080206926051057891 1 1 1 Converged Converged Converged OK OK OK 77 77 77 77 77 77 3 3 3 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1462 1245 860 1111 2 34 86 860 0 0 772 29 1 0 9.6920209999999987 95.677737999999962 0.38777500000000004 94.918821999999963 67.823163000000065 1.2667819999999999 38 38 43 43
0 0 linear 2 15 2 2 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.1410439314099512 0.5 -1.0577783396375344 2.4659820375089936 OK 9 8 115.720457 234.97543999999999 8.0776029999999999 109.873249 229.51556500000001 0 5.8472079999999949 5.4598749999999825 8.0776029999999999 0.004052 0.0083660000000000002 0.003369 5.7989310000000005 5.3966510000000012 8.0170670000000026 0.007984999999999999 0.010683 0.0085890000000000011 0.001093 0.0014360000000000002 0.0012929999999999999 2.4659804234045475 2.4659804234040128 2.4659804234045475 0.00080400611693755395 0.00080400612626144261 0.00080400611693755395 1 1 1 Converged Converged Converged OK OK OK 77 77 77 77 77 77 3 3 3 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1558 1624 889 1435 2 65 80 1158 0 0 1076 40 1 2 8.9997199999999964 100.34032600000002 0.39337899999999998 128.76349500000009 99.082050999999922 1.2767070000000003 39 39 36 36
0 0 linear 2 23 2 3 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.141067954151374 0.5 -1.0578023623789572 2.5300573667300794 OK 9 8 121.649271 305.02408800000001 7.4187269999999996 115.933396 298.913972 0 5.7158749999999969 6.110116000000005 7.4187269999999996 0.0041879999999999999 0.0087779999999999993 0.0030079999999999998 5.6669660000000004 6.0416859999999986 7.3620670000000024 0.0076839999999999999 0.011665999999999999 0.0081850000000000013 0.0011230000000000001 0.001825 0.0011499999999999998 2.5300557261599561 2.5300557261605281 2.5300557261599561 0.00080597520289338645 0.00080597520730014429 0.00080597520289338645 1 1 1 Converged Converged Converged OK OK OK 77 77 77 77 77 77 3 3 3 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1686 1987 945 1780 2 97 74 1483 0 0 1397 44 0 5 8.3305149999999983 107.07683700000005 0.38756499999999999 165.34477299999983 131.76885800000008 1.2794399999999999 38 38 39 39
