name,u,nt,mu_error,jac_error,ref_mu,ref_dx,ref_dy,ref_drho,ref_dq,ref_da
rand006,0.5,512,7.480929e-17,1.205297e-12,1.9681420584329947,-2.7051117631721242,0.74305099650417816,0.31024048791116954,0.40070569114902493,0.00034861243710895275
rand007,0.5,512,2.541659e-14,4.202019e-06,3.2108517201318634,-6.7264417861311818,-6.2628015915599979,0.38243283603969758,-0.46264166455808453,-6.6202234432794487e-09
rand008,0.5,512,4.233314e-15,1.683156e-06,1.2029723450278269,0.31209383844993588,0.21300931435181311,0.10250614655069512,-0.051587376254107351,0.00014345268070668025
rand009,0.5,512,2.045878e-15,1.042273e-07,12.892184466524562,-155.86427760660948,54.340088346432218,1.8359715667720593,66.39482901474878,-0.10515853317769139
rand010,0.5,512,1.965858e-14,2.147266e-09,16.349192105111214,-261.53724351391116,65.920545023532355,21.069947808003462,64.89845008356194,-0.012533943155040599
rand011,0.5,512,9.165789e-15,6.512589e-10,5.1047925932965814,24.98640362101948,-0.22813773469104587,0.82961296116889116,-6.3859303886526311,1.3275966973789987e-07
rand012,0.5,512,4.506593e-15,3.682613e-08,3.8285635497023396,13.519867745435027,0.68936826770593751,0.19677911328608388,-21.159566959143117,0.00053947222553079471
rand013,0.5,512,4.942168e-16,4.556204e-11,4.391430014561494,11.307766210591094,-14.450241357871976,1.3383232352017416,-1.7698550246562577,2.7412643308403929e-07
rand014,0.5,512,4.552685e-15,7.717662e-09,1.4873838725477924,1.1196969474576963,-0.081868485751598954,0.043569553427573737,-0.27755039305239143,-0.078714916986229719
rand015,0.5,512,1.717652e-15,9.871027e-10,2.1025314142366924,-2.5392474079476957,-2.1234003917206024,0.049871772922642776,-1.1221230168052414,1.1584586275913998e-06
rand016,0.5,512,1.019559e-14,2.371704e-10,1.6351966240629292,1.5739195953246865,0.011477067548673536,0.042878621722024945,-1.0720758656931921,4.6283764112067512e-08
rand017,0.5,512,6.970890e-16,4.415635e-11,5.3706241106681691,13.680995505001816,-24.269352313584871,1.400854803379616,-5.0222108739096845,1.1833715921341575e-08
rand018,0.5,512,5.542128e-16,6.906756e-08,2.2051889852540878,-1.7530182113481223,-3.3155251390989613,0.057068160253038513,-1.7668089705499799,7.6062119600498252e-09
rand019,0.5,512,7.427167e-17,6.731500e-10,1.9896270499371589,-0.71353246370061574,2.7593856731083934,0.052361158752660231,-0.80203268581246234,1.4518538022624442e-06
rand020,0.5,512,9.437000e-17,2.629444e-10,1.3529152926266752,-0.083825225260880598,0.71764180284171109,0.02410062383938083,0.18468835067763897,0.15360719541997381
rand021,0.5,512,1.936647e-14,3.913880e-06,2.5772084465622402,-4.3237216233019939,-3.4414181887374524,0.26388944779955636,0.52014534644024524,8.6284348837470499e-06
rand022,0.5,512,0.000000e+00,1.556350e-08,4.275663083609694,5.7025632529264874,-16.187566943032305,0.20483894351832532,-0.066972094938816132,1.0360401027850733e-07
rand023,0.5,512,9.402603e-16,2.058653e-11,2.7784363782943555,-2.000602365073298,6.3675520086532211,0.54868497890726076,-1.0728433304284701,-5.0269332876869853e-08
rand024,0.5,512,2.076307e-14,2.781196e-05,1.8874365782339719,0.061531663137680048,2.4541280964327852,0.21031800234368347,-0.87390884314071193,5.8520348307948262e-09
rand025,0.5,512,7.418708e-16,6.359394e-12,2.5916434859799464,-4.7608064707232645,3.1232384898260666,0.58825894313222804,-12.343933342333568,0.001371262941638329
rand026,0.5,512,8.147121e-15,5.121919e-08,3.0881548431866732,6.31354564532141,-5.5683998739731813,0.12124250471424602,-2.9506067664082689,-6.1973899653295257e-07
rand027,0.5,512,1.915742e-15,5.138781e-10,2.2453477715454522,-0.13238337748156445,3.9278295267429071,0.077792343627692162,0.04089431905524276,0.0025170638712823466
rand028,0.5,512,1.443567e-15,3.921018e-09,4.5373996945544084,19.470130012236055,-0.14016560323739133,0.31736119910033267,-4.855041579282724,9.8805203430919474e-07
rand029,0.5,512,1.856605e-16,4.483497e-11,37.271079717094167,1297.8186024848185,697.68579110794167,248.32792244380562,-195.85966840463684,-1.8514541108088325
rand030,0.5,512,3.891412e-15,1.683346e-08,2.537730024799576,5.3353730184747397,-0.0095460326380012242,0.25025785750381146,-5.3433290856873121,-0.055667116167156076
