case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes
0 uniform 1 23 0.79078199999999998 638.99054014712431 1 128 0.38335599999999997 0.012869 0.34793899999999989 0.0065460000000000006 0.0014759999999999999 0.0028059999999999999 0.010181000000000001 0.050985999999999997 0.13351499999999999 0 0.025623 0.00083000000000000001 0.071970000000000006 0.0010139999999999999 0.0039939999999999993 0.22405 0.10108300000000001 0 0 3 19 19
0 uniform 2 0 37.568361000000003 2.3738776878589789 1 45 37.402194999999999 0.011296 0.13112599999999999 0.0032120000000000004 0.00079600000000000005 0.0031689999999999999 0.012019999999999999 0.17605699999999999 0.34042 36.679864000000002 0.083181000000000005 2.8e-05 0.042318000000000001 0.0016949999999999999 0.0039550000000000002 0.099861999999999979 0.022065000000000008 0 0 0 0 0
0 uniform 2 7 51.278461999999998 2.4185459771569833 1 45 51.070093999999997 0.011587999999999999 0.172684 0.003189 0.00076800000000000002 0.0034680000000000002 0.012493000000000001 0.052755999999999997 0.26416099999999998 50.582160000000002 0.083135000000000001 3.3000000000000003e-05 0.010069999999999999 0.001555 0.0039849999999999998 0.13708299999999998 0.024632000000000005 0 0 1 13 12
0 uniform 2 15 51.494494000000003 2.4760800094988884 1 45 51.294001000000002 0.012011000000000001 0.163462 0.0031979999999999995 0.00076800000000000002 0.0034069999999999999 0.012418999999999999 0.052547999999999997 0.31846999999999998 50.743533999999997 0.087859999999999994 2.3e-05 0.010359999999999999 0.0016440000000000001 0.0040009999999999993 0.12275000000000001 0.028253999999999994 0 0 2 17 17
0 uniform 2 23 53.371295000000003 2.5425757937801223 1 45 53.154626999999998 0.011868999999999999 0.17910699999999993 0.0033220000000000003 0.00075199999999999996 0.003431 0.012182 0.052639999999999999 0.26222800000000002 52.657986000000001 0.089204000000000006 2.8e-05 0.0098510000000000004 0.0016069999999999999 0.0038839999999999999 0.13759299999999999 0.028357000000000011 0 0 3 16 15
0 uniform 3 0 0.72288799999999998 490.78838121191183 1 67 0.55771800000000005 0.017048000000000001 0.11574000000000004 0.0043699999999999998 0.0011510000000000001 0.0032759999999999998 0.012182999999999999 0.18063100000000001 0.116673 0 0.026449 0.00095600000000000004 0.11504599999999998 0.00067400000000000001 0.0042989999999999999 0.076440999999999967 0.028478000000000003 0 0 0 0 0
0 uniform 3 7 0.67099600000000004 500.90243914853698 1 67 0.48483100000000001 0.015183 0.14122899999999999 0.0038050000000000002 0.00084099999999999995 0.0030100000000000001 0.011275 0.051365000000000001 0.094833000000000001 0 0.026388000000000002 0.00089800000000000004 0.20338100000000001 0.00074899999999999999 0.0037779999999999997 0.104925 0.026303999999999994 0 0 1 42 42
0 uniform 3 15 0.70139300000000004 513.6746959875577 1 67 0.51492700000000002 0.015252999999999999 0.14161000000000001 0.0035850000000000001 0.00088400000000000002 0.0026770000000000001 0.010356000000000001 0.051025000000000001 0.102363 0 0.026096999999999999 0.00083100000000000003 0.230547 0.00068599999999999998 0.0036719999999999999 0.10464299999999999 0.026934999999999987 0 0 2 40 40
0 uniform 3 23 0.60229600000000005 528.13394552202078 1 67 0.41522199999999998 0.014703000000000001 0.14343699999999998 0.0034380000000000005 0.00084200000000000008 0.0026050000000000001 0.0095250000000000005 0.050972999999999997 0.093733999999999998 0 0.025149000000000001 0.00077099999999999998 0.14299300000000004 0.00074100000000000001 0.0035829999999999998 0.10574300000000003 0.027636000000000004 0 0 3 40 40
0 uniform 4 0 0.54451899999999998 2.6310460312299382 1 52 0.38270799999999999 0.011402000000000001 0.12874099999999999 0.0029480000000000001 0.00083500000000000002 0.0031020000000000002 0.011526 0.180198 0.075541999999999998 0 0.026717000000000001 0.00079699999999999997 0.00061600000000000001 0.001307 0.0034610000000000005 0.097906999999999994 0.022991999999999992 0 0 0 0 0
0 uniform 4 7 0.41175 2.5259767679796097 1 52 0.24168500000000001 0.011165 0.136878 0.0031700000000000001 0.0007310000000000001 0.0028149999999999998 0.010716 0.050959999999999998 0.064616999999999994 0 0.026484000000000001 0.00071299999999999998 0.00059699999999999998 0.0012329999999999999 0.0034630000000000004 0.10442700000000001 0.024147999999999999 0 0 1 19 19
0 uniform 4 15 0.471576 2.4276525037044272 1 68 0.244314 0.010337000000000001 0.18949100000000002 0.0043750000000000004 0.00074200000000000004 0.0028909999999999999 0.0098790000000000006 0.051001999999999999 0.074459999999999998 0 0.025884999999999998 0.00076199999999999998 0.00059100000000000005 0.00124 0.0033229999999999996 0.14661900000000003 0.032029000000000009 0 0 2 27 23
