case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid endpoint_cache_hits endpoint_cache_evaluations
0 uniform 2 0 35.048681999999999 2.3738776878589789 1 45 34.883853000000002 0.012194 0.13326500000000002 0.0033570000000000002 0.0010250000000000001 0.0030219999999999999 0.00992 0.171121 0.33081300000000002 34.194701999999999 0.085112000000000007 2.6999999999999999e-05 0.043719000000000008 0.0018029999999999999 0.0039199999999999999 0.10135700000000002 0.021773999999999991 0 0 0 0 0 0 0 0 0 0 0 34.79766 34.876579999999997 0.00092199999999999997 0.0055170000000000002 0.012787999999999999 6.0999999999999999e-05 0.034636 0 0 0 0 0 3 407
0 uniform 2 7 47.839454000000003 2.4185459771569833 1 45 47.637577 0.011665999999999999 0.16975000000000007 0.0031080000000000001 0.00092999999999999995 0.0033040000000000001 0.010829999999999999 0.010182 0.35013499999999997 47.122451999999996 0.08974 3.6000000000000001e-05 0.0098090000000000017 0.001477 0.0038550000000000004 0.13470399999999999 0.023508000000000001 0 0 1 13 12 0 0 0 0 0 0 47.586118999999997 47.630719999999997 0.0016750000000000001 0.0055970000000000004 0.01193 5.8999999999999998e-05 0.033784000000000002 1 1 8 0.11055858717162853 1 3 403
0 uniform 2 15 47.816755000000001 2.4760800094988884 1 45 47.621271 0.012093 0.16258899999999998 0.003199 0.00092399999999999991 0.0031080000000000001 0.010118 0.0096380000000000007 0.25551099999999999 47.206083999999997 0.08421300000000001 1.8e-05 0.0095299999999999985 0.001433 0.0038129999999999995 0.12320399999999998 0.026510999999999986 0 0 2 17 17 0 0 0 0 0 0 47.570858000000001 47.614376 0.001477 0.0052859999999999999 0.011897000000000001 3.8999999999999999e-05 0.033328000000000003 1 1 8 0.0016090859999255856 1 5 426
0 uniform 2 23 49.635537999999997 2.5425757937801223 1 45 49.444395 0.011873 0.15879400000000005 0.0032200000000000002 0.00091500000000000001 0.0032169999999999998 0.010626999999999999 0.010133 0.26898300000000003 48.996885999999996 0.092899999999999996 2.0999999999999999e-05 0.009555000000000001 0.0016019999999999999 0.0037869999999999996 0.12681999999999996 0.022383000000000011 0 0 3 16 15 0 0 0 0 0 0 49.388187000000002 49.437775999999999 0.0015330000000000001 0.0055180000000000003 0.012187000000000002 3.8000000000000002e-05 0.037612 1 1 8 0.0026246619501964687 1 12 404
0 uniform 3 0 0.63877600000000001 490.78838121191183 1 67 0.49504300000000001 0.016310999999999999 0.10446800000000003 0.0038960000000000002 0.0012349999999999998 0.003284 0.0098639999999999995 0.17632400000000001 0.116331 0 0.0040229999999999997 0.0021189999999999998 0.11165100000000001 0.00062600000000000004 0.0037329999999999993 0.069063999999999973 0.02516500000000001 0 0 0 0 0 0.0032079999999999999 1 0 0 14 0 0.335337 0.48809000000000002 0.001013 0.0019189999999999999 0.019106000000000001 2.1999999999999999e-05 0.030758000000000001 0 0 0 0 0 55 501
0 uniform 3 7 0.56934200000000001 500.90243914853698 1 67 0.39213100000000001 0.015535 0.13979099999999994 0.0036350000000000002 0.00098799999999999995 0.0027139999999999998 0.0088610000000000008 0.015629000000000001 0.091986999999999999 0 0.0035890000000000002 0.00096299999999999999 0.20261000000000001 0.00064400000000000004 0.0035089999999999995 0.10478199999999999 0.024806999999999992 0 0 1 42 42 0.0029640000000000001 1 0 0 14 0 0.145868 0.386241 0.0014369999999999999 0.0027000000000000001 0.017889000000000002 2.5999999999999998e-05 0.027154999999999999 2 1 16 0.0088212496358149681 2 39 508
0 uniform 3 15 0.58319399999999999 513.6746959875577 1 67 0.40406500000000001 0.015394 0.142122 0.0035859999999999998 0.00096999999999999994 0.0023760000000000001 0.0084499999999999992 0.0081250000000000003 0.089769000000000002 0 0.0035130000000000001 0.00093300000000000002 0.22880500000000004 0.00065499999999999998 0.0034509999999999996 0.10605300000000001 0.025941000000000009 0 0 2 40 40 0.0029390000000000002 1 0 0 14 0 0.13441700000000001 0.39870899999999998 0.0012149999999999999 0.0024750000000000002 0.016972999999999999 2.1999999999999999e-05 0.026197999999999999 1 1 8 0.0009877516298322979 1 30 542
0 uniform 3 23 0.48915900000000001 528.13394552202078 1 67 0.311724 0.014815999999999999 0.14129800000000001 0.0033809999999999999 0.00095800000000000008 0.0022599999999999999 0.0078200000000000006 0.0080510000000000009 0.088749999999999996 0 0.00346 0.00096699999999999998 0.13879500000000003 0.00062600000000000004 0.0034130000000000002 0.10472399999999998 0.026437999999999993 0 0 3 40 40 0.0029510000000000001 1 0 0 14 0 0.133297 0.30631199999999997 0.0011720000000000001 0.0024190000000000001 0.016383999999999999 2.1999999999999999e-05 0.026251 1 1 8 0.0017264993823830933 1 21 555
0 uniform 4 0 0.49825399999999997 2.6310460312299382 1 52 0.341472 0.011682 0.12957199999999996 0.0027910000000000001 0.00090200000000000002 0.0028679999999999999 0.0096659999999999992 0.17463799999999999 0.071554000000000006 0 0.01392 0.00095399999999999999 0.00058799999999999998 0.0012899999999999999 0.0032360000000000006 0.099210000000000007 0.022365000000000006 0 0 0 0 0 0.0030079999999999998 1 0 0 10 0 0.30257099999999998 0.33538000000000001 0.00082100000000000001 0.0040119999999999999 0.011740000000000002 2.5000000000000001e-05 0.034360000000000002 0 0 0 0 0 0 488
0 uniform 4 7 0.33663199999999999 2.5259767679820264 1 52 0.179179 0.010999 0.13013399999999997 0.0030630000000000002 0.00089599999999999988 0.0027859999999999998 0.0090460000000000002 0.0079889999999999996 0.080741999999999994 0 0.012848999999999999 0.00094499999999999998 0.00059199999999999997 0.0012589999999999999 0.0033349999999999999 0.099246999999999988 0.022527000000000012 0 0 1 25 24 0.0029250000000000001 1 0 0 10 0 0.14202999999999999 0.17328099999999999 0.001163 0.0040610000000000004 0.011296 3.4999999999999997e-05 0.031939000000000002 1 1 8 0.002527145321730481 1 14 486
