case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms
0 uniform 0 7 73.752852000000004 6.9223389959685582 1 83 69.326699000000005 4.033544 0.33998700000000015 0.0086150000000000011 0.002676 0.0096419999999999995 0.029439 0.020483000000000001 0.37539400000000001 68.705917999999997 0.093580999999999998 3.0000000000000001e-05 0.021905000000000001 0.0053689999999999996 0.0083450000000000035 0.26932299999999998 0.047611999999999974 0 0 1 15 15 0 0 0 0 0 0 69.195341999999997 69.306107999999995 0.0069309999999999997 0.0097610000000000006 0.019762999999999999 0.00031300000000000002 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.18479800000000007
0 uniform 0 15 69.852181999999999 7.0045054110051712 1 91 69.442376999999993 0.023765999999999999 0.3360599999999998 0.0091190000000000004 0.0028679999999999995 0.0088699999999999994 0.025718999999999999 0.014659 0.26244000000000001 68.874243000000007 0.10054199999999999 2.0999999999999999e-05 0.085483000000000003 0.0060159999999999996 0.0085280000000000009 0.26325699999999996 0.050820000000000004 0 0 2 14 13 0 0 0 0 0 0 69.250120999999993 69.420192 0.0087130000000000003 0.0092849999999999999 0.020133999999999999 0.00049399999999999997 0 1 1 8 0.0027134713756958736 1 65 14 51 2 16 18 0 6 96 14 5 72 0.18660399999999999
0 uniform 0 23 70.076393999999993 7.0403829421848272 1 91 69.612576000000004 0.027005000000000001 0.38746499999999995 0.0097419999999999989 0.001902 0.010101000000000001 0.029503000000000001 0.015535 0.39510200000000001 68.937540999999996 0.097697000000000006 2.0999999999999999e-05 0.057095000000000007 0.0061520000000000004 0.0062640000000000005 0.30800300000000014 0.054950999999999965 0 0 3 13 13 0 0 0 0 0 0 69.445600999999996 69.592862999999994 0.0074400000000000004 0.010222999999999999 0.020365000000000001 0.00039100000000000002 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.21416599999999997
0 uniform 1 0 0.96745199999999998 627.72831737403214 1 105 0.66720199999999996 0.015403 0.25453199999999998 0.0065649999999999997 0.001572 0.0093100000000000006 0.026771 0.178561 0.130355 0 0.0060679999999999996 0.0027200000000000002 0.25401399999999996 0.0028479999999999998 0.0040649999999999992 0.15764100000000006 0.078596999999999972 0 0 0 0 0 0.0035769999999999999 1 0 0 14 0 0.33397199999999999 0.65645200000000004 0.0046470000000000001 0.0038930000000000002 0.015919000000000003 0.003519 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.08125899999999997
0 uniform 1 7 0.62053400000000003 631.61507920937345 1 105 0.31502000000000002 0.013585 0.26369099999999995 0.0063729999999999993 0.001472 0.003137 0.0095790000000000007 0.0092530000000000008 0.14383299999999999 0 0.0035079999999999998 0.001119 0.103766 0.0011299999999999999 0.0038819999999999996 0.16945700000000014 0.076090999999999978 0 0 1 19 19 0.002944 1 0 0 14 0 0.16603299999999999 0.30809300000000001 0.002454 0.003519 0.014857 0.001614 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.090667000000000025
0 uniform 1 15 0.79289100000000001 635.58150147374488 1 128 0.40108500000000002 0.013481999999999999 0.3452849999999999 0.0070160000000000005 0.001549 0.0026189999999999998 0.0085089999999999992 0.0082380000000000005 0.113857 0 0.0035309999999999999 0.000968 0.22492200000000001 0.0010970000000000001 0.0038309999999999998 0.22109500000000007 0.10132499999999996 0 0 2 19 19 0.0029880000000000002 1 0 0 14 0 0.13336200000000001 0.393646 0.001294 0.0031710000000000002 0.014378 0.0012639999999999999 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.114847
0 uniform 1 23 0.64889399999999997 638.99054014712431 1 128 0.26867200000000002 0.012867999999999999 0.33618300000000012 0.0064799999999999996 0.001387 0.0024659999999999999 0.0082520000000000007 0.0081860000000000006 0.13827400000000001 0 0.0035469999999999998 0.00093199999999999999 0.071654999999999996 0.0010369999999999999 0.0036410000000000001 0.214113 0.099285000000000054 0 0 3 19 19 0.0030219999999999999 1 0 0 14 0 0.15770899999999999 0.26280199999999998 0.0012459999999999999 0.0032450000000000001 0.013664000000000001 0.001317 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.110356
0 uniform 2 0 51.245199 2.3738776878589789 1 45 51.039760999999999 0.022699 0.1431 0.006221 0.0014040000000000001 0.002983 0.0098110000000000003 0.17150199999999999 0.33392899999999998 50.322704999999999 0.093426000000000009 3.0000000000000001e-05 0.050331000000000001 0.0055259999999999997 0.0070400000000000011 0.107822 0.023574999999999995 0 0 0 0 0 0 0 0 0 0 0 50.908135000000001 51.021005000000002 0.0011379999999999999 0.010220999999999999 0.019365 0.00033799999999999998 0 0 0 0 0 0 39 17 22 2 8 10 0 6 67 17 3 25 0.08013300000000001
0 uniform 2 7 67.916776999999996 2.4185459771569833 1 45 67.676714000000004 0.023583 0.17955499999999999 0.0060669999999999995 0.0017109999999999998 0.010132 0.028681999999999999 0.014416 0.33976099999999998 67.104084999999998 0.089529999999999998 2.0000000000000002e-05 0.017822999999999999 0.0060559999999999998 0.0072970000000000005 0.144535 0.022978000000000002 0 0 1 13 12 0 0 0 0 0 0 67.546368999999999 67.655625000000001 0.00696 0.010588999999999999 0.021581999999999997 0.00039100000000000002 0 1 1 8 0.11055858717162853 1 35 13 22 3 9 12 0 5 67 13 3 29 0.104729
0 uniform 2 15 67.874207999999996 2.4760800094988884 1 45 67.652069999999995 0.023491999999999999 0.16472099999999992 0.0058549999999999991 0.0013029999999999999 0.0094210000000000006 0.027234999999999999 0.014088 0.26252700000000001 67.167833000000002 0.088930000000000009 2.0000000000000002e-05 0.014889999999999999 0.0052160000000000002 0.0071709999999999994 0.12601600000000002 0.026692000000000004 0 0 2 17 17 0 0 0 0 0 0 67.533750999999995 67.632379999999998 0.0081869999999999998 0.0101 0.020235 0.00031 0 1 1 8 0.0016090859999255856 1 41 17 24 1 10 11 0 5 76 17 3 25 0.10539900000000005
0 uniform 2 23 73.847205000000002 2.5425757937801223 1 45 73.598909000000006 0.023179999999999999 0.18560300000000005 0.0060250000000000008 0.0014419999999999999 0.00975 0.028278000000000001 0.013101 0.274779 73.092191 0.09708 2.0000000000000002e-05 0.015273 0.0057470000000000004 0.0084690000000000008 0.14433300000000002 0.027421000000000004 0 0 3 16 15 0 0 0 0 0 0 73.472875999999999 73.575280000000006 0.0072049999999999996 0.010194999999999999 0.019227999999999999 0.00021599999999999999 0 1 1 8 0.0026246619501964687 1 39 16 23 1 8 9 0 6 66 16 3 26 0.116468
0 uniform 3 0 0.69342700000000002 490.78838121191183 1 67 0.52902199999999999 0.022360999999999999 0.11544999999999998 0.0043170000000000005 0.0011689999999999999 0.0098499999999999994 0.027720999999999999 0.18007600000000001 0.130553 0 0.0069100000000000003 0.002679 0.112094 0.0015809999999999999 0.0043220000000000012 0.076650999999999997 0.027872999999999998 0 0 0 0 0 0.0045040000000000002 1 0 0 14 0 0.33659099999999997 0.51871299999999998 0.0050759999999999998 0.0020209999999999998 0.019840999999999998 2.8e-05 0 0 0 0 0 0 58 42 16 3 3 6 0 3 145 42 5 20 0.048122000000000005
0 uniform 3 7 0.54588099999999995 500.90243914853698 1 67 0.36973600000000001 0.015885 0.13794699999999996 0.0038779999999999995 0.00097999999999999997 0.0041289999999999999 0.0089029999999999995 0.018074 0.090218999999999994 0 0.00362 0.001108 0.20259199999999999 0.00067599999999999995 0.0035299999999999993 0.10227500000000003 0.025545999999999996 0 0 1 42 42 0.0030130000000000001 1 0 0 14 0 0.121257 0.36361599999999999 0.0030950000000000001 0.002771 0.018332000000000001 2.3e-05 0 2 1 16 0.0088212496358149681 2 58 42 16 3 3 6 0 3 145 42 5 20 0.075642000000000001
0 uniform 3 15 0.55510999999999999 513.6746959875577 1 67 0.380693 0.015781 0.13725500000000002 0.0036579999999999998 0.00097199999999999999 0.0026689999999999999 0.0085859999999999999 0.0083079999999999994 0.090913999999999995 0 0.0035959999999999998 0.00097999999999999997 0.22858100000000003 0.00064300000000000002 0.0034459999999999998 0.100921 0.026265999999999987 0 0 2 40 40 0.003019 1 0 0 14 0 0.109917 0.37503300000000001 0.001291 0.0024610000000000001 0.017214 2.3e-05 0 1 1 8 0.0009877516298322979 1 58 40 18 5 3 8 0 5 146 40 5 22 0.074434000000000014
0 uniform 3 23 0.46517799999999998 528.13394552202078 1 67 0.286333 0.015110999999999999 0.14266099999999998 0.0035959999999999998 0.00085000000000000006 0.0023029999999999999 0.0079930000000000001 0.008064 0.089791999999999997 0 0.0033159999999999999 0.00093700000000000001 0.13893100000000005 0.00056499999999999996 0.0033819999999999996 0.10609999999999997 0.026497999999999994 0 0 3 40 40 0.002846 1 0 0 14 0 0.107889 0.28101300000000001 0.0012819999999999999 0.0022659999999999998 0.016413999999999998 2.3e-05 0 1 1 8 0.0017264993823830933 1 58 40 18 5 3 8 0 5 147 40 5 22 0.079604000000000022
0 uniform 4 0 0.46533600000000003 2.6310460312299382 1 52 0.31298399999999998 0.012017 0.12455100000000002 0.0031939999999999998 0.00088400000000000002 0.0029559999999999999 0.0093080000000000003 0.17504800000000001 0.070844000000000004 0 0.018948 0.00095799999999999998 0.00057599999999999991 0.0018979999999999999 0.0032369999999999999 0.094577999999999982 0.022029999999999987 0 0 0 0 0 0.0029139999999999999 1 0 0 10 0 0.27325300000000002 0.30671500000000002 0.0010870000000000001 0.0040359999999999997 0.011992999999999998 2.8e-05 0 0 0 0 0 0 47 15 32 2 8 10 0 6 63 15 4 33 0.077989000000000017
0 uniform 4 7 0.30013299999999998 2.5259767679820264 1 52 0.145956 0.01112 0.128053 0.0027269999999999998 0.00073600000000000011 0.0027060000000000001 0.0083470000000000003 0.0079839999999999998 0.081740999999999994 0 0.012351000000000001 0.000861 0.00058999999999999992 0.0011980000000000001 0.0030429999999999997 0.097623000000000015 0.022548000000000006 0 0 1 25 24 0.0029380000000000001 1 0 0 10 0 0.110873 0.14058000000000001 0.0012149999999999999 0.0045180000000000003 0.010669000000000001 2.3e-05 0 1 1 8 0.002527145321730481 1 52 25 27 3 6 9 0 6 86 25 4 23 0.091327000000000033
