# fair V2 pure finite-source kernel; HEAD=8a9f701; n_r=64; timer=flux_value_integrate only; LensParams/PrimaryFrame/classify_cells(D14+topology)/I-O outside timer; no epoch_value; mapping=LensParams{time,y,rho,1/q,s,true}; repeats=3 median
# case_id configuration_id profile d_bin_index epoch_index s q rho x y time u X reference v2_mu F0 F_half status_code status ms ratio_v2_over_reference relative_error
1 1 linear 1 23 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6259738906568106 0.00026457903044116242 -1.6259639645215367 0.5 1.6350629593221886 84.791249357079778 84.795633098211837 6.3770695733850474e-07 4.559282852636208e-07 0 OK 0.50411600000000001 1.0000517003955631 5.1700395563206772e-05
1 1 linear 2 0 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6582446788177632 -0.024701825376412103 -1.6582546049530371 0.5 1.667353599753689 68.84156868056256 68.845132939849634 5.4456001133904171e-07 3.4335674703274971e-07 0 OK 0.40194200000000002 1.0000517748121576 5.1774812157654221e-05
1 1 linear 2 7 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6582446788177632 -0.024701825376412103 -1.6582485629576529 0.5 1.6673475577583048 61.72693397452705 61.729318531816816 4.8266710062901761e-07 3.1347482061846929e-07 0 OK 0.51111499999999999 1.0000386307424689 3.8630742468913954e-05
1 1 linear 2 15 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6582446788177632 -0.024701825376412103 -1.6582416578200712 0.5 1.6673406526207231 57.528453387457361 57.530643949483448 4.4803966774691359e-07 2.9395066187156569e-07 0 OK 0.50893100000000002 1.0000380778883682 3.8077888368267737e-05
1 1 linear 2 23 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6582446788177632 -0.024701825376412103 -1.6582347526824892 0.5 1.6673337474831411 54.636019956348512 54.638061119612317 4.247215432166706e-07 2.7996226000051502e-07 0 OK 0.40398499999999998 1.0000373592964025 3.7359296402542205e-05
1 1 linear 3 0 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6315105013818718 0.0015986042237884001 -1.6315204275171458 0.5 1.6406194223177977 39.628984737474326 39.628959686874232 3.0817227444290758e-07 2.0293455214364329e-07 0 OK 0.49798199999999998 0.99999936787176713 6.3212823290286923e-07
1 1 linear 3 7 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6315105013818718 0.0015986042237884001 -1.6315143855217615 0.5 1.6406133803224134 40.278061641616404 40.278036483294386 3.1334741405863006e-07 2.0613075470421188e-07 0 OK 0.49257299999999998 0.99999937538399342 6.2461600663686391e-07
1 1 linear 3 15 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6315105013818718 0.0015986042237884001 -1.6315074803841798 0.5 1.6406064751848317 41.07410032076988 41.074074263014168 3.1971334569498874e-07 2.1003156604193996e-07 0 OK 0.499226 0.99999936559156477 6.3440843519169014e-07
1 1 linear 3 23 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6315105013818718 0.0015986042237884001 -1.6315005752465979 0.5 1.6405995700472498 41.937719089281615 41.937689844233283 3.2664619070762226e-07 2.1423703560014795e-07 0 OK 0.49991099999999999 0.99999930265524772 6.9734475232668123e-07
1 1 linear 4 0 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6572205665868822 0.022790952304382966 -1.6572304927221562 0.5 1.6663294875228081 3.8620409058263752 3.8620395482202539 2.9886154401518151e-08 1.9923752122381938e-08 0 OK 0.22307099999999999 0.99999964847443246 3.5152556754417238e-07
1 1 linear 4 7 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6572205665868822 0.022790952304382966 -1.6572244507267719 0.5 1.6663234455274238 3.855806930014642 3.8558055847711867 2.9837911531143941e-08 1.9891593657452756e-08 0 OK 0.218112 0.99999965111234046 3.4888765950018622e-07
1 1 linear 4 15 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6572205665868822 0.022790952304382966 -1.6572175455891902 0.5 1.6663165403898421 3.8487277016614478 3.8487263703398935 2.978312752314796e-08 1.9855074869430538e-08 0 OK 0.220166 0.99999965408788105 3.4591211889511076e-07
1 1 linear 4 23 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6572205665868822 0.022790952304382966 -1.6572106404516083 0.5 1.6663096352522602 3.8416962953937599 3.8416949777835514 2.9728713615172861e-08 1.9818802754750676e-08 0 OK 0.21917300000000001 0.99999965702384908 3.4297615094544402e-07
1 1 uniform 0 0 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6612080518027779 -0.017635896530330094 -1.6612179779380518 0 1.6703169727387037 41.922291611726415 41.924516119821917 3.2442799245032144e-07 0 0 OK 0.20543600000000001 1.0000530626549737 5.3062654973742927e-05
1 1 uniform 0 7 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6612080518027779 -0.017635896530330094 -1.6612119359426676 0 1.6703109307433195 43.987614774812329 43.989898223483607 3.4041071166927927e-07 0 0 OK 0.21324899999999999 1.0000519111727919 5.1911172791885202e-05
1 1 uniform 0 15 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6612080518027779 -0.017635896530330094 -1.6612050308050859 0 1.6703040256057378 45.910506501119002 45.912808858935655 3.5529093199998273e-07 0 0 OK 0.208563 1.0000501488219609 5.01488219607615e-05
1 1 uniform 0 23 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6612080518027779 -0.017635896530330094 -1.6611981256675039 0 1.6702971204681558 47.308639293138114 47.310907064094181 3.661099523710616e-07 0 0 OK 0.21313699999999999 1.0000479356622796 4.7935662279673994e-05
1 1 uniform 1 0 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6259738906568106 0.00026457903044116242 -1.6259838167920846 0 1.6350828115927365 83.302759055623369 83.306530782535532 6.4465790046412854e-07 0 0 OK 0.32486599999999999 1.0000452773348076 4.527733480765503e-05
1 1 uniform 1 7 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6259738906568106 0.00026457903044116242 -1.6259777747967004 0 1.6350767695973523 83.062765049902367 83.066566233855056 6.4280096271044879e-07 0 0 OK 0.31992900000000002 1.0000457627909498 4.5762790949773112e-05
