case_id profile d_bin epoch target lane whole_ms topology_ms seed_ms band_ms mu reference relerr converged stop status support seeds bands probes nodes panels splits g0 g1 g2 g3 g4 q0 q1 q2 q3 q4
0 linear 0 0 0.0001 seed-warm-jac 1.5861270000000001 0.790219 0.00097999999999999997 0.755278 7.0379171295980631 7.037894869661673 3.1628685569192989e-06 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 80 6 72 174 3 0 7111.0000874049219 -282.97097267217936 -21419.962392898851 -7480.6541894164666 44743.877002237634 Invalid Invalid Invalid Invalid Invalid
0 linear 0 7 0.0001 d14-value 53.707940000000001 53.062131000000001 0 0 7.1651536137638754 7.1651902970737442 5.1196560520962065e-06 1 Converged OK 0 0 0 0 139 5 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 7 0.0001 seed-cold-value 3.6730680000000002 2.3071999999999999 1.5111680000000001 0.75824199999999997 7.1651536248885366 7.1651902970737442 5.1181034539472385e-06 1 Converged OK 1 80 6 72 317 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 7 0.0001 seed-warm-value 2.1311439999999999 0.90211399999999997 0.118892 0.75431199999999998 7.1651536248885366 7.1651902970737442 5.1181034539472385e-06 1 Converged OK 1 80 6 72 317 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 7 0.0001 d14-jac 54.235244000000002 53.070636 0 0 7.1651536137638754 7.1651902970737442 5.1196560520962065e-06 1 Converged OK 0 0 0 0 251 5 0 4976.8983977580574 2180.8783345379002 -22705.378234034932 -5991.8530387765077 -12502.242876966548 ToleranceMet ToleranceMet ToleranceMet ToleranceMet ToleranceMet
0 linear 0 7 0.0001 seed-cold-jac 4.3961430000000004 2.3491439999999999 1.5463420000000001 0.766262 7.1651536248885366 7.1651902970737442 5.1181034539472385e-06 1 Converged OK 1 80 6 72 355 4 1 4990.7442166971186 2127.3798484688091 -22668.62852204364 -5987.5425201177368 -11486.16664358747 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 0 7 0.0001 seed-warm-jac 2.6433490000000002 0.79347199999999996 0.001418 0.76254200000000005 7.1651536248885366 7.1651902970737442 5.1181034539472385e-06 1 Converged OK 1 80 6 72 355 4 1 4990.7442166971186 2127.3798484688091 -22668.62852204364 -5987.5425201177368 -11486.16664358747 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 0 15 0.0001 d14-value 53.962336000000001 53.354301 0 0 7.2540774126046532 7.2540663721087535 1.5219733778805254e-06 1 Converged OK 0 0 0 0 155 5 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 15 0.0001 seed-cold-value 4.9682440000000003 2.276192 1.4666570000000001 0.76592199999999999 7.2540773331190342 7.2540663721087535 1.5110159899965028e-06 1 Converged OK 1 80 6 72 587 4 1 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 15 0.0001 seed-warm-value 3.2769509999999999 0.92154800000000003 0.121257 0.75698600000000005 7.2540773331190342 7.2540663721087535 1.5110159899965028e-06 1 Converged OK 1 80 6 72 587 4 1 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 15 0.0001 d14-jac 54.896562000000003 53.360895999999997 0 0 7.2540774126046532 7.2540663721087535 1.5219733778805254e-06 1 Converged OK 0 0 0 0 315 5 0 2401.9351399322341 5053.3941123646846 -23311.734436601273 -4163.6313862976413 -79726.394299211606 ToleranceMet ToleranceMet ToleranceMet ToleranceMet ToleranceMet
0 linear 0 15 0.0001 seed-cold-jac 6.070379 2.3289520000000001 1.518324 0.76590499999999995 7.2540773331190342 7.2540663721087535 1.5110159899965028e-06 1 Converged OK 1 80 6 72 617 5 2 2406.7174166211698 5022.6531812470566 -23287.733092216582 -4157.6823538040171 -79162.291045392049 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 0 15 0.0001 seed-warm-jac 4.1301819999999996 0.80460799999999999 0.001343 0.75951199999999996 7.2540773331190342 7.2540663721087535 1.5110159899965028e-06 1 Converged OK 1 80 6 72 617 5 2 2406.7174166211698 5022.6531812470566 -23287.733092216582 -4157.6823538040171 -79162.291045392049 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 0 23 0.0001 d14-value 54.087941999999998 53.420416000000003 0 0 7.2793534086675269 7.2792531935334868 1.3767227403101309e-05 1 Converged OK 0 0 0 0 155 5 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 23 0.0001 seed-cold-value 6.887435 5.5729519999999999 1.6208009999999999 3.9046259999999999 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 72 277 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 23 0.0001 seed-warm-value 5.2068779999999997 4.1316850000000001 0.185194 3.902444 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 72 277 3 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 0 23 0.0001 d14-jac 54.977868000000001 53.321258999999998 0 0 7.2793534086675269 7.2792531935334868 1.3767227403101309e-05 1 Converged OK 0 0 0 0 315 5 0 -323.3730205679214 7992.0797203378625 -22932.026701923241 -2196.4082834867504 -149005.02893407922 ToleranceMet ToleranceMet ToleranceMet ToleranceMet ToleranceMet
0 linear 0 23 0.0001 seed-cold-jac 6.8855930000000001 5.4859830000000001 1.540454 3.8990670000000001 7.2790232394358636 7.2792531935334868 3.1590341963574415e-05 0 TopologyUnresolved GRADIENT_UNRELIABLE 1 233 6 72 277 3 0 -364.96984813429555 7950.1143280014949 -22878.162635923287 -2135.8006867981835 -148530.6988659474 Invalid Invalid Invalid Invalid Invalid
