case_id	configuration_id	profile	d_bin_index	epoch_index	rep	lane	pair	v2_accepted	probe_accepted	probe_viable	probe_finite	probe_reason	probe_full_step_ratio	probe_accepted_ratio	probe_backtracks	probe_step_over_separation	probe_det_fraction	driver_pair_stable	post_driver_pair	post_driver_max_step	post_pair_external_max_step	v2_pair_iterations	probe_pair_iterations	v2_pair_backtracks	probe_pair_backtracks	v2_verify_sweeps	probe_verify_sweeps	probe_verify_converged	probe_scalar_certificate
149	149	uniform	1	15	0	cold	5,4	0	0	0	1	no-residual-decrease-within-3-backtracks	+4.000000476837129781418957727276711377e+00	-1.000000000000000000000000000000000000e+00	-1	-1.000000000000000000000000000000000000e+00	+9.970160029834444393644914582505007361e-01	0	-1,-1	-1.000000000000000000000000000000000000e+00	-1.000000000000000000000000000000000000e+00	0	0	0	0	0	0	0	0
149	149	uniform	1	15	0	warm	10,11	1	1	1	1	passed	+1.333333333333333333333333333333333269e+00	+3.333333333333333333333333333333333173e-01	3	+1.313456878527512785333796184719286876e-16	+1.143999301551435049553929961188617234e-02	1	10,11	+1.181757271293230398356146687603390675e-19	+3.544787804508174914647522833922213008e-21	2	2	14	14	1	1	1	1
149	149	uniform	1	23	0	warm	5,9	0	0	0	1	pair-external-correction-above-1e-20	+3.333339514549368384375974150916232393e-01	+3.333339514549368384375974150916232393e-01	0	+8.449647509562389758821958642046970824e-12	+9.727235513528229459592070237672554899e-01	1	9,5	+7.420832064745268276465853582929973212e-17	+5.859285619859608293072302771799779022e-17	3	1	4	0	1	0	0	0
149	149	uniform	1	7	0	cold	11,5	0	0	0	1	residual-not-halved	+9.999999701976789445722508757422955326e-01	+9.999999701976789445722508757422955326e-01	0	+3.636483833181325143253584319857094276e-11	+9.999999999999999999988194651283149694e-01	1	11,5	+6.924437791482132118852106551610154857e-16	+4.075926503836176201088604576122407772e-19	4	1	3	0	0	0	0	0
149	149	uniform	1	7	0	warm	6,5	0	0	0	1	no-residual-decrease-within-3-backtracks	+1.228800260416639071929563183743822012e+03	-1.000000000000000000000000000000000000e+00	-1	-1.000000000000000000000000000000000000e+00	+9.999999999999999999993041125194536556e-01	0	-1,-1	-1.000000000000000000000000000000000000e+00	-1.000000000000000000000000000000000000e+00	0	0	0	0	0	0	0	0
64	64	linear	0	0	0	cold	6,7	0	0	0	1	pair-external-correction-above-1e-20	+4.994515871849189686622302803868815877e-01	+4.994515871849189686622302803868815877e-01	0	+9.042416732512107477032592904788726853e-12	+5.635089115040658606029438065533455771e-01	1	7,6	+6.744406745796645649454194797003473236e-16	+3.522043809910756701091357674591193169e-16	4	1	38	0	0	0	0	0
64	64	linear	0	0	0	warm	6,7	0	0	0	1	pair-external-correction-above-1e-20	+4.994515871849189686622302803868815877e-01	+4.994515871849189686622302803868815877e-01	0	+9.042416732512107477032592904788726853e-12	+5.635089115040658606029438065533455771e-01	1	7,6	+6.744406745796645649454194797003473236e-16	+3.522043809910756701091357674591193169e-16	4	1	38	0	0	0	0	0
64	64	linear	0	15	0	cold	9,6	0	0	0	1	post-probe-global-correction-above-1e-20	+3.999511808138781153977591118009962384e-01	+3.999511808138781153977591118009962384e-01	0	+1.682597139211520584231526636844370231e-11	+4.796806185725830711693303041576304770e-01	0	6,12	+1.317839984343040194734566913028023107e-15	+1.686804055974586701538152495548777726e-16	6	1	5	0	0	0	0	0
64	64	linear	0	15	0	warm	5,8	0	0	0	1	post-probe-global-correction-above-1e-20	+4.001249365587019689981755824473349153e-01	+4.001249365587019689981755824473349153e-01	0	+1.682687488435236383012060384124249361e-11	+4.796806185260401694136989195586815137e-01	0	11,8	+8.418623163413218106321371074628600377e-16	+3.368681935528006774025813409039430946e-16	4	1	4	0	0	0	0	0
64	64	linear	0	23	0	cold	6,7	0	0	0	1	pair-external-correction-above-1e-20	+1.500000000000000000000000000000000000e+00	+5.000000000000000000000000000000000000e-01	1	+4.028325463705963638958100227500200066e-10	+9.991053367456649122979155821653425866e-01	1	7,6	+3.962642344870173282490927832227767762e-15	+4.533349305476605566062622421523557798e-16	3	1	3	1	1	0	0	0
64	64	linear	0	23	0	warm	9,8	0	0	0	1	residual-not-halved	+9.998779520346952884943617369676845145e-01	+9.998779520346952884943617369676845145e-01	0	+5.756090818082822788220045320632229635e-12	+4.321776427220070436345738211953136771e-01	1	9,8	+3.019612815392888355994917510826927926e-16	+1.509806407667813111130073857488427887e-16	4	1	18	0	0	0	0	0
64	64	linear	0	7	0	cold	8,13	0	0	0	1	post-probe-global-correction-above-1e-20	+3.339112849304505840671070780118233343e-01	+3.339112849304505840671070780118233343e-01	0	+7.939014600247893690809384350742313658e-12	+9.806514629341161243000073769697400373e-01	0	13,7	+1.886302659770041306769203191816622080e-16	+4.824860942234167062167736053794987730e-18	3	1	8	0	0	0	0	0
64	64	linear	0	7	0	warm	4,11	0	0	0	1	residual-not-halved	+2.998698904850438549977186409765035503e+00	+9.995120760870788193542583713926503306e-01	2	+9.842629927113058999458861315913849734e-13	+5.250244623825243188054536167186471602e-01	0	11,9	+6.637615970771404776917211183854588232e-16	+5.883216354186459263267508373188680378e-18	2	1	7	2	0	0	0	0
9	9	uniform	2	7	0	warm	10,12	1	1	1	1	passed	+4.000000000000000000000000000000000000e+00	+9.320007453674624436906445142871450418e-30	1	+3.135164562957192850154699488862517498e-12	+1.940779449308833155416507721368548366e-02	0	9,6	+3.847030479347506817831962454139169153e-22	+3.354208992676400585234084669495706036e-22	2	1	1	1	1	1	1	1
