case_id	configuration_id	profile	d_bin_index	epoch_index	rep	lane	max_scaled_root_delta	role_mismatches	physical_mismatches
3	3	linear	1	15	0	warm	5.879032010658358e-40	0	0
3	3	linear	1	23	0	cold	7.482793420338619e-37	0	0
3	3	linear	1	23	0	warm	1.262443397633085e-40	0	0
3	3	linear	2	0	0	cold	1.0586130686692723e-19	0	0
3	3	linear	2	0	0	warm	1.0586130686692723e-19	0	0
3	3	linear	2	7	0	cold	9.842349658164687e-49	0	0
3	3	linear	2	7	0	warm	7.689804234904692e-35	0	0
3	3	linear	2	15	0	cold	4.82098295106687e-35	0	0
3	3	linear	2	15	0	warm	1.758186082340025e-36	0	0
3	3	linear	2	23	0	cold	7.487330234510758e-39	0	0
3	3	linear	2	23	0	warm	2.1337748664035257e-38	0	0
3	3	linear	3	0	0	cold	2.0021848613595906e-36	0	0
3	3	linear	3	0	0	warm	2.0021848613595906e-36	0	0
3	3	linear	3	7	0	cold	4.131553864157821e-38	0	0
3	3	linear	3	7	0	warm	1.8863498523371446e-39	0	0
3	3	linear	3	15	0	cold	5.3102230797254756e-40	0	0
3	3	linear	3	15	0	warm	4.56325257279476e-40	0	0
3	3	linear	3	23	0	cold	1.6818008099646595e-38	0	0
3	3	linear	3	23	0	warm	9.601093806008907e-40	0	0
3	3	linear	4	0	0	cold	2.2798643273489266e-43	0	0
3	3	linear	4	0	0	warm	2.2798643273489266e-43	0	0
3	3	linear	4	7	0	cold	1.388084155525296e-44	0	0
3	3	linear	4	7	0	warm	2.4677084709015656e-43	0	0
3	3	linear	4	15	0	cold	1.2547139091385721e-42	0	0
3	3	linear	4	15	0	warm	1.451472884510156e-43	0	0
3	3	linear	4	23	0	cold	4.0474169932300466e-45	0	0
3	3	linear	4	23	0	warm	2.7533982594520756e-46	0	0
3	3	uniform	0	0	0	cold	1.4854185419469327e-42	0	0
3	3	uniform	0	0	0	warm	1.4854185419469327e-42	0	0
3	3	uniform	0	7	0	cold	1.0734848493318823e-53	0	0
3	3	uniform	0	7	0	warm	1.2548823450764583e-52	0	0
3	3	uniform	0	15	0	cold	1.8740984355470805e-36	0	0
3	3	uniform	0	15	0	warm	8.709463145217682e-38	0	0
3	3	uniform	0	23	0	cold	4.095944226106707e-39	0	0
3	3	uniform	0	23	0	warm	1.0298424702484042e-38	0	0
3	3	uniform	1	0	0	cold	5.979397965475019e-37	0	0
3	3	uniform	1	0	0	warm	5.979397965475019e-37	0	0
3	3	uniform	1	7	0	cold	3.0442848972731844e-38	0	0
3	3	uniform	1	7	0	warm	6.831398198625629e-37	0	0
3	3	uniform	1	15	0	cold	2.7745887735073934e-38	0	0
3	3	uniform	1	15	0	warm	5.879032010658358e-40	0	0
3	3	uniform	1	23	0	cold	7.482793420338619e-37	0	0
3	3	uniform	1	23	0	warm	1.262443397633085e-40	0	0
3	3	uniform	2	0	0	cold	1.0586130686692723e-19	0	0
3	3	uniform	2	0	0	warm	1.0586130686692723e-19	0	0
3	3	uniform	2	7	0	cold	9.842349658164687e-49	0	0
3	3	uniform	2	7	0	warm	7.689804234904692e-35	0	0
3	3	uniform	2	15	0	cold	4.82098295106687e-35	0	0
3	3	uniform	2	15	0	warm	1.758186082340025e-36	0	0
3	3	uniform	2	23	0	cold	7.487330234510758e-39	0	0
3	3	uniform	2	23	0	warm	2.1337748664035257e-38	0	0
3	3	uniform	3	0	0	cold	2.0021848613595906e-36	0	0
3	3	uniform	3	0	0	warm	2.0021848613595906e-36	0	0
3	3	uniform	3	7	0	cold	4.131553864157821e-38	0	0
3	3	uniform	3	7	0	warm	1.8863498523371446e-39	0	0
3	3	uniform	3	15	0	cold	5.3102230797254756e-40	0	0
3	3	uniform	3	15	0	warm	4.56325257279476e-40	0	0
3	3	uniform	3	23	0	cold	1.6818008099646595e-38	0	0
3	3	uniform	3	23	0	warm	9.601093806008907e-40	0	0
3	3	uniform	4	0	0	cold	2.2798643273489266e-43	0	0
3	3	uniform	4	0	0	warm	2.2798643273489266e-43	0	0
3	3	uniform	4	7	0	cold	1.388084155525296e-44	0	0
3	3	uniform	4	7	0	warm	2.4677084709015656e-43	0	0
3	3	uniform	4	15	0	cold	1.2547139091385721e-42	0	0
3	3	uniform	4	15	0	warm	1.451472884510156e-43	0	0
3	3	uniform	4	23	0	cold	4.0474169932300466e-45	0	0
3	3	uniform	4	23	0	warm	2.7533982594520756e-46	0	0
4	4	linear	0	0	0	cold	3.249461862732236e-72	0	0
4	4	linear	0	0	0	warm	3.249461862732236e-72	0	0
4	4	linear	0	7	0	cold	3.4934206925587153e-74	0	0
4	4	linear	0	7	0	warm	1.2495318875165624e-74	0	0
4	4	linear	0	15	0	cold	5.421766314391796e-75	0	0
4	4	linear	0	15	0	warm	6.833228212052342e-80	0	0
4	4	linear	0	23	0	cold	5.230021356246705e-75	0	0
4	4	linear	0	23	0	warm	4.8923600544297805e-76	0	0
4	4	linear	1	0	0	cold	4.277530384014891e-72	0	0
4	4	linear	1	0	0	warm	4.277530384014891e-72	0	0
4	4	linear	1	7	0	cold	4.020103954268452e-65	0	0
4	4	linear	1	7	0	warm	4.751372220192778e-64	0	0
4	4	linear	1	15	0	cold	5.235700613865224e-73	0	0
4	4	linear	1	15	0	warm	4.898030310432118e-72	0	0
4	4	linear	1	23	0	cold	7.84188809788467e-45	0	0
4	4	linear	1	23	0	warm	4.3826489429773516e-69	0	0
4	4	linear	2	0	0	cold	3.5085970076755285e-58	0	0
4	4	linear	2	0	0	warm	3.5085970076755285e-58	0	0
4	4	linear	2	7	0	cold	1.0990411726820435e-52	0	0
4	4	linear	2	7	0	warm	1.5918231368901507e-46	0	0
4	4	linear	2	15	0	cold	4.453145662461926e-64	0	0
4	4	linear	2	15	0	warm	1.4328934431578073e-55	0	0
4	4	linear	2	23	0	cold	1.4353033628885564e-47	0	0
4	4	linear	2	23	0	warm	8.301064991171342e-40	0	0
4	4	linear	3	0	0	cold	1.3172237651533024e-73	0	0
4	4	linear	3	0	0	warm	1.3172237651533024e-73	0	0
4	4	linear	3	7	0	cold	1.8620963379423358e-58	0	0
4	4	linear	3	7	0	warm	2.2188247214138068e-59	0	0
4	4	linear	3	15	0	cold	5.996584692693303e-64	0	0
4	4	linear	3	15	0	warm	4.483311321272399e-71	0	0
4	4	linear	3	23	0	cold	1.7328770868067008e-73	0	0
4	4	linear	3	23	0	warm	1.1244479815834696e-70	0	0
4	4	linear	4	0	0	cold	1.8477030645032682e-73	0	0
4	4	linear	4	0	0	warm	1.8477030645032682e-73	0	0
4	4	linear	4	7	0	cold	2.9131529533003563e-77	0	0
4	4	linear	4	7	0	warm	2.903375532583006e-75	0	0
4	4	linear	4	15	0	cold	2.440542800602859e-69	0	0
4	4	linear	4	15	0	warm	3.922509151185638e-76	0	0
4	4	linear	4	23	0	cold	6.141044753697916e-71	0	0
4	4	linear	4	23	0	warm	1.5842010777113974e-75	0	0
4	4	uniform	0	0	0	cold	3.249461862732236e-72	0	0
4	4	uniform	0	0	0	warm	3.249461862732236e-72	0	0
4	4	uniform	0	7	0	cold	3.4934206925587153e-74	0	0
4	4	uniform	0	7	0	warm	1.2495318875165624e-74	0	0
4	4	uniform	0	15	0	cold	5.421766314391796e-75	0	0
4	4	uniform	0	15	0	warm	6.833228212052342e-80	0	0
4	4	uniform	0	23	0	cold	5.230021356246705e-75	0	0
4	4	uniform	0	23	0	warm	4.8923600544297805e-76	0	0
4	4	uniform	1	0	0	cold	4.277530384014891e-72	0	0
4	4	uniform	1	0	0	warm	4.277530384014891e-72	0	0
4	4	uniform	1	7	0	cold	4.020103954268452e-65	0	0
4	4	uniform	1	7	0	warm	4.751372220192778e-64	0	0
4	4	uniform	1	15	0	cold	5.235700613865224e-73	0	0
4	4	uniform	1	15	0	warm	4.898030310432118e-72	0	0
4	4	uniform	1	23	0	cold	7.84188809788467e-45	0	0
4	4	uniform	1	23	0	warm	4.3826489429773516e-69	0	0
4	4	uniform	2	0	0	cold	3.5085970076755285e-58	0	0
4	4	uniform	2	0	0	warm	3.5085970076755285e-58	0	0
4	4	uniform	2	7	0	cold	1.0990411726820435e-52	0	0
4	4	uniform	2	7	0	warm	1.5918231368901507e-46	0	0
4	4	uniform	2	15	0	cold	4.453145662461926e-64	0	0
4	4	uniform	2	15	0	warm	1.4328934431578073e-55	0	0
4	4	uniform	2	23	0	cold	1.4353033628885564e-47	0	0
4	4	uniform	2	23	0	warm	8.301064991171342e-40	0	0
4	4	uniform	3	0	0	cold	1.3172237651533024e-73	0	0
4	4	uniform	3	0	0	warm	1.3172237651533024e-73	0	0
4	4	uniform	3	7	0	cold	1.8620963379423358e-58	0	0
4	4	uniform	3	7	0	warm	2.2188247214138068e-59	0	0
4	4	uniform	3	15	0	cold	5.996584692693303e-64	0	0
4	4	uniform	3	15	0	warm	4.483311321272399e-71	0	0
4	4	uniform	3	23	0	cold	1.7328770868067008e-73	0	0
4	4	uniform	3	23	0	warm	1.1244479815834696e-70	0	0
4	4	uniform	4	0	0	cold	1.8477030645032682e-73	0	0
4	4	uniform	4	0	0	warm	1.8477030645032682e-73	0	0
4	4	uniform	4	7	0	cold	2.9131529533003563e-77	0	0
4	4	uniform	4	7	0	warm	2.903375532583006e-75	0	0
4	4	uniform	4	15	0	cold	2.440542800602859e-69	0	0
