rounds panel cell depth level slot R jac weight grad cold fd fdhalf value coldvalue reliable a b
0 3 7 0 6 3 0.88965866482066669 0.00017564267413904748 0.0076810936501366008 -26.986448509724969 -26.986448509695698 -26.986436236693223 -26.98645421740942 0.00072139777184511628 0.00072139777184624212 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 4 0.88965661963674669 0.0003118148325380076 0.0090939383068832993 -26.98479221198426 -26.984792212253861 -26.984795324326942 -26.984785375890119 0.0022735557857139761 0.00227355578569104 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 5 0.88965232799967287 0.0004863302698462611 0.012411795202613259 -26.981316617270647 -26.981316617293015 -26.981316358406779 -26.981314475283099 0.0055305603565752957 0.0055305603565703144 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 6 0.8896445709841696 0.00069876856308959405 0.013763659943951508 -26.975034571067027 -26.975034571036186 -26.975034443953977 -26.975036444413043 0.011417295282222755 0.011417295282236175 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 7 0.88963188918009761 0.00094861792981218082 0.017023388145690082 -26.964764155736386 -26.964764155716161 -26.964764308638287 -26.964764841217747 0.021040826588305833 0.021040826588321716 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 8 0.88961260044318857 0.0012352764610053665 0.018298129253395305 -26.949143063495153 -26.949143063487611 -26.949143195191308 -26.949142763426305 0.035676608014510759 0.035676608014522077 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 9 0.88958482044167408 0.0015580535711591857 0.021474674918137926 -26.926645237772398 -26.926645237774874 -26.926645238288611 -26.926645464304812 0.056752383773441925 0.056752383773436083 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 10 0.88954648579046647 0.0019161716619433484 0.022652294445957712 -26.895599627784481 -26.895599627786513 -26.895599617870399 -26.895599870787329 0.085829902854103191 0.085829902854095586 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 11 0.88949537953807933 0.0023087679955097048 0.025723465470155256 -26.854210885663104 -26.854210885662756 -26.85421091447451 -26.854211031590303 0.12458458428938317 0.1245845842893859 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 12 0.88942915874730832 0.0027348967729033222 0.026783856653067904 -26.80058183507591 -26.800581835075938 -26.800581845570228 -26.800581782219918 0.17478329998025299 0.17478329998025313 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 13 0.88934538388904594 0.0031935314125749901 0.029729053685868825 -26.732737544490028 -26.732737544489659 -26.732737482935669 -26.732737536941215 0.23826047049750315 0.23826047049750673 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 14 0.88924154974969649 0.0036835670235060821 0.030652896615667148 -26.648650853632244 -26.648650853631928 -26.648650839527747 -26.648650910326573 0.31689269926889058 0.31689269926889646 1 0.85720378575239498 0.88965961535403337
