case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic cycle_skipped
0 uniform 2 7 51.245922 2.4185459771569833 1 45 51.043855000000001 0.011446 0.16915999999999998 0.0031519999999999999 0.00086199999999999992 0.0032850000000000002 0.010163 0.053740999999999997 0.26428400000000002 50.570964000000004 0.089206000000000008 2.0000000000000002e-05 0.0098259999999999997 0.0014779999999999999 0.0038019999999999998 0.13561799999999996 0.022308999999999999 0 0 1 13 12 0 0 0 0 0 0 50.992246000000002 51.036884999999998 0.00165 0.005424 0.012135999999999999 5.7000000000000003e-05 0.033491 0
0 uniform 2 15 51.479970000000002 2.4760800094988884 1 45 51.291040000000002 0.011664000000000001 0.15556799999999998 0.0034099999999999998 0.00085399999999999994 0.0032880000000000001 0.010038999999999999 0.056439000000000003 0.31879200000000002 50.762430000000002 0.085033999999999998 2.0000000000000002e-05 0.010064 0.001523 0.0040620000000000005 0.11717700000000003 0.025986000000000002 0 0 2 17 17 0 0 0 0 0 0 51.238689000000001 51.283678000000002 0.0014300000000000001 0.0055469999999999998 0.012064 5.1e-05 0.033716000000000003 0
0 uniform 2 23 53.510503 2.5425757937801223 1 45 53.306288000000002 0.011682 0.17053299999999996 0.003457 0.00086899999999999998 0.0033500000000000001 0.010191 0.053759000000000001 0.26256299999999999 52.828586999999999 0.089763999999999997 2.4000000000000001e-05 0.0096199999999999983 0.001671 0.0038449999999999999 0.133743 0.024692000000000013 0 0 3 16 15 0 0 0 0 0 0 53.254156000000002 53.299289000000002 0.001436 0.0055719999999999997 0.012764999999999999 5.8e-05 0.037429999999999998 0
0 uniform 3 0 0.66904300000000005 490.78838121191183 1 67 0.50790900000000005 0.017099 0.11816599999999999 0.0046409999999999993 0.001217 0.0033869999999999998 0.010111 0.18836600000000001 0.11629200000000001 0 0.0046100000000000004 0.0011789999999999999 0.111844 0.00061700000000000004 0.0042070000000000007 0.078765000000000029 0.028071999999999996 0 0 0 0 0 0.0030869999999999999 1 0 0 14 0 0.34711700000000001 0.50096799999999997 0.0010189999999999999 0.001964 0.019429999999999999 5.3000000000000001e-05 0.030962 0
0 uniform 3 7 0.61513300000000004 500.90243914853698 1 67 0.43868200000000002 0.015148 0.13952099999999998 0.0036569999999999997 0.00088100000000000006 0.0042110000000000003 0.0090310000000000008 0.053706999999999998 0.095038999999999998 0 0.003725 0.001124 0.20471800000000004 0.00073099999999999999 0.0035300000000000002 0.10379500000000004 0.025530999999999995 0 0 1 42 42 0.0029740000000000001 1 0 0 14 0 0.18801100000000001 0.43245499999999998 0.0012899999999999999 0.0023830000000000001 0.018020000000000001 2.5999999999999998e-05 0.028374 0
0 uniform 3 15 0.63039199999999995 513.6746959875577 1 67 0.45470699999999997 0.014944000000000001 0.13940699999999998 0.0035739999999999995 0.00089000000000000006 0.0026319999999999998 0.0082059999999999998 0.052173999999999998 0.094323000000000004 0 0.0035040000000000002 0.0010169999999999999 0.22818000000000002 0.00062100000000000002 0.0034519999999999993 0.10301100000000003 0.026287000000000001 0 0 2 40 40 0.0029399999999999999 1 0 0 14 0 0.184615 0.448849 0.0012409999999999999 0.0022190000000000001 0.017232999999999998 2.4000000000000001e-05 0.027983999999999998 0
0 uniform 3 23 0.53974900000000003 528.13394552202078 1 67 0.36399399999999998 0.014298999999999999 0.140463 0.003271 0.00083299999999999997 0.0024729999999999999 0.0078770000000000003 0.051985000000000003 0.096507999999999997 0 0.0035469999999999998 0.00084999999999999995 0.13866300000000001 0.00063599999999999996 0.0033740000000000003 0.10362600000000005 0.02669899999999999 0 0 3 40 40 0.0029640000000000001 1 0 0 14 0 0.18559300000000001 0.358595 0.0011509999999999999 0.0021059999999999998 0.016626999999999999 2.6999999999999999e-05 0.027192999999999998 0
0 uniform 4 0 0.50583699999999998 2.6310460312299382 1 52 0.35329100000000002 0.011544 0.12538199999999999 0.0029129999999999998 0.00079000000000000001 0.0031159999999999998 0.0093519999999999992 0.18245700000000001 0.075792999999999999 0 0.013651999999999999 0.001026 0.00059900000000000003 0.00124 0.0032350000000000005 0.095374000000000014 0.022085999999999991 0 0 0 0 0 0.0029870000000000001 1 0 0 10 0 0.31404199999999999 0.34693400000000002 0.00076999999999999996 0.0042519999999999997 0.011949999999999999 2.6999999999999999e-05 0.033846000000000001 0
0 uniform 4 7 0.365035 2.5259767679796097 1 52 0.20507500000000001 0.010762000000000001 0.13348599999999997 0.0029480000000000001 0.00067699999999999998 0.0028649999999999999 0.0086759999999999997 0.051844000000000001 0.065032999999999994 0 0.012711 0.00086499999999999999 0.00059200000000000008 0.0011150000000000001 0.00313 0.10227899999999999 0.023270999999999993 0 0 1 19 19 0.0029659999999999999 1 0 0 10 0 0.16935800000000001 0.19937299999999999 0.001137 0.0045240000000000002 0.010728999999999999 3.6000000000000001e-05 0.031094 0
0 uniform 4 15 0.43031700000000001 2.4276525037044272 1 68 0.21521899999999999 0.009972 0.18589000000000006 0.0039810000000000002 0.00078299999999999995 0.0026940000000000002 0.0085109999999999995 0.051983000000000001 0.075004000000000001 0 0.012618000000000001 0.00083199999999999995 0.00058299999999999997 0.0011019999999999999 0.0031960000000000001 0.144173 0.031348000000000008 0 0 2 27 23 0.0030010000000000002 1 0 0 10 0 0.17979400000000001 0.20963899999999999 0.001145 0.0041050000000000001 0.010856999999999999 2.5999999999999998e-05 0.031759000000000003 0
0 uniform 4 23 0.35695500000000002 2.3458220510894816 1 45 0.21735299999999999 0.010158 0.11390500000000001 0.0025760000000000002 0.00070899999999999999 0.0026589999999999999 0.0080700000000000008 0.051788000000000001 0.075145000000000003 0 0.016413000000000001 0.00082799999999999996 0.00058 0.0011000000000000001 0.0030180000000000003 0.087852999999999987 0.019190999999999996 0 0 3 19 18 0.0029680000000000002 1 0 0 10 0 0.182946 0.212003 0.001124 0.0039259999999999998 0.010588 2.5000000000000001e-05 0.031438000000000001 0
1 linear 0 0 0.467034 43.386473901256721 1 67 0.32737100000000002 0.012037000000000001 0.10826000000000002 0.0040999999999999995 0.0010070000000000001 0.0031319999999999998 0.0093849999999999992 0.19439300000000001 0.034581000000000001 0 0.012577 0.001016 0.0044359999999999998 0.0012520000000000001 0.0034050000000000005 0.047283999999999993 0.027853000000000003 0.0071120000000000003 0 0 0 0 0.0029949999999999998 1 0 0 10 0 0.27930899999999997 0.32080599999999998 0.00082899999999999998 0.0036080000000000001 0.015744000000000001 2.3e-05 0.029964999999999999 0
1 linear 0 7 0.35233999999999999 45.580868130123235 1 67 0.182227 0.010962 0.13997099999999998 0.0036459999999999999 0.0010040000000000001 0.0028869999999999998 0.0087639999999999992 0.056479000000000001 0.032730000000000002 0 0.011747 0.00095699999999999995 0.0044209999999999996 0.00095799999999999998 0.0035120000000000004 0.079535999999999968 0.028498999999999986 0.007071 0 1 32 32 0.0029740000000000001 1 0 0 10 0 0.138126 0.17632900000000001 0.001191 0.0033059999999999999 0.014457999999999999 2.4000000000000001e-05 0.029517999999999999 0
1 linear 0 15 0.34517599999999998 47.482169432048735 1 67 0.18090700000000001 0.010944000000000001 0.134436 0.0035040000000000002 0.00093599999999999998 0.0026940000000000002 0.0084200000000000004 0.057584000000000003 0.032689000000000003 0 0.011819 0.00088099999999999995 0.0042759999999999994 0.00096699999999999998 0.0033519999999999999 0.075355000000000005 0.027229000000000007 0.0070670000000000004 0 2 32 32 0.0029510000000000001 1 0 0 10 0 0.13819999999999999 0.17540600000000001 0.0011529999999999999 0.0031340000000000001 0.014525000000000001 2.4000000000000001e-05 0.028732000000000001 0
1 linear 0 23 0.342889 48.662953194529472 1 67 0.18140400000000001 0.010824 0.13114099999999992 0.0038310000000000002 0.00090899999999999987 0.0025249999999999999 0.0083440000000000007 0.059007999999999998 0.032443 0 0.011731 0.00086600000000000002 0.0043439999999999998 0.00096599999999999995 0.003362 0.070747000000000018 0.028522000000000006 0.0070769999999999991 0 3 32 32 0.0029169999999999999 1 0 0 10 0 0.13902900000000001 0.17585999999999999 0.0011310000000000001 0.003313 0.014459 3.6999999999999998e-05 0.028309999999999998 0
1 linear 1 0 0.70103800000000005 85.389445682910434 1 59 0.56475799999999998 0.011487000000000001 0.10781499999999995 0.0033759999999999997 0.00096299999999999999 0.0030070000000000001 0.0088419999999999992 0.19306300000000001 0.088830999999999993 0 0.012588999999999999 0.00095299999999999996 0.191831 0.00091299999999999997 0.0035760000000000002 0.049324000000000007 0.026487000000000007 0.006117 0 0 0 0 0.0029220000000000001 1 0 0 10 0 0.33128999999999997 0.55871599999999999 0.00077300000000000003 0.0032669999999999999 0.015852000000000002 2.4000000000000001e-05 0.029623 0
1 linear 1 7 0.58128299999999999 85.251867954852059 1 59 0.415354 0.010962 0.13828499999999999 0.0029869999999999996 0.00080099999999999995 0.0026250000000000002 0.0084589999999999995 0.059306999999999999 0.062886999999999998 0 0.011861999999999999 0.00094899999999999997 0.20575599999999999 0.0010809999999999999 0.0034060000000000006 0.076631999999999992 0.027671000000000008 0.0061460000000000004 0 1 32 32 0.0029390000000000002 1 0 0 10 0 0.170041 0.40948499999999999 0.0011000000000000001 0.003689 0.01491 2.8e-05 0.028006 0
1 linear 1 15 0.57893399999999995 85.046616417401879 1 59 0.41692699999999999 0.010873000000000001 0.13484200000000005 0.002957 0.00078100000000000001 0.0024859999999999999 0.0080820000000000006 0.055767999999999998 0.073078000000000004 0 0.011927999999999999 0.00089899999999999995 0.203346 0.0010269999999999999 0.0034229999999999998 0.075019999999999976 0.028080000000000004 0.0061290000000000008 0 2 32 32 0.0030079999999999998 1 0 0 10 0 0.17562700000000001 0.41127999999999998 0.0011709999999999999 0.0034359999999999998 0.014252999999999998 2.0999999999999999e-05 0.027227000000000001 0
1 linear 1 23 0.55071999999999999 84.791391310569054 1 59 0.389789 0.010822 0.13414700000000002 0.0029280000000000005 0.00078800000000000007 0.0027420000000000001 0.0079839999999999998 0.059267 0.10388600000000001 0 0.011583 0.00090700000000000004 0.14144599999999999 0.00094700000000000003 0.0033210000000000002 0.076938999999999994 0.025029999999999986 0.0061240000000000001 0 3 32 32 0.002931 1 0 0 10 0 0.21027599999999999 0.38439200000000001 0.001134 0.0030249999999999999 0.014553999999999997 2.6999999999999999e-05 0.028205999999999998 0
1 linear 2 0 0.948021 68.841396263097877 1 90 0.75969200000000003 0.011331000000000001 0.15202099999999999 0.005455999999999999 0.001346 0.0027829999999999999 0.0085249999999999996 0.18815699999999999 0.083902000000000004 0 0.012272 0.00095500000000000001 0.39851500000000001 0.001011 0.0033820000000000005 0.068036999999999972 0.042594 0.0097929999999999996 0 0 0 0 0.0028960000000000001 1 0 0 10 0 0.320967 0.75396200000000002 0.000785 0.0034740000000000001 0.015233000000000002 2.4000000000000001e-05 0.029260000000000001 0
1 linear 2 7 0.99709000000000003 61.726821096618707 1 98 0.75413699999999995 0.014773 0.19689100000000009 0.0066300000000000005 0.0015820000000000001 0.0028379999999999998 0.0083350000000000004 0.053821000000000001 0.10372099999999999 0 0.011816999999999999 0.00085800000000000004 0.50734599999999996 0.000669 0.0037299999999999998 0.10568999999999995 0.048314000000000003 0.010721000000000007 0 1 35 35 0.0030040000000000002 1 0 0 10 0 0.20313600000000001 0.74727600000000005 0.001158 0.002676 0.017589999999999998 2.3e-05 0.026818999999999999 0
1 linear 2 15 1.0463309999999999 57.52837415956558 1 98 0.79242199999999996 0.014987 0.20860999999999999 0.005986 0.00141 0.0027980000000000001 0.0086639999999999998 0.059353999999999997 0.12357899999999999 0 0.011591000000000001 0.00091 0.52130500000000002 0.00063000000000000003 0.0037980000000000002 0.11429299999999996 0.04971699999999997 0.011160999999999999 0 2 35 35 0.0029889999999999999 1 0 0 10 0 0.22786799999999999 0.78605499999999995 0.0012080000000000001 0.00263 0.017504000000000002 1.5999999999999999e-05 0.026415999999999999 0
