case_id configuration_id profile d_bin_index epoch_index topology_status topology_cells empty_cells arc_cells full_cells degenerate_cells physical_events
7 7 linear 2 7 OK 13 10 3 0 0 6
7 7 linear 2 15 OK 13 10 3 0 0 6
7 7 linear 2 23 OK 13 10 3 0 0 6
7 7 linear 3 0 OK 13 10 3 0 0 6
7 7 linear 3 7 OK 13 10 3 0 0 6
7 7 linear 3 15 OK 13 10 3 0 0 6
7 7 linear 3 23 OK 13 10 3 0 0 6
7 7 linear 4 0 OK 13 10 3 0 0 6
7 7 linear 4 7 OK 13 10 3 0 0 6
7 7 linear 4 15 OK 13 10 3 0 0 6
7 7 linear 4 23 OK 13 10 3 0 0 6
7 7 uniform 0 0 OK 12 5 7 0 0 5
7 7 uniform 0 7 OK 12 5 7 0 0 4
7 7 uniform 0 15 OK 11 5 6 0 0 4
7 7 uniform 0 23 OK 12 5 7 0 0 4
7 7 uniform 1 0 OK 13 6 7 0 0 6
7 7 uniform 1 7 OK 13 6 7 0 0 6
7 7 uniform 1 15 OK 13 6 7 0 0 6
7 7 uniform 1 23 OK 13 7 6 0 0 6
7 7 uniform 2 0 OK 13 10 3 0 0 6
7 7 uniform 2 7 OK 13 10 3 0 0 6
7 7 uniform 2 15 OK 13 10 3 0 0 6
7 7 uniform 2 23 OK 13 10 3 0 0 6
7 7 uniform 3 0 OK 13 10 3 0 0 6
7 7 uniform 3 7 OK 13 10 3 0 0 6
7 7 uniform 3 15 OK 13 10 3 0 0 6
7 7 uniform 3 23 OK 13 10 3 0 0 6
7 7 uniform 4 0 OK 13 10 3 0 0 6
7 7 uniform 4 7 OK 13 10 3 0 0 6
7 7 uniform 4 15 OK 13 10 3 0 0 6
7 7 uniform 4 23 OK 13 10 3 0 0 6
8 8 linear 0 0 OK 14 7 7 0 0 8
8 8 linear 0 7 OK 14 7 7 0 0 8
8 8 linear 0 15 OK 14 7 7 0 0 8
8 8 linear 0 23 OK 14 7 7 0 0 8
8 8 linear 1 0 OK 14 8 6 0 0 8
8 8 linear 1 7 OK 14 8 6 0 0 8
8 8 linear 1 15 OK 14 8 6 0 0 8
8 8 linear 1 23 OK 14 8 6 0 0 8
8 8 linear 2 0 OK 13 10 3 0 0 6
8 8 linear 2 7 OK 13 10 3 0 0 6
8 8 linear 2 15 OK 13 10 3 0 0 6
8 8 linear 2 23 OK 13 10 3 0 0 6
8 8 linear 3 0 OK 15 10 5 0 0 10
8 8 linear 3 7 OK 15 10 5 0 0 10
8 8 linear 3 15 OK 15 10 5 0 0 10
8 8 linear 3 23 OK 15 10 5 0 0 10
8 8 linear 4 0 OK 13 10 3 0 0 6
8 8 linear 4 7 OK 13 10 3 0 0 6
8 8 linear 4 15 OK 13 10 3 0 0 6
8 8 linear 4 23 OK 13 10 3 0 0 6
8 8 uniform 0 0 OK 14 7 7 0 0 8
8 8 uniform 0 7 OK 14 7 7 0 0 8
8 8 uniform 0 15 OK 14 7 7 0 0 8
8 8 uniform 0 23 OK 14 7 7 0 0 8
8 8 uniform 1 0 OK 14 8 6 0 0 8
8 8 uniform 1 7 OK 14 8 6 0 0 8
8 8 uniform 1 15 OK 14 8 6 0 0 8
8 8 uniform 1 23 OK 14 8 6 0 0 8
8 8 uniform 2 0 OK 13 10 3 0 0 6
8 8 uniform 2 7 OK 13 10 3 0 0 6
8 8 uniform 2 15 OK 13 10 3 0 0 6
8 8 uniform 2 23 OK 13 10 3 0 0 6
8 8 uniform 3 0 OK 15 10 5 0 0 10
8 8 uniform 3 7 OK 15 10 5 0 0 10
8 8 uniform 3 15 OK 15 10 5 0 0 10
8 8 uniform 3 23 OK 15 10 5 0 0 10
8 8 uniform 4 0 OK 13 10 3 0 0 6
8 8 uniform 4 7 OK 13 10 3 0 0 6
8 8 uniform 4 15 OK 13 10 3 0 0 6
8 8 uniform 4 23 OK 13 10 3 0 0 6
9 9 linear 0 0 OK 14 6 8 0 0 9
9 9 linear 0 7 OK 14 6 8 0 0 9
9 9 linear 0 15 OK 14 6 8 0 0 9
9 9 linear 0 23 OK 14 6 8 0 0 9
9 9 linear 1 0 OK 14 9 5 0 0 8
9 9 linear 1 7 OK 14 9 5 0 0 8
9 9 linear 1 15 OK 14 8 6 0 0 8
9 9 linear 1 23 OK 14 8 6 0 0 8
9 9 linear 2 0 OK 14 8 6 0 0 8
9 9 linear 2 7 OK 14 8 6 0 0 9
9 9 linear 2 15 OK 14 9 5 0 0 8
9 9 linear 2 23 OK 13 10 3 0 0 6
9 9 linear 3 0 OK 13 10 3 0 0 6
9 9 linear 3 7 OK 13 10 3 0 0 6
9 9 linear 3 15 OK 13 10 3 0 0 6
9 9 linear 3 23 OK 13 10 3 0 0 6
9 9 linear 4 0 OK 13 10 3 0 0 6
9 9 linear 4 7 OK 13 10 3 0 0 6
9 9 linear 4 15 OK 13 10 3 0 0 6
9 9 linear 4 23 OK 13 10 3 0 0 6
9 9 uniform 0 0 OK 14 6 8 0 0 9
9 9 uniform 0 7 OK 14 6 8 0 0 9
9 9 uniform 0 15 OK 14 6 8 0 0 9
9 9 uniform 0 23 OK 14 6 8 0 0 9
9 9 uniform 1 0 OK 14 9 5 0 0 8
9 9 uniform 1 7 OK 14 9 5 0 0 8
9 9 uniform 1 15 OK 14 8 6 0 0 8
9 9 uniform 1 23 OK 14 8 6 0 0 8
9 9 uniform 2 0 OK 14 8 6 0 0 8
9 9 uniform 2 7 OK 14 8 6 0 0 9
9 9 uniform 2 15 OK 14 9 5 0 0 8
9 9 uniform 2 23 OK 13 10 3 0 0 6
9 9 uniform 3 0 OK 13 10 3 0 0 6
9 9 uniform 3 7 OK 13 10 3 0 0 6
9 9 uniform 3 15 OK 13 10 3 0 0 6
9 9 uniform 3 23 OK 13 10 3 0 0 6
9 9 uniform 4 0 OK 13 10 3 0 0 6
9 9 uniform 4 7 OK 13 10 3 0 0 6
9 9 uniform 4 15 OK 13 10 3 0 0 6
9 9 uniform 4 23 OK 13 10 3 0 0 6
10 10 linear 0 0 OK 15 7 8 0 0 6
10 10 linear 0 7 OK 15 7 8 0 0 6
10 10 linear 0 15 OK 15 7 8 0 0 6
10 10 linear 0 23 OK 15 7 8 0 0 6
10 10 linear 1 0 OK 14 5 9 0 0 8
10 10 linear 1 7 OK 14 5 9 0 0 8
10 10 linear 1 15 OK 14 6 8 0 0 8
10 10 linear 1 23 OK 15 6 9 0 0 8
10 10 linear 2 0 OK 13 10 3 0 0 6
10 10 linear 2 7 OK 13 10 3 0 0 6
10 10 linear 2 15 OK 13 10 3 0 0 6
10 10 linear 2 23 OK 13 10 3 0 0 6
10 10 linear 3 0 OK 15 10 5 0 0 10
10 10 linear 3 7 OK 15 10 5 0 0 10
10 10 linear 3 15 OK 15 10 5 0 0 10
10 10 linear 3 23 OK 15 10 5 0 0 10
10 10 linear 4 0 OK 15 10 5 0 0 10
10 10 linear 4 7 OK 15 10 5 0 0 10
10 10 linear 4 15 OK 15 10 5 0 0 10
10 10 linear 4 23 OK 15 10 5 0 0 10
10 10 uniform 0 0 OK 15 7 8 0 0 6
10 10 uniform 0 7 OK 15 7 8 0 0 6
10 10 uniform 0 15 OK 15 7 8 0 0 6
10 10 uniform 0 23 OK 15 7 8 0 0 6
10 10 uniform 1 0 OK 14 5 9 0 0 8
10 10 uniform 1 7 OK 14 5 9 0 0 8
10 10 uniform 1 15 OK 14 6 8 0 0 8
10 10 uniform 1 23 OK 15 6 9 0 0 8
10 10 uniform 2 0 OK 13 10 3 0 0 6
10 10 uniform 2 7 OK 13 10 3 0 0 6
10 10 uniform 2 15 OK 13 10 3 0 0 6
10 10 uniform 2 23 OK 13 10 3 0 0 6
10 10 uniform 3 0 OK 15 10 5 0 0 10
10 10 uniform 3 7 OK 15 10 5 0 0 10
10 10 uniform 3 15 OK 15 10 5 0 0 10
10 10 uniform 3 23 OK 15 10 5 0 0 10
10 10 uniform 4 0 OK 15 10 5 0 0 10
10 10 uniform 4 7 OK 15 10 5 0 0 10
10 10 uniform 4 15 OK 15 10 5 0 0 10
10 10 uniform 4 23 OK 15 10 5 0 0 10
11 11 linear 0 0 OK 17 3 12 2 0 10
11 11 linear 0 7 OK 16 3 10 3 0 8
11 11 linear 0 15 OK 16 3 10 3 0 8
11 11 linear 0 23 OK 16 4 9 3 0 8
11 11 linear 1 0 OK 15 2 11 2 0 6
11 11 linear 1 7 OK 15 2 11 2 0 5
