sample	physical_oracle	physical0	physical2	physical4
797	6	0	0	0
798	6	0	0	0
799	6	0	0	0
800	6	0	0	0
801	6	0	0	0
802	6	0	0	0
803	6	0	0	0
804	6	0	0	0
805	6	0	0	0
806	6	0	0	0
807	8	0	0	0
808	6	0	0	0
809	8	0	0	0
810	6	0	0	0
811	6	0	0	0
812	6	0	0	0
813	6	0	0	0
814	6	0	0	0
815	6	0	0	0
816	6	0	0	0
817	6	0	0	0
818	6	0	0	0
819	6	0	0	0
820	6	0	0	0
821	6	0	0	0
822	6	0	0	0
823	6	0	0	0
824	6	0	0	0
825	6	0	0	0
826	6	0	0	0
827	8	0	0	0
828	6	0	0	0
829	8	0	0	0
830	6	0	0	0
831	6	0	0	0
832	6	0	0	0
833	6	0	0	0
834	6	0	0	0
835	6	0	0	0
836	6	0	0	0
837	6	0	0	0
838	6	0	0	0
839	6	0	0	0
840	6	4	6	6
841	6	4	6	6
842	8	4	6	6
843	8	4	6	6
844	8	0	0	0
845	8	0	0	0
846	8	0	0	0
847	8	0	0	0
848	6	0	2	2
849	6	0	2	2
850	6	0	2	2
851	6	0	2	2
852	6	0	0	0
853	6	0	0	0
854	6	0	0	0
855	6	0	0	0
856	6	0	0	0
857	6	0	0	0
858	6	0	0	0
859	6	0	0	0
860	6	4	6	6
861	6	4	6	6
862	8	4	6	6
863	8	4	6	6
864	8	0	0	0
865	8	0	0	0
866	8	0	0	0
867	8	0	0	0
868	6	0	2	2
869	6	0	2	2
870	6	0	2	2
871	6	0	2	2
872	6	0	0	0
873	6	0	0	0
874	6	0	0	0
875	6	0	0	0
876	6	0	0	0
877	6	0	0	0
878	6	0	0	0
879	6	0	0	0
880	6	0	0	0
881	6	0	0	0
882	6	0	0	0
883	6	0	0	0
884	8	0	0	0
885	8	0	0	0
886	8	0	0	0
887	8	0	0	0
888	6	0	0	0
889	6	0	0	0
890	6	0	0	2
891	8	2	2	3
892	6	0	0	0
893	6	0	0	0
894	6	0	0	0
895	6	0	0	0
896	6	0	0	0
897	6	0	0	0
898	6	0	0	0
899	6	0	0	0
900	6	0	0	0
901	6	0	0	0
902	6	0	0	0
903	6	0	0	0
904	8	0	0	0
905	8	0	0	0
906	8	0	0	0
907	8	0	0	0
908	6	0	0	0
909	6	0	0	0
910	6	0	0	2
911	8	2	2	3
912	6	0	0	0
913	6	0	0	0
914	6	0	0	0
915	6	0	0	0
916	6	0	0	0
917	6	0	0	0
918	6	0	0	0
919	6	0	0	0
920	6	2	5	6
921	6	2	5	6
922	6	2	5	6
923	6	2	5	6
924	4	2	2	3
925	4	2	2	3
926	4	2	2	3
927	4	2	2	3
928	6	2	2	3
929	6	2	2	3
930	6	2	2	3
931	4	2	2	3
932	8	2	4	5
933	6	2	4	5
934	6	2	4	5
935	6	2	4	5
936	10	2	4	8
937	8	2	4	5
938	8	2	4	5
939	6	2	4	5
940	6	2	5	6
941	6	2	5	6
942	6	2	5	6
943	6	2	5	6
944	4	2	2	3
945	4	2	2	3
946	4	2	2	3
947	4	2	2	3
948	6	2	2	3
949	6	2	2	3
950	6	2	2	3
951	4	2	2	3
952	8	2	4	5
953	6	2	4	5
954	6	2	4	5
955	6	2	4	5
956	10	2	4	8
957	8	2	4	5
958	8	2	4	5
959	6	2	4	5
960	6	0	0	0
961	6	0	0	0
962	6	0	0	0
963	6	0	0	0
964	6	0	0	1
965	6	0	0	1
966	6	0	0	1
967	6	0	0	0
968	8	0	0	0
969	8	0	0	0
970	10	0	0	0
971	8	0	0	0
972	6	0	0	0
973	6	0	0	0
974	6	0	0	0
975	6	0	0	0
976	6	0	0	0
977	6	0	0	0
978	6	0	0	0
979	6	0	0	0
980	6	0	0	0
981	6	0	0	0
982	6	0	0	0
983	6	0	0	0
984	6	0	0	1
985	6	0	0	1
986	6	0	0	1
987	6	0	0	0
988	8	0	0	0
989	8	0	0	0
990	10	0	0	0
991	8	0	0	0
992	6	0	0	0
993	6	0	0	0
994	6	0	0	0
995	6	0	0	0
996	6	0	0	0
997	6	0	0	0
998	6	0	0	0
999	6	0	0	0
1000	6	2	6	6
