name,u,rtol,stop,mu,error,reference128,reference256,reference_uncertainty,actual_difference,reference_usable,violation
R=sqrt(m0),0,1e-06,Converged,1.3878220323012327,1.41870612e-09,1.3878220323012338,1.3878220323012318,1.99840144e-15,8.8817842e-16,1,0
R=sqrt(m0),0,1e-08,Converged,1.3878220323012327,1.41870612e-09,1.3878220323012338,1.3878220323012318,1.99840144e-15,8.8817842e-16,1,0
R=sqrt(m0),0.5,0.001,Converged,1.3878064951371738,0.00105458485,1.3878052398662628,1.387805239866261,1.77635684e-15,1.25527091e-06,1,0
R=sqrt(m0),0.5,0.0001,Converged,1.387805240065783,9.69849147e-05,1.3878052398662628,1.387805239866261,1.77635684e-15,1.99521955e-10,1,0
R=sqrt(m0),0.5,1e-05,Converged,1.3878052400490049,2.51136161e-06,1.3878052398662628,1.387805239866261,1.77635684e-15,1.8274382e-10,1,0
R=sqrt(m0),0.5,1e-06,Converged,1.3878052398662617,1.4689516e-09,1.3878052398662628,1.387805239866261,1.77635684e-15,6.66133815e-16,1,0
R=sqrt(m0),0.5,1e-08,Converged,1.3878052398662617,1.4689516e-09,1.3878052398662628,1.387805239866261,1.77635684e-15,6.66133815e-16,1,0
tiny-rho,0,0.001,Converged,38.337665662462399,0.024773428,38.337679148834852,38.337679148834596,2.55795385e-13,1.34863722e-05,1,0
tiny-rho,0,0.0001,Converged,38.337679647339662,0.00372488517,38.337679148834852,38.337679148834596,2.55795385e-13,4.98505067e-07,1,0
tiny-rho,0,1e-05,Converged,38.337679148833274,0.000105373316,38.337679148834852,38.337679148834596,2.55795385e-13,1.32160949e-12,1,0
tiny-rho,0,1e-06,Converged,38.337679148834795,2.98015681e-05,38.337679148834852,38.337679148834596,2.55795385e-13,1.98951966e-13,1,0
tiny-rho,0,1e-08,Converged,38.337679148834546,7.32075491e-09,38.337679148834852,38.337679148834596,2.55795385e-13,4.97379915e-14,1,0
tiny-rho,0.5,0.001,Converged,38.322803379204259,0.0309932393,38.322870590796938,38.322870590796775,1.63424829e-13,6.72115925e-05,1,0
tiny-rho,0.5,0.0001,Converged,38.322870889637002,0.00162113475,38.322870590796938,38.322870590796775,1.63424829e-13,2.98840227e-07,1,0
