case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive
0 uniform 0 0 49.574418999999999 6.8139867820913782 1 67 49.335467000000001 0.012444 0.20458399999999999 0.0044410000000000005 0.0011929999999999998 0.0023679999999999999 0.0079389999999999999 0.17494299999999999 0.32342100000000001 48.663625000000003 0.092246999999999996 2.9e-05 0.059788000000000008 0.0018779999999999999 0.0038379999999999998 0.15987899999999997 0.032088999999999979 0 0 0 0 0 0 0 0 0 0 0 49.235548000000001 49.328431000000002 0.00072300000000000001 0.0058539999999999998 0.012853999999999997 2.6999999999999999e-05 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.11672699999999997 0 0 6
0 uniform 0 7 49.592596 6.9223389959685582 1 83 49.226815999999999 0.011694 0.3216719999999999 0.0058740000000000007 0.001379 0.003107 0.010011000000000001 0.015703999999999999 0.36585400000000001 48.715989999999998 0.089708999999999997 2.5999999999999998e-05 0.016123000000000002 0.001691 0.0036880000000000007 0.25631100000000001 0.045278999999999986 0 0 1 15 15 0 0 0 0 0 0 49.169369000000003 49.220053 0.0016590000000000001 0.0054029999999999998 0.012254000000000001 2.5000000000000001e-05 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.173483 0 0 7
0 uniform 0 15 49.626018000000002 7.0045054110051712 1 91 49.295935 0.011677 0.28941400000000006 0.0068689999999999992 0.0014080000000000002 0.0031129999999999999 0.010179000000000001 0.0098309999999999995 0.249615 48.843374000000004 0.089686999999999989 2.1999999999999999e-05 0.079742999999999994 0.001627 0.0036449999999999998 0.22402099999999989 0.047211000000000031 0 0 2 14 13 0 0 0 0 0 0 49.174616 49.289372 0.0016639999999999999 0.0053540000000000003 0.012341 2.1999999999999999e-05 0 1 1 8 0.0027134713756958736 1 65 14 51 2 16 18 0 6 96 14 5 72 0.15323899999999999 0 0 6
0 uniform 0 23 49.881355999999997 7.0403829421848272 1 91 49.493600999999998 0.012137 0.34287299999999987 0.0070309999999999999 0.0013879999999999999 0.0042719999999999998 0.010096000000000001 0.010066 0.37129299999999998 48.943738000000003 0.092227000000000003 2.0999999999999999e-05 0.050978999999999997 0.0017160000000000001 0.0038349999999999999 0.26670599999999994 0.056306999999999989 0 0 3 13 13 0 0 0 0 0 0 49.398991000000002 49.486693000000002 0.001732 0.0054299999999999999 0.012948000000000001 2.6999999999999999e-05 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.18428399999999998 0 0 7
0 uniform 1 0 0.90178899999999995 627.72831737403214 1 105 0.60807800000000001 0.012179000000000001 0.25184999999999991 0.0068790000000000006 0.0015369999999999997 0.0031700000000000001 0.0099950000000000004 0.174015 0.122888 0 0.0036579999999999998 0.001145 0.25126300000000001 0.001196 0.0039829999999999996 0.15533100000000002 0.078077000000000021 0 0 0 0 0 0.0030049999999999999 1 0 0 14 0 0.308778 0.60101499999999997 0.0010070000000000001 0.0033909999999999999 0.016145999999999997 0.0017899999999999999 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.079208000000000028 0 0 3
0 uniform 1 7 0.61387199999999997 631.61507920937345 1 105 0.314249 0.013202999999999999 0.25849799999999995 0.0059489999999999994 0.0014109999999999999 0.0031110000000000001 0.0092289999999999994 0.0084519999999999994 0.146568 0 0.0035860000000000002 0.001059 0.103767 0.0011199999999999999 0.0036539999999999997 0.1639729999999999 0.076366000000000031 0 0 1 19 19 0.003003 1 0 0 14 0 0.16688600000000001 0.30803000000000003 0.0013680000000000001 0.003571 0.014942 0.0013940000000000001 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.088770999999999961 0 0 3
0 uniform 1 15 0.79078899999999996 635.58150147374488 1 128 0.39729300000000001 0.017042999999999999 0.34425900000000015 0.0065459999999999997 0.0015939999999999999 0.0026350000000000002 0.0084880000000000008 0.0082850000000000007 0.11103399999999999 0 0.0033779999999999999 0.00091699999999999995 0.225163 0.001106 0.0037189999999999992 0.22012599999999985 0.10133400000000004 0 0 2 19 19 0.002908 1 0 0 14 0 0.13053300000000001 0.390762 0.0012589999999999999 0.0033270000000000001 0.014213999999999999 0.001302 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.11431300000000001 0 0 3
0 uniform 1 23 0.645756 638.99054014712431 1 128 0.26201999999999998 0.012815 0.33966900000000022 0.0061700000000000001 0.0013789999999999998 0.00248 0.0081510000000000003 0.0082159999999999993 0.13183500000000001 0 0.003382 0.00090899999999999998 0.071517999999999984 0.00097000000000000005 0.00365 0.21345999999999993 0.10342800000000001 0 0 3 19 19 0.0029220000000000001 1 0 0 14 0 0.151145 0.25612400000000002 0.0012149999999999999 0.0033029999999999999 0.013867000000000001 0.0012949999999999999 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.11016500000000003 0 0 3
0 uniform 2 0 35.088546999999998 2.3738776878589789 1 45 34.931930000000001 0.011779 0.12706300000000001 0.0030339999999999998 0.00084500000000000005 0.0029299999999999999 0.0094260000000000004 0.17186399999999999 0.32688299999999998 34.282147000000002 0.086070000000000008 2.0000000000000002e-05 0.043496 0.0017240000000000001 0.0037729999999999999 0.096411999999999998 0.020962000000000008 0 0 0 0 0 0 0 0 0 0 0 34.847403999999997 34.924917000000001 0.00080099999999999995 0.0053639999999999998 0.012475 3.1000000000000001e-05 0 0 0 0 0 0 39 17 22 2 8 10 0 6 67 17 3 25 0.070956000000000005 0 0 6
0 uniform 2 7 47.758783999999999 2.4185459771569833 1 45 47.601353000000003 0.012123 0.12742200000000001 0.0032729999999999999 0.00083000000000000001 0.0031779999999999998 0.0099279999999999993 0.0098150000000000008 0.324633 47.144884000000005 0.087223999999999996 2.0999999999999999e-05 0.010363999999999998 0.0015950000000000001 0.0039909999999999998 0.10073400000000002 0.019123000000000005 0 0 1 13 12 0 0 0 0 0 0 47.548732999999999 47.594223 0.0015820000000000001 0.0056730000000000001 0.012785999999999999 2.5999999999999998e-05 0 1 1 8 0.11055858717162853 1 35 13 22 3 9 12 0 5 67 13 3 29 0.073154999999999998 0 0 5
0 uniform 2 15 47.955722999999999 2.4760800094988884 1 45 47.771025999999999 0.01159 0.15146200000000001 0.0034069999999999999 0.00081700000000000002 0.0032030000000000001 0.010175999999999999 0.010985 0.24023800000000001 47.402121000000001 0.084491000000000011 2.8e-05 0.0095829999999999995 0.001573 0.003761 0.11499499999999999 0.025260000000000008 0 0 2 17 17 0 0 0 0 0 0 47.719462 47.764423000000001 0.001469 0.0054990000000000004 0.012929 2.5999999999999998e-05 0 1 1 8 0.0016090859999255856 1 41 17 24 1 10 11 0 5 76 17 3 25 0.095299999999999996 0 0 5
0 uniform 2 23 49.838002000000003 2.5425757937801223 1 45 49.636263 0.011872000000000001 0.16788899999999998 0.0035230000000000001 0.000843 0.0031359999999999999 0.010045999999999999 0.0096559999999999997 0.26501000000000002 49.237946999999998 0.090940999999999994 2.0000000000000002e-05 0.009528 0.001629 0.0036129999999999999 0.13155900000000004 0.02443300000000001 0 0 3 16 15 0 0 0 0 0 0 49.585501000000001 49.629815000000001 0.0014599999999999999 0.0055570000000000003 0.012388 2.3e-05 0 1 1 8 0.0026246619501964687 1 39 16 23 1 8 9 0 6 66 16 3 26 0.10558400000000001 0 0 6
0 uniform 3 0 0.62043800000000005 490.78838121191183 1 67 0.46770800000000001 0.017881999999999999 0.11125800000000001 0.0041060000000000003 0.0011849999999999999 0.003189 0.0097750000000000007 0.18076300000000001 0.114399 0 0.0048589999999999996 0.0011670000000000001 0.11193900000000001 0.00065300000000000004 0.0040049999999999999 0.072566999999999979 0.027798999999999994 0 0 0 0 0 0.0041229999999999999 1 0 0 14 0 0.30710199999999999 0.460982 0.001075 0.001931 0.019519999999999999 2.1999999999999999e-05 0 0 0 0 0 0 58 42 16 3 3 6 0 3 145 42 5 20 0.044621999999999967 0 0 3
0 uniform 3 7 0.53942000000000001 500.90243914853698 1 67 0.36558400000000002 0.015633999999999999 0.13682099999999997 0.0035980000000000001 0.00092699999999999998 0.0039719999999999998 0.0085529999999999998 0.017346 0.090303999999999995 0 0.0035339999999999998 0.001049 0.202207 0.00069200000000000002 0.0035470000000000002 0.10121699999999997 0.025460999999999998 0 0 1 42 42 0.002967 1 0 0 14 0 0.11863899999999999 0.35975299999999999 0.001402 0.0027049999999999999 0.017775000000000003 2.5999999999999998e-05 0 2 1 16 0.0088212496358149681 2 58 42 16 3 3 6 0 3 145 42 5 20 0.074873000000000023 0 0 3
0 uniform 3 15 0.54719899999999999 513.67469598754849 1 67 0.37639299999999998 0.015426 0.13422899999999999 0.0035340000000000002 0.00084600000000000007 0.0023739999999999998 0.0082480000000000001 0.0080689999999999998 0.088708999999999996 0 0.003431 0.00094499999999999998 0.228883 0.00059500000000000004 0.0034489999999999998 0.097574000000000008 0.026513000000000005 0 0 2 42 42 0.0028900000000000002 1 0 0 14 0 0.107186 0.37104900000000002 0.0012179999999999999 0.0025179999999999998 0.016740000000000001 2.3e-05 0 1 1 8 0.0009877516298322979 1 58 42 16 5 3 6 0 5 148 42 5 20 0.071236999999999995 2 0 3
0 uniform 3 23 0.456951 528.13394552201521 1 67 0.2823 0.014984000000000001 0.13871900000000004 0.0033510000000000002 0.00082299999999999995 0.0022550000000000001 0.0076420000000000004 0.0079749999999999995 0.087457999999999994 0 0.0034350000000000001 0.00096900000000000003 0.13841400000000001 0.00054799999999999998 0.003496 0.10224800000000001 0.026352999999999984 0 0 3 42 42 0.0029650000000000002 1 0 0 14 0 0.10533099999999999 0.27710600000000002 0.001034 0.002284 0.016183999999999997 2.1999999999999999e-05 0 1 1 8 0.0017264993823830933 1 58 42 16 5 3 6 0 5 149 42 5 20 0.075966000000000006 2 0 3
0 uniform 4 0 0.45658100000000001 2.6310460312299382 1 52 0.304703 0.011996 0.123913 0.002911 0.00086199999999999992 0.0029139999999999999 0.0095289999999999993 0.17461299999999999 0.069764999999999994 0 0.013381000000000001 0.0010250000000000001 0.00058399999999999999 0.001209 0.0032539999999999999 0.09396400000000002 0.022017999999999992 0 0 0 0 0 0.0029009999999999999 1 0 0 10 0 0.26588699999999998 0.29865399999999998 0.00075699999999999997 0.0040810000000000004 0.011854 2.4000000000000001e-05 0 0 0 0 0 0 47 15 32 2 8 10 0 6 63 15 4 33 0.077451999999999979 0 0 6
