case_id configuration_id profile d_bin_index epoch_index lane stage candidate_converged candidate_finite scalar_certificate residual ambiguous_roots oracle_tier candidate_positive oracle_positive candidate_physical oracle_physical candidate_real_soft oracle_real_soft candidate_complex_soft oracle_complex_soft positive_radius_maxdiff soft_radius_maxdiff candidate_cells oracle_cells candidate_topology_status oracle_topology_status rtol candidate_stop oracle_stop candidate_value_converged oracle_value_converged candidate_mu oracle_mu mu_absdiff local_attempts local_successes local_max_shift event_build_ms positive_certificate positive_count positive_certificate_ms positive_reason exact_positive_certificate exact_positive_count exact_positive_ms
149 149 linear 1 0 cold d14real 0 1 1 8.8659779807499065e-26 0 2 8 8 8 8 0 0 3 3 1.9206858326015208e-14 1.2323475573339238e-14 14 14 0 0 0.0001 0 0 1 1 432.16170019019677 432.16170018993324 2.6352608983870596e-10 0 0 0 0.010203 0 0 0 Unattempted 0 -1 0
149 149 linear 1 0 cold d14real_local 0 1 1 8.8659779807499065e-26 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 1.2323475573339238e-14 14 14 0 0 0.001 0 0 1 1 432.16153041640115 432.16153041610693 2.9422153602354228e-10 8 8 1.9317880628477724e-14 0.129717 0 0 0 Unattempted 0 -1 0
149 149 linear 1 0 cold d14real_local 0 1 1 8.8659779807499065e-26 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 1.2323475573339238e-14 14 14 0 0 0.0001 0 0 1 1 432.16170019019677 432.16170018993324 2.6352608983870596e-10 8 8 1.9317880628477724e-14 0.129717 0 0 0 Unattempted 0 -1 0
149 149 linear 1 0 cold d14real_nosoft 0 1 1 8.8659779807499065e-26 0 2 8 8 8 8 0 0 0 3 1.9206858326015208e-14 -1 11 14 0 0 0.001 0 0 1 1 432.1616909926633 432.16153041610693 0.00016057655636814161 0 0 0 0.0081449999999999995 0 0 0 Unattempted 0 -1 0
149 149 linear 1 0 cold d14real_nosoft 0 1 1 8.8659779807499065e-26 0 2 8 8 8 8 0 0 0 3 1.9206858326015208e-14 -1 11 14 0 0 0.0001 0 0 1 1 432.16169159740531 432.16170018993324 8.5925279336152016e-06 0 0 0 0.0081449999999999995 0 0 0 Unattempted 0 -1 0
149 149 linear 1 0 cold qf_warm 0 1 1 3.7777934912638702e-27 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 0 14 14 0 0 0.001 0 0 1 1 432.16153041610693 432.16153041610693 0 0 0 0 0.011058999999999999 0 0 0.35728100000000002 ChainPivotUncertain 1 8 93.461903000000007
149 149 linear 1 0 cold qf_warm 0 1 1 3.7777934912638702e-27 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 0 14 14 0 0 0.0001 0 0 1 1 432.16170018993324 432.16170018993324 0 0 0 0 0.011058999999999999 0 0 0.35728100000000002 ChainPivotUncertain 1 8 93.461903000000007
149 149 linear 1 0 cold qf_warm_local 0 1 1 3.7777934912638702e-27 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 0 14 14 0 0 0.001 0 0 1 1 432.16153041610693 432.16153041610693 0 8 8 2.2204460492503131e-16 0.11605600000000001 0 0 0.35728100000000002 ChainPivotUncertain 1 8 93.461903000000007
149 149 linear 1 0 cold qf_warm_local 0 1 1 3.7777934912638702e-27 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 0 14 14 0 0 0.0001 0 0 1 1 432.16170018993324 432.16170018993324 0 8 8 2.2204460492503131e-16 0.11605600000000001 0 0 0.35728100000000002 ChainPivotUncertain 1 8 93.461903000000007
149 149 linear 1 0 cold qf_warm_nosoft 0 1 1 3.7777934912638702e-27 0 2 8 8 8 8 0 0 0 3 1.1102230246251565e-16 -1 11 14 0 0 0.001 0 0 1 1 432.1616909926633 432.16153041610693 0.00016057655636814161 0 0 0 0.0074260000000000003 0 0 0.35728100000000002 ChainPivotUncertain 1 8 93.461903000000007
149 149 linear 1 0 cold qf_warm_nosoft 0 1 1 3.7777934912638702e-27 0 2 8 8 8 8 0 0 0 3 1.1102230246251565e-16 -1 11 14 0 0 0.0001 0 0 1 1 432.16169159740531 432.16170018993324 8.5925279336152016e-06 0 0 0 0.0074260000000000003 0 0 0.35728100000000002 ChainPivotUncertain 1 8 93.461903000000007
149 149 linear 1 0 cold oracle_nosoft 1 1 1 inf 0 2 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 432.1616909926633 432.16153041610693 0.00016057655636814161 0 0 0 0.0074400000000000004 0 0 0 Unattempted 0 -1 0
149 149 linear 1 0 cold oracle_nosoft 1 1 1 inf 0 2 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 432.16169159740531 432.16170018993324 8.5925279336152016e-06 0 0 0 0.0074400000000000004 0 0 0 Unattempted 0 -1 0
149 149 linear 1 7 cold d14real 0 1 1 5.4464060808834475e-26 0 2 8 8 8 8 0 0 3 3 6.6613381477509392e-16 1.1102230246251565e-15 14 14 0 0 0.001 0 0 1 1 367.76380537597265 367.76380537600147 2.8819613362429664e-11 0 0 0 0.0087600000000000004 0 0 0 Unattempted 0 -1 0
149 149 linear 1 7 cold d14real 0 1 1 5.4464060808834475e-26 0 2 8 8 8 8 0 0 3 3 6.6613381477509392e-16 1.1102230246251565e-15 14 14 0 0 0.0001 0 0 1 1 367.7638053670525 367.76380536708132 2.8819613362429664e-11 0 0 0 0.0087600000000000004 0 0 0 Unattempted 0 -1 0
149 149 linear 1 7 cold d14real_local 0 1 1 5.4464060808834475e-26 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 1.1102230246251565e-15 14 14 0 0 0.001 0 0 1 1 367.76380537597265 367.76380537600147 2.8819613362429664e-11 8 8 6.6613381477509392e-16 0.122919 0 0 0 Unattempted 0 -1 0
149 149 linear 1 7 cold d14real_local 0 1 1 5.4464060808834475e-26 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 1.1102230246251565e-15 14 14 0 0 0.0001 0 0 1 1 367.7638053670525 367.76380536708132 2.8819613362429664e-11 8 8 6.6613381477509392e-16 0.122919 0 0 0 Unattempted 0 -1 0
149 149 linear 1 7 cold d14real_nosoft 0 1 1 5.4464060808834475e-26 0 2 8 8 8 8 0 0 0 3 6.6613381477509392e-16 -1 11 14 0 0 0.001 0 0 1 1 367.76382045843053 367.76380537600147 1.5082429058566049e-05 0 0 0 0.0075890000000000003 0 0 0 Unattempted 0 -1 0
149 149 linear 1 7 cold d14real_nosoft 0 1 1 5.4464060808834475e-26 0 2 8 8 8 8 0 0 0 3 6.6613381477509392e-16 -1 11 14 0 0 0.0001 0 0 1 1 367.76380531611602 367.76380536708132 5.0965297759830719e-08 0 0 0 0.0075890000000000003 0 0 0 Unattempted 0 -1 0
149 149 linear 1 7 cold qf_warm 0 1 1 7.4088298428500556e-27 0 2 8 8 8 8 0 0 3 3 0 1.1102230246251565e-16 14 14 0 0 0.001 0 0 1 1 367.76380537586169 367.76380537600147 1.3977796697872691e-10 0 0 0 0.010891 0 0 0.32525500000000002 ChainPivotUncertain 1 8 94.661597
