# current V2 input; unique geometry/profile rows from merged_final; VBM references are RelTol=1e-6; xs=-time,barycentric=true
# case_id configuration_id profile d_bin_index epoch_index s q rho x y time u X reference
115 115 linear 0 7 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0014195678434221603 5.6351400808077953e-05 0.0013865082185266174 0.5 0.00010322597201656205 3520.9461170322352
115 115 linear 0 15 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0014195678434221603 5.6351400808077953e-05 0.0014452808850075826 0.5 4.4453305535596893e-05 3139.6109986655006
115 115 linear 0 23 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0014195678434221603 5.6351400808077953e-05 0.0015040535514885475 0.5 -1.4319360945368046e-05 2760.9449255451987
115 115 linear 1 0 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4420750108918317 0.0043907603621731357 -1.4421594965998981 0.5 1.4436492307904412 5.3886976960245789
115 115 linear 1 7 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4420750108918317 0.0043907603621731357 -1.4421080705167273 0.5 1.4435978047072704 4.7917514737774098
115 115 linear 1 15 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4420750108918317 0.0043907603621731357 -1.4420492978502462 0.5 1.4435390320407893 4.1053004878445281
115 115 linear 1 23 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4420750108918317 0.0043907603621731357 -1.4419905251837652 0.5 1.4434802593743083 3.4235512255114862
115 115 linear 2 0 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0016332206677331243 0.00024733848153663933 0.0015487349596667371 0.5 -5.9000769123557619e-05 2430.3365436125264
115 115 linear 2 7 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0016332206677331243 0.00024733848153663933 0.0016001610428375815 0.5 -0.00011042685229440199 1936.1101048538053
115 115 linear 2 15 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0016332206677331243 0.00024733848153663933 0.0016589337093185466 0.5 -0.00016919951877536715 1581.2061363808323
