row profile bin epoch event_index X Y rho q a radius topology old_decision old_p4_steps old_probe_ms fast_screen fast_screen_ms p4_interval_lo p4_interval_hi p3_interval_lo p3_interval_hi p3_qf_gate_hi d14_gap overlap_budget fast_reject_old_accept
25 very-close 0 0 8 0.10000000000000001 0.050000000000000003 0.059999999999999998 0.59999999999999998 0.25 0.92649501690397407 OK no_coincident_d14_event 3 0.014027 no_d14_overlap 0.0050010000000000002 0.92649501690397051 0.92649501690397762 nan nan nan 4.1295404514807288e-06 8.3175873651371118e-14 0
26 very-close 0 0 6 0.10000000000000001 0.050000000000000003 0.059999999999999998 0.59999999999999998 0.25 0.89387243065431898 OK no_coincident_d14_event 2 0.010526000000000001 no_d14_overlap 0.0053509999999999999 0.89387243065431554 0.89387243065432243 nan nan nan 0.011416118344469206 8.1036157334604193e-14 0
26 very-close 0 0 8 0.10000000000000001 0.050000000000000003 0.059999999999999998 0.59999999999999998 0.25 0.92649501690397407 OK no_coincident_d14_event 3 0.01183 no_d14_overlap 0.0047869999999999996 0.92649501690397051 0.92649501690397762 nan nan nan 4.1295404514807288e-06 8.3175873651371118e-14 0
35 rand003 0 0 11 -0.52748182322571857 0.047988475106201453 0.27264190482053557 4.1059496314339418e-07 0.14750926570100403 1.1379046514923594 OK no_coincident_d14_event 2 0.015103 no_d14_overlap 0.0064060000000000002 1.1379046514923554 1.1379046514923634 nan nan nan 0.0011720182462431339 9.2704017141787525e-14 0
35 rand003 0 0 12 -0.52748182322571857 0.047988475106201453 0.27264190482053557 4.1059496314339418e-07 0.14750926570100403 1.4742008176546371 OK no_coincident_d14_event 3 0.014873000000000001 no_d14_overlap 0.0052859999999999999 1.4742008176546324 1.4742008176546417 nan nan nan 0.0044112250970222977 1.0774988489719318e-13 0
36 rand003 0 0 11 -0.52748182322571857 0.047988475106201453 0.27264190482053557 4.1059496314339418e-07 0.14750926570100403 1.1379046514923594 OK no_coincident_d14_event 2 0.011476 no_d14_overlap 0.0055799999999999999 1.1379046514923554 1.1379046514923634 nan nan nan 0.0011720182462431339 9.2704017141787525e-14 0
36 rand003 0 0 12 -0.52748182322571857 0.047988475106201453 0.27264190482053557 4.1059496314339418e-07 0.14750926570100403 1.4742008176546371 OK no_coincident_d14_event 3 0.012645999999999999 no_d14_overlap 0.0050109999999999998 1.4742008176546324 1.4742008176546417 nan nan nan 0.0044112250970222977 1.0774988489719318e-13 0
41 rand006 0 0 4 0.55865983041855805 -0.15344854176328532 0.21691857933122094 0.00013864385201713654 0.15765128198672196 0.70547278143214054 OK no_coincident_d14_event 3 0.018275 no_d14_overlap 0.0063400000000000001 0.70547278143213743 0.70547278143214365 nan nan nan 0.027277775514464753 7.2566166577350733e-14 0
41 rand006 0 0 5 0.55865983041855805 -0.15344854176328532 0.21691857933122094 0.00013864385201713654 0.15765128198672196 0.81765023089405897 OK no_coincident_d14_event 2 0.012001 no_d14_overlap 0.0052630000000000003 0.81765023089405564 0.8176502308940623 nan nan nan 0.017410089320003763 7.8800903799392082e-14 0
42 rand006 0 0 4 0.55865983041855805 -0.15344854176328532 0.21691857933122094 0.00013864385201713654 0.15765128198672196 0.70547278143214054 OK no_coincident_d14_event 3 0.013233 no_d14_overlap 0.0055030000000000001 0.70547278143213743 0.70547278143214365 nan nan nan 0.027277775514464753 7.2566166577350733e-14 0
42 rand006 0 0 5 0.55865983041855805 -0.15344854176328532 0.21691857933122094 0.00013864385201713654 0.15765128198672196 0.81765023089405897 OK no_coincident_d14_event 2 0.0098110000000000003 no_d14_overlap 0.0051250000000000002 0.81765023089405564 0.8176502308940623 nan nan nan 0.017410089320003763 7.8800903799392082e-14 0
49 rand010 0 0 1 0.060302356035932432 -0.015103587054432476 0.020165281218853134 0.00056268795246238953 4.1109789690115459 0.9636186452438289 OK no_coincident_d14_event 3 0.021957999999999998 no_d14_overlap 0.0091430000000000001 0.96361864524382534 0.96361864524383245 nan nan nan 0.0041655026488622848 8.4112717291730119e-14 0
