row profile bin epoch event_index X Y rho q a radius topology old_decision old_p4_steps old_probe_ms fast_screen fast_screen_ms p4_interval_lo p4_interval_hi p3_interval_lo p3_interval_hi p3_qf_gate_hi d14_gap overlap_budget fast_reject_old_accept
0 uniform 1 7 6 0.12185135636153857 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87158003661749839 OK no_coincident_d14_event 3 0.016178999999999999 no_d14_overlap 0.0066150000000000002 0.87158003661749495 0.87158003661750183 nan nan nan 2.9831210135444763e-07 8.0727026508651396e-14 0
0 uniform 1 7 8 0.12185135636153857 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.8716886272482256 OK no_coincident_d14_event 3 0.011671000000000001 no_d14_overlap 0.0061110000000000001 0.87168862724822216 0.87168862724822904 nan nan nan 7.728096440562382e-08 8.0730119122087658e-14 0
0 uniform 1 15 6 0.12187537910296148 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87156802800484612 OK no_coincident_d14_event 3 0.013643000000000001 no_d14_overlap 0.0056290000000000003 0.87156802800484268 0.87156802800484956 nan nan nan 3.3138569566215637e-07 8.0726684263343875e-14 0
0 uniform 1 15 8 0.12187537910296148 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87167661730406565 OK no_coincident_d14_event 3 0.012345 no_d14_overlap 0.0052550000000000001 0.87167661730406221 0.87167661730406909 nan nan nan 9.5158407265039102e-08 8.0729777270836847e-14 0
0 uniform 1 23 6 0.1218994018443844 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.87155601953944972 OK no_coincident_d14_event 3 0.013993 no_d14_overlap 0.0052620000000000002 0.87155601953944628 0.87155601953945316 nan nan nan 3.6610077891463533e-07 8.0726341975567668e-14 0
0 uniform 1 23 8 0.1218994018443844 -0.00013422659447861403 0.00017266345397718498 1.7751823560149547 0.2310772011499552 0.8716646075071609 OK no_coincident_d14_event 3 0.012959999999999999 no_d14_overlap 0.004908 0.87166460750715746 0.87166460750716435 nan nan nan 1.1493801377326918e-07 8.072943536970867e-14 0
4 linear 0 0 1 2.5415202426200216 2.035776506987119e-05 0.00061425956590787029 93.266940782546897 2.544013072897132 0.0049137214000906163 OK no_coincident_d14_event 3 0.016133000000000002 no_d14_overlap 0.0060769999999999999 0.0049137214000888304 0.0049137214000924022 nan nan nan 7.6623707812722985e-10 4.2848548318626503e-14 0
4 linear 0 0 2 2.5415202426200216 2.035776506987119e-05 0.00061425956590787029 93.266940782546897 2.544013072897132 0.004916510294174903 OK no_coincident_d14_event 3 0.011736 no_d14_overlap 0.0050899999999999999 0.0049165102941731171 0.0049165102941766889 nan nan nan 7.6666813349224316e-10 4.2848627627331692e-14 0
4 linear 0 7 1 2.5415950220454366 2.035776506987119e-05 0.00061425956590787029 93.266940782546897 2.544013072897132 0.0049135516499586081 OK no_coincident_d14_event 3 0.012857 no_d14_overlap 0.0053819999999999996 0.0049135516499568222 0.004913551649960394 nan nan nan 7.6618426794045069e-10 4.2848543494039079e-14 0
4 linear 0 7 2 2.5415950220454366 2.035776506987119e-05 0.00061425956590787029 93.266940782546897 2.544013072897132 0.004916340351805046 OK no_coincident_d14_event 3 0.011240999999999999 no_d14_overlap 0.0048719999999999996 0.0049163403518032601 0.0049163403518068319 nan nan nan 7.666152799373771e-10 4.2848622797277531e-14 0
