polynomial_l1_sample	polynomial_l1_upper	name	panel	kind	q7	hermite	q15	reference	reference_uncertainty	estimate	error7	errorH	error15	fd_max_scaled	base_us	derivative_us
0.00019888401168942712	0.0222805543457933	tiny-rho	14	3	0.21454390659642275	0.21458169484315626	0.2145816924719946	0.2145816924734963	6.6058269965196814e-15	3.778824673350556e-05	3.778587707353731e-05	2.369659968248783e-09	1.5016876631079867e-12	7.670373041222835e-09	10.66	0.8149999999999996
6.765200593267676e-05	0.009249604432442148	caustic-cross	2	3	0.07245443851061252	0.07246716465997566	0.0724671640735165	0.0724671640734687	9.71445146547012e-17	1.272614936313754e-05	1.2725562856183426e-05	5.865069541144408e-10	4.779510121011299e-14	1.1016741389032333e-10	9.268	0.8239999999999996
0.010701642581531001	2.875573720247495	caustic-cross	6	0	7.084633199853996	7.081929829558146	7.0797531440632335	7.079058578209025	3.356783031982502e-06	0.0027033702958494388	0.005574621644970357	0.002871251349120918	0.000694565854208129	2.016339279526577e-09	11.307	1.1559999999999997
1.5047640799492463e-08	1.4192578281399985e-06	caustic-cross	7	0	7.877018732433086	7.877018733091547	7.877018733091713	7.877018733091712	0.0	6.584608414073045e-10	6.586260425933688e-10	1.652011860642233e-13	8.881784197001252e-16	2.679249456463792e-10	12.353	0.8899999999999998
0.19111682907869254	48.06972656295934	caustic-cross	8	2	16.596966088220054	16.643852518508506	16.6787943868314	16.689681330379766	5.186751880970064e-05	0.04688643028845263	0.09271524215971283	0.0458288118712602	0.010886943548367611	3.2915083428501732e-09	47.92	1.3709999999999998
0.00020883265886662822	0.026984591875597375	caustic-cross	13	3	0.22561031948258775	0.22564987940338868	0.2256498779703423	0.2256498779692056	1.942890293094024e-16	3.955992080093007e-05	3.955848661785222e-05	1.4341830778530351e-09	1.1367018437624665e-12	2.502142824758527e-10	9.113999999999999	0.7369999999999997
0.0003231036314860497	0.048242150933437054	extreme-q-lo	2	3	0.33785568020777573	0.3379148331100729	0.3379148315116327	0.3379148315084546	6.661338147750939e-16	5.915290229718817e-05	5.9151300678850216e-05	1.601618337954136e-09	3.178124430291973e-12	2.2735867993613676e-10	62.34	0.922
0.0012381898777172507	0.1612084932836627	extreme-q-lo	7	3	1.3376693165262195	1.3379036669780646	1.3379036602350831	1.3379036602045151	1.9984014443252818e-15	0.00023435045184516667	0.0002343436782956676	6.7735494990728284e-09	3.056799258160936e-11	3.920736683119109e-10	10.408	0.9469999999999997
2.344958076586749e-12	2.601017745214285e-10	extreme-q-lo	12	3	2.5295567343746226e-09	2.53000227874353e-09	2.530002250584081e-09	2.5300022509455064e-09	2.9834336743256326e-20	4.4554436890734934e-13	4.455165708837198e-13	2.779802362953299e-17	3.61425401716776e-19	8.243312336116232e-14	15.293	0.8949999999999998
1.8781248474556036e-09	1.5300792423973015e-07	extreme-q-planet	2	1	0.012642471441076103	0.012642471393066273	0.0126424713930666	0.0126424713930667	1.9949319973733282e-16	4.8009830486139826e-11	4.8009403744164736e-11	4.2674197509029455e-16	9.8879238130678e-17	3.738123128832701e-11	58.328	0.855
8.756218604291765e-06	0.0006197085384779545	extreme-q-planet	3	0	0.14550398034085785	0.14550183757386193	0.1455017921058432	0.1455017915417995	1.1102230246251565e-16	2.142766995921752e-06	2.1887990583335792e-06	4.603206241182711e-08	5.640436728793219e-10	3.981081047217859e-11	53.14	0.9139999999999999
1.7061486507553536e-09	1.3901101437694348e-07	extreme-q-planet	4	2	0.012672882996217731	0.012672882952560357	0.0126728829525605	0.0126728829525604	1.0061396160665481e-16	4.36573745904445e-11	4.36573312223576e-11	4.336808689942018e-17	1.0061396160665481e-16	6.914116414898992e-11	63.42699999999999	0.9249999999999998
2.174221791360095e-06	0.00026757117667167255	extreme-q-planet	7	3	0.00234979630546622	0.002350209138135385	0.0023502091237283	0.0023502091236961	9.974659986866641e-17	4.1283266916493713e-07	4.128182298800999e-07	1.4439284837242106e-11	3.2199937161081493e-14	7.317008995131346e-11	13.417	0.8459999999999998
3.549556476574293e-05	0.011316505478865481	extreme-q-planet	11	1	0.14352993284874416	0.1435185276412581	0.1435179477280149	0.1435180012253688	1.2212453270876722e-15	1.140520748604823e-05	1.1931623375344147e-05	5.26415889295917e-07	5.3497353907916434e-08	2.8214847448927515e-10	13.212000000000002	0.8109999999999999
0.0027881498988158717	0.6194863073593575	extreme-q-planet	12	2	1.0551373620798825	1.0544908200385805	1.0543407926255388	1.054351299319458	1.3322676295501878e-15	0.0006465420413019896	0.0007860627604245884	0.0001395207191225989	1.0506693919110077e-05	9.24204919830642e-10	12.848	0.818
4.697623934331663e-06	0.0006296874923775106	very-wide	2	3	0.005027581211799513	0.005028467036321617	0.005028466978929	0.0050284669789694	0.0	8.858245221033192e-07	8.857671698865935e-07	5.7352216725758964e-11	4.039997503202386e-14	3.2029519315771034e-12	77.652	1.44
0.0009531040318838824	0.13532944123844226	very-wide	7	3	1.0223169708041548	1.022494605200339	1.0224946085127016	1.0224946084825202	6.661338147750939e-16	0.00017763439618412313	0.00017763767836531663	3.2821811934979905e-09	3.018141292443488e-11	2.8697120712815134e-10	9.982999999999999	0.7539999999999997
4.612373510289768e-06	0.0005120883871866547	very-wide	12	3	0.00497561229033536	0.004976488649453859	0.0049764885945249	0.0049764885945601	5.004677228193088e-16	8.763591184991759e-07	8.763042247403666e-07	5.489375880934899e-11	3.520014141278338e-14	1.4061526960838183e-10	11.229000000000001	0.7909999999999999
2.0180356313170965e-07	2.3914067389426344e-05	very-close	2	3	0.0002175787422572315	0.00021761707014299655	0.0002176170677073	0.0002176170677089	0.0	3.83278857650634e-08	3.832545166851929e-08	2.434096544115527e-12	1.6000113560454832e-15	9.500969720991976e-13	9.945	0.7869999999999999
1.4210428342722071e-07	1.1840438783423041e-05	very-close	7	1	0.5914411588722854	0.5914411649021689	0.5914411649028097	0.5914411649028114	2.220446049250313e-16	6.029883481417642e-09	6.030525967481992e-09	6.424860643505781e-13	1.6653345369377348e-15	1.5972075212904608e-10	15.481	1.791
0.000554336965613103	0.06402911039941195	very-close	8	2	4.09897326657664	4.098889923450524	4.098888559434212	4.098888537696889	8.881784197001252e-16	8.334312611602002e-05	8.472887975052856e-05	1.3857536345085464e-06	2.173732305266185e-08	2.5749661891572103e-10	19.177999999999997	2.4639999999999995
6.830106334707384e-17	1.1703679209800944e-13	very-close	9	1	0.0006945818485805443	0.0006945818485805202	0.0006945818485806	0.0006945818485805	0.0	2.4069288229178198e-17	4.423544863740858e-17	2.0166160408230382e-17	9.996344030316351e-17	8.797723268810262e-12	132.955	1.4189999999999998
4.224621772321925e-05	0.010578359257872292	very-close	10	0	0.18692157354625333	0.18693189857642226	0.1869387363456907	0.1869399695081067	3.183009411600324e-13	1.0325030168928384e-05	1.8395961853379106e-05	8.070931684450722e-06	1.233162416014455e-06	1.4332022849761878e-10	91.82300000000001	1.8899999999999992
0.03325112624017611	6.116224761375266	very-close	11	0	11.055570108991109	11.06319039373029	11.065645272094995	11.065886984483203	1.7763568394002505e-15	0.00762028473918086	0.010316875492094368	0.002696590752913508	0.0002417123882079153	2.9500290131916263e-09	9.974000000000002	2.573
0.00010166221963226426	0.011318297903062637	very-close	12	2	6.484259109630149	6.484269735989604	6.484269764198355	6.484269764171241	1.7763568394002505e-15	1.0626359454590784e-05	1.0654541092058878e-05	2.8181637468094323e-08	2.7113422618185723e-11	9.435801245739195e-11	10.779	1.8739999999999997
0.0020702645943617296	0.34761048949870066	very-close	13	1	2.536192320181774	2.536079372290636	2.5361383055525484	2.536137793575556	8.881784197001252e-16	0.00011294789113813763	5.452660621818595e-05	5.842128491995169e-05	5.119769923567219e-07	4.0085950554522423e-10	8.559	1.047
7.178034172456939e-06	0.0007088703334171287	very-close	14	2	0.1563875659255213	0.15638719988051822	0.156387198182483	0.1563871981529643	4.163336342344337e-16	3.66045003086235e-07	3.6777255699171896e-07	1.7275539054839584e-09	2.951869304546051e-11	2.9316480669928303e-10	11.133	0.8909999999999999
2.0625036344119717e-05	0.0027215647100589037	fold-tangent	2	3	0.03932971237909755	0.039333533592324055	0.0393335361928649	0.0393335361918497	0.0	3.82121322650697e-06	3.823812752150324e-06	2.5995256433541947e-09	1.015201811505051e-12	3.495815892843387e-11	30.258	0.8599999999999999
6.178766393452015e-05	0.009258296985421204	fold-tangent	3	3	0.16950328599323294	0.16951431102426456	0.1695143140610795	0.1695143140547982	8.326672684688674e-17	1.1025031031619559e-05	1.1028061565249159e-05	3.0305336295999297e-09	6.281308806421748e-12	1.084647932039409e-10	81.942	2.1679999999999997
0.00036233018962549815	0.05413598254285334	fold-tangent	4	3	0.38379131085876356	0.3838472693969336	0.3838472064271889	0.3838472073717167	2.7755575615628914e-16	5.595853817003116e-05	5.5896512953124144e-05	6.202521690701346e-08	9.44527789314975e-10	1.1682102651663036e-10	34.086	0.8539999999999999
2.5837138782668083e-09	2.012159160357897e-07	fold-tangent	8	1	0.06571669694613362	0.0657166969195984	0.0657166969195991	0.0657166969195993	4.996003610813204e-16	2.653521846696094e-11	2.6534316410753434e-11	9.020562075079397e-16	2.0816681711721685e-16	1.0750459314730162e-10	9.523000000000001	0.8359999999999999
0.001621926998327045	0.19761228162404207	fold-tangent	9	0	2.178856577341746	2.178546179137307	2.178511781605865	2.1785107198033096	8.881784197001252e-16	0.0003103982044390108	0.00034585753843652256	3.545933399751178e-05	1.0618025552133759e-06	1.0503087454350877e-09	8.316	0.8009999999999999
