name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
rand017,0.5,Strict,1,1.0e-04,0,TopologyUnresolved,Converged,TopologyUnresolved,1,5.3759965113404675,1.8671812e-07,8.560150,0.555657,0.015461,0.000019,0.009274,0.005139,0.000853,2224,2224,0,4,4,0,0,4,4,0,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
rand017,0.5,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,5.3706242487534901,1.8575414e-07,1.501447,0.670357,0.015094,0.000025,0.009003,0.004882,0.001030,286,286,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
rand017,0.5,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,5.3706242487534901,1.8575414e-07,1.470367,0.656567,0.013275,0.000025,0.008086,0.004540,0.000495,286,286,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
rand017,0.5,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,5.3759965113404675,1.8671812e-07,1.404289,0.540846,0.013212,0.000017,0.007907,0.004750,0.000424,286,286,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,BudgetExceeded
rand017,0.5,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,5.3759965113404675,1.8671812e-07,1.440109,0.555977,0.015529,0.000027,0.008876,0.006030,0.000470,286,286,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,BudgetExceeded
rand018,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,2.2051921431843517,0.00068480734,0.763673,0.679117,0.016156,0.000027,0.008901,0.005515,0.001608,46,46,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand018,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,2.2051921431866974,1.2593805e-09,0.762589,0.664526,0.013452,0.000019,0.007997,0.004880,0.000456,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand018,0.0,None,1,1.0e-03,0,Converged,Converged,Converged,1,2.2050886634113716,0.0006847479,0.697630,0.571707,0.012321,0.000027,0.007296,0.004479,0.000411,46,46,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand018,0.0,None,1,1.0e-04,0,Converged,Converged,Converged,1,2.2050886634137128,1.2592155e-09,0.718989,0.566526,0.012034,0.000024,0.007053,0.004474,0.000369,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand018,0.0,Strict,0,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,2.2051921431843517,0.00068480734,0.785522,0.665814,0.012601,0.000019,0.007147,0.004528,0.000798,62,62,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,EventLocationLimited,ToleranceMet,ToleranceMet
rand018,0.0,Strict,0,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,2.2051921431866974,1.2593805e-09,0.776589,0.665682,0.012512,0.000018,0.007401,0.004556,0.000421,62,62,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,EventLocationLimited,ToleranceMet,ToleranceMet
rand018,0.0,Strict,1,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,2.2050886634113716,0.0006847479,0.732235,0.565563,0.011932,0.000025,0.006998,0.004438,0.000371,62,62,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,EventLocationLimited,ToleranceMet,ToleranceMet
rand018,0.0,Strict,1,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,2.2050886634137128,1.2592155e-09,0.734380,0.567065,0.012073,0.000028,0.007152,0.004447,0.000342,62,62,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,EventLocationLimited,ToleranceMet,ToleranceMet
rand018,0.0,ValueFirst,0,1.0e-03,0,Converged,Converged,EventLocationLimited,1,2.2051921431843517,0.00068480734,0.772468,0.663384,0.012497,0.000024,0.007156,0.004498,0.000714,62,62,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,EventLocationLimited,ToleranceMet,ToleranceMet
rand018,0.0,ValueFirst,0,1.0e-04,0,Converged,Converged,EventLocationLimited,1,2.2051921431866974,1.2593805e-09,0.760420,0.653702,0.011976,0.000026,0.006971,0.004494,0.000388,62,62,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,EventLocationLimited,ToleranceMet,ToleranceMet
rand018,0.0,ValueFirst,1,1.0e-03,0,Converged,Converged,EventLocationLimited,1,2.2050886634113716,0.0006847479,0.747583,0.574242,0.014755,0.000026,0.008292,0.005845,0.000390,62,62,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,EventLocationLimited,ToleranceMet,ToleranceMet
rand018,0.0,ValueFirst,1,1.0e-04,0,Converged,Converged,EventLocationLimited,1,2.2050886634137128,1.2592155e-09,0.725364,0.560948,0.011803,0.000026,0.006914,0.004406,0.000348,62,62,0,4,4,0,0,4,4,0,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,EventLocationLimited,ToleranceMet,ToleranceMet
rand018,0.5,None,0,1.0e-03,0,Converged,Converged,Converged,1,2.2051890413061201,3.1721921e-08,0.774693,0.661664,0.012429,0.000018,0.007267,0.004405,0.000635,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand018,0.5,None,0,1.0e-04,0,Converged,Converged,Converged,1,2.2051890413061201,3.1721921e-08,0.981315,0.836666,0.020918,0.000042,0.012513,0.006976,0.001245,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
