row	case	u	event_index	R_chart	decision	p4_relative	contact_relative	angular_curvature_relative	radial_crossing_relative	D14_event_index	D14_delta	D14_match_budget	R_lo	uncertainty	seed_u
35	rand003	0	12	1.4742008176546371	no_coincident_d14_event	3.3056362674316159e-35	0.049956340646711186	0.54911230316891102	0.37782614979033297	13	0.0044112250970270361	8.1583682728905697e-31	0	inf	nan
36	rand003	0.5	11	1.1379046514923594	no_coincident_d14_event	0	0.052326397122417927	0.57516369777657095	1.1389254667455946	10	0.0011720182462473597	8.5692747239036984e-31	0	inf	nan
36	rand003	0.5	12	1.4742008176546371	no_coincident_d14_event	3.3056362674316159e-35	0.049956340646711186	0.54911230316891102	0.37782614979033297	13	0.0044112250970270361	8.1583682728905697e-31	0	inf	nan
41	rand006	0	4	0.70547278143214054	no_coincident_d14_event	1.4264016578110263e-35	0.15360000499308188	0.55919223531456397	0.32433773244379188	3	0.027277775514467941	7.6724949366536636e-31	0	inf	nan
41	rand006	0	5	0.81765023089405897	no_coincident_d14_event	5.0601603007785378e-35	0.14779540418243242	0.53804229839949846	0.45464104170011571	6	0.017410089320007215	8.2311493240553643e-31	0	inf	nan
42	rand006	0.5	4	0.70547278143214054	no_coincident_d14_event	1.4264016578110263e-35	0.15360000499308188	0.55919223531456397	0.32433773244379188	3	0.027277775514467941	7.6724949366536636e-31	0	inf	nan
42	rand006	0.5	5	0.81765023089405897	no_coincident_d14_event	5.0601603007785378e-35	0.14779540418243242	0.53804229839949846	0.45464104170011571	6	0.017410089320007215	8.2311493240553643e-31	0	inf	nan
49	rand010	0	1	0.9636186452438289	no_coincident_d14_event	5.5371500032867781e-35	0.14486666407109017	0.57759076783914864	1.8083404756932169	0	0.0041655026488658401	8.7207772049366172e-29	0	inf	nan
49	rand010	0	2	0.97657761752857752	no_coincident_d14_event	7.5164580036266607e-35	0.14543559836811198	0.57970974972634925	2.8119137812586139	3	0.0024150829696542695	6.7991253493634061e-29	0	inf	nan
50	rand010	0.5	1	0.9636186452438289	no_coincident_d14_event	5.5371500032867781e-35	0.14486666407109017	0.57759076783914864	1.8083404756932169	0	0.0041655026488658401	8.7207772049366172e-29	0	inf	nan
50	rand010	0.5	2	0.97657761752857752	no_coincident_d14_event	7.5164580036266607e-35	0.14543559836811198	0.57970974972634925	2.8119137812586139	3	0.0024150829696542695	6.7991253493634061e-29	0	inf	nan
51	rand011	0	6	1.0922638629856498	no_coincident_d14_event	3.2474341930518794e-35	0.005997492753615343	0.6568652863029244	0.41876067693725938	5	3.5641175879589965e-05	2.6463162872516201e-30	0	inf	nan
51	rand011	0	7	1.1168199061144397	no_coincident_d14_event	1.1452645535898311e-35	0.0060287553393237638	0.66028926288419409	0.33673100357233626	8	4.5574687301353181e-05	7.9600622734946384e-31	0	inf	nan
52	rand011	0.5	6	1.0922638629856498	no_coincident_d14_event	3.2474341930518794e-35	0.005997492753615343	0.6568652863029244	0.41876067693725938	5	3.5641175879589965e-05	2.6463162872516201e-30	0	inf	nan
52	rand011	0.5	7	1.1168199061144397	no_coincident_d14_event	1.1452645535898311e-35	0.0060287553393237638	0.66028926288419409	0.33673100357233626	8	4.5574687301353181e-05	7.9600622734946384e-31	0	inf	nan
61	rand016	0	6	1.4093508311889695	no_coincident_d14_event	3.9416088022455893e-37	0.0063793073878244148	0.87483280510090622	0.048911828281476555	5	0.00033174163054416412	2.2221634260595164e-29	0	inf	nan
61	rand016	0	7	1.4453490695464577	no_coincident_d14_event	1.7246352362289504e-37	0.0064241918245732024	0.88098807537450352	0.04614310627423527	8	0.00036348366491550428	1.0000252209066587e-29	0	inf	nan
62	rand016	0.5	6	1.4093508311889695	no_coincident_d14_event	3.9416088022455893e-37	0.0063793073878244148	0.87483280510090622	0.048911828281476555	5	0.00033174163054416412	2.2221634260595164e-29	0	inf	nan
62	rand016	0.5	7	1.4453490695464577	no_coincident_d14_event	1.7246352362289504e-37	0.0064241918245732024	0.88098807537450352	0.04614310627423527	8	0.00036348366491550428	1.0000252209066587e-29	0	inf	nan
85	rand028	0	6	1.1154478212949042	no_coincident_d14_event	2.9513672782061376e-36	0.0046334441921352925	0.64362210485556282	0.07377238342581309	5	0.00012349602678296475	6.3711866141548149e-31	0	inf	nan
85	rand028	0	7	1.1216747405793808	no_coincident_d14_event	3.6190598283610045e-36	0.0046390916081197123	0.64440656466632762	0.070310360286100285	8	0.00013060508256414207	6.8849316306476549e-31	0	inf	nan
86	rand028	0.5	6	1.1154478212949042	no_coincident_d14_event	2.9513672782061376e-36	0.0046334441921352925	0.64362210485556282	0.07377238342581309	5	0.00012349602678296475	6.3711866141548149e-31	0	inf	nan
86	rand028	0.5	7	1.1216747405793808	no_coincident_d14_event	3.6190598283610045e-36	0.0046390916081197123	0.64440656466632762	0.070310360286100285	8	0.00013060508256414207	6.8849316306476549e-31	0	inf	nan
87	rand029	0	11	1.0066351229529891	no_coincident_d14_event	1.1180392993534335e-33	0.22972543138007853	0.42925620214316673	14.197244791000239	10	0.0014231806921125708	2.3723306613648514e-29	0	inf	nan
87	rand029	0	12	1.0180008838893202	no_coincident_d14_event	3.5018187709133608e-34	0.22832780979698783	0.42129000245423442	5.3156365543705428	13	0.0049308199562761376	1.0529655660181503e-28	0	inf	nan
88	rand029	0.5	11	1.0066351229529891	no_coincident_d14_event	1.1180392993534335e-33	0.22972543138007853	0.42925620214316673	14.197244791000239	10	0.0014231806921125708	2.3723306613648514e-29	0	inf	nan
88	rand029	0.5	12	1.0180008838893202	no_coincident_d14_event	3.5018187709133608e-34	0.22832780979698783	0.42129000245423442	5.3156365543705428	13	0.0049308199562761376	1.0529655660181503e-28	0	inf	nan
89	rand030	0	11	1.2284232810609115	no_coincident_d14_event	6.4505842762898545e-37	0.0014859757946468711	0.79579263242736098	0.015986268015439866	10	5.2618531065922436e-05	6.5046803515012427e-29	0	inf	nan
89	rand030	0	12	1.2325376442666749	no_coincident_d14_event	2.5063738001873545e-37	0.001484496449790538	0.7949875693980486	0.015722526443245264	13	5.3640968430895265e-05	8.2282445000463389e-29	0	inf	nan
90	rand030	0.5	11	1.2284232810609115	no_coincident_d14_event	6.4505842762898545e-37	0.0014859757946468711	0.79579263242736098	0.015986268015439866	10	5.2618531065922436e-05	6.5046803515012427e-29	0	inf	nan
90	rand030	0.5	12	1.2325376442666749	no_coincident_d14_event	2.5063738001873545e-37	0.001484496449790538	0.7949875693980486	0.015722526443245264	13	5.3640968430895265e-05	8.2282445000463389e-29	0	inf	nan
91	rand031	0	11	1.1318308890495363	no_coincident_d14_event	8.3254210287413485e-35	0.047655710287417746	0.78871023547530317	1.6405092353394051	10	0.0004935213732991774	1.7787431119228979e-30	0	inf	nan
91	rand031	0	12	1.4568732853931508	no_coincident_d14_event	2.9444147662978263e-35	0.044189055782642039	0.7313364687224948	0.52135844718674484	13	0.0018611819016491839	9.3688346033149645e-31	0	inf	nan
92	rand031	0.5	11	1.1318308890495363	no_coincident_d14_event	8.3254210287413485e-35	0.047655710287417746	0.78871023547530317	1.6405092353394051	10	0.0004935213732991774	1.7787431119228979e-30	0	inf	nan
92	rand031	0.5	12	1.4568732853931508	no_coincident_d14_event	2.9444147662978263e-35	0.044189055782642039	0.7313364687224948	0.52135844718674484	13	0.0018611819016491839	9.3688346033149645e-31	0	inf	nan
95	rand033	0	4	0.88539681068928811	no_coincident_d14_event	3.3523847061439918e-35	0.012647036942267494	0.5433925264810473	0.97014890616333227	3	7.5622729133968319e-05	9.2769149464262201e-30	0	inf	nan
95	rand033	0	6	0.90646761403215981	no_coincident_d14_event	4.9901759764173358e-35	0.012582101352220756	0.39752816566434335	1.4642462816886326	7	6.778010296712493e-05	1.4505296364331546e-29	0	inf	nan
96	rand033	0.5	4	0.88539681068928811	no_coincident_d14_event	3.3523847061439918e-35	0.012647036942267494	0.5433925264810473	0.97014890616333227	3	7.5622729133968319e-05	9.2769149464262201e-30	0	inf	nan
96	rand033	0.5	6	0.90646761403215981	no_coincident_d14_event	4.9901759764173358e-35	0.012582101352220756	0.39752816566434335	1.4642462816886326	7	6.778010296712493e-05	1.4505296364331546e-29	0	inf	nan
103	rand037	0	8	1.0333533990997821	no_coincident_d14_event	3.1962151404481372e-36	0.0067852583350612103	0.65582835295109443	0.057500792699948906	7	0.00026002506251667417	1.5385306425379079e-28	0	inf	nan
103	rand037	0	9	1.0346075985963812	no_coincident_d14_event	3.798072024672519e-36	0.0067899507588055396	0.65604233456949346	0.056376989852455615	10	0.00026704278009889986	1.0253178900065971e-28	0	inf	nan
104	rand037	0.5	8	1.0333533990997821	no_coincident_d14_event	3.1962151404481372e-36	0.0067852583350612103	0.65582835295109443	0.057500792699948906	7	0.00026002506251667417	1.5385306425379079e-28	0	inf	nan
104	rand037	0.5	9	1.0346075985963812	no_coincident_d14_event	3.798072024672519e-36	0.0067899507588055396	0.65604233456949346	0.056376989852455615	10	0.00026704278009889986	1.0253178900065971e-28	0	inf	nan
109	paper_highA	0	1	0.00015722863550176464	no_coincident_d14_event	1.4947689483782956e-39	1.9960048635504429e-05	0.50012370710016474	0.099387989076622565	0	1.832745080090359e-09	3.6098450454337373e-31	0	inf	nan
110	paper_highA	0.5	1	0.00015722863550176464	no_coincident_d14_event	1.4947689483782956e-39	1.9960048635504429e-05	0.50012370710016474	0.099387989076622565	0	1.832745080090359e-09	3.6098450454337373e-31	0	inf	nan
