lane	row	case	u	mu_reference	policy	topology_status	topology_events	topology_cells	chart_events	projective_promotions	event_identity_unchanged	cell_plan_unchanged	value_converged	value_stop	mu	value_error	numerical_status	stop	wall_ms	grad_x	grad_y	grad_rho	grad_q	grad_a	quality_x	quality_y	quality_rho	quality_q	quality_a	gradient_a_error	nodes	panels	splits
projective_fold	15	tiny-rho	0	0.015078365162480623	ValueFirst	0	14	15	0	0	1	1	1	Converged	38.337679647339648	0.0037248851665539224	0	Converged	0.55906	-3354.9086201014557	2327.8247696343037	373.83691947347427	709.47464556123168	-9.3784818510065158	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	0.0058350057211956846	170	6	0
projective_fold	16	tiny-rho	0.5	0.015141522046178579	None	0	14	15	0	0	1	1	1	Converged	38.322870889637002	0.0016211347484606641	0	Converged	0.50238000000000005	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	122	6	0
projective_fold	16	tiny-rho	0.5	0.015141522046178579	ValueFirst	0	14	15	0	0	1	1	1	Converged	38.322870889637002	0.0016211347484639889	0	Converged	0.70311800000000002	-3347.6234337612173	2321.9123003707555	343.15568249110339	707.86196346871907	-9.3629941831365571	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	0.0035037091918934393	170	6	0
projective_fold	17	caustic-cross	0	0.064207624818664044	None	0	16	14	2	2	1	1	1	Converged	31.943882703752212	0.00013594219144659022	0	Converged	0.71016999999999997	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	91	5	0
projective_fold	17	caustic-cross	0	0.064207624818664044	ValueFirst	0	16	14	2	2	1	1	1	Converged	31.943882703752212	0.00013594219144650641	0	Converged	0.820164	127.76800770273344	4.1733967528639751e-10	-1196.5290424999657	-41.359935687628372	-2.4046891773126045	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	0.0022855318439422038	139	5	0
projective_fold	18	caustic-cross	0.5	0.058039367198944092	None	0	16	14	2	2	1	1	1	Converged	33.288801805520592	0.00061592895559050664	0	Converged	0.76403100000000002	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	91	5	0
projective_fold	18	caustic-cross	0.5	0.058039367198944092	ValueFirst	0	16	14	2	2	1	1	1	Converged	33.288801805520592	0.00061592895559050361	0	Converged	1.1124540000000001	77.517892113009324	2.4733137230258629e-10	-1202.2714105866073	-34.050046375997034	-2.6411512722770576	FiniteUncertified	FiniteUncertified	ToleranceMet	FiniteUncertified	FiniteUncertified	0.030599787089018043	171	5	0
projective_fold	19	extreme-q-lo	0	0.0271079619997181	None	0	12	13	0	0	1	1	1	Converged	1.6758184942457057	0.00011830302474223491	0	Converged	0.38286100000000001	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	53	3	0
projective_fold	19	extreme-q-lo	0	0.0271079619997181	ValueFirst	0	12	13	0	0	1	1	1	Converged	1.6758184942457057	0.00011830302474225551	0	Converged	0.437946	-1.7028669873062068	-0.12357189393468546	0.016799596702612156	-11.178840343780106	0.0011283480239294426	ToleranceMet	ToleranceMet	FiniteUncertified	ToleranceMet	ToleranceMet	3.1138013981857068e-07	77	3	0
projective_fold	20	extreme-q-lo	0.5	0.029556070046965033	None	0	12	13	0	0	1	1	1	Converged	1.6758050595845733	4.4888695041742101e-09	0	Converged	0.47206999999999999	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	69	3	0
projective_fold	20	extreme-q-lo	0.5	0.029556070046965033	ValueFirst	0	12	13	0	0	1	1	1	Converged	1.6758050595845733	4.4888695395818847e-09	0	Converged	0.68521699999999996	-1.7028182740197784	-0.12354242738559369	0.015454306775438327	-11.686797259512122	0.0011364800548449713	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	4.1255793920911709e-08	125	3	0
projective_fold	21	extreme-q-planet	0	4.6431154648307711	None	0	14	15	2	0	1	1	1	Converged	1.3710366675865318	7.4439476872679647e-05	0	Converged	0.48422700000000002	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	90	6	0
