name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
resonant,0.5,Strict,0,1.0e-04,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,13.877481553095594,0.001385955,2.187330,0.416188,1.769276,0.000025,0.001464,0.527914,0.001888,351,351,8,3,3,1,5,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
resonant,0.5,Strict,1,1.0e-03,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,13.960822824509574,0.012731107,2.496124,0.574725,1.618793,0.000045,0.004880,0.695393,0.005989,231,231,8,2,2,1,6,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
resonant,0.5,Strict,1,1.0e-04,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,13.960820125801241,0.0011646163,1.914725,0.425828,1.485987,0.000029,0.001727,0.622953,0.002197,231,231,8,2,2,1,6,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
resonant,0.5,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,13.877484232546381,0.012850366,1.610266,0.487037,1.121662,0.000021,0.002329,0.595475,0.007192,143,143,8,3,3,1,5,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.5,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,13.877481553095594,0.001385955,1.690890,0.454080,1.235215,0.000029,0.001519,0.580999,0.002089,191,191,8,3,3,1,5,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.5,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,13.960822824509574,0.012731107,1.501640,0.416319,1.082674,0.000020,0.001554,0.581057,0.002152,143,143,8,2,2,1,6,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
resonant,0.5,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,13.960820125801241,0.0011646163,1.868032,0.427425,1.438890,0.000030,0.001544,0.594129,0.002141,215,215,8,2,2,1,6,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
close-binary,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,8.1331861615733256,0.0074880942,1.493541,0.707974,0.784898,0.000024,0.002124,0.598880,0.003872,88,88,8,1,1,1,7,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
close-binary,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,8.1331871350959748,0.00034427416,1.489567,0.672227,0.816022,0.000021,0.001723,0.568332,0.002015,136,136,8,1,1,1,7,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
close-binary,0.0,None,1,1.0e-03,0,Converged,Converged,Converged,1,8.0874897495427014,0.0073473169,1.278747,0.495310,0.781614,0.000022,0.001808,0.592419,0.001984,88,88,8,1,1,1,7,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
close-binary,0.0,None,1,1.0e-04,0,Converged,Converged,Converged,1,8.0874907246957317,0.0003330452,1.335918,0.485739,0.848486,0.000021,0.001752,0.575807,0.001784,136,136,8,1,1,1,7,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
close-binary,0.0,Strict,0,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,8.1331861615733256,0.0074880942,19.168661,0.676205,18.490030,0.000020,0.002123,0.575377,0.003064,3322,3322,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
close-binary,0.0,Strict,0,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,8.1331871350959748,0.00034427416,15.876451,0.973525,14.866210,0.000210,0.004558,0.800844,0.007815,3322,3322,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
close-binary,0.0,Strict,1,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,8.0874897495427014,0.0073473169,8.828839,0.621544,8.023462,0.000337,0.004851,0.644536,0.007659,2242,2242,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
close-binary,0.0,Strict,1,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,8.0874907246957317,0.0003330452,8.477020,0.545865,7.904760,0.000273,0.002470,0.598027,0.004304,2242,2242,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
close-binary,0.0,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,8.1331861615733256,0.0074880942,1.615416,0.709578,0.903998,0.000192,0.004136,0.597783,0.005379,120,120,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
close-binary,0.0,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,8.1331871350959748,0.00034427416,1.653456,0.670395,0.981154,0.000053,0.001893,0.590978,0.002030,168,168,8,1,1,1,7,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,BudgetExceeded,ToleranceMet,ToleranceMet
close-binary,0.0,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,8.0874897495427014,0.0073473169,1.365912,0.481816,0.879703,0.000022,0.001760,0.592121,0.002077,120,120,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
close-binary,0.0,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,8.0874907246957317,0.0003330452,1.502709,0.489071,1.011900,0.000029,0.001747,0.615292,0.002033,168,168,8,1,1,1,7,ToleranceMet,ToleranceMet,FiniteUncertified,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,BudgetExceeded,ToleranceMet,ToleranceMet
close-binary,0.5,None,0,1.0e-03,0,Converged,Converged,Converged,1,8.0833951022848609,0.0030327108,1.647369,0.688878,0.957895,0.000021,0.002126,0.591686,0.003084,120,120,8,1,1,1,7,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
close-binary,0.5,None,0,1.0e-04,0,Converged,Converged,Converged,1,8.0833997168360217,0.00059138924,1.593539,0.680892,0.911002,0.000022,0.001725,0.571345,0.001853,136,136,8,1,1,1,7,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
close-binary,0.5,None,1,1.0e-03,0,Converged,Converged,Converged,1,8.036982527855697,0.0030296107,1.427604,0.488783,0.936892,0.000023,0.002017,0.599208,0.002123,120,120,8,1,1,1,7,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
close-binary,0.5,None,1,1.0e-04,0,Converged,Converged,Converged,1,8.0369871411537464,0.00059108031,1.428831,0.494415,0.932740,0.000021,0.001685,0.579427,0.001924,136,136,8,1,1,1,7,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
close-binary,0.5,Strict,0,1.0e-03,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,8.0833951022848609,0.0030327108,1.702895,0.662944,1.039244,0.000022,0.001942,0.577169,0.003047,128,128,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
close-binary,0.5,Strict,0,1.0e-04,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,8.0833997168360217,0.00059138924,1.740528,0.679737,1.059043,0.000021,0.001841,0.588239,0.001909,136,136,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
close-binary,0.5,Strict,1,1.0e-03,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,8.036982527855697,0.0030296107,1.611629,0.494075,0.979407,0.000040,0.003661,0.533740,0.004414,128,128,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
close-binary,0.5,Strict,1,1.0e-04,0,InnerAccuracyLimited,Converged,InnerAccuracyLimited,1,8.0369871411537464,0.00059108031,1.412575,0.437200,0.973731,0.000023,0.001552,0.521480,0.001812,136,136,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
close-binary,0.5,ValueFirst,0,1.0e-03,0,Converged,Converged,InnerAccuracyLimited,1,8.0833951022848609,0.0030327108,1.553829,0.605279,0.947740,0.000025,0.002335,0.528868,0.004289,128,128,8,1,1,1,7,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited,InnerAccuracyLimited
