name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,1,1,1.0e-03,1,0,EventLocationLimited,6.0267722202986089,0.0059217089,3092,3092,2821,10,12.179385,0.187615,11.802504,0.000169,0.002384,0.447233,0.004844,8,0,0,8,1,120,0,0,140724603453471,0,3729268556,2.816612,0.050056,1.210092,6.027232,0,0,4.502875e-14,1.1470775e-14,2.6764245e-15,3.3596464e-322,5.3515593855387502,-16.945458083799807,-10.617977019370823,-4.9307707120843656,1.2299369955566701,2.7386264e-06,3.8642039e-06,5.1913428e-06,2.3221445e-06,1.5347646e-06
plan15,0.0,1,1,1.0e-03,0,0,EventLocationLimited,6.0267722202986098,0.0059217089,3092,5913,0,10,19.479290,0.178147,19.261585,0.000146,0.002114,0.466032,0.005222,8,0,0,8,1,177,0,0,140724603453471,0,1417820206,2.849210,0.056881,1.147531,6.027232,0,0,4.5003036e-14,1.1470775e-14,2.6764245e-15,3.3596464e-322,5.3515593855470165,-16.945458083791792,-10.617977019356625,-4.9307707120828583,1.2299369955502397,2.7386095e-06,3.864195e-06,5.1913208e-06,2.322144e-06,1.5347868e-06
plan15,0.0,1,1,1.0e-04,1,0,EventLocationLimited,6.0267740818191173,0.00032163431,3092,3092,2821,10,11.883895,0.181824,11.681665,0.000164,0.002171,0.444595,0.003485,8,0,0,8,1,176,0,0,140724603453471,0,2352405121,2.808892,0.049851,1.070956,6.027232,0,0,4.4841685e-14,1.1380573e-14,2.6764253e-15,3.3596464e-322,5.3515593855387502,-16.945458083799807,-10.617977019370823,-4.9307707120843656,1.2299369955566701,2.7386264e-06,3.8642039e-06,5.1913428e-06,2.3221445e-06,1.5347646e-06
plan15,0.0,1,1,1.0e-04,0,0,EventLocationLimited,6.0267740818191164,0.00032163431,3092,5913,0,10,19.572707,0.179602,19.349948,0.000163,0.002318,0.468372,0.004629,8,0,0,8,1,285,0,0,140724603453471,0,908196608,2.799479,0.049277,1.144351,6.027232,0,0,4.4820149e-14,1.1380573e-14,2.6764253e-15,3.3596464e-322,5.3515593855470165,-16.945458083791792,-10.617977019356625,-4.9307707120828583,1.2299369955502397,2.7386095e-06,3.864195e-06,5.1913208e-06,2.322144e-06,1.5347868e-06
plan15,0.0,1,1,1.0e-05,1,0,EventLocationLimited,6.026774081799493,5.769977e-05,3092,3092,2821,10,12.017264,0.178641,11.817247,0.000122,0.002264,0.443336,0.004159,8,0,0,8,1,208,0,0,140724603453471,0,1032716297,2.802373,0.048453,1.061210,6.027232,0,0,4.5035809e-14,1.1247279e-14,2.6764253e-15,3.3596464e-322,5.3515593855387502,-16.945458083799807,-10.617977019370823,-4.9307707120843656,1.2299369955566701,2.7386264e-06,3.8642039e-06,5.1913428e-06,2.3221445e-06,1.5347646e-06
plan15,0.0,1,1,1.0e-05,0,0,EventLocationLimited,6.026774081799493,5.769977e-05,3092,5913,0,10,19.481267,0.177795,19.260044,0.000290,0.002865,0.467270,0.004362,8,0,0,8,1,347,0,0,140724603453471,0,2252074688,2.813810,0.049207,1.132530,6.027232,0,0,4.5039204e-14,1.1247279e-14,2.6764253e-15,3.3596464e-322,5.3515593855470165,-16.945458083791792,-10.617977019356625,-4.9307707120828583,1.2299369955502397,2.7386095e-06,3.864195e-06,5.1913208e-06,2.322144e-06,1.5347868e-06
plan15,0.0,1,1,1.0e-06,1,0,EventLocationLimited,6.0267740818625244,2.6054181e-06,3092,3092,2821,10,11.808429,0.184445,11.601746,0.000229,0.002459,0.444268,0.003558,8,0,0,8,1,264,0,0,140724603453455,0,52501683,2.818874,0.048879,1.063049,6.027232,0,0,4.5151872e-14,1.1247251e-14,2.6764253e-15,3.3596464e-322,5.3515593855387502,-16.945458083799807,-10.617977019370823,-4.9307707120843656,1.2299369955566701,2.7386264e-06,3.8642039e-06,5.1913428e-06,2.3221445e-06,1.5347646e-06
plan15,0.0,1,1,1.0e-06,0,0,EventLocationLimited,6.0267740818625244,2.6054181e-06,3092,5913,0,10,19.548514,0.179304,19.323406,0.000140,0.002559,0.468754,0.004408,8,0,0,8,1,456,0,0,140724603453455,0,121496052,2.818683,0.049272,1.096142,6.027232,0,0,4.5152549e-14,1.1247251e-14,2.6764253e-15,3.3596464e-322,5.3515593855470165,-16.945458083791792,-10.617977019356625,-4.9307707120828583,1.2299369955502397,2.7386095e-06,3.864195e-06,5.1913208e-06,2.322144e-06,1.5347868e-06
plan15,0.0,1,1,1.0e-08,1,0,EventLocationLimited,6.026774081862742,2.2032671e-08,328,328,254,0,1.182707,0.174977,1.004137,0.000023,0.001672,0.426184,0.001892,8,0,0,8,1,328,0,0,140724603453440,0,1863947086,0.123293,0.009752,1.068330,6.027232,0,0,4.5440645e-14,1.1208874e-14,2.6764253e-15,3.3596464e-322,5.3515593739711367,-16.945458078813083,-10.617977031965143,-4.9307707227764626,1.2299369678093084,2.6144311e-06,3.8073261e-06,4.504864e-06,2.1907476e-06,1.1504105e-06
plan15,0.0,1,1,1.0e-08,0,0,EventLocationLimited,6.026774081862742,2.2032672e-08,328,582,0,0,1.428800,0.173711,1.250789,0.000031,0.001291,0.429111,0.001764,8,0,0,8,1,582,0,0,140724603453440,0,1539041404,0.108417,0.009982,1.029197,6.027232,0,0,4.5494588e-14,1.1208874e-14,2.6764253e-15,3.3596464e-322,5.3515593739816438,-16.945458078806496,-10.617977031952309,-4.9307707227723245,1.2299369678105594,2.6144086e-06,3.8073127e-06,4.5048347e-06,2.1907392e-06,1.1504086e-06
