case config profile bin epoch s q rho x y time u X ref tol cold_ms shadow_cold_ms warm_ms shadow_warm_ms cold_mu shadow_cold_mu warm_mu shadow_warm_mu cold_ok shadow_cold_ok warm_ok shadow_warm_ok cold_status shadow_cold_status warm_status shadow_warm_status cold_nodes shadow_cold_nodes warm_nodes shadow_warm_nodes cold_jet_ok warm_jet_ok shadow_panels eligible jet_ms shadow_ms
0 0 linear 4 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436379816839837 0.5 -1.0603723899115669 2.5174345319049873 0.001 0.43068600000000001 0.44214900000000001 0.26301999999999998 0.27058700000000002 2.5174331937761689 2.5174331937761689 2.5174331937766752 2.5174331937766752 1 1 1 1 Converged Converged Converged Converged 52 52 52 52 0 0 4 0 0 7.6000000000000004e-05
0 0 linear 4 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436620044254067 0.5 -1.0603964126529899 2.4212347726041608 0.001 0.46160699999999999 0.45144200000000001 0.34634799999999999 0.33835700000000002 2.4212389482929488 2.4212389482929488 2.4212389482952048 2.4212389482952048 1 1 1 1 Converged Converged Converged Converged 68 68 68 68 0 0 4 0 0 6.9999999999999994e-05
0 0 linear 4 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436860271668294 0.5 -1.0604204353944127 2.3408523335578364 0.001 0.43251400000000001 0.43047600000000003 0.28446700000000003 0.29067399999999999 2.3408509317815125 2.3408509317815125 2.3408509317814752 2.3408509317814752 1 1 1 1 Converged Converged Converged Converged 61 61 61 61 0 0 3 0 0 4.7000000000000004e-05
0 0 linear 4 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436169617852388 0.5 -1.060351370012822 2.6196492485236935 0.0001 0.465561 0.45510899999999999 0.45566600000000002 0.44905099999999998 2.6196476074454114 2.6196476074454114 2.6196476074454114 2.6196476074454114 1 1 1 1 Converged Converged Converged Converged 76 76 76 76 0 0 4 0 0 7.5000000000000007e-05
0 0 linear 4 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436379816839837 0.5 -1.0603723899115669 2.5174345319049873 0.0001 0.51314899999999997 0.52262900000000001 0.37517099999999998 0.38436999999999999 2.5174329294969735 2.5174329294969735 2.5174329294968643 2.5174329294968643 1 1 1 1 Converged Converged Converged Converged 100 100 100 100 0 0 4 0 0 6.2000000000000003e-05
0 0 linear 4 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436620044254067 0.5 -1.0603964126529899 2.4212347726041608 0.0001 0.56189100000000003 0.55407700000000004 0.47336600000000001 0.464028 2.4212333290195831 2.4212333290195831 2.42123332902014 2.42123332902014 1 1 1 1 Converged Converged Converged Converged 116 116 116 116 0 0 4 0 0 6.3e-05
0 0 linear 4 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436860271668294 0.5 -1.0604204353944127 2.3408523335578364 0.0001 0.45241900000000002 0.46141199999999999 0.32575100000000001 0.323517 2.3408509327032796 2.3408509327032796 2.3408509327032423 2.3408509327032423 1 1 1 1 Converged Converged Converged Converged 77 77 77 77 0 0 3 0 0 4.8999999999999998e-05
0 0 uniform 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0 -1.0576909932376057 6.8139830013407305 0.001 49.536472000000003 49.409457000000003 49.577075999999998 49.505304000000002 6.8139867820873175 6.8139867820873175 6.8139867820873175 6.8139867820873175 1 1 1 1 Converged Converged Converged Converged 67 67 67 67 0 0 5 0 0 0.000155
0 0 uniform 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0 -1.0577120131363507 6.9223164812350113 0.001 49.527900000000002 49.478088999999997 49.248829000000001 49.347901 6.9223389959710024 6.9223389959710024 6.9223389959710024 6.9223389959710024 1 1 1 1 Converged Converged Converged Converged 83 83 83 83 0 0 5 0 0 0.000213
0 0 uniform 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0 -1.0577360358777737 7.0045095553354182 0.001 49.645032 49.716476 49.595770999999999 49.464720999999997 7.004505411003394 7.004505411003394 7.004505411003394 7.004505411003394 1 1 1 1 Converged Converged Converged Converged 91 91 91 91 0 0 5 0 0 9.800000000000001e-05
0 0 uniform 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0 -1.0577600586191964 7.0403851828477153 0.001 49.803699000000002 49.707340000000002 49.933011 49.909830999999997 7.0403829421860307 7.0403829421860307 7.0403829421860307 7.0403829421860307 1 1 1 1 Converged Converged Converged Converged 91 91 91 91 0 0 5 0 0 0.00012300000000000001
0 0 uniform 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0 -1.0576909932376057 6.8139830013407305 0.0001 49.636347999999998 49.768695999999998 49.582498999999999 49.770001999999998 6.8139823806006667 6.8139823806006667 6.8139823806006667 6.8139823806006667 1 1 1 1 Converged Converged Converged Converged 107 107 107 107 0 0 5 0 0 0.00015400000000000003
0 0 uniform 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0 -1.0577120131363507 6.9223164812350113 0.0001 49.617415000000001 49.691696999999998 49.472515000000001 49.507409000000003 6.9223156673031889 6.9223156673031889 6.9223156673031889 6.9223156673031889 1 1 1 1 Converged Converged Converged Converged 107 107 107 107 0 0 5 0 0 0.00015200000000000001
