name tol panel cell depth value_resolved q7 qh3 qh7 correction model inner geometry event roundoff model_budget_pass_ignoring_value_detail panel_local_budget_pass ref64 ref128 ref_unc qh_error q7_error model_under jet_count jet_endpoint_ift_max_scaled derivative_detail3 derivative_detail7 derivative_detail_decays
plan15 0.001 10 1 1 1 0.091238364065998945 0.091224518774658564 0.091238333834157734 3.0231841210981436e-08 0.00083026323216519693 0 1.886140733356455e-15 3.9067560537765075e-17 4.0517973006081818e-17 0 0 0.091238333834436275 0.091238333834436317 4.163336342344337e-17 2.785827124540674e-13 3.0231562628268982e-08 0 7 1.8653287816589764e-13 0.05792192296390513 0.0030484777636159278 1
plan15 0.001 11 1 1 1 0.10261219967142489 0.10265428900727373 0.10261241912807545 2.1945665056033459e-07 0.0010823547508959782 0 2.1411234455023018e-15 5.16197217708544e-17 4.5568970673059934e-17 0 0 0.10261241913385631 0.10261241913385633 1.3877787807814457e-17 5.7808757780719588e-12 2.1946243143611266e-07 0 7 5.9778291880432854e-16 0.075787523180927102 0.0055780923839125838 1
plan15 0.001 12 6 1 1 0.94006393609780381 0.94109088483351644 0.9400466394714454 1.7296626358409561e-05 0.002088490724142078 0 5.8954155728416267e-15 0 4.1747225059021345e-16 0 0 0.94004679206762254 0.94004679206762276 2.2204460492503131e-16 1.5259617736074205e-07 1.7144030181048819e-05 0 7 2.4082646961006318e-14 0.35029578638500536 0.023165037036809732 1
plan15 0.001 13 6 1 1 0.16924969918103253 0.16924415378142074 0.16924970575458897 6.5735564491742338e-09 0.00025137337691605354 0 1.5935000229912706e-15 1.9065892690511094e-15 7.5161965176665524e-17 0 0 0.16924970575310827 0.16924970575310841 1.3877787807814457e-16 1.4805656700644931e-12 6.5720758835041693e-09 0 7 2.5082280383308852e-15 0.053190570687133586 0.00027154251773866433 1
plan15 0.001 14 12 1 1 0.068643223463945718 0.068644854970945621 0.068643229477642287 6.0136965684964849e-09 0.00068476209737733027 0 3.7686657363028217e-15 7.0326895815647891e-17 3.0483714869664932e-17 0 0 0.068643229477588691 0.068643229477588705 1.3877787807814457e-17 5.3582138725971618e-14 6.013642986357759e-09 0 7 1.5338789636457149e-15 0.047430374044866469 0.002487576373136644 1
plan15 0.001 15 12 1 1 0.067913103444963471 0.067911646996047875 0.067913098627071927 4.8178915440511005e-09 0.00066805220472751037 0 4.0690462829803133e-15 6.8591181556867502e-17 3.0159476447339393e-17 0 0 0.067913098626983609 0.067913098626983678 6.9388939039072284e-17 8.8248852669892131e-14 4.8179797929037704e-09 0 7 8.5182746330573172e-16 0.046242509992796332 0.0023417197247544803 1
plan15 0.001 16 7 1 1 0.12849422801237184 0.12850313342296979 0.12849425288601962 2.4873647780365715e-08 0.00052670698407892278 0 3.2606946207489939e-15 1.9891048009509642e-15 5.7062900188307993e-17 0 0 0.12849425288559363 0.12849425288559357 5.5511151231257827e-17 4.2604808569990382e-13 2.4873221732280015e-08 0 7 5.7209399390326673e-13 0.047991372441118951 0.0023375923622779254 1
plan15 0.001 17 7 1 1 0.13393222587418405 0.13393152418135135 0.13393221800447355 7.869710494379234e-09 0.0004300007111660548 0 2.8151830181091962e-15 2.4531022544728354e-15 5.9477856361926505e-17 0 0 0.13393221800445954 0.13393221800445959 5.5511151231257827e-17 1.3961054534661343e-14 7.8697244554337686e-09 0 7 1.2950495180215351e-12 0.050095284964024843 0.0016067925373686766 1
plan15 0.001 18 8 2 1 0.59619271246407846 0.59619321876657105 0.59619271271105079 2.4697233147463749e-10 0.00035342249239849556 0 2.8919217962788369e-15 0 2.6476275059653818e-16 1 1 0.59619271271105134 0.59619271271105156 2.2204460492503131e-16 7.7715611723760958e-16 2.4697310863075472e-10 0 7 2.7049646084773092e-15 0.060915871963240477 0.0010569740460451614 1
plan15 0.001 19 8 2 1 0.12104664423408575 0.12104539842069416 0.12104664388131461 3.5277113175080643e-10 0.00026021373310028173 0 2.5149681335543764e-15 1.4357585726293578e-16 5.3755508592916777e-17 0 0 0.12104664388131454 0.12104664388131484 2.9143354396410359e-16 2.2204460492503131e-16 3.5277090970620151e-10 0 7 1.1812281997330333e-12 0.083317447809604303 0.0017119624526063637 1
