case config profile bin epoch s q rho x y time u X ref tol cold_ms shadow_cold_ms warm_ms shadow_warm_ms radial_ms shadow_radial_ms cold_mu shadow_cold_mu warm_mu shadow_warm_mu radial_mu shadow_radial_mu cold_ok shadow_cold_ok warm_ok shadow_warm_ok radial_ok shadow_radial_ok cold_status shadow_cold_status warm_status shadow_warm_status radial_status shadow_radial_status cold_nodes shadow_cold_nodes warm_nodes shadow_warm_nodes radial_nodes shadow_radial_nodes cold_jet_attempts cold_jet_successes cold_shadow_panels cold_local_budget_passes cold_jet_ms cold_model_ms warm_jet_attempts warm_jet_successes warm_shadow_panels warm_local_budget_passes warm_jet_ms warm_model_ms radial_jet_attempts radial_jet_successes radial_shadow_panels radial_local_budget_passes radial_jet_ms radial_model_ms
0 0 uniform 4 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436620044254067 0 -1.0603964126529899 2.4276430973484411 0.001 0.43728299999999998 0.43859100000000001 0.32881199999999999 0.32438499999999998 0.137325 0.13566500000000001 2.4276525037033085 2.4276525037033085 2.4276525037048438 2.4276525037048438 2.4276525037033085 2.4276525037033085 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 68 68 68 68 68 68 28 25 4 0 0 0 28 25 4 0 0 0 28 25 4 0 0 0
0 0 uniform 4 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436860271668294 0 -1.0604204353944127 2.3458220830768508 0.001 0.37959999999999999 0.38969999999999999 0.227268 0.240511 0.085422999999999999 0.090643000000000001 2.3458220510917149 2.3458220510917149 2.345822051090575 2.345822051090575 2.3458220510917149 2.3458220510917149 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 45 45 45 45 45 45 21 19 3 0 0 0 21 19 3 0 0 0 21 19 3 0 0 0
0 0 uniform 4 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436169617852388 0 -1.060351370012822 2.6310460449919826 0.0001 0.43883499999999998 0.438085 0.42431999999999997 0.42389300000000002 0.13969300000000001 0.143292 2.6310460057608669 2.6310460057608669 2.6310460057608669 2.6310460057608669 2.6310460057608669 2.6310460057608669 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 76 76 76 76 76 76 28 26 4 0 0 0 28 26 4 0 0 0 28 26 4 0 0 0
0 0 uniform 4 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436379816839837 0 -1.0603723899115669 2.5259763672857281 0.0001 0.455177 0.46531099999999997 0.31107600000000002 0.32181999999999999 0.15021300000000001 0.158194 2.5259763258246459 2.5259763258246459 2.525976325824157 2.525976325824157 2.5259763258246459 2.5259763258246459 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 84 84 84 84 84 84 28 26 4 1 0 0 28 26 4 1 0 0 28 26 4 1 0 0
0 0 uniform 4 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436620044254067 0 -1.0603964126529899 2.4276430973484411 0.0001 0.52468300000000001 0.541381 0.45184200000000002 0.44901200000000002 0.23136300000000001 0.22487699999999999 2.4276431367176206 2.4276431367176206 2.4276431367179669 2.4276431367179669 2.4276431367176206 2.4276431367176206 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 116 116 116 116 116 116 28 25 4 0 0 0 28 25 4 0 0 0 28 25 4 0 0 0
0 0 uniform 4 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436860271668294 0 -1.0604204353944127 2.3458220830768508 0.0001 0.43042000000000002 0.43449100000000002 0.29236899999999999 0.299821 0.13408600000000001 0.14293700000000001 2.3458220547807498 2.3458220547807498 2.3458220547807236 2.3458220547807236 2.3458220547807498 2.3458220547807498 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 77 77 77 77 77 77 21 19 3 0 0 0 21 19 3 0 0 0 21 19 3 0 0 0
1 1 uniform 0 0 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6612080518027779 -0.017635896530330094 -1.6612179779380518 0 1.6703169727387037 41.922291611726415 0.001 0.37399900000000003 0.37215199999999998 0.35544199999999998 0.35337499999999999 0.081637000000000001 0.092325000000000004 41.92228245739819 41.92228245739819 41.92228245739819 41.92228245739819 41.92228245739819 41.92228245739819 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 67 67 67 67 67 67 35 28 5 0 0 0 35 28 5 0 0 0 35 28 5 0 0 0
1 1 uniform 0 7 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6612080518027779 -0.017635896530330094 -1.6612119359426676 0 1.6703109307433195 43.987614774812329 0.001 0.33846700000000002 0.34899200000000002 0.20036799999999999 0.206284 0.078036999999999995 0.084903999999999993 43.987607710308559 43.987607710308559 43.987607710308559 43.987607710308559 43.987607710308559 43.987607710308559 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 67 67 67 67 67 67 35 28 5 0 0 0 35 28 5 0 0 0 35 28 5 0 0 0
1 1 uniform 0 15 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6612080518027779 -0.017635896530330094 -1.6612050308050859 0 1.6703040256057378 45.910506501119002 0.001 0.346632 0.34850900000000001 0.19578899999999999 0.19775599999999999 0.081695000000000004 0.081453999999999999 45.910498225247032 45.910498225247032 45.910498225247032 45.910498225247032 45.910498225247032 45.910498225247032 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 67 67 67 67 67 67 35 28 5 0 0 0 35 28 5 0 0 0 35 28 5 0 0 0
1 1 uniform 0 23 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6612080518027779 -0.017635896530330094 -1.6611981256675039 0 1.6702971204681558 47.308639293138114 0.001 0.34290700000000002 0.35085699999999997 0.194023 0.20446 0.077313000000000007 0.084213999999999997 47.308632444162747 47.308632444162747 47.308632444162747 47.308632444162747 47.308632444162747 47.308632444162747 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 67 67 67 67 67 67 35 28 5 0 0 0 35 28 5 0 0 0 35 28 5 0 0 0
1 1 uniform 0 0 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6612080518027779 -0.017635896530330094 -1.6612179779380518 0 1.6703169727387037 41.922291611726415 0.0001 0.36049900000000001 0.36776300000000001 0.35374699999999998 0.36138500000000001 0.090935000000000002 0.10831499999999999 41.922291276798475 41.922291276798475 41.922291276798475 41.922291276798475 41.922291276798475 41.922291276798475 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 75 75 75 75 75 75 35 28 5 0 0 0 35 28 5 0 0 0 35 28 5 0 0 0
