name,u,jac,warm,rtol,stop,mu,error,nodes,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,1,1,1.0e-06,Converged,6.026774081862742,2.2032672e-08,328,254,0,1.122356,0.171254,0.365361,0.101991,0.010047,1.045540,6.027232423426514,0,4.5706908e-14,1.1208874e-14,2.6764253e-15,5.3515593739626137,-16.945458078820803,-10.617977031974506,-4.930770722777746,1.2299369678159402,2.6144378e-06,3.8073215e-06,4.5048677e-06,2.1907467e-06,1.1504135e-06
plan15,0.0,1,1,1.0e-08,EventLocationLimited,6.026774081862742,2.2032672e-08,328,254,0,1.114660,0.170612,0.360264,0.099073,0.009645,1.046434,6.027232423426514,0,4.5706908e-14,1.1208874e-14,2.6764253e-15,5.3515593739626137,-16.945458078820803,-10.617977031974506,-4.930770722777746,1.2299369678159402,2.6144378e-06,3.8073215e-06,4.5048677e-06,2.1907467e-06,1.1504135e-06
plan15,0.5,0,0,1.0e-03,Converged,6.1205006645589837,0.0043222585,128,64,0,0.962563,0.298504,0.214921,0.007340,0.001837,0.969520,6.1209627244296385,1.1114461e-09,5.5052543e-14,1.0123962e-14,2.7180483e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-04,Converged,6.120501628854238,0.00042465197,176,109,0,0.992206,0.286507,0.249443,0.011099,0.002202,0.972100,6.1209627244296385,1.0199709e-09,5.4806067e-14,1.0055176e-14,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-05,Converged,6.120501622763312,2.1517843e-05,216,146,0,1.197859,0.288707,0.435878,0.015397,0.002862,0.987531,6.1209627244296385,1.0754381e-09,5.4791553e-14,9.992235e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-06,Converged,6.1205016227777005,5.8046703e-06,248,177,0,1.114697,0.282001,0.358917,0.014748,0.002815,0.965589,6.1209627244296385,1.1649493e-09,5.4723023e-14,9.9922099e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-08,Converged,6.1205016227172306,3.6030366e-08,328,254,0,1.266201,0.283289,0.480259,0.019532,0.003191,0.968520,6.1209627244296385,1.3394822e-09,5.4696787e-14,9.9628559e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-03,Converged,6.129454459435534,0.0043589451,128,64,0,0.815395,0.175985,0.206610,0.007602,0.001642,0.857112,6.1299183453595569,1.4330001e-09,5.4748306e-14,1.0213417e-14,2.7220246e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-04,Converged,6.129455477263571,0.00044604833,176,109,0,0.874496,0.169467,0.261545,0.009852,0.002136,0.849618,6.1299183453595569,1.303405e-09,5.4647941e-14,1.014538e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-05,Converged,6.1294554708994573,5.994416e-05,208,139,0,0.936078,0.169492,0.317335,0.011228,0.002597,0.850058,6.1299183453595569,1.2016458e-09,5.459689e-14,1.0076736e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-06,Converged,6.1294554709811564,1.2757245e-06,264,192,0,1.066683,0.171337,0.411200,0.016850,0.003161,0.850306,6.1299183453595569,1.4692614e-09,5.4613616e-14,1.0076705e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-08,Converged,6.1294554709774953,3.5056237e-08,328,254,0,1.165471,0.170559,0.496259,0.021385,0.003349,0.852857,6.1299183453595569,1.5184707e-09,5.4848289e-14,1.0053479e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,1,0,1.0e-03,Converged,6.1205016226286428,0.00012894639,192,124,0,1.202632,0.295846,0.393739,0.055214,0.007992,1.171840,6.1209627244296385,1.0463037e-09,5.4537813e-14,1.0031107e-14,2.7180487e-15,7.3097580190204532,-17.352260827660842,-11.441453803023597,-5.4831820988710991,1.3006760599181295,0.0051925738,0.0056933255,0.0081947592,0.0039577976,0.00097544225
plan15,0.5,1,0,1.0e-04,Converged,6.1205016227170841,1.2802636e-06,264,192,0,1.415035,0.284652,0.568257,0.084297,0.009362,1.163065,6.1209627244296385,1.3175022e-09,5.4846923e-14,9.9922099e-15,2.7180487e-15,7.3097580436535168,-17.352260795281051,-11.441453834829165,-5.4831820636861108,1.3006760644026181,4.5978711e-05,7.6206534e-05,8.7224701e-05,4.4513075e-05,9.4367442e-06
plan15,0.5,1,0,1.0e-05,Converged,6.1205016227170841,1.2802636e-06,264,192,0,1.491149,0.288239,0.608756,0.093169,0.015365,1.160946,6.1209627244296385,1.3175022e-09,5.4846923e-14,9.9922099e-15,2.7180487e-15,7.3097580436535168,-17.352260795281051,-11.441453834829165,-5.4831820636861108,1.3006760644026181,4.5978711e-05,7.6206534e-05,8.7224701e-05,4.4513075e-05,9.4367442e-06
plan15,0.5,1,0,1.0e-06,Converged,6.1205016227172306,3.6030366e-08,328,254,0,1.566394,0.284414,0.682401,0.110991,0.010367,1.173807,6.1209627244296385,1.3394823e-09,5.4696787e-14,9.9628559e-15,2.7180487e-15,7.3097580436824643,-17.352260795227814,-11.441453834841978,-5.483182063694839,1.3006760644003734,2.1688582e-06,3.5334227e-06,4.0101613e-06,1.9427158e-06,1.080359e-06
plan15,0.5,1,0,1.0e-08,EventLocationLimited,6.1205016227172306,2.9052069e-08,344,269,0,1.643071,0.286196,0.749607,0.113914,0.011087,1.165397,6.1209627244296385,1.3487319e-09,5.4753003e-14,9.9628559e-15,2.7180487e-15,7.3097580436824616,-17.352260795227821,-11.441453834841971,-5.4831820636948425,1.3006760644003732,1.6635464e-06,2.4902728e-06,3.0194793e-06,1.5101939e-06,1.0332255e-06
plan15,0.5,1,1,1.0e-03,Converged,6.1294554709021982,0.0001294241,192,124,0,1.663621,0.176742,0.418454,0.052656,0.008102,1.192236,6.1299183453595569,1.2016459e-09,5.4483993e-14,1.0118711e-14,2.722025e-15,7.0163497021043373,-17.15759286376823,-11.717657196901458,-5.4053773485866881,1.2888219039125859,0.0050785966,0.0054882146,0.0079366435,0.0038525717,0.00095905169
plan15,0.5,1,1,1.0e-04,Converged,6.1294554709811564,1.2757245e-06,264,192,0,1.302721,0.170700,0.579963,0.084981,0.009508,1.043730,6.1299183453595569,1.4692614e-09,5.4613616e-14,1.0076705e-14,2.722025e-15,7.0163497213930821,-17.157592837956816,-11.717657220315893,-5.4053773182662388,1.2888219076662129,4.7520775e-05,7.530622e-05,8.7595834e-05,4.667735e-05,1.0151249e-05
plan15,0.5,1,1,1.0e-05,Converged,6.1294554709811564,1.2757245e-06,264,192,0,1.329551,0.180132,0.580725,0.078722,0.014343,1.040541,6.1299183453595569,1.4692614e-09,5.4613616e-14,1.0076705e-14,2.722025e-15,7.0163497213930821,-17.157592837956816,-11.717657220315893,-5.4053773182662388,1.2888219076662129,4.7520775e-05,7.530622e-05,8.7595834e-05,4.667735e-05,1.0151249e-05
plan15,0.5,1,1,1.0e-06,InnerAccuracyLimited,6.1294554709774953,3.5056237e-08,328,254,0,1.478511,0.172389,0.705424,0.109950,0.010740,1.046318,6.1299183453595569,1.5184707e-09,5.4848289e-14,1.0053479e-14,2.722025e-15,7.016349719731525,-17.15759283647218,-11.717657222359694,-5.4053773180090996,1.2888219074218208,6.4249784e-05,9.6842742e-05,5.8333218e-05,1.5956131e-05,2.8604562e-06
plan15,0.5,1,1,1.0e-08,EventLocationLimited,6.1294554709774953,3.5056237e-08,328,254,0,1.469508,0.173406,0.705397,0.107154,0.010581,1.058413,6.1299183453595569,1.5184707e-09,5.4848289e-14,1.0053479e-14,2.722025e-15,7.016349719731525,-17.15759283647218,-11.717657222359694,-5.4053773180090996,1.2888219074218208,6.4249784e-05,9.6842742e-05,5.8333218e-05,1.5956131e-05,2.8604562e-06
