name,u,parameter,step,n,stop,analytic,estimated_error,finite_difference,difference
paper_highA,0,2,8.1133264861482083e-09,256,EventLocationLimited,-6947009.4197016833,2054.71293,-6949239.1644048719,2229.7447
paper_highA,0,3,5.8095075817158435,128,EventLocationLimited,-4.5853632059863587,1.29508615e-05,-4.5853673571154889,4.15112913e-06
paper_highA,0,3,5.8095075817158435,256,EventLocationLimited,-4.5853632059863587,1.29508615e-05,-4.5853715049308379,8.29894448e-06
paper_highA,0,3,1.7428522745147528,128,EventLocationLimited,-4.5853632059863587,1.29508615e-05,-4.5853680305815958,4.82459524e-06
paper_highA,0,3,1.7428522745147528,256,EventLocationLimited,-4.5853632059863587,1.29508615e-05,-7.3289988727255642,2.74363567
paper_highA,0,3,0.58095075817158437,128,EventLocationLimited,-4.5853632059863587,1.29508615e-05,-4.5853642382349902,1.03224863e-06
paper_highA,0,3,0.58095075817158437,256,EventLocationLimited,-4.5853632059863587,1.29508615e-05,-4.5853434494441183,1.97565422e-05
paper_highA,0,4,0.0016869965260211354,128,EventLocationLimited,29310.413174207279,48.8158654,29310.540902809902,0.127728603
paper_highA,0,4,0.0016869965260211354,256,EventLocationLimited,29310.413174207279,48.8158654,29310.532388552056,0.119214345
paper_highA,0,4,0.0005060989578063405,128,EventLocationLimited,29310.413174207279,48.8158654,29310.44220936417,0.0290351569
paper_highA,0,4,0.0005060989578063405,256,EventLocationLimited,29310.413174207279,48.8158654,29310.430004121408,0.0168299141
paper_highA,0,4,0.00016869965260211354,128,EventLocationLimited,29310.413174207279,48.8158654,29310.38394256225,0.029231645
paper_highA,0,4,0.00016869965260211354,256,EventLocationLimited,29310.413174207279,48.8158654,29310.241849572605,0.171324635
paper_highA,0.5,0,8.1133264861482079e-08,128,InnerAccuracyLimited,-144429215.87341163,1979.95433,-144429386.54662192,170.67321
paper_highA,0.5,0,8.1133264861482079e-08,256,InnerAccuracyLimited,-144429215.87341163,1979.95433,-144429390.76724511,174.893833
paper_highA,0.5,0,2.4339979458444623e-08,128,InnerAccuracyLimited,-144429215.87341163,1979.95433,-144429350.77034342,134.896932
paper_highA,0.5,0,2.4339979458444623e-08,256,InnerAccuracyLimited,-144429215.87341163,1979.95433,-144428693.95681673,521.916595
paper_highA,0.5,0,8.1133264861482083e-09,128,InnerAccuracyLimited,-144429215.87341163,1979.95433,-144428696.32879138,519.54462
paper_highA,0.5,0,8.1133264861482083e-09,256,InnerAccuracyLimited,-144429215.87341163,1979.95433,-144428884.73582229,331.137589
paper_highA,0.5,1,8.1133264861482079e-08,128,InnerAccuracyLimited,-52457858.70918332,2146.56941,-52457959.532788627,100.823605
paper_highA,0.5,1,8.1133264861482079e-08,256,InnerAccuracyLimited,-52457858.70918332,2146.56941,-52458015.796969622,157.087786
paper_highA,0.5,1,2.4339979458444623e-08,128,InnerAccuracyLimited,-52457858.70918332,2146.56941,-52457885.239190198,26.5300069
paper_highA,0.5,1,2.4339979458444623e-08,256,InnerAccuracyLimited,-52457858.70918332,2146.56941,-22009117.335398126,30448741.4
paper_highA,0.5,1,8.1133264861482083e-09,128,InnerAccuracyLimited,-52457858.70918332,2146.56941,-52457884.063235715,25.3540524
paper_highA,0.5,1,8.1133264861482083e-09,256,InnerAccuracyLimited,-52457858.70918332,2146.56941,-52457882.889784783,24.1806015
paper_highA,0.5,2,8.1133264861482079e-08,128,InnerAccuracyLimited,7897911.911199742,6478.96947,7898247.2245736215,335.313374
paper_highA,0.5,2,8.1133264861482079e-08,256,InnerAccuracyLimited,7897911.911199742,6478.96947,7898192.409898228,280.498698
paper_highA,0.5,2,2.4339979458444623e-08,128,InnerAccuracyLimited,7897911.911199742,6478.96947,7897994.8307175972,82.9195179
paper_highA,0.5,2,2.4339979458444623e-08,256,InnerAccuracyLimited,7897911.911199742,6478.96947,7898160.9369495036,249.02575
paper_highA,0.5,2,8.1133264861482083e-09,128,InnerAccuracyLimited,7897911.911199742,6478.96947,7897973.9524905626,62.0412908
paper_highA,0.5,2,8.1133264861482083e-09,256,InnerAccuracyLimited,7897911.911199742,6478.96947,7896005.0843212698,1906.82688
paper_highA,0.5,3,5.8095075817158435,128,InnerAccuracyLimited,-5.0896310171340096,0.000113824498,-5.0896235501491729,7.46698484e-06
paper_highA,0.5,3,5.8095075817158435,256,InnerAccuracyLimited,-5.0896310171340096,0.000113824498,-5.0896271574360643,3.85969795e-06
paper_highA,0.5,3,1.7428522745147528,128,InnerAccuracyLimited,-5.0896310171340096,0.000113824498,-5.0896374310799226,6.41394591e-06
paper_highA,0.5,3,1.7428522745147528,256,InnerAccuracyLimited,-5.0896310171340096,0.000113824498,-6.7358194848120938,1.64618847
paper_highA,0.5,3,0.58095075817158437,128,InnerAccuracyLimited,-5.0896310171340096,0.000113824498,-5.0896353201286963,4.30299469e-06
paper_highA,0.5,3,0.58095075817158437,256,InnerAccuracyLimited,-5.0896310171340096,0.000113824498,-5.0896173509837634,1.36661502e-05
paper_highA,0.5,4,0.0016869965260211354,128,InnerAccuracyLimited,31296.52448290979,2150.78541,31057.920613882779,238.603869
paper_highA,0.5,4,0.0016869965260211354,256,InnerAccuracyLimited,31296.52448290979,2150.78541,31057.913349985407,238.611133
paper_highA,0.5,4,0.0005060989578063405,128,InnerAccuracyLimited,31296.52448290979,2150.78541,31057.954236941252,238.570246
paper_highA,0.5,4,0.0005060989578063405,256,InnerAccuracyLimited,31296.52448290979,2150.78541,31057.943759612594,238.580723
paper_highA,0.5,4,0.00016869965260211354,128,InnerAccuracyLimited,31296.52448290979,2150.78541,31057.914267285756,238.610216
paper_highA,0.5,4,0.00016869965260211354,256,InnerAccuracyLimited,31296.52448290979,2150.78541,31057.79143760608,238.733045
