name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,1,0,1.0e-08,1,0,EventLocationLimited,6.019953359650013,1.3239109e-08,344,344,269,0,1.207839,0.282547,0.341061,0.101011,0.010785,1.142142,6.0204103664095419,0,0,4.5626364e-14,1.1130644e-14,2.6733963e-15,5.5616784624542852,-17.137986488940005,-10.351485564258393,-4.9880854846222267,1.2384878952810345,2.1559861e-06,2.726431e-06,3.5301089e-06,1.7775752e-06,1.1350754e-06
plan15,0.0,1,0,1.0e-08,0,0,EventLocationLimited,6.019953359650013,1.3239109e-08,344,613,0,0,1.641031,0.287082,0.578219,0.103845,0.011308,1.158182,6.0204103664095419,0,0,4.5677752e-14,1.1130644e-14,2.6733963e-15,5.5616784624544797,-17.137986488939443,-10.351485564258279,-4.9880854846217719,1.2384878952812017,2.1560169e-06,2.7264516e-06,3.530146e-06,1.7775875e-06,1.1350795e-06
plan15,0.0,1,1,1.0e-03,1,0,Converged,6.0267740819408857,0.00029350288,184,184,116,0,1.096685,0.176759,0.205054,0.040826,0.008339,1.159378,6.0272324234265131,0,0,4.5470576e-14,1.1380573e-14,2.6764253e-15,5.3515593775654677,-16.945458090618189,-10.617977041512795,-4.9307707377614252,1.2299369665820152,0.0027201222,0.0040478508,0.007819809,0.0027270802,0.00086529962
plan15,0.0,1,1,1.0e-03,0,0,Converged,6.0267740819408848,0.00029350288,184,300,0,0,0.967717,0.172111,0.298066,0.039780,0.008007,1.029598,6.0272324234265131,0,0,4.5465874e-14,1.1380573e-14,2.6764253e-15,5.3515593775699504,-16.94545809061524,-10.617977041507613,-4.9307707377597287,1.2299369665825544,0.0027201222,0.0040478508,0.007819809,0.0027270802,0.00086529962
plan15,0.0,1,1,1.0e-04,1,0,Converged,6.0267740818625244,2.6054181e-06,264,264,192,0,0.980996,0.169262,0.287300,0.068357,0.009304,1.021984,6.0272324234265131,0,0,4.5572045e-14,1.1247251e-14,2.6764253e-15,5.3515593739553893,-16.945458078882403,-10.617977031911613,-4.9307707227535582,1.2299369678230547,7.0716108e-05,0.00011813105,0.0001384291,7.0421539e-05,1.3875534e-05
plan15,0.0,1,1,1.0e-04,0,0,Converged,6.0267740818625244,2.6054181e-06,264,456,0,0,1.178080,0.171191,0.451701,0.068067,0.009154,1.023893,6.0272324234265131,0,0,4.5527264e-14,1.1247251e-14,2.6764253e-15,5.3515593739593887,-16.945458078879362,-10.617977031906644,-4.9307707227515607,1.2299369678236547,7.0716107e-05,0.00011813105,0.0001384291,7.0421539e-05,1.3875534e-05
plan15,0.0,1,1,1.0e-05,1,0,Converged,6.0267740818627225,1.5372459e-07,296,296,223,0,1.025715,0.169446,0.307154,0.082526,0.009673,1.021067,6.0272324234265131,0,0,4.5522942e-14,1.1219886e-14,2.6764253e-15,5.3515593739872482,-16.945458078819758,-10.617977031959319,-4.930770722779207,1.2299369678165155,2.8127386e-05,3.1788935e-05,3.6604839e-05,3.4094175e-05,6.0902578e-06
plan15,0.0,1,1,1.0e-05,0,0,Converged,6.0267740818627225,1.5372459e-07,296,519,0,0,1.275875,0.171064,0.513267,0.089783,0.010041,1.057456,6.0272324234265131,0,0,4.5473322e-14,1.1219886e-14,2.6764253e-15,5.3515593739912566,-16.945458078816703,-10.617977031954338,-4.930770722777214,1.2299369678171133,2.8127385e-05,3.1788935e-05,3.6604839e-05,3.4094175e-05,6.0902573e-06
plan15,0.0,1,1,1.0e-06,1,0,Converged,6.026774081862742,2.2032672e-08,328,328,254,0,1.092171,0.169947,0.349173,0.099003,0.010751,1.020857,6.0272324234265131,0,0,4.5706548e-14,1.1208874e-14,2.6764253e-15,5.3515593739648555,-16.945458078822746,-10.617977031971543,-4.9307707227791573,1.2299369678153798,2.614439e-06,3.8073234e-06,4.504872e-06,2.1907455e-06,1.1504133e-06
plan15,0.0,1,1,1.0e-06,0,0,Converged,6.026774081862742,2.2032673e-08,328,582,0,0,1.359573,0.172242,0.574972,0.099144,0.011191,1.020712,6.0272324234265131,0,0,4.5724528e-14,1.1208874e-14,2.6764253e-15,5.3515593739842764,-16.945458078809512,-10.617977031948092,-4.9307707227708439,1.2299369678179768,2.6144081e-06,3.8073094e-06,4.5048308e-06,2.1907383e-06,1.1504122e-06
