name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
rand015,0.0,1,1,1.0e-05,1,1,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,1.104532,0.685588,0.289102,0.102288,0.011706,0.001231,0.800083,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-05,1,2,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,1.095492,0.620391,0.321833,0.121746,0.013415,0.001432,0.773702,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-05,0,0,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.069824,0.595841,0.266581,0.172569,0.010933,0.001170,0.839767,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-05,0,1,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.056538,0.596568,0.262653,0.160088,0.013753,0.001230,0.749055,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-05,0,2,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.070058,0.593295,0.279267,0.162011,0.011375,0.001154,0.764470,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-06,1,0,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,1.213165,0.723953,0.335028,0.122017,0.013247,0.001488,0.798279,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-06,1,1,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,0.997718,0.597587,0.271443,0.100474,0.012377,0.001188,0.759626,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-06,1,2,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,1.064279,0.627337,0.283077,0.122195,0.013277,0.001458,0.822759,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-06,0,0,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.070181,0.595362,0.281082,0.159607,0.010866,0.001159,0.741645,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-06,0,1,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.048156,0.585140,0.264741,0.159719,0.014681,0.001276,0.764925,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-06,0,2,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.084483,0.616148,0.272866,0.158129,0.013123,0.001192,0.785419,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-08,1,0,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,0.992951,0.590274,0.272228,0.101147,0.013964,0.001279,0.762721,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-08,1,1,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,0.987411,0.590248,0.266198,0.102134,0.013056,0.001235,0.739425,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-08,1,2,EventLocationLimited,2.1020062070196261,3.0637816e-09,62,62,44,0,1.014121,0.608518,0.273746,0.102145,0.014059,0.001272,0.741157,2.1020062070196346,0,0,9.7035331e-14,7.5163763e-16,9.3347828e-16,-2.5380312353058319,-2.1212128935824959,0.041742563506484032,-1.1214065594852989,1.1585581322487558e-06,1.7844373e-05,1.4913819e-05,2.3529964e-05,2.2668037e-05,1.8760001e-12
rand015,0.0,1,1,1.0e-08,0,0,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.093031,0.604281,0.275817,0.174397,0.012505,0.001220,0.760993,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
