name,u,jac,warm,rtol,stop,mu,error,nodes,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
resonant,0.0,1,0,1.0e-04,Converged,13.730115998900182,7.9718022e-05,271,193,0,1.160393,0.404439,0.441194,0.074078,0.010281,1.880976,13.73129716122153,0,1.6643826e-13,2.4376781e-13,6.0973964e-15,155.52847192273416,-93.344503178242491,-97.151214263055053,-42.28649469436214,-2.870563476161851,0.00096471858,0.0010918302,0.0042879796,0.00059012729,0.00028040195
resonant,0.0,1,0,1.0e-05,Converged,13.730115998899567,8.4047372e-08,319,238,0,1.198105,0.397857,0.475600,0.080573,0.011058,1.886369,13.73129716122153,0,1.6705107e-13,2.4381641e-13,6.0973964e-15,155.52847192265193,-93.34450317872755,-97.151214262509995,-42.286494694537765,-2.8705634761946284,0.00020547681,9.1609385e-05,0.00024515352,7.2580582e-05,1.8485384e-05
resonant,0.0,1,0,1.0e-06,EventLocationLimited,13.730115998899564,3.1307651e-08,351,269,0,1.270958,0.397842,0.523490,0.097669,0.011913,1.870810,13.73129716122153,0,1.6747111e-13,2.4381641e-13,6.0973964e-15,155.5284719226743,-93.34450317873268,-97.151214262486903,-42.286494694531477,-2.8705634761931451,4.8283731e-05,5.5816054e-05,8.2098626e-05,2.8485646e-05,8.099875e-06
resonant,0.0,1,0,1.0e-08,EventLocationLimited,13.730115998899564,3.1307651e-08,351,269,0,1.271651,0.399723,0.529147,0.091829,0.011116,1.868360,13.73129716122153,0,1.6747111e-13,2.4381641e-13,6.0973964e-15,155.5284719226743,-93.34450317873268,-97.151214262486903,-42.286494694531477,-2.8705634761931451,4.8283731e-05,5.5816054e-05,8.2098626e-05,2.8485646e-05,8.099875e-06
resonant,0.0,1,1,1.0e-03,Converged,13.807807455939122,0.00046271935,199,125,0,1.230968,0.390474,0.305708,0.048928,0.007950,1.938746,13.809001913125051,0,1.7045618e-13,2.8650541e-13,6.1318983e-15,155.23234353716876,-93.068759158111916,-99.523283917195414,-42.38315899942517,-2.8864402328627508,0.023249616,0.0076349291,0.041338319,0.0065961151,0.0022162562
resonant,0.0,1,1,1.0e-04,Converged,13.807807455845493,8.5299834e-05,255,178,0,1.048029,0.382555,0.374029,0.069503,0.008878,1.987216,13.809001913125051,0,1.7128144e-13,2.8619546e-13,6.1318983e-15,155.23234391968774,-93.068759245167442,-99.523283520293376,-42.383158892622738,-2.8864402076623574,0.00078873128,0.00095747093,0.0042574689,0.00055454447,0.00026735575
resonant,0.0,1,1,1.0e-05,Converged,13.807807455844612,6.5134526e-07,303,223,0,1.179884,0.384015,0.475807,0.083378,0.010847,2.038921,13.809001913125051,0,1.7028715e-13,2.8631405e-13,6.1318983e-15,155.23234391970485,-93.068759246069988,-99.523283519320245,-42.383158892940479,-2.8864402077246716,0.00026066757,0.00029683421,0.0004275285,0.00016318679,2.8364879e-05
resonant,0.0,1,1,1.0e-06,EventLocationLimited,13.807807455844564,9.0239435e-09,343,261,0,1.262737,0.376178,0.542844,0.093306,0.011480,1.955869,13.809001913125051,0,1.7017071e-13,2.8601005e-13,6.1318983e-15,155.23234391979989,-93.068759246105742,-99.523283519209173,-42.383158892908021,-2.886440207717897,4.1918796e-05,4.646828e-05,6.9912693e-05,2.3271336e-05,7.4159348e-06
resonant,0.0,1,1,1.0e-08,EventLocationLimited,13.807807455844564,9.0239435e-09,343,261,0,1.254234,0.377645,0.532115,0.097257,0.011830,1.930031,13.809001913125051,0,1.7017071e-13,2.8601005e-13,6.1318983e-15,155.23234391979989,-93.068759246105742,-99.523283519209173,-42.383158892908021,-2.886440207717897,4.1918796e-05,4.646828e-05,6.9912693e-05,2.3271336e-05,7.4159348e-06
resonant,0.5,0,0,1.0e-03,Converged,13.877484232546383,0.012850365,103,35,0,0.863330,0.403653,0.274482,0.005602,0.001474,1.643277,13.878583406718777,6.7939652e-08,1.9844149e-13,2.3075907e-13,6.162841e-15,0,0,0,0,0,0,0,0,0,0
