case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic
0 uniform 1 0 0.94674100000000005 627.72831737403214 1 105 0.64665300000000003 0.011756000000000001 0.25913599999999998 0.0066099999999999996 0.0015709999999999999 0.00314 0.0098279999999999999 0.17458299999999999 0.12956400000000001 0 0.004267 0.001119 0.25074299999999999 0.0011709999999999999 0.0038079999999999998 0.16278399999999996 0.078089000000000033 0 0 0 0 0 0.0030249999999999999 1 0 0 14 0 0.348416 0.63985700000000001 0.00093700000000000001 0.0036240000000000001 0.015722999999999997 0.0022620000000000001 0.031683000000000003
0 uniform 1 7 0.69234600000000002 631.61507920937345 1 105 0.38844899999999999 0.012711 0.26261999999999996 0.0061380000000000002 0.0015280000000000003 0.0028930000000000002 0.009247 0.049835999999999998 0.149784 0 0.0034759999999999999 0.0010859999999999999 0.103796 0.001175 0.0036819999999999995 0.16793800000000003 0.076498999999999998 0 0 1 19 19 0.0029250000000000001 1 0 0 14 0 0.24192 0.38211600000000001 0.0013799999999999999 0.0036939999999999998 0.014406 0.001354 0.030355
0 uniform 1 15 0.88418200000000002 635.58150147374488 1 128 0.49049999999999999 0.012499 0.348686 0.0073429999999999997 0.0015820000000000001 0.0026319999999999998 0.0085920000000000007 0.049737999999999997 0.13317899999999999 0 0.0035739999999999999 0.00096500000000000004 0.22487199999999996 0.0010349999999999999 0.0036579999999999998 0.22430800000000004 0.10163200000000014 0 0 2 19 19 0.003016 1 0 0 14 0 0.224772 0.48441699999999999 0.001266 0.0033670000000000002 0.014085 0.001196 0.030258
0 uniform 1 23 0.72394199999999997 638.99054014712431 1 128 0.336227 0.012503 0.34210800000000013 0.0073600000000000002 0.0015440000000000002 0.0023930000000000002 0.0084419999999999999 0.049685 0.129077 0 0.0035409999999999999 0.00096299999999999999 0.077403 0.00097900000000000005 0.0037249999999999991 0.21957399999999999 0.099740000000000079 0 0 3 19 19 0.0029840000000000001 1 0 0 14 0 0.218304 0.330285 0.0012160000000000001 0.003718 0.014351000000000003 0.001294 0.027836
0 uniform 2 0 37.439011999999998 2.3738776878589789 1 45 37.281556000000002 0.011365999999999999 0.12677500000000003 0.003326 0.00085800000000000004 0.00299 0.010050999999999999 0.171768 0.33988200000000002 36.587947 0.089254 2.0000000000000002e-05 0.041482999999999999 0.001769 0.0036449999999999994 0.097628000000000006 0.019955999999999988 0 0 0 0 0 0 0 0 0 0 0 37.199432000000002 37.274863000000003 0.00084099999999999995 0.0053569999999999998 0.012 4.8000000000000001e-05 0.033598000000000003
0 uniform 2 7 51.148504000000003 2.4185459771569833 1 45 50.946316000000003 0.011280999999999999 0.17099300000000001 0.0033149999999999998 0.00076000000000000004 0.0031319999999999998 0.010137 0.053126 0.264316 50.478949 0.083313999999999999 1.9000000000000001e-05 0.0098410000000000008 0.001591 0.0036540000000000006 0.13721799999999998 0.022990999999999994 0 0 1 13 12 0 0 0 0 0 0 50.895429999999998 50.939587000000003 0.001621 0.0053619999999999996 0.012095999999999999 4.8000000000000001e-05 0.033245999999999998
0 uniform 2 15 51.446570000000001 2.4760800094988884 1 45 51.261611000000002 0.011174 0.15184299999999998 0.0032459999999999998 0.00073900000000000007 0.0031480000000000002 0.010177 0.051291999999999997 0.318687 50.742117 0.083468000000000001 1.9000000000000001e-05 0.0095549999999999993 0.0014829999999999999 0.0037750000000000001 0.11631100000000005 0.025349 0 0 2 17 17 0 0 0 0 0 0 51.211072000000001 51.254848000000003 0.0015070000000000001 0.0053470000000000002 0.012098000000000001 3.8000000000000002e-05 0.033648999999999998
0 uniform 2 23 53.378157999999999 2.5425757937801223 1 45 53.175981999999998 0.011431 0.16880300000000001 0.0035130000000000001 0.00079699999999999997 0.0030590000000000001 0.010196 0.051527000000000003 0.26273600000000003 52.701980999999996 0.089607999999999993 2.0000000000000002e-05 0.0095369999999999986 0.001671 0.0038350000000000003 0.13219400000000001 0.025491000000000003 0 0 3 16 15 0 0 0 0 0 0 53.125278000000002 53.16921 0.001379 0.0054460000000000003 0.012128999999999999 4.1e-05 0.037238
0 uniform 3 0 0.64852100000000001 490.78838121191183 1 67 0.49568400000000001 0.016872000000000002 0.11259800000000005 0.0041360000000000008 0.001075 0.0031949999999999999 0.0097549999999999998 0.177536 0.117122 0 0.0038040000000000001 0.0011720000000000001 0.11147900000000001 0.00067500000000000004 0.0041910000000000003 0.07481199999999999 0.027197999999999996 0 0 0 0 0 0.003052 1 0 0 14 0 0.33622400000000002 0.48875600000000002 0.001 0.0018890000000000001 0.019178000000000001 2.6999999999999999e-05 0.031092999999999999
0 uniform 3 7 0.60859300000000005 500.90243914853698 1 67 0.43209700000000001 0.015114000000000001 0.13931399999999997 0.0036819999999999999 0.00087499999999999991 0.0026849999999999999 0.0089269999999999992 0.049952000000000003 0.094314999999999996 0 0.0038149999999999998 0.0010950000000000001 0.20457400000000001 0.00070299999999999996 0.0035189999999999996 0.10363999999999997 0.025586000000000008 0 0 1 42 42 0.003114 1 0 0 14 0 0.183591 0.42605700000000002 0.001377 0.0023540000000000002 0.017847999999999999 1.5999999999999999e-05 0.028341999999999999
0 uniform 3 15 0.62639299999999998 513.6746959875577 1 67 0.45023299999999999 0.014762000000000001 0.13961399999999999 0.0035629999999999998 0.00087799999999999998 0.002359 0.0081010000000000006 0.049841000000000003 0.094106999999999996 0 0.003571 0.0009810000000000001 0.22814900000000005 0.000562 0.0034569999999999996 0.10304600000000003 0.026468000000000012 0 0 2 40 40 0.0030000000000000001 1 0 0 14 0 0.18189 0.44486999999999999 0.0012149999999999999 0.0020860000000000002 0.01685 2.3e-05 0.027829
0 uniform 3 23 0.537937 528.13394552202078 1 67 0.36114299999999999 0.014133 0.14121600000000001 0.0035059999999999996 0.00084800000000000001 0.0022569999999999999 0.0078639999999999995 0.049602 0.096172999999999995 0 0.0036359999999999999 0.00079900000000000001 0.13876300000000003 0.00059800000000000001 0.0034520000000000002 0.10443799999999999 0.026651999999999985 0 0 3 40 40 0.003029 1 0 0 14 0 0.183007 0.35595100000000002 0.00114 0.0020449999999999999 0.016504000000000001 2.0999999999999999e-05 0.027297999999999999
0 uniform 4 0 0.49696499999999999 2.6310460312299382 1 52 0.34460400000000002 0.011302 0.12499599999999998 0.003091 0.00085599999999999999 0.0028649999999999999 0.0095429999999999994 0.174986 0.075161000000000006 0 0.01338 0.00094700000000000003 0.00058599999999999993 0.0012719999999999999 0.0032980000000000002 0.095009000000000024 0.022100000000000009 0 0 0 0 0 0.0030079999999999998 1 0 0 10 0 0.30594700000000002 0.33839200000000003 0.00080999999999999996 0.004189 0.011748 2.1999999999999999e-05 0.034201000000000002
0 uniform 4 7 0.36653400000000003 2.5259767679796097 1 52 0.206645 0.010682000000000001 0.13353699999999999 0.0027230000000000002 0.00072000000000000005 0.0027399999999999998 0.0089949999999999995 0.052359000000000003 0.064645999999999995 0 0.012843 0.00090700000000000004 0.00057799999999999995 0.0011360000000000001 0.0030799999999999994 0.10204299999999999 0.023182000000000001 0 0 1 19 19 0.0030140000000000002 1 0 0 10 0 0.17075099999999999 0.20116100000000001 0.001232 0.0043909999999999999 0.010848 2.5000000000000001e-05 0.032134999999999997
0 uniform 4 15 0.42583900000000002 2.4276525037044272 1 68 0.21066499999999999 0.0099419999999999994 0.18576999999999994 0.0039569999999999996 0.00078399999999999997 0.0025669999999999998 0.0083300000000000006 0.049637000000000001 0.074222999999999997 0 0.012281 0.00079600000000000005 0.00058100000000000003 0.0011069999999999999 0.0031230000000000003 0.143318 0.031275999999999998 0 0 2 27 23 0.00297 1 0 0 10 0 0.17633099999999999 0.20541499999999999 0.0011839999999999999 0.0041399999999999996 0.010534999999999999 2.3e-05 0.031796999999999999
