case_id	configuration_id	profile	d_bin_index	epoch	physical_count_old	physical_count_new	physical_identity_changes	max_motion_over_separation	median_motion_over_separation	overlap_pairs	physical_overlap_roots	small_motion_roots
40	40	uniform	0	7	6	6	0	0.9390288358192531	0.3753188985029287	1	0	4
40	40	uniform	0	15	6	6	0	3.1652770915418897	0.3285081469582145	1	0	4
40	40	uniform	0	23	6	6	0	1.5391797822007451	0.3875136927470354	5	2	4
40	40	uniform	1	7	6	6	0	1.0782796704673518	0.41870831198335196	3	1	5
40	40	uniform	1	15	6	6	0	0.6939947185875158	0.34906665127997144	0	0	5
40	40	uniform	1	23	6	6	0	0.5111795132987373	0.2197211972937556	1	0	8
40	40	uniform	2	7	4	4	0	3.3077049097090137	0.8848239103496414	8	0	3
40	40	uniform	2	15	4	6	2	74.5672691046319	0.6171141021153477	9	3	3
40	40	uniform	2	23	6	6	0	1.6467868574225168	0.28952169059363864	6	3	4
40	40	uniform	3	7	6	6	0	0.39262036854539173	0.12653000440968468	0	0	12
40	40	uniform	3	15	6	6	0	0.4554725183705867	0.14741782661558708	0	0	10
40	40	uniform	3	23	6	6	0	0.6154671017153718	0.1742632010047604	0	0	9
40	40	uniform	4	7	6	6	0	0.2554973666122668	0.08107392174099878	0	0	12
40	40	uniform	4	15	6	6	0	0.21019227453809394	0.09432521651468256	0	0	14
40	40	uniform	4	23	6	6	0	0.15906640131022107	0.09209302384852343	0	0	14
41	41	linear	0	7	8	8	0	0.4199922917114281	0.08341276134555226	0	0	11
41	41	linear	0	15	8	8	0	1.0054033350213878	0.08394516740969898	3	1	11
41	41	linear	0	23	8	8	0	0.3194112872641077	0.08299278757110755	0	0	11
41	41	linear	1	7	8	8	0	0.47796408228176046	0.11263234084511614	0	0	12
41	41	linear	1	15	8	8	0	0.3483001293131653	0.12872648319949745	0	0	12
41	41	linear	1	23	8	8	0	2.0221506078101927	0.13926811225632124	1	0	12
41	41	linear	2	7	6	6	0	0.38769925570703995	0.12528744490134322	0	0	13
41	41	linear	2	15	6	6	0	0.4359029368355633	0.1432007395198701	0	0	11
41	41	linear	2	23	6	6	0	0.418877788830509	0.14320111622408474	0	0	11
41	41	linear	3	7	6	6	0	0.27957441958288437	0.0565714158125251	0	0	12
41	41	linear	3	15	6	6	0	0.3968851538014051	0.06434233243200509	0	0	10
41	41	linear	3	23	6	6	0	0.5600003540248221	0.06383566869516967	0	0	10
41	41	linear	4	7	6	6	0	0.1939827922619583	0.049314443822912085	0	0	14
41	41	linear	4	15	6	6	0	0.2500920085100336	0.06792935122810304	0	0	12
41	41	linear	4	23	6	6	0	0.2913587634675436	0.06797508659698565	0	0	12
41	41	uniform	0	7	8	8	0	0.4199922917114281	0.08341276134555226	0	0	11
41	41	uniform	0	15	8	8	0	1.0054033350213878	0.08394516740969898	3	1	11
41	41	uniform	0	23	8	8	0	0.3194112872641077	0.08299278757110755	0	0	11
41	41	uniform	1	7	8	8	0	0.47796408228176046	0.11263234084511614	0	0	12
41	41	uniform	1	15	8	8	0	0.3483001293131653	0.12872648319949745	0	0	12
41	41	uniform	1	23	8	8	0	2.0221506078101927	0.13926811225632124	1	0	12
41	41	uniform	2	7	6	6	0	0.38769925570703995	0.12528744490134322	0	0	13
41	41	uniform	2	15	6	6	0	0.4359029368355633	0.1432007395198701	0	0	11
41	41	uniform	2	23	6	6	0	0.418877788830509	0.14320111622408474	0	0	11
41	41	uniform	3	7	6	6	0	0.27957441958288437	0.0565714158125251	0	0	12
41	41	uniform	3	15	6	6	0	0.3968851538014051	0.06434233243200509	0	0	10
41	41	uniform	3	23	6	6	0	0.5600003540248221	0.06383566869516967	0	0	10
41	41	uniform	4	7	6	6	0	0.1939827922619583	0.049314443822912085	0	0	14
41	41	uniform	4	15	6	6	0	0.2500920085100336	0.06792935122810304	0	0	12
41	41	uniform	4	23	6	6	0	0.2913587634675436	0.06797508659698565	0	0	12
42	42	linear	0	7	8	8	0	1.1258279020285256	0.06289723583805756	1	2	10
42	42	linear	0	15	8	8	0	1.0279200291344124	0.07188261853126184	1	2	8
42	42	linear	0	23	8	8	0	0.8149743039088094	0.07188262962353378	1	2	8
42	42	linear	1	7	6	6	0	0.18965577838664133	0.05812032489793187	0	0	14
42	42	linear	1	15	6	6	0	0.15452865842069163	0.06674265331393306	0	0	14
42	42	linear	1	23	6	6	0	0.11858554485347535	0.06685923486923803	0	0	14
42	42	linear	2	7	10	8	2	0.6283140709274863	0.027046790317328907	1	2	12
42	42	linear	2	15	8	8	0	0.5739628616543809	0.026925070408505527	1	0	12
42	42	linear	2	23	8	8	0	0.16888058366502282	0.028120464110276217	0	0	14
42	42	linear	3	7	10	10	0	0.10544222754628901	0.028039449690007025	0	0	14
42	42	linear	3	15	10	10	0	0.09580903086728865	0.033114361684178695	0	0	14
42	42	linear	3	23	10	10	0	0.09058588803869742	0.03411308775530817	0	0	14
42	42	linear	4	7	6	6	0	0.1326794563466465	0.05673029280408405	0	0	14
42	42	linear	4	15	6	6	0	0.1720194737756003	0.06461087898749265	0	0	14
42	42	linear	4	23	6	6	0	0.20250745222386274	0.06427624130421183	0	0	14
42	42	uniform	0	7	8	8	0	1.1258279020285256	0.06289723583805756	1	2	10
42	42	uniform	0	15	8	8	0	1.0279200291344124	0.07188261853126184	1	2	8
42	42	uniform	0	23	8	8	0	0.8149743039088094	0.07188262962353378	1	2	8
42	42	uniform	1	7	6	6	0	0.18965577838664133	0.05812032489793187	0	0	14
42	42	uniform	1	15	6	6	0	0.15452865842069163	0.06674265331393306	0	0	14
42	42	uniform	1	23	6	6	0	0.11858554485347535	0.06685923486923803	0	0	14
42	42	uniform	2	7	10	8	2	0.6283140709274863	0.027046790317328907	1	2	12
42	42	uniform	2	15	8	8	0	0.5739628616543809	0.026925070408505527	1	0	12
42	42	uniform	2	23	8	8	0	0.16888058366502282	0.028120464110276217	0	0	14
42	42	uniform	3	7	10	10	0	0.10544222754628901	0.028039449690007025	0	0	14
42	42	uniform	3	15	10	10	0	0.09580903086728865	0.033114361684178695	0	0	14
42	42	uniform	3	23	10	10	0	0.09058588803869742	0.03411308775530817	0	0	14
42	42	uniform	4	7	6	6	0	0.1326794563466465	0.05673029280408405	0	0	14
42	42	uniform	4	15	6	6	0	0.1720194737756003	0.06461087898749265	0	0	14
42	42	uniform	4	23	6	6	0	0.20250745222386274	0.06427624130421183	0	0	14
43	43	linear	0	7	4	4	0	1.0317129568545627	0.0923801358920539	1	0	12
43	43	linear	0	15	4	4	0	1.4814004493067559	0.12506723780701398	5	1	8
43	43	linear	0	23	4	4	0	0.9143926720595613	0.1055533337777335	2	1	8
43	43	linear	1	7	6	6	0	0.5765205947754988	0.0822618506875821	0	0	8
43	43	linear	1	15	6	6	0	0.5048309802268253	0.09382193889781199	0	0	8
43	43	linear	1	23	6	6	0	0.41765157493933375	0.09355526583058361	0	0	10
43	43	linear	2	7	4	4	0	1.2415156827849811	0.1751902843397193	1	0	8
43	43	linear	2	15	4	4	0	2.2552910612544292	0.20018887984586076	2	0	8
43	43	linear	2	23	4	6	2	15.79163388505931	0.2001748442911792	3	2	8
43	43	linear	3	7	6	6	0	4.7337781247779604	0.06651067500046627	1	0	12
43	43	linear	3	15	6	6	0	0.5530628470638769	0.08387362538278822	1	0	11
43	43	linear	3	23	6	6	0	0.2835717008631058	0.09349426927853667	0	0	11
43	43	linear	4	7	6	6	0	0.2717176902196785	0.060811231380646716	0	0	10
43	43	linear	4	15	6	6	0	0.47492656927164056	0.0695208426183638	0	0	8
43	43	linear	4	23	6	6	0	4.040897626641326	0.06952169574078308	3	0	8
43	43	uniform	0	7	4	4	0	1.0317129568545627	0.0923801358920539	1	0	12
43	43	uniform	0	15	4	4	0	1.4814004493067559	0.12506723780701398	5	1	8
43	43	uniform	0	23	4	4	0	0.9143926720595613	0.1055533337777335	2	1	8
43	43	uniform	1	7	6	6	0	0.5765205947754988	0.0822618506875821	0	0	8
43	43	uniform	1	15	6	6	0	0.5048309802268253	0.09382193889781199	0	0	8
43	43	uniform	1	23	6	6	0	0.41765157493933375	0.09355526583058361	0	0	10
43	43	uniform	2	7	4	4	0	1.2415156827849811	0.1751902843397193	1	0	8
43	43	uniform	2	15	4	4	0	2.2552910612544292	0.20018887984586076	2	0	8
43	43	uniform	2	23	4	6	2	15.79163388505931	0.2001748442911792	3	2	8
43	43	uniform	3	7	6	6	0	4.7337781247779604	0.06651067500046627	1	0	12
43	43	uniform	3	15	6	6	0	0.5530628470638769	0.08387362538278822	1	0	11
