name,u,policy,warm,rtol,index,panel,cell,parent,depth,level,node_evaluations,value_error,gradient_error0,gradient_error1,gradient_error2,gradient_error3,gradient_error4,gradient_phase,value_resolved,gradient_resolved0,gradient_resolved1,gradient_resolved2,gradient_resolved3,gradient_resolved4
case9,0.5,ValueFirst,0,0.001,2,2,3,-1,0,3,21,0.023220234844270649,6023.3346254547068,1816.926178124045,5980.0902437508321,0.13020692110808268,23596.771922941603,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,3,3,4,-1,0,3,28,0.00022012982166255441,26.818967441899961,26.93960130350062,22.639345267436958,0.0017645902777578975,109.898622072097,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,4,4,5,-1,0,3,35,0.22889803307153775,12329.264066135054,4039.7658549405951,13501.616181655469,0.27629646967866761,48282.536518181718,0,1,1,1,0,1,1
case9,0.5,ValueFirst,0,0.001,5,5,9,-1,0,3,42,0.11949517951638569,213.45731201980863,3120.2475986137333,5328.1247404642163,0.099187313000491176,176.79086058449593,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,6,6,13,-1,0,3,49,0.39840039698138718,10418.641620543338,425.96136283065709,17764.10859739186,0.007660453271798354,13881.317735570819,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,7,0,1,-1,0,4,57,0.010975318069394896,200.24410515886814,19.961416790211551,479.8288302183833,0.0022205176632719369,792.4461441612699,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,8,6,13,-1,0,4,65,0.0063352857542715467,77.516297209802403,3.1692207341387797,333.38449083605036,5.6994950002934639e-05,103.27913649310413,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,9,4,5,-1,0,4,73,0.001791494239057619,4430.9853733107338,601.44646260850629,4436.5282667669135,0.047265075938309663,17473.201267693556,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,10,5,9,-1,0,4,81,0.0019004087055532089,1.5868007745641286,23.195193991486388,99.985714443544239,0.00073731894519484616,1.3142182790449399,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,11,1,2,-1,0,4,89,0.0010587680587734545,244.66082067653991,51.886588817309281,215.22412270565951,0.0039661762367849511,962.71391720009535,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,12,2,3,-1,0,4,97,6.7985036333309524e-05,1303.3255244804377,290.93166253890229,1338.067488903293,0.021495160659223411,5121.8210984336938,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,13,0,1,-1,0,5,113,1.1355931682261553e-07,0.224776831075092,0.0038031693643740044,0.2195530878468146,5.6224055649821265e-07,0.89065163564130501,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,14,6,13,-1,0,5,129,1.3280643473778946e-08,0.074237396080181484,0.0030400960709316581,0.074952793592740374,5.4584082763252449e-08,0.098910457693323087,0,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,15,4,5,-1,0,5,145,5.2202379447631132e-06,158.42789516196771,17.875246521024074,159.38785677718215,0.0014516134649406453,625.32350123943559,1,1,1,1,1,1,1
case9,0.5,ValueFirst,0,0.001,16,2,3,-1,0,5,161,5.5117306987480731e-07,50.489531244124947,11.271669200772768,51.714226186925167,0.00083282047994867343,198.41361853328601,1,1,1,1,1,1,1
