sample stage prepare_ms correction_ms screen_ms interval_ms finite screened certified
17 2 0.012024 0.015618 0.020555 0.11633300000000001 1 1 0
18 0 0.013932 0 0.010926999999999999 0 1 0 0
18 1 0.013932 0.0078700000000000003 0.020822 0.11317099999999999 1 1 0
18 2 0.013932 0.015671999999999998 0.020121 0.117935 1 1 0
19 0 0.012913000000000001 0 0.010777 0 1 0 0
19 1 0.012913000000000001 0.0078320000000000004 0.020145 0.110392 1 1 0
19 2 0.012913000000000001 0.015630999999999999 0.016811 0 1 0 0
21 0 0.013816 0 0.0077359999999999998 0 1 0 0
21 1 0.013816 0.0067510000000000001 0.0088039999999999993 0 1 0 0
21 2 0.013816 0.013459 0.0086180000000000007 0 1 0 0
22 0 0.010269 0 0.0074489999999999999 0 1 0 0
22 1 0.010269 0.0068079999999999998 0.0085079999999999999 0 1 0 0
22 2 0.010269 0.013482000000000001 0.0085339999999999999 0 1 0 0
23 0 0.00975 0 0.0071409999999999998 0 1 0 0
23 1 0.00975 0.006731 0.0084340000000000005 0 1 0 0
23 2 0.00975 0.013438 0.0084729999999999996 0 1 0 0
25 0 0.013757999999999999 0 0.006306 0 1 0 0
25 1 0.013757999999999999 0.00677 0.0073460000000000001 0 1 0 0
25 2 0.013757999999999999 0.019838000000000001 0.0059420000000000002 0 1 0 0
26 0 0.011386 0 0.0061349999999999998 0 1 0 0
26 1 0.011386 0.0067250000000000001 0.0072550000000000002 0 1 0 0
26 2 0.011386 0.013451000000000001 0.0074700000000000001 0 1 0 0
27 0 0.010630000000000001 0 0.0058310000000000002 0 1 0 0
27 1 0.010630000000000001 0.0068180000000000003 0.0084969999999999993 0 1 0 0
27 2 0.010630000000000001 0.013549 0.0071260000000000004 0 1 0 0
29 0 0.010151 0 0.0073990000000000002 0 1 0 0
29 1 0.010151 0.0067930000000000004 0.0086160000000000004 0 1 0 0
29 2 0.010151 0.013505 0.0085679999999999992 0 1 0 0
30 0 0.0089870000000000002 0 0.0084159999999999999 0 1 0 0
30 1 0.0089870000000000002 0.0067759999999999999 0.0085210000000000008 0 1 0 0
30 2 0.0089870000000000002 0.013465999999999999 0.0086110000000000006 0 1 0 0
31 0 0.0092049999999999996 0 0.0082950000000000003 0 1 0 0
31 1 0.0092049999999999996 0.0067419999999999997 0.0084480000000000006 0 1 0 0
31 2 0.0092049999999999996 0.013472999999999999 0.0084700000000000001 0 1 0 0
33 0 0.012626 0 0.0021450000000000002 0 1 0 0
33 1 0.012626 0.0067140000000000003 0.0021800000000000001 0 1 0 0
33 2 0.012626 0.013403 0.0021749999999999999 0 1 0 0
34 0 0.0096340000000000002 0 0.0027789999999999998 0 1 0 0
34 1 0.0096340000000000002 0.0067939999999999997 0.0022759999999999998 0 1 0 0
34 2 0.0096340000000000002 0.013495 0.002264 0 1 0 0
35 0 0.0088789999999999997 0 0.003117 0 1 0 0
35 1 0.0088789999999999997 0.0067819999999999998 0.002199 0 1 0 0
35 2 0.0088789999999999997 0.0135 0.0021749999999999999 0 1 0 0
37 0 0.0092010000000000008 0 0.0095510000000000005 0 1 0 0
37 1 0.0092010000000000008 0.0068190000000000004 0.021828 0.105244 1 1 0
37 2 0.0092010000000000008 0.013561 0.021197000000000001 0.113152 1 1 0
38 0 0.011338000000000001 0 0.011821999999999999 0 1 0 0
38 1 0.011338000000000001 0.0067650000000000002 0.021672 0.10963000000000001 1 1 0
38 2 0.011338000000000001 0.013496000000000001 0.02392 0.116121 1 1 0
39 0 0.012017999999999999 0 0.010829 0 1 0 0
39 1 0.012017999999999999 0.0065900000000000004 0.019984999999999999 0.10595400000000001 1 1 0
39 2 0.012017999999999999 0.013145 0.016795000000000001 0 1 0 0
41 0 0.01468 0 0.020358999999999999 0.092199000000000003 1 1 0
41 1 0.01468 0.0066350000000000003 0.019706999999999999 0.094974000000000003 1 1 0
41 2 0.01468 0.013167 0.019550000000000001 0.21735399999999999 1 1 0
42 0 0.013266999999999999 0 0.019569 0.087775000000000006 1 1 0
42 1 0.013266999999999999 0.0065630000000000003 0.019609000000000001 0.093751000000000001 1 1 0
42 2 0.013266999999999999 0.013156000000000001 0.019332999999999999 0.21278 1 1 0
43 0 0.012725999999999999 0 0.019519999999999999 0.086234000000000005 1 1 0
43 1 0.012725999999999999 0.0065979999999999997 0.019174 0.089976 1 1 0
43 2 0.012725999999999999 0.013163999999999999 0.019302 0.21198 1 1 0
45 0 0.013421000000000001 0 0.019931000000000001 0.077922000000000005 1 1 0
45 1 0.013421000000000001 0.0066010000000000001 0.019956000000000002 0.088473999999999997 1 1 0
45 2 0.013421000000000001 0.013202999999999999 0.019390999999999999 0.17480399999999999 1 1 0
46 0 0.012305999999999999 0 0.020079 0.076811000000000004 1 1 0
46 1 0.012305999999999999 0.0066189999999999999 0.019678999999999999 0.081072000000000005 1 1 0
46 2 0.012305999999999999 0.013129999999999999 0.019171000000000001 0.17296300000000001 1 1 0
47 0 0.012692 0 0.019453000000000002 0.073621000000000006 1 1 0
47 1 0.012692 0.0066319999999999999 0.020639000000000001 0.080263000000000001 1 1 0
47 2 0.012692 0.013351 0.020500999999999998 0.17747099999999999 1 1 0
49 0 0.014061000000000001 0 0.010262 0 1 0 0
49 1 0.014061000000000001 0.0067689999999999998 0.011129999999999999 0 1 0 0
49 2 0.014061000000000001 0.013457 0.011061 0 1 0 0
50 0 0.012024 0 0.0097470000000000005 0 1 0 0
50 1 0.012024 0.0067590000000000003 0.010970000000000001 0 1 0 0
50 2 0.012024 0.013457 0.010951000000000001 0 1 0 0
51 0 0.010187 0 0.0095119999999999996 0 1 0 0
51 1 0.010187 0.0067689999999999998 0.012278000000000001 0 1 0 0
51 2 0.010187 0.013519 0.012177 0 1 0 0
53 0 0.011937 0 0.019272000000000001 0.083779999999999993 1 1 0
53 1 0.011937 0.006796 0.020861999999999999 0.092314999999999994 1 1 0
53 2 0.011937 0.013491 0.020379000000000001 0.17548800000000001 1 1 0
54 0 0.013166000000000001 0 0.019109999999999999 0.078770000000000007 1 1 0
54 1 0.013166000000000001 0.0067629999999999999 0.020229 0.093010999999999996 1 1 0
54 2 0.013166000000000001 0.01353 0.020374 0.17265800000000001 1 1 0
55 0 0.012056000000000001 0 0.020499 0.081092999999999998 1 1 0
55 1 0.012056000000000001 0.006764 0.020666 0.089602000000000001 1 1 0
55 2 0.012056000000000001 0.013482000000000001 0.020341999999999999 0.17322599999999999 1 1 0
57 0 0.012831 0 0.021905000000000001 0.089609999999999995 1 1 0
57 1 0.012831 0.0067340000000000004 0.021441000000000002 0.092101000000000002 1 1 0
57 2 0.012831 0.013481 0.021180999999999998 0.20055799999999999 1 1 0
58 0 0.012316000000000001 0 0.020618999999999998 0.096350000000000005 1 1 0
58 1 0.012316000000000001 0.0073220000000000004 0.021937000000000002 0.097535999999999998 1 1 0
58 2 0.012316000000000001 0.014629 0.021850999999999999 0.196684 1 1 0
59 0 0.013028 0 0.022124999999999999 0.094863000000000003 1 1 0
59 1 0.013028 0.0073109999999999998 0.021375000000000002 0.087453000000000003 1 1 0
59 2 0.013028 0.013849 0.024079 0.179507 1 1 0
61 0 0.012441000000000001 0 0.020528999999999999 0.088449 1 1 0
61 1 0.012441000000000001 0.0066090000000000003 0.020024 0.091969999999999996 1 1 0
61 2 0.012441000000000001 0.013142000000000001 0.019587 0.21276 1 1 0
62 0 0.01166 0 0.019359999999999999 0.086066000000000004 1 1 0
62 1 0.01166 0.0066109999999999997 0.019297999999999999 0.088616 1 1 0
62 2 0.01166 0.013167999999999999 0.019622000000000001 0.21593899999999999 1 1 0
63 0 0.011665999999999999 0 0.019177 0.084536 1 1 0
63 1 0.011665999999999999 0.0065630000000000003 0.019345000000000001 0.088846999999999995 1 1 0
63 2 0.011665999999999999 0.013086 0.019276000000000001 0.21054700000000001 1 1 0
65 0 0.012729000000000001 0 0.019723000000000001 0.077080999999999997 1 1 0
65 1 0.012729000000000001 0.0067669999999999996 0.020955999999999999 0.084653000000000006 1 1 0
65 2 0.012729000000000001 0.013475000000000001 0.020673 0.17918899999999999 1 1 0
66 0 0.013315 0 0.019827000000000001 0.076969999999999997 1 1 0
66 1 0.013315 0.0078379999999999995 0.019611 0.081573999999999994 1 1 0
66 2 0.013315 0.015618999999999999 0.019168000000000001 0.17174400000000001 1 1 0
67 0 0.012826000000000001 0 0.019404999999999999 0.073973999999999998 1 1 0
67 1 0.012826000000000001 0.0078650000000000005 0.019258000000000001 0.080758999999999997 1 1 0
67 2 0.012826000000000001 0.01567 0.019213000000000001 0.170014 1 1 0
69 0 0.016667999999999999 0 0.010312999999999999 0 1 0 0
69 1 0.016667999999999999 0.0077479999999999997 0.0099509999999999998 0 1 0 0
69 2 0.016667999999999999 0.015483 0.0098899999999999995 0 1 0 0
70 0 0.011847999999999999 0 0.0097090000000000006 0 1 0 0
70 1 0.011847999999999999 0.0077359999999999998 0.0098569999999999994 0 1 0 0
70 2 0.011847999999999999 0.015472 0.0097439999999999992 0 1 0 0
71 0 0.011108 0 0.0095420000000000001 0 1 0 0
71 1 0.011108 0.007803 0.011047 0 1 0 0
71 2 0.011108 0.015543000000000001 0.010968 0 1 0 0
73 0 0.011735000000000001 0 0.019269999999999999 0.083154000000000006 1 1 0
73 1 0.011735000000000001 0.0077650000000000002 0.019748000000000002 0.092963000000000004 1 1 0
73 2 0.011735000000000001 0.015571999999999999 0.019261 0.175764 1 1 0
74 0 0.012925000000000001 0 0.019269000000000001 0.079091999999999996 1 1 0
74 1 0.012925000000000001 0.0077660000000000003 0.019040000000000001 0.089236999999999997 1 1 0
74 2 0.012925000000000001 0.015441 0.019050999999999998 0.178059 1 1 0
75 0 0.012788000000000001 0 0.019376000000000001 0.079436999999999994 1 1 0
75 1 0.012788000000000001 0.0078059999999999996 0.019112000000000001 0.088286000000000003 1 1 0
75 2 0.012788000000000001 0.015620999999999999 0.018943000000000002 0.172683 1 1 0
77 0 0.013691999999999999 0 0.020400000000000001 0.089001999999999998 1 1 0
77 1 0.013691999999999999 0.0078549999999999991 0.020206999999999999 0.091562000000000004 1 1 0
77 2 0.013691999999999999 0.015656999999999997 0.019706000000000001 0.187225 1 1 0
78 0 0.013169999999999999 0 0.020053999999999999 0.086645 1 1 0
78 1 0.013169999999999999 0.0067679999999999997 0.020954 0.089019000000000001 1 1 0
78 2 0.013169999999999999 0.013476999999999999 0.020636999999999999 0.18159700000000001 1 1 0
79 0 0.013240999999999999 0 0.019653 0.086452000000000001 1 1 0
79 1 0.013240999999999999 0.0067149999999999996 0.020826000000000001 0.088210999999999998 1 1 0
79 2 0.013240999999999999 0.013457 0.020754000000000002 0.17960000000000001 1 1 0
81 0 0.014413 0 0.012142 0 1 0 0
81 1 0.014413 0.0066 0.015951 0 1 0 0
81 2 0.014413 0.01312 0.011369000000000001 0 1 0 0
82 0 0.011778 0 0.011323 0 1 0 0
82 1 0.011778 0.0066100000000000004 0.011365 0 1 0 0
82 2 0.011778 0.013154000000000001 0.011185 0 1 0 0
83 0 0.010366 0 0.011122999999999999 0 1 0 0
83 1 0.010366 0.0066059999999999999 0.011710999999999999 0 1 0 0
83 2 0.010366 0.013136999999999999 0.019998999999999999 0.119563 1 1 0
85 0 0.012659999999999999 0 0.011781 0 1 0 0
85 1 0.012659999999999999 0.0066020000000000002 0.014121 0 1 0 0
85 2 0.012659999999999999 0.013118000000000001 0.013913999999999999 0 1 0 0
86 0 0.011235 0 0.011214999999999999 0 1 0 0
86 1 0.011235 0.0065779999999999996 0.014069 0 1 0 0
86 2 0.011235 0.013107000000000001 0.013856 0 1 0 0
87 0 0.0096439999999999998 0 0.010374 0 1 0 0
87 1 0.0096439999999999998 0.0066410000000000002 0.013842999999999999 0 1 0 0
87 2 0.0096439999999999998 0.013167 0.013735000000000001 0 1 0 0
89 0 0.011471 0 0.010588999999999999 0 1 0 0
89 1 0.011471 0.0066519999999999999 0.020438000000000001 0.084167000000000006 1 1 0
89 2 0.011471 0.013219 0.020462999999999999 0.091744000000000006 1 1 0
90 0 0.012361 0 0.010473 0 1 0 0
90 1 0.012361 0.0065760000000000002 0.019937 0.075916999999999998 1 1 0
90 2 0.012361 0.013166000000000001 0.019598000000000001 0.093040999999999999 1 1 0
91 0 0.011624000000000001 0 0.010318000000000001 0 1 0 0
91 1 0.011624000000000001 0.0066 0.019406 0.075005000000000002 1 1 0
91 2 0.011624000000000001 0.013184 0.019445 0.088439000000000004 1 1 0
93 0 0.012958000000000001 0 0.0023280000000000002 0 1 0 0
93 1 0.012958000000000001 0.0066119999999999998 0.007639 0 1 0 0
93 2 0.012958000000000001 0.013148 0.007607 0 1 0 0
94 0 0.010876 0 0.0020820000000000001 0 1 0 0
94 1 0.010876 0.0065859999999999998 0.0073590000000000001 0 1 0 0
94 2 0.010876 0.01312 0.0076470000000000002 0 1 0 0
95 0 0.0097490000000000007 0 0.0020530000000000001 0 1 0 0
95 1 0.0097490000000000007 0.0066 0.0095619999999999993 0 1 0 0
