sample low_sweeps factor_ms split_ms refine2_ms refine4_ms finite0 finite2 finite4 physical0 physical2 physical4 classify_ms
33 91 0.069342000000000001 0.039992 0.16958699999999999 0.16286600000000001 14 14 14 2 2 2 0.0044089999999999997
34 91 0.124546 0.043062000000000003 0.16464000000000001 0.15811500000000001 14 14 14 2 2 2 0.0040870000000000004
35 91 0.11866500000000001 0.039987000000000002 0.16841999999999999 0.16150999999999999 14 14 14 2 2 2 0.0044569999999999992
36 35 0.057812000000000002 0.045978999999999999 0.19672100000000001 0.186775 14 14 14 0 0 0 0.0078519999999999996
37 35 0.059802000000000001 0.042582000000000002 0.18640200000000001 0.17830199999999999 14 14 14 0 0 0 0.0075890000000000003
38 35 0.061689000000000001 0.041216000000000003 0.181917 0.17952799999999999 14 14 14 0 0 0 0.0075220000000000009
39 35 0.060199999999999997 0.040322999999999998 0.177118 0.173538 14 14 14 0 0 0 0.0073010000000000002
40 41 0.064521999999999996 0.044887999999999997 0.189327 0.17625299999999999 14 14 14 0 0 0 0.0077909999999999993
41 41 0.059374000000000003 0.042197999999999999 0.17963699999999999 0.17412900000000001 14 14 14 0 0 0 0.0076100000000000004
42 41 0.060854999999999999 0.042899 0.180646 0.17182900000000001 14 14 14 0 0 0 0.0077890000000000008
43 41 0.063492999999999994 0.047104 0.189583 0.17926300000000001 14 14 14 0 0 0 0.0078309999999999994
44 96 0.093669000000000002 0.042532 0.18554599999999999 0.170794 14 14 14 0 0 0 0.425041
45 96 0.112183 0.040523000000000003 0.167851 0.16287299999999999 14 14 14 0 0 0 0.46657799999999999
46 96 0.110752 0.041104000000000002 0.16987099999999999 0.160666 14 14 14 0 0 0 0.46257700000000002
47 96 0.113486 0.039743000000000001 0.17313799999999999 0.16386899999999999 14 14 14 0 0 0 0.43044399999999999
48 40 0.066114000000000006 0.042018 0.18767300000000001 0.17967900000000001 14 14 14 0 0 0 0.0075430000000000011
49 40 0.062604999999999994 0.044047999999999997 0.183507 0.172543 14 14 14 0 0 0 0.0072929999999999991
50 40 0.066479999999999997 0.043987999999999999 0.18815200000000001 0.178395 14 14 14 0 0 0 0.007699000000000001
51 41 0.062195 0.041189000000000003 0.18083299999999999 0.175734 14 14 14 0 0 0 0.0089499999999999996
52 94 0.095108999999999999 0.043203999999999999 0.18134800000000001 0.17318800000000001 14 14 14 0 0 0 0.370504
53 94 0.094678999999999999 0.042367000000000002 0.17747099999999999 0.167491 14 14 14 0 0 0 0.35946
54 94 0.092198000000000002 0.041091999999999997 0.17907699999999999 0.16755 14 14 14 0 0 0 0.34812500000000002
55 45 0.061122000000000003 0.039912999999999997 0.16919999999999999 0.16645199999999999 14 14 14 0 0 0 0.294962
56 41 0.061446000000000001 0.043626999999999999 0.18881899999999999 0.17843600000000001 14 14 14 0 0 0 0.0079040000000000013
57 41 0.062303999999999998 0.042983 0.18265100000000001 0.17194200000000001 14 14 14 0 0 0 0.0075399999999999998
58 41 0.059480999999999999 0.042007000000000003 0.18194099999999999 0.173486 14 14 14 0 0 0 0.0075270000000000007
59 41 0.063656000000000004 0.042480999999999998 0.18009900000000001 0.172684 14 14 14 0 0 0 0.0076319999999999999
60 41 0.061771 0.043138000000000003 0.18388199999999999 0.17607600000000001 14 14 14 0 0 0 0.007725000000000001
61 41 0.062059000000000003 0.042827999999999998 0.182759 0.17710699999999999 14 14 14 0 0 0 0.0076379999999999998
62 41 0.062597 0.043268000000000001 0.187307 0.18183299999999999 14 14 14 0 0 0 0.0076430000000000005
63 41 0.064149999999999999 0.046466 0.183448 0.175368 14 14 14 0 0 0 0.0075729999999999999
64 96 0.093100000000000002 0.042360000000000002 0.183085 0.16867499999999999 14 14 14 0 0 0 0.42178400000000005
65 96 0.111398 0.040925000000000003 0.16978499999999999 0.16336999999999999 14 14 14 0 0 0 0.47114999999999996
66 96 0.110176 0.040920999999999999 0.17388799999999999 0.16428599999999999 14 14 14 0 0 0 0.46488799999999997
67 96 0.11006299999999999 0.039691999999999998 0.16961699999999999 0.163771 14 14 14 0 0 0 0.43290299999999998
68 40 0.063196000000000002 0.041966000000000003 0.18818599999999999 0.17951500000000001 14 14 14 0 0 0 0.0076170000000000005
69 40 0.065619999999999998 0.043276000000000002 0.18516299999999999 0.17458499999999999 14 14 14 0 0 0 0.0075930000000000008
70 40 0.062411000000000001 0.042202999999999997 0.180233 0.17541999999999999 14 14 14 0 0 0 0.0076369999999999997
71 41 0.067050999999999999 0.042529999999999998 0.179314 0.17220099999999999 14 14 14 0 0 0 0.0074570000000000001
72 94 0.093023999999999996 0.042602000000000001 0.182364 0.17719599999999999 14 14 14 0 0 0 0.36965300000000001
73 94 0.090302999999999994 0.043400000000000001 0.18091299999999999 0.172598 14 14 14 0 0 0 0.35869499999999999
74 94 0.087936 0.041354000000000002 0.172511 0.16684599999999999 14 14 14 0 0 0 0.35323100000000002
75 45 0.060023 0.040944000000000001 0.16897699999999999 0.16665099999999999 14 14 14 0 0 0 0.29131499999999999
76 41 0.061609999999999998 0.046271 0.18820700000000001 0.17951 14 14 14 0 0 0 0.0078759999999999993
77 41 0.061380999999999998 0.042514000000000003 0.182425 0.17097100000000001 14 14 14 0 0 0 0.0075429999999999994
78 41 0.062779000000000001 0.042687999999999997 0.18518299999999999 0.176172 14 14 14 0 0 0 0.0080470000000000003
79 41 0.058763000000000003 0.042192 0.177506 0.174623 14 14 14 0 0 0 0.0080409999999999995
80 43 0.071417999999999995 0.043938999999999999 0.19830999999999999 0.18847700000000001 14 14 14 0 0 0 0.0074719999999999995
81 43 0.064339999999999994 0.046288999999999997 0.202927 0.198626 14 14 14 0 0 0 0.0077159999999999989
82 43 0.066933000000000006 0.043546000000000001 0.197295 0.182118 14 14 14 0 0 0 0.0072300000000000003
83 44 0.057955 0.040299000000000001 0.18554300000000001 0.18243500000000001 14 14 14 0 0 0 0.0076939999999999995
84 43 0.057889000000000003 0.035409999999999997 0.18395800000000001 0.178032 14 14 14 0 0 0 0.0075969999999999996
85 45 0.059344000000000001 0.043213000000000001 0.18490500000000001 0.18562200000000001 14 14 14 0 0 0 0.0072840000000000005
86 43 0.057839000000000002 0.035152999999999997 0.178426 0.16943 14 14 14 0 0 0 0.0069020000000000001
87 43 0.058735000000000002 0.037638999999999999 0.17879100000000001 0.17622599999999999 14 14 14 0 0 0 0.0072669999999999992
88 43 0.059174999999999998 0.045710000000000001 0.20812800000000001 0.19556399999999999 14 14 14 0 0 0 0.0082730000000000008
89 43 0.068533999999999998 0.048443 0.19619800000000001 0.17597299999999999 14 14 14 0 0 0 0.0076519999999999991
90 44 0.058949000000000001 0.040143999999999999 0.177645 0.17460100000000001 14 14 14 0 0 0 0.0056690000000000004
