sample low_sweeps factor_ms split_ms refine2_ms refine4_ms finite0 finite2 finite4 physical0 physical2 physical4 classify_ms
178 38 0.060040999999999997 0.042299000000000003 0.177095 0.171595 14 14 14 0 0 0 0.0078909999999999987
179 38 0.059102000000000002 0.042077999999999997 0.18067800000000001 0.17442299999999999 14 14 14 0 0 0 0.007868
180 88 0.14257800000000001 0.044540999999999997 0.18355399999999999 0.172763 14 14 14 8 8 8 0.56982900000000003
181 88 0.15057599999999999 0.043242999999999997 0.17721500000000001 0.167076 14 14 14 8 8 8 0.32322299999999998
182 88 0.141788 0.042540000000000001 0.17477999999999999 0.16509499999999999 14 14 14 8 8 8 0.565419
183 88 0.13961200000000001 0.044019000000000003 0.17197399999999999 0.16114700000000001 14 14 14 8 8 8 0.58826200000000006
184 88 0.088368000000000002 0.044971999999999998 0.184776 0.16950299999999999 14 14 14 0 0 1 0.47518100000000002
185 88 0.078755000000000006 0.044174999999999999 0.178092 0.170602 14 14 14 0 0 0 0.60838599999999998
186 88 0.091379000000000002 0.043768000000000001 0.17502200000000001 0.16666900000000001 14 14 14 0 0 1 0.53208
187 88 0.091214000000000003 0.042271000000000003 0.17819499999999999 0.16778999999999999 14 14 14 0 0 2 0.65871199999999996
188 96 0.13819300000000001 0.042673000000000003 0.183113 0.17385700000000001 14 14 14 2 2 4 0.67099299999999995
189 96 0.090055999999999997 0.042125999999999997 0.17977899999999999 0.177979 14 14 14 2 2 4 0.62805999999999995
190 96 0.114699 0.041023999999999998 0.17730699999999999 0.17327699999999999 14 14 14 2 2 4 0.5851059999999999
191 96 0.109655 0.043482 0.18132300000000001 0.17374100000000001 14 14 14 2 2 3 0.55576000000000003
192 38 0.063634999999999997 0.043525000000000001 0.19225900000000001 0.18451699999999999 14 14 14 0 0 0 0.0081869999999999998
193 38 0.063969999999999999 0.043626999999999999 0.18310000000000001 0.17560300000000001 14 14 14 0 0 0 0.0079329999999999991
194 38 0.063556000000000001 0.045290999999999998 0.181784 0.17599999999999999 14 14 14 0 0 0 0.0076859999999999993
195 38 0.058459999999999998 0.041277000000000001 0.17458699999999999 0.17199700000000001 14 14 14 0 0 0 0.0076299999999999996
196 38 0.059385 0.044649000000000001 0.18540400000000001 0.17610700000000001 14 14 14 0 0 0 0.0080669999999999995
197 38 0.058570999999999998 0.043354999999999998 0.185222 0.17510100000000001 14 14 14 0 0 0 0.0079990000000000009
198 38 0.058457000000000002 0.041801999999999999 0.17652699999999999 0.17585400000000001 14 14 14 0 0 0 0.0081320000000000003
199 38 0.059108000000000001 0.042691 0.18013599999999999 0.172126 14 14 14 0 0 0 0.0076710000000000007
200 35 0.061718000000000002 0.043277999999999997 0.19498399999999999 0.18054000000000001 14 14 14 0 4 5 0.019091
201 35 0.061342000000000001 0.041563000000000003 0.19281100000000001 0.177315 14 14 14 0 5 5 0.017749000000000001
202 35 0.064146999999999996 0.041160000000000002 0.18723400000000001 0.17518 14 14 14 0 2 5 0.063963999999999993
203 35 0.064972000000000002 0.040350999999999998 0.18739500000000001 0.181169 14 14 14 0 3 6 0.019859999999999999
204 38 0.060483000000000002 0.045374999999999999 0.19414500000000001 0.179059 14 14 14 0 1 3 0.026577999999999997
